Gene	GRCP	GLCP	TWAS_z
ENSG00000163703	1.000	1.000	   13.056
ENSG00000172613	0.043	0.999	   18.663
ENSG00000198945	0.998	0.998	  -18.670
ENSG00000267280	0.532	0.998	  -18.584
ENSG00000269894	0.995	0.995	   13.093
ENSG00000103245	0.037	0.994	  -11.403
ENSG00000165801	0.407	0.987	    8.585
ENSG00000234465	0.510	0.987	    6.900
ENSG00000101417	0.798	0.984	  -15.630
ENSG00000103253	0.110	0.980	   -8.174
ENSG00000116883	0.859	0.969	    7.105
ENSG00000162613	0.063	0.959	   11.454
ENSG00000243795	0.552	0.952	   -4.702
ENSG00000146477	0.278	0.952	    1.585
ENSG00000198860	0.528	0.950	    0.000
ENSG00000119147	0.569	0.946	    4.975
ENSG00000183386	0.732	0.938	  -10.447
ENSG00000124541	0.236	0.936	    6.550
ENSG00000277791	0.613	0.932	    8.922
ENSG00000273450	0.344	0.931	    4.538
ENSG00000117280	0.645	0.931	    8.790
ENSG00000281128	0.282	0.929	   -5.627
ENSG00000067208	0.309	0.921	   10.025
ENSG00000134222	0.760	0.920	   -4.366
ENSG00000162869	0.915	0.918	    5.344
ENSG00000260077	0.021	0.912	    0.668
ENSG00000117122	0.195	0.910	  -16.534
ENSG00000142694	0.862	0.907	   -7.097
ENSG00000233016	0.885	0.885	   -5.488
ENSG00000173145	0.617	0.883	    4.801
ENSG00000214193	0.761	0.875	   -7.136
ENSG00000176472	0.747	0.873	   -7.413
ENSG00000186212	0.265	0.871	    3.962
ENSG00000166532	0.272	0.858	   -5.173
ENSG00000149485	0.316	0.846	   -7.282
ENSG00000107959	0.835	0.842	    4.126
ENSG00000183682	0.692	0.842	   -5.548
ENSG00000166913	0.325	0.841	    6.708
ENSG00000126464	0.443	0.840	   -5.879
ENSG00000260273	0.398	0.839	   10.595
ENSG00000260947	0.227	0.825	   -5.456
ENSG00000239713	0.690	0.821	   -6.169
ENSG00000146054	0.420	0.811	    5.641
ENSG00000198517	0.181	0.801	    4.909
ENSG00000183150	0.384	0.785	    9.012
ENSG00000260257	0.472	0.779	   -7.540
ENSG00000068878	0.281	0.777	   -6.214
ENSG00000135698	0.517	0.771	   -7.296
ENSG00000130177	0.611	0.766	    8.291
ENSG00000271151	0.597	0.765	   -7.453
ENSG00000197291	0.028	0.760	   -6.039
ENSG00000231165	0.262	0.749	   -5.713
ENSG00000184661	0.094	0.748	    9.133
ENSG00000151632	0.748	0.748	   10.286
ENSG00000234906	0.382	0.735	   -5.530
ENSG00000129351	0.334	0.731	    0.000
ENSG00000139428	0.516	0.729	    0.000
ENSG00000127415	0.305	0.720	    5.747
ENSG00000283602	0.420	0.716	    5.852
ENSG00000273619	0.710	0.715	   -5.971
ENSG00000244515	0.204	0.715	   -8.922
ENSG00000131845	0.556	0.700	    4.129
ENSG00000248514	0.544	0.689	    5.224
ENSG00000242247	0.135	0.685	    6.597
ENSG00000151208	0.303	0.684	    9.060
ENSG00000272969	0.189	0.680	   -5.378
ENSG00000237984	0.334	0.680	   -5.541
ENSG00000121068	0.311	0.679	    0.000
ENSG00000103528	0.293	0.676	    0.000
ENSG00000250900	0.449	0.662	    5.653
ENSG00000179119	0.589	0.654	   -7.353
ENSG00000275437	0.237	0.639	    5.297
ENSG00000069275	0.024	0.631	   -8.198
ENSG00000165661	0.090	0.622	   -7.599
ENSG00000281026	0.036	0.621	    6.405
ENSG00000112977	0.609	0.609	    4.817
ENSG00000065243	0.096	0.594	    0.000
ENSG00000115648	0.193	0.592	   -5.790
ENSG00000257303	0.209	0.583	    7.936
ENSG00000059378	0.114	0.583	   -6.513
ENSG00000155363	0.341	0.573	    7.759
ENSG00000181754	0.572	0.573	    4.653
