Gene	GRCP	GLCP	TWAS_z
ENSG00000269894	1.000	1.000	   13.085
ENSG00000163703	1.000	1.000	   12.064
ENSG00000204351	0.018	1.000	    4.048
ENSG00000163354	0.944	1.000	   -9.202
ENSG00000168899	0.663	1.000	    2.389
ENSG00000177311	0.153	0.999	   33.706
ENSG00000162613	0.050	0.999	   11.514
ENSG00000198945	0.998	0.998	  -18.542
ENSG00000146535	0.104	0.996	   21.159
ENSG00000117122	0.056	0.996	  -16.582
ENSG00000103245	0.964	0.995	   -9.717
ENSG00000245680	0.177	0.995	    5.856
ENSG00000198860	0.072	0.991	   -1.693
ENSG00000165801	0.295	0.989	    8.435
ENSG00000112977	0.984	0.984	    5.395
ENSG00000132386	0.480	0.984	    7.645
ENSG00000159363	0.063	0.978	  -15.101
ENSG00000073050	0.498	0.978	   -6.666
ENSG00000183386	0.977	0.977	  -10.256
ENSG00000186577	0.011	0.975	  -21.728
ENSG00000159202	0.041	0.965	   13.611
ENSG00000119147	0.955	0.955	    6.150
ENSG00000104853	0.381	0.942	   -0.141
ENSG00000243795	0.723	0.941	   -3.290
ENSG00000128274	0.086	0.936	   -4.469
ENSG00000196967	0.116	0.936	    7.652
ENSG00000186212	0.559	0.935	    3.620
ENSG00000162869	0.915	0.915	    5.512
ENSG00000171206	0.116	0.915	  -11.547
ENSG00000234028	0.569	0.913	  -11.993
ENSG00000176472	0.605	0.912	   -7.384
ENSG00000124733	0.149	0.910	   -6.290
ENSG00000169738	0.070	0.903	   -2.539
ENSG00000126460	0.837	0.901	   -2.166
ENSG00000134222	0.622	0.900	   -5.477
ENSG00000176909	0.696	0.898	    5.679
ENSG00000137309	0.001	0.892	  -12.776
ENSG00000101367	0.754	0.888	    5.918
ENSG00000230082	0.886	0.886	   13.103
ENSG00000235106	0.619	0.883	   -7.246
ENSG00000107679	0.880	0.880	    5.982
ENSG00000135835	0.857	0.880	    6.581
ENSG00000113083	0.590	0.877	    5.771
ENSG00000233016	0.876	0.877	   -3.521
ENSG00000070950	0.347	0.870	    5.303
ENSG00000198517	0.182	0.867	    1.888
ENSG00000107959	0.860	0.860	    1.844
ENSG00000276293	0.803	0.856	    3.249
ENSG00000183520	0.251	0.852	   -9.332
ENSG00000116883	0.826	0.842	    5.937
ENSG00000142694	0.808	0.834	   -7.074
ENSG00000124702	0.184	0.829	   -6.607
ENSG00000177951	0.829	0.829	    5.983
ENSG00000081692	0.006	0.827	   13.466
ENSG00000184661	0.065	0.826	    9.196
ENSG00000126464	0.648	0.826	   -5.060
ENSG00000145604	0.158	0.824	    3.110
ENSG00000122870	0.121	0.824	   -0.630
ENSG00000115464	0.042	0.820	    4.548
ENSG00000105538	0.516	0.819	    5.572
ENSG00000275437	0.485	0.819	    5.853
ENSG00000173145	0.642	0.816	    4.739
ENSG00000146054	0.734	0.816	   -3.483
ENSG00000155542	0.340	0.811	   -7.550
ENSG00000270265	0.158	0.808	   -7.351
ENSG00000273619	0.683	0.802	   -5.756
ENSG00000265678	0.075	0.802	   -6.079
ENSG00000131899	0.198	0.798	   -0.255
ENSG00000183955	0.271	0.785	   -8.398
ENSG00000185163	0.729	0.779	   -1.608
ENSG00000168036	0.201	0.779	   -7.606
ENSG00000127415	0.610	0.773	    3.889
ENSG00000151632	0.769	0.769	   10.076
ENSG00000134825	0.255	0.767	    7.020
ENSG00000173404	0.496	0.767	   -5.792
ENSG00000135698	0.429	0.767	   -8.793
ENSG00000105173	0.516	0.758	   -4.277
ENSG00000239713	0.387	0.741	   -6.152
ENSG00000138032	0.082	0.739	   10.676
ENSG00000271151	0.609	0.737	   -7.395
ENSG00000179119	0.472	0.734	   -7.246
ENSG00000165424	0.107	0.730	  -12.908
ENSG00000135074	0.127	0.714	    5.027
ENSG00000182109	0.027	0.710	   -1.166
ENSG00000133313	0.709	0.709	    3.110
ENSG00000155850	0.452	0.708	   -4.729
ENSG00000073067	0.707	0.708	   -1.321
ENSG00000142233	0.706	0.706	    3.843
ENSG00000183150	0.428	0.705	    8.890
ENSG00000183431	0.011	0.703	   -8.798
ENSG00000257727	0.163	0.687	   -7.992
ENSG00000237984	0.312	0.682	   -5.398
ENSG00000236208	0.592	0.681	    5.202
ENSG00000174106	0.055	0.678	    9.345
ENSG00000171217	0.230	0.677	   -7.338
ENSG00000155363	0.259	0.668	    8.112
ENSG00000283602	0.339	0.663	    5.874
ENSG00000131435	0.311	0.663	   16.335
ENSG00000139187	0.176	0.650	   -4.427
