Gene	GRCP	GLCP	TWAS_z
ENSG00000163703	1.000	1.000	   12.745
ENSG00000198945	1.000	1.000	  -18.630
ENSG00000103245	0.029	0.987	  -12.087
ENSG00000135698	0.245	0.987	   -8.513
ENSG00000183431	0.150	0.987	   -9.213
ENSG00000126464	0.406	0.983	   -5.939
ENSG00000183386	0.934	0.982	  -10.494
ENSG00000163354	0.936	0.973	   -8.156
ENSG00000144649	0.316	0.966	   -7.321
ENSG00000159708	0.363	0.966	    9.011
ENSG00000248278	0.023	0.947	   13.603
ENSG00000270781	0.030	0.943	  -14.036
ENSG00000119147	0.869	0.938	    6.645
ENSG00000277791	0.816	0.933	    2.735
ENSG00000176472	0.572	0.933	   -7.324
ENSG00000204084	0.087	0.930	   -5.052
ENSG00000101057	0.170	0.908	   -5.156
ENSG00000233016	0.883	0.883	   -5.637
ENSG00000173145	0.346	0.881	    4.206
ENSG00000159202	0.006	0.879	  -13.281
ENSG00000138835	0.147	0.877	   -6.203
ENSG00000270195	0.207	0.876	   -9.584
ENSG00000073067	0.859	0.859	   -4.660
ENSG00000172613	0.057	0.849	   12.061
ENSG00000116883	0.849	0.849	    6.619
ENSG00000107959	0.845	0.845	    3.143
ENSG00000273619	0.384	0.843	   -5.519
ENSG00000117280	0.577	0.832	    6.837
ENSG00000183150	0.440	0.829	    8.965
ENSG00000163072	0.334	0.821	  -11.685
ENSG00000069275	0.552	0.817	    0.000
ENSG00000179119	0.546	0.799	   -7.612
ENSG00000140455	0.481	0.772	    0.000
ENSG00000197291	0.021	0.757	    0.000
ENSG00000130177	0.596	0.756	    8.406
ENSG00000134825	0.215	0.753	    7.251
ENSG00000215529	0.592	0.747	   -7.517
ENSG00000170954	0.069	0.744	    0.546
ENSG00000183682	0.592	0.733	   -5.662
ENSG00000169696	0.019	0.730	   -3.758
ENSG00000101019	0.003	0.723	    0.000
ENSG00000260273	0.221	0.721	   10.436
ENSG00000239713	0.204	0.720	   -5.225
ENSG00000101367	0.522	0.718	    7.592
ENSG00000238181	0.343	0.714	   -8.104
ENSG00000281128	0.289	0.710	   -5.551
ENSG00000278893	0.298	0.702	   -4.662
ENSG00000272572	0.099	0.702	    0.000
ENSG00000139645	0.199	0.688	    8.180
ENSG00000072682	0.276	0.687	    0.000
ENSG00000267986	0.683	0.683	    0.000
ENSG00000112977	0.678	0.678	    4.654
ENSG00000169925	0.375	0.675	    7.645
ENSG00000122870	0.123	0.670	   -3.534
ENSG00000146535	0.197	0.667	   23.307
ENSG00000156603	0.492	0.651	   -6.345
ENSG00000248514	0.325	0.649	    0.000
ENSG00000151704	0.189	0.648	    0.000
ENSG00000226087	0.290	0.625	    0.000
ENSG00000272966	0.134	0.618	    6.515
ENSG00000106780	0.469	0.613	    8.022
ENSG00000188157	0.185	0.609	    5.190
ENSG00000181754	0.607	0.608	    4.664
ENSG00000257303	0.189	0.607	    7.918
ENSG00000131435	0.165	0.607	    0.000
ENSG00000182093	0.373	0.602	   -5.637
ENSG00000166532	0.159	0.590	    0.000
