Gene	GRCP	GLCP	TWAS_z
ENSG00000198945	1.000	1.000	  -18.275
ENSG00000163703	1.000	1.000	   11.930
ENSG00000162613	0.057	0.997	   11.159
ENSG00000277791	0.909	0.996	    5.683
ENSG00000183386	0.966	0.994	  -10.107
ENSG00000183741	0.276	0.993	    7.099
ENSG00000103245	0.967	0.993	  -13.774
ENSG00000165801	0.343	0.988	    8.503
ENSG00000214193	0.830	0.978	   -7.222
ENSG00000170175	0.118	0.958	  -13.171
ENSG00000132386	0.550	0.955	    8.417
ENSG00000248278	0.039	0.955	   13.576
ENSG00000198860	0.222	0.946	   -0.753
ENSG00000166913	0.431	0.940	    6.798
ENSG00000119147	0.935	0.938	    6.811
ENSG00000243795	0.224	0.936	   -6.989
ENSG00000170954	0.538	0.928	    1.711
ENSG00000176472	0.707	0.927	   -7.436
ENSG00000162869	0.881	0.920	    5.205
ENSG00000160685	0.012	0.918	    6.633
ENSG00000147853	0.910	0.910	    3.366
ENSG00000134222	0.763	0.904	   -4.409
ENSG00000233016	0.895	0.895	   -5.097
ENSG00000176720	0.464	0.889	    4.468
ENSG00000107959	0.884	0.884	    3.259
ENSG00000116883	0.851	0.859	    7.088
ENSG00000177951	0.842	0.859	    5.281
ENSG00000176871	0.846	0.846	    4.502
ENSG00000260273	0.388	0.842	   10.568
ENSG00000179119	0.567	0.830	   -7.502
ENSG00000149485	0.701	0.825	   -7.307
ENSG00000135698	0.352	0.818	   -9.391
ENSG00000278733	0.023	0.817	  -17.209
ENSG00000101367	0.631	0.797	    7.515
ENSG00000224927	0.570	0.793	    4.722
ENSG00000234028	0.474	0.793	  -12.127
ENSG00000243176	0.206	0.792	    8.828
ENSG00000117280	0.154	0.790	    5.456
ENSG00000267100	0.239	0.769	    8.366
ENSG00000283602	0.400	0.766	    5.961
ENSG00000126464	0.653	0.760	   -6.157
ENSG00000129351	0.363	0.758	    0.000
ENSG00000162004	0.044	0.757	    1.101
ENSG00000155542	0.539	0.748	   -7.751
ENSG00000003056	0.224	0.748	   -2.012
ENSG00000130177	0.595	0.733	    8.323
ENSG00000250900	0.602	0.718	    5.738
ENSG00000272234	0.108	0.717	   11.091
ENSG00000214578	0.027	0.708	    0.000
ENSG00000273619	0.681	0.706	   -5.781
ENSG00000173145	0.104	0.699	    3.738
ENSG00000108669	0.167	0.695	   -7.618
ENSG00000115419	0.381	0.694	   -5.753
ENSG00000101104	0.435	0.693	    6.656
ENSG00000149927	0.078	0.689	    8.804
ENSG00000172171	0.109	0.681	    0.000
ENSG00000260947	0.214	0.674	   -5.452
ENSG00000281128	0.300	0.673	   -5.523
ENSG00000237984	0.293	0.673	   -5.497
ENSG00000171217	0.192	0.650	   -7.366
ENSG00000255423	0.147	0.634	   -4.303
ENSG00000165424	0.168	0.633	    0.000
ENSG00000069275	0.066	0.627	   -8.518
ENSG00000177191	0.257	0.625	  -11.850
ENSG00000275106	0.382	0.618	   -4.890
ENSG00000278893	0.292	0.612	   -4.658
ENSG00000157578	0.337	0.611	   -3.697
ENSG00000188599	0.081	0.608	    0.037
ENSG00000245680	0.197	0.606	    7.534
ENSG00000151208	0.427	0.605	    8.854
ENSG00000111802	0.398	0.603	   -4.320
ENSG00000181754	0.602	0.602	    4.664
ENSG00000198517	0.147	0.601	    0.000
ENSG00000257303	0.181	0.600	    7.927
ENSG00000151632	0.545	0.599	    9.150
ENSG00000244515	0.184	0.597	   -8.928
ENSG00000248514	0.164	0.582	    4.970
ENSG00000204978	0.107	0.580	    0.000
ENSG00000182093	0.350	0.576	   -5.613
ENSG00000226261	0.128	0.569	    6.568
ENSG00000101639	0.228	0.568	   -7.062
ENSG00000272966	0.153	0.559	    6.498
ENSG00000163933	0.180	0.555	   -8.019
ENSG00000149577	0.395	0.550	    2.014
ENSG00000176390	0.086	0.544	   11.552
ENSG00000131845	0.113	0.541	    3.515
ENSG00000185163	0.273	0.532	    0.000
ENSG00000112304	0.238	0.530	   -4.904
ENSG00000136999	0.126	0.527	   10.436
ENSG00000089693	0.523	0.525	   -4.082
ENSG00000178188	0.190	0.518	    4.728
ENSG00000196967	0.090	0.516	    0.000
ENSG00000155363	0.342	0.505	    7.756
ENSG00000074755	0.162	0.505	   -4.030
ENSG00000213514	0.284	0.500	    9.185
ENSG00000139687	0.326	0.500	    5.837
ENSG00000233885	0.070	0.494	   -4.947
ENSG00000177885	0.171	0.487	    0.000
ENSG00000152465	0.423	0.481	    4.897
ENSG00000165661	0.126	0.477	   -9.315
ENSG00000279233	0.475	0.475	    4.451
ENSG00000166532	0.192	0.474	    0.000
ENSG00000243056	0.146	0.463	    0.000
ENSG00000121594	0.121	0.458	   -4.715
ENSG00000269893	0.238	0.434	   -2.326
ENSG00000198793	0.075	0.428	   -7.724
ENSG00000260077	0.086	0.417	    0.425
ENSG00000072682	0.011	0.416	  -12.235
ENSG00000134825	0.251	0.411	    7.155
ENSG00000092108	0.202	0.406	    5.265
ENSG00000185963	0.306	0.405	    8.633
ENSG00000111328	0.138	0.404	   12.768
ENSG00000118420	0.082	0.404	    0.000
ENSG00000165119	0.077	0.402	    0.000
ENSG00000198160	0.246	0.397	    5.754
ENSG00000271151	0.327	0.396	    0.000
ENSG00000177025	0.394	0.395	   -2.691
ENSG00000182923	0.098	0.393	   -8.485
ENSG00000270951	0.386	0.387	   -7.353
ENSG00000251417	0.107	0.386	    4.819
ENSG00000159592	0.045	0.382	    6.840
ENSG00000126246	0.190	0.372	    0.000
ENSG00000239713	0.371	0.371	   -5.993
ENSG00000233266	0.169	0.370	    6.424
ENSG00000275437	0.157	0.369	    5.484
ENSG00000135469	0.160	0.367	    0.000
ENSG00000100281	0.105	0.365	    0.000
ENSG00000260257	0.125	0.364	   -4.830
ENSG00000176909	0.067	0.359	   -2.663
ENSG00000137261	0.123	0.357	   -4.855
ENSG00000140455	0.229	0.356	    0.000
ENSG00000152778	0.220	0.354	    4.078
ENSG00000196932	0.198	0.354	    3.626
ENSG00000253595	0.281	0.353	    5.915
ENSG00000140577	0.110	0.352	    5.683
ENSG00000188603	0.139	0.347	   -4.823
ENSG00000151422	0.129	0.345	    0.000
ENSG00000259520	0.060	0.339	    1.191
ENSG00000240032	0.112	0.339	   -1.106
ENSG00000183150	0.163	0.334	    0.000
ENSG00000163354	0.315	0.326	    0.000
ENSG00000234329	0.080	0.325	   -7.010
ENSG00000228035	0.071	0.323	   -1.775
ENSG00000171786	0.122	0.318	    3.700
ENSG00000235381	0.244	0.311	    5.558
ENSG00000113916	0.128	0.310	    0.000
ENSG00000103253	0.305	0.306	  -11.184
ENSG00000106153	0.125	0.299	   -1.461
ENSG00000152763	0.162	0.297	    0.000
ENSG00000174989	0.209	0.295	    7.745
ENSG00000277619	0.073	0.295	    0.000
ENSG00000198879	0.158	0.294	    0.000
ENSG00000146729	0.272	0.293	    4.093
ENSG00000181222	0.026	0.287	    0.000
ENSG00000223547	0.146	0.286	    0.000
ENSG00000276070	0.028	0.285	   -1.405
ENSG00000110944	0.138	0.285	   -7.939
ENSG00000150526	0.141	0.284	    4.700
ENSG00000088854	0.041	0.284	   -5.149
ENSG00000050165	0.143	0.275	    1.425
ENSG00000169683	0.195	0.274	   -7.579
ENSG00000260260	0.005	0.272	    0.000
ENSG00000170266	0.171	0.272	    0.000
ENSG00000137714	0.105	0.268	    0.171
ENSG00000116032	0.266	0.266	    4.196
ENSG00000265678	0.029	0.265	    0.000
ENSG00000104936	0.115	0.263	   -6.271
ENSG00000159588	0.074	0.261	    0.000
ENSG00000183682	0.156	0.256	   -0.637
ENSG00000157653	0.176	0.256	   -6.309
ENSG00000260796	0.073	0.254	    0.000
ENSG00000166478	0.078	0.253	    1.749
ENSG00000139132	0.094	0.253	    0.129
ENSG00000262877	0.206	0.253	    2.550
ENSG00000184007	0.062	0.250	    0.000
ENSG00000103811	0.247	0.248	    2.884
ENSG00000232956	0.109	0.248	    4.092
ENSG00000188157	0.222	0.246	    5.089
ENSG00000276449	0.160	0.244	   -4.107
ENSG00000153094	0.022	0.243	    3.975
ENSG00000177045	0.106	0.243	    5.870
ENSG00000164244	0.114	0.239	    4.620
ENSG00000148943	0.217	0.238	   -4.409
ENSG00000135597	0.057	0.238	    5.449
ENSG00000160055	0.097	0.237	    0.000
ENSG00000260231	0.115	0.235	    0.000
ENSG00000228716	0.228	0.234	   -3.937
ENSG00000242142	0.138	0.234	   13.652
ENSG00000156603	0.232	0.232	   -2.039
ENSG00000010438	0.161	0.230	    5.437
ENSG00000107443	0.023	0.230	    0.000
ENSG00000205356	0.031	0.227	   -3.233
ENSG00000122870	0.042	0.225	    0.000
ENSG00000135596	0.070	0.224	    0.000
ENSG00000162738	0.111	0.217	   -1.105
ENSG00000271806	0.088	0.217	    0.000
ENSG00000261652	0.055	0.214	    4.127
ENSG00000259982	0.066	0.214	   -4.898
ENSG00000085719	0.143	0.211	   -4.209
ENSG00000139190	0.143	0.209	   -3.920
ENSG00000196296	0.092	0.208	    0.000
ENSG00000105668	0.208	0.208	   -4.841
ENSG00000149679	0.071	0.207	    5.269
ENSG00000137860	0.060	0.207	   -3.079
ENSG00000142694	0.203	0.206	   -3.528
ENSG00000228412	0.127	0.206	    0.000
ENSG00000102858	0.018	0.205	    6.280
ENSG00000172613	0.004	0.203	   19.619
ENSG00000113318	0.008	0.203	    0.337
ENSG00000124541	0.039	0.202	    0.000
ENSG00000135211	0.093	0.199	    4.615
ENSG00000254088	0.068	0.198	    3.509
ENSG00000163161	0.047	0.197	    4.976
ENSG00000186230	0.113	0.196	    4.149
ENSG00000073050	0.102	0.196	   -3.194
ENSG00000120693	0.195	0.195	   -4.856
ENSG00000262454	0.180	0.195	    0.000
ENSG00000105173	0.064	0.193	    0.000
ENSG00000101596	0.163	0.190	    4.395
ENSG00000141664	0.037	0.189	    3.579
ENSG00000235423	0.054	0.188	   12.246
ENSG00000140575	0.118	0.188	   -4.207
ENSG00000185808	0.147	0.188	   -4.643
ENSG00000166436	0.147	0.187	   -3.220
ENSG00000203872	0.044	0.186	   -3.683
ENSG00000083097	0.145	0.185	    6.881
ENSG00000185684	0.175	0.184	    4.013
ENSG00000115446	0.074	0.184	    4.739
ENSG00000134152	0.066	0.183	    0.000
ENSG00000121775	0.110	0.181	    6.945
ENSG00000267169	0.029	0.180	    0.000
ENSG00000196526	0.003	0.179	   -4.153
ENSG00000272223	0.118	0.178	   -3.448
ENSG00000276651	0.113	0.178	    0.000
ENSG00000176102	0.178	0.178	    0.000
ENSG00000261766	0.059	0.177	    0.000
ENSG00000107779	0.105	0.176	   -4.469
ENSG00000266256	0.095	0.176	    0.000
ENSG00000078237	0.175	0.175	   -3.701
ENSG00000178952	0.170	0.174	   -4.931
ENSG00000279982	0.036	0.173	    0.000
ENSG00000005189	0.066	0.170	    0.000
ENSG00000160396	0.096	0.170	    0.000
ENSG00000244586	0.033	0.169	    0.000
ENSG00000104885	0.010	0.168	    0.000
ENSG00000125247	0.137	0.168	    5.181
ENSG00000136197	0.066	0.168	   -4.523
ENSG00000275830	0.146	0.167	    3.707
ENSG00000168803	0.131	0.166	   -0.782
ENSG00000198535	0.029	0.166	    0.000
ENSG00000253688	0.028	0.165	    0.000
ENSG00000013810	0.035	0.165	   -1.182
ENSG00000136824	0.078	0.164	   -3.580
ENSG00000213523	0.051	0.164	   -4.323
ENSG00000261019	0.084	0.162	    4.556
ENSG00000127947	0.065	0.161	    3.347
ENSG00000196262	0.095	0.161	    3.258
ENSG00000176623	0.094	0.160	    1.890
ENSG00000267114	0.015	0.160	    0.000
ENSG00000051825	0.029	0.160	  -11.776
ENSG00000111877	0.041	0.160	    2.259
ENSG00000261051	0.021	0.159	    0.000
ENSG00000119471	0.052	0.159	    0.000
ENSG00000165548	0.058	0.158	    3.478
ENSG00000129055	0.102	0.158	   -8.395
ENSG00000141627	0.143	0.157	  -14.492
ENSG00000132953	0.016	0.157	   -2.995
ENSG00000273507	0.061	0.155	    0.000
ENSG00000196993	0.030	0.155	    4.834
ENSG00000218537	0.129	0.155	   -3.277
ENSG00000118094	0.003	0.152	   -4.014
ENSG00000173226	0.056	0.151	    2.370
ENSG00000273456	0.112	0.151	    6.517
ENSG00000178209	0.073	0.150	  -12.098
ENSG00000123843	0.147	0.148	    0.000
ENSG00000099977	0.061	0.147	    3.344
ENSG00000136542	0.051	0.146	    0.000
ENSG00000262223	0.036	0.145	    0.000
ENSG00000275088	0.113	0.144	    4.078
ENSG00000118263	0.058	0.142	    0.000
ENSG00000160051	0.057	0.142	    0.000
ENSG00000146278	0.101	0.140	    0.000
ENSG00000269397	0.023	0.139	    2.662
ENSG00000278982	0.006	0.139	    0.000
ENSG00000112367	0.005	0.138	   -6.439
ENSG00000081377	0.023	0.138	    0.000
ENSG00000184897	0.080	0.137	    0.000
ENSG00000152359	0.080	0.137	    4.151
ENSG00000224843	0.084	0.133	   10.419
ENSG00000134852	0.092	0.133	   -4.960
ENSG00000173744	0.020	0.132	    2.251
ENSG00000273295	0.086	0.132	   -3.243
ENSG00000095015	0.036	0.131	    0.000
ENSG00000070950	0.109	0.131	    5.789
ENSG00000107882	0.015	0.129	    0.000
ENSG00000108799	0.008	0.129	    0.000
ENSG00000124203	0.009	0.129	    0.000
ENSG00000103154	0.033	0.128	    0.000
ENSG00000146733	0.075	0.126	    5.956
ENSG00000170892	0.051	0.125	    3.729
ENSG00000257740	0.067	0.125	    0.000
ENSG00000257279	0.043	0.124	    0.000
ENSG00000170889	0.122	0.123	   -0.777
ENSG00000134508	0.031	0.123	    0.000
ENSG00000159202	0.002	0.122	    0.000
ENSG00000254944	0.038	0.120	    0.000
ENSG00000258260	0.045	0.120	    0.000
ENSG00000151914	0.048	0.119	    0.000
ENSG00000009790	0.027	0.119	    3.360
ENSG00000116198	0.085	0.118	    4.450
ENSG00000159263	0.080	0.117	    0.000
ENSG00000227214	0.009	0.117	    0.000
ENSG00000170430	0.105	0.117	   -3.732
ENSG00000182013	0.037	0.115	   -0.620
ENSG00000170634	0.115	0.115	   -5.082
ENSG00000108604	0.007	0.115	    0.000
ENSG00000140961	0.074	0.114	   -3.568
ENSG00000170802	0.114	0.114	    4.365
ENSG00000272156	0.044	0.113	   -2.345
ENSG00000177839	0.044	0.112	    5.429
ENSG00000233351	0.006	0.110	    0.000
ENSG00000131242	0.007	0.110	    0.000
ENSG00000168936	0.021	0.110	   -5.146
ENSG00000174106	0.025	0.109	    8.621
ENSG00000106868	0.065	0.109	   -4.360
ENSG00000281162	0.068	0.108	    4.987
ENSG00000099974	0.072	0.106	    3.235
ENSG00000133433	0.094	0.106	    1.945
ENSG00000171798	0.077	0.105	    0.612
ENSG00000229519	0.015	0.105	    0.000
ENSG00000234281	0.026	0.104	    0.000
ENSG00000062485	0.026	0.102	    0.000
ENSG00000178966	0.086	0.102	    8.408
ENSG00000146054	0.100	0.102	    4.518
ENSG00000273176	0.021	0.101	    0.000
ENSG00000266969	0.042	0.101	    0.000
ENSG00000233384	0.019	0.101	    0.000
ENSG00000137575	0.038	0.101	    0.000
ENSG00000162923	0.018	0.100	    0.000
ENSG00000055483	0.042	0.099	    6.704
ENSG00000114790	0.073	0.098	   -4.042
ENSG00000028116	0.066	0.097	    0.000
ENSG00000167595	0.082	0.096	    4.549
ENSG00000143198	0.062	0.096	   -4.662
ENSG00000163520	0.025	0.096	    0.000
ENSG00000136710	0.065	0.094	   -3.259
ENSG00000275481	0.020	0.093	    0.000
ENSG00000081148	0.041	0.092	    0.000
ENSG00000085415	0.026	0.092	    0.000
ENSG00000006125	0.048	0.092	    0.000
ENSG00000176155	0.070	0.092	   -5.943
ENSG00000239402	0.027	0.092	    0.000
ENSG00000225282	0.069	0.092	   -3.231
ENSG00000145216	0.042	0.092	    0.000
ENSG00000215529	0.061	0.090	    0.000
ENSG00000163945	0.090	0.090	    8.564
ENSG00000238181	0.039	0.090	    0.000
ENSG00000136238	0.033	0.089	   -3.779
ENSG00000272787	0.059	0.089	    2.804
ENSG00000168488	0.026	0.089	    0.000
ENSG00000070831	0.001	0.088	   -8.190
ENSG00000237440	0.055	0.088	    3.173
ENSG00000091542	0.031	0.087	    4.149
ENSG00000031691	0.038	0.087	   -2.780
ENSG00000267765	0.003	0.086	    0.000
ENSG00000154548	0.080	0.085	    0.000
ENSG00000074582	0.043	0.085	    0.000
ENSG00000126267	0.084	0.084	    4.454
ENSG00000272109	0.056	0.084	    3.066
ENSG00000111752	0.036	0.084	    2.795
ENSG00000135473	0.020	0.083	    0.000
ENSG00000130956	0.024	0.083	   13.203
ENSG00000246339	0.043	0.083	   -0.500
ENSG00000245573	0.054	0.082	    3.190
ENSG00000272183	0.034	0.082	   -4.340
ENSG00000270210	0.018	0.082	    5.157
ENSG00000226026	0.065	0.082	   -3.439
ENSG00000077348	0.008	0.082	   -6.137
ENSG00000159708	0.026	0.082	    0.000
ENSG00000213047	0.020	0.081	    2.274
ENSG00000240972	0.069	0.081	   -3.237
ENSG00000179528	0.029	0.080	   -4.101
ENSG00000027001	0.029	0.080	   -0.435
ENSG00000204876	0.042	0.079	    2.611
ENSG00000129467	0.079	0.079	   -9.809
ENSG00000269918	0.025	0.079	    3.477
ENSG00000197142	0.071	0.079	    3.587
ENSG00000205913	0.009	0.078	    0.000
ENSG00000159713	0.022	0.078	    0.000
ENSG00000161265	0.071	0.078	    2.481
ENSG00000136828	0.024	0.078	    0.000
ENSG00000213967	0.020	0.078	    0.000
ENSG00000270116	0.023	0.077	    3.814
ENSG00000178301	0.020	0.077	   -2.021
ENSG00000242247	0.010	0.076	    5.388
ENSG00000227579	0.076	0.076	    0.000
ENSG00000213160	0.037	0.076	   -0.623
ENSG00000113083	0.052	0.074	    0.000
ENSG00000121988	0.072	0.074	   -5.919
ENSG00000214184	0.021	0.074	    3.225
ENSG00000185745	0.044	0.074	    0.000
ENSG00000272894	0.062	0.074	   -3.279
ENSG00000271840	0.011	0.073	    0.000
ENSG00000170448	0.073	0.073	    3.278
ENSG00000235298	0.021	0.073	    0.000
ENSG00000259081	0.032	0.073	    0.000
ENSG00000170919	0.072	0.073	    0.329
ENSG00000188171	0.013	0.072	   -2.480
ENSG00000136352	0.020	0.072	    0.000
ENSG00000189292	0.005	0.072	    0.000
ENSG00000272468	0.035	0.071	    0.000
ENSG00000186148	0.070	0.070	    4.002
ENSG00000270638	0.017	0.070	    0.000
ENSG00000189212	0.006	0.070	    0.000
ENSG00000261123	0.002	0.069	    0.000
