Gene	GRCP	GLCP	TWAS_z
ENSG00000163703	1.000	1.000	   12.135
ENSG00000043591	0.884	1.000	   -6.397
ENSG00000198945	0.999	0.999	  -15.677
ENSG00000183741	0.745	0.998	    7.223
ENSG00000238142	0.282	0.997	    4.243
ENSG00000235725	0.499	0.995	   -7.133
ENSG00000235927	0.078	0.995	  -10.465
ENSG00000113389	0.928	0.995	   16.831
ENSG00000226317	0.540	0.994	   -1.093
ENSG00000103253	0.260	0.986	   12.978
ENSG00000248677	0.361	0.984	    6.785
ENSG00000277791	0.983	0.983	   10.024
ENSG00000281920	0.541	0.981	   -3.122
ENSG00000157045	0.441	0.980	    6.351
ENSG00000069011	0.623	0.980	  -13.313
ENSG00000163357	0.944	0.975	   -3.172
ENSG00000214189	0.315	0.975	   -9.537
ENSG00000204183	0.003	0.972	  -30.343
ENSG00000176472	0.481	0.970	   -7.075
ENSG00000259240	0.059	0.970	   -9.744
ENSG00000073050	0.589	0.970	   -5.602
ENSG00000101417	0.770	0.970	  -15.807
ENSG00000170954	0.836	0.965	    3.505
ENSG00000116883	0.809	0.951	    7.131
ENSG00000166913	0.286	0.951	    6.047
ENSG00000197935	0.074	0.946	    9.899
ENSG00000105538	0.578	0.945	    5.192
ENSG00000108639	0.928	0.944	    5.055
ENSG00000112941	0.470	0.941	   -6.594
ENSG00000107249	0.527	0.938	    2.388
ENSG00000020577	0.342	0.935	    8.237
ENSG00000183431	0.072	0.932	   -9.021
ENSG00000149257	0.746	0.927	  -14.652
ENSG00000134363	0.122	0.926	   -5.401
ENSG00000119147	0.803	0.925	    5.998
ENSG00000198879	0.725	0.923	    5.420
ENSG00000171824	0.141	0.922	   -3.931
ENSG00000170175	0.230	0.917	   -6.848
ENSG00000143493	0.006	0.916	   -2.887
ENSG00000162869	0.878	0.916	    5.484
ENSG00000108799	0.293	0.915	   -6.678
ENSG00000112977	0.868	0.904	    5.030
ENSG00000122912	0.898	0.901	    8.377
ENSG00000251602	0.013	0.900	   -5.671
ENSG00000234235	0.207	0.899	   -3.875
ENSG00000069275	0.719	0.895	   -8.982
ENSG00000145386	0.493	0.890	   -7.645
ENSG00000224077	0.888	0.888	    5.551
ENSG00000159202	0.013	0.884	  -13.046
ENSG00000184185	0.205	0.880	   13.265
ENSG00000168676	0.433	0.879	    9.184
ENSG00000198860	0.265	0.878	   -1.438
ENSG00000233016	0.871	0.871	   -5.713
ENSG00000107959	0.857	0.858	    4.974
ENSG00000243176	0.186	0.849	    9.098
ENSG00000072682	0.848	0.848	  -17.186
ENSG00000183386	0.166	0.847	   -9.801
ENSG00000238181	0.313	0.830	   -8.057
ENSG00000224251	0.514	0.828	   -2.683
ENSG00000177963	0.288	0.821	    1.579
ENSG00000277619	0.273	0.808	  -14.110
ENSG00000149485	0.807	0.807	   -7.415
ENSG00000178209	0.102	0.806	  -12.284
ENSG00000155545	0.278	0.800	   -8.529
ENSG00000130177	0.510	0.797	    8.338
ENSG00000142694	0.777	0.796	   -7.085
ENSG00000237979	0.728	0.796	   -7.351
ENSG00000103150	0.164	0.791	    1.907
ENSG00000134222	0.499	0.789	   -3.999
ENSG00000155542	0.576	0.785	   -8.880
ENSG00000109667	0.166	0.785	    5.384
ENSG00000225230	0.434	0.776	   -8.507
ENSG00000254678	0.775	0.775	    5.470
ENSG00000275437	0.774	0.774	    3.543
ENSG00000248098	0.009	0.772	    4.667
ENSG00000239713	0.565	0.771	   -6.215
ENSG00000227214	0.107	0.764	  -12.516
ENSG00000281026	0.479	0.757	    7.224
ENSG00000204709	0.019	0.755	   10.772
ENSG00000171150	0.296	0.754	    4.724
ENSG00000183150	0.372	0.749	    9.126
ENSG00000204054	0.274	0.747	   -0.820
ENSG00000185519	0.312	0.741	    3.621
ENSG00000271151	0.616	0.735	   -7.164
ENSG00000135698	0.355	0.735	   -7.815
ENSG00000100077	0.524	0.735	   -4.299
ENSG00000169696	0.593	0.729	   -7.427
ENSG00000271828	0.271	0.729	    8.358
ENSG00000197050	0.199	0.722	    7.593
ENSG00000146054	0.553	0.721	    2.272
ENSG00000196502	0.076	0.717	    2.625
ENSG00000229800	0.242	0.713	    7.053
ENSG00000123737	0.433	0.712	   -4.758
ENSG00000228643	0.163	0.711	    7.066
ENSG00000005189	0.149	0.711	    2.682
ENSG00000171217	0.204	0.710	   -7.350
ENSG00000166971	0.040	0.698	  -11.335
ENSG00000166603	0.085	0.694	  -11.105
ENSG00000151632	0.694	0.694	   10.291
ENSG00000136542	0.450	0.691	   -2.599
ENSG00000187134	0.528	0.689	   -9.856
ENSG00000035115	0.243	0.688	    0.000
ENSG00000109466	0.073	0.687	    0.993
ENSG00000260257	0.548	0.685	   -3.400
ENSG00000215529	0.498	0.685	   -4.923
ENSG00000132437	0.001	0.684	   -4.345
ENSG00000267583	0.360	0.679	   -3.494
ENSG00000168813	0.396	0.678	   -3.727
ENSG00000251596	0.101	0.673	    4.188
ENSG00000115419	0.266	0.672	   -5.077
ENSG00000124198	0.064	0.666	   13.775
ENSG00000142233	0.066	0.664	    3.532
ENSG00000163702	0.662	0.662	    0.393
ENSG00000273483	0.310	0.661	    7.825
ENSG00000140961	0.368	0.655	   -1.357
ENSG00000168101	0.654	0.654	   -7.910
ENSG00000273619	0.638	0.651	   -3.313
ENSG00000132915	0.335	0.650	   -5.514
ENSG00000229251	0.136	0.649	   -5.085
ENSG00000250900	0.563	0.644	    5.272
ENSG00000152705	0.031	0.639	  -13.689
ENSG00000235481	0.140	0.634	    5.206
