Gene	GRCP	GLCP	TWAS_z
ENSG00000163703	0.999	0.999	   13.078
ENSG00000103245	0.895	0.995	  -13.821
ENSG00000163935	0.289	0.993	   13.903
ENSG00000183386	0.324	0.993	  -10.019
ENSG00000103253	0.343	0.984	  -12.428
ENSG00000183520	0.834	0.975	  -10.428
ENSG00000269894	0.973	0.973	   13.135
ENSG00000272354	0.553	0.959	    7.289
ENSG00000126464	0.397	0.935	   -6.260
ENSG00000177951	0.866	0.922	    5.540
ENSG00000233016	0.922	0.922	   -5.753
ENSG00000116883	0.879	0.916	    7.098
ENSG00000176472	0.751	0.913	   -7.402
ENSG00000173145	0.684	0.910	    4.827
ENSG00000151632	0.535	0.891	    9.542
ENSG00000072682	0.573	0.876	  -16.589
ENSG00000131899	0.548	0.875	   -8.051
ENSG00000107959	0.820	0.866	    3.359
ENSG00000119147	0.240	0.855	    4.900
ENSG00000204978	0.269	0.849	   12.052
ENSG00000183431	0.023	0.844	   -8.842
ENSG00000239713	0.646	0.843	   -6.145
ENSG00000248514	0.608	0.820	    5.672
ENSG00000183426	0.244	0.819	    1.325
ENSG00000149927	0.303	0.818	    9.534
ENSG00000260273	0.461	0.813	    8.551
ENSG00000139187	0.224	0.806	   -4.435
ENSG00000130177	0.414	0.785	    8.164
ENSG00000231160	0.637	0.775	   -7.250
ENSG00000149485	0.257	0.774	   -7.184
ENSG00000116198	0.126	0.762	    4.364
ENSG00000146535	0.013	0.761	   22.202
ENSG00000100281	0.253	0.757	   -4.901
ENSG00000151208	0.285	0.755	    9.029
ENSG00000270424	0.138	0.749	   -4.888
ENSG00000230082	0.743	0.743	    0.000
ENSG00000234465	0.541	0.743	    7.929
ENSG00000235381	0.324	0.729	    7.250
ENSG00000281128	0.412	0.720	   -5.555
ENSG00000283602	0.503	0.710	    5.870
ENSG00000237984	0.370	0.701	   -5.516
ENSG00000260947	0.274	0.694	   -5.402
ENSG00000243795	0.089	0.692	   -7.048
ENSG00000117280	0.450	0.687	    0.000
ENSG00000146054	0.434	0.682	    5.413
ENSG00000131845	0.530	0.676	    4.699
ENSG00000271151	0.653	0.670	   -7.398
ENSG00000164855	0.250	0.653	    5.171
ENSG00000176531	0.029	0.651	   -6.089
ENSG00000182093	0.443	0.642	   -5.613
ENSG00000157578	0.447	0.635	   -4.056
ENSG00000176390	0.107	0.632	   15.329
ENSG00000257303	0.243	0.630	    7.910
ENSG00000247775	0.289	0.630	   -4.191
ENSG00000275437	0.262	0.626	    5.157
ENSG00000071967	0.052	0.620	   -8.092
ENSG00000169683	0.227	0.613	   -7.674
ENSG00000171150	0.318	0.605	    0.000
ENSG00000265678	0.117	0.604	   -6.003
ENSG00000244515	0.228	0.602	   -8.900
ENSG00000259705	0.034	0.600	    8.709
ENSG00000179119	0.385	0.586	   -7.576
ENSG00000166913	0.302	0.578	    0.000
ENSG00000275481	0.086	0.575	   -5.694
ENSG00000259982	0.176	0.574	   -4.761
ENSG00000134824	0.231	0.573	    0.000
ENSG00000278893	0.286	0.566	   -4.575
ENSG00000251417	0.179	0.564	    4.805
ENSG00000169062	0.374	0.550	    1.728
ENSG00000268678	0.295	0.544	    4.311
ENSG00000143786	0.133	0.543	    0.000
ENSG00000243176	0.166	0.528	    0.000
ENSG00000151917	0.193	0.522	   -4.561
ENSG00000142627	0.303	0.522	    0.000
ENSG00000240032	0.468	0.511	   -5.525
ENSG00000165661	0.137	0.502	  -10.874
ENSG00000188157	0.193	0.498	    0.000
ENSG00000134825	0.199	0.495	    0.000
ENSG00000279233	0.361	0.494	    4.482
ENSG00000181754	0.486	0.486	    0.000
ENSG00000276449	0.209	0.481	   -2.934
ENSG00000163933	0.145	0.479	  -13.623
ENSG00000170175	0.197	0.474	    0.000
ENSG00000228716	0.142	0.472	   -5.335
ENSG00000176593	0.231	0.469	   -3.791
ENSG00000255423	0.195	0.458	    0.000
ENSG00000156381	0.189	0.448	    0.000
ENSG00000178209	0.105	0.446	  -11.890
ENSG00000213123	0.343	0.439	    3.455
ENSG00000136731	0.398	0.436	    5.841
ENSG00000248278	0.010	0.435	    0.000
ENSG00000182264	0.095	0.430	    2.431
ENSG00000152465	0.350	0.430	    4.363
ENSG00000103811	0.260	0.423	    0.411
ENSG00000246339	0.279	0.417	   -1.937
ENSG00000250790	0.074	0.416	    0.000
ENSG00000134222	0.323	0.396	   -2.692
ENSG00000168883	0.210	0.395	    0.000
ENSG00000183682	0.324	0.391	    0.000
ENSG00000055483	0.064	0.389	    0.000
ENSG00000182923	0.125	0.377	   -8.487
ENSG00000169710	0.042	0.373	    5.871
ENSG00000198517	0.152	0.369	    0.000
ENSG00000163684	0.204	0.357	   -4.204
ENSG00000259520	0.081	0.356	    1.473
ENSG00000259251	0.055	0.355	    0.000
ENSG00000233885	0.058	0.351	    0.000
ENSG00000261051	0.135	0.345	   -4.524
ENSG00000111328	0.272	0.345	    0.000
ENSG00000267100	0.118	0.330	    0.000
ENSG00000120693	0.245	0.329	   -4.987
ENSG00000159199	0.054	0.326	    0.000
ENSG00000140577	0.083	0.325	    5.150
ENSG00000186230	0.321	0.321	    4.450
ENSG00000273619	0.044	0.320	   -4.631
ENSG00000243415	0.077	0.318	    0.000
ENSG00000135698	0.064	0.313	    0.000
ENSG00000143771	0.118	0.312	   -8.305
ENSG00000279428	0.311	0.311	    6.804
ENSG00000197050	0.061	0.310	    0.000
ENSG00000273507	0.090	0.304	    0.000
ENSG00000248890	0.127	0.300	    0.000
ENSG00000155542	0.173	0.296	   -6.804
ENSG00000215788	0.094	0.294	    0.000
ENSG00000142233	0.012	0.293	    0.000
ENSG00000235423	0.175	0.285	   12.847
ENSG00000105668	0.281	0.281	   -4.908
ENSG00000100284	0.045	0.280	    0.000
ENSG00000109180	0.105	0.279	    7.298
ENSG00000204366	0.003	0.267	    0.000
ENSG00000234329	0.104	0.267	    0.000
ENSG00000152778	0.188	0.266	    3.916
ENSG00000171680	0.178	0.266	   -4.920
ENSG00000011083	0.173	0.265	   -5.414
ENSG00000262223	0.107	0.255	   -5.879
ENSG00000250412	0.105	0.251	    1.238
ENSG00000249244	0.008	0.251	    2.937
ENSG00000105538	0.060	0.251	    0.000
ENSG00000129055	0.129	0.249	   -8.466
ENSG00000132915	0.164	0.248	    0.000
ENSG00000269893	0.163	0.247	   -4.433
ENSG00000178952	0.221	0.244	   -4.763
ENSG00000078699	0.002	0.239	    0.000
ENSG00000149679	0.233	0.233	    5.500
ENSG00000140961	0.084	0.232	    0.000
ENSG00000078237	0.231	0.231	   -3.746
ENSG00000158234	0.143	0.231	    0.000
ENSG00000117122	0.041	0.230	    0.000
ENSG00000120664	0.064	0.229	    0.000
ENSG00000233547	0.075	0.227	   -3.542
ENSG00000110536	0.038	0.226	    0.000
ENSG00000224431	0.016	0.225	    0.000
ENSG00000152763	0.124	0.224	    0.000
ENSG00000225762	0.004	0.224	    0.000
ENSG00000172613	0.009	0.221	   24.584
ENSG00000111850	0.071	0.218	    4.038
ENSG00000152359	0.111	0.216	    4.166
ENSG00000083097	0.177	0.212	    6.856
ENSG00000163161	0.087	0.212	    4.945
ENSG00000126246	0.076	0.212	    0.000
ENSG00000166971	0.011	0.212	    3.229
ENSG00000163017	0.091	0.205	    0.000
