Gene	GRCP	GLCP	TWAS_z
ENSG00000142233	0.005	0.998	   -2.817
ENSG00000067208	0.007	0.988	    5.343
ENSG00000179119	0.293	0.949	    5.872
ENSG00000138246	0.036	0.922	   -4.737
ENSG00000272221	0.006	0.891	    5.475
ENSG00000188672	0.011	0.885	   -6.324
ENSG00000204791	0.002	0.774	    0.000
ENSG00000149485	0.011	0.610	    0.000
ENSG00000084674	0.048	0.561	    0.000
ENSG00000178852	0.009	0.501	   -3.374
ENSG00000087237	0.013	0.488	    0.000
ENSG00000263293	0.005	0.424	   -5.161
ENSG00000176909	0.001	0.286	    0.000
ENSG00000132475	0.016	0.247	    0.000
ENSG00000145850	0.067	0.231	    0.000
ENSG00000119965	0.007	0.175	    3.982
ENSG00000241106	0.004	0.171	   -0.198
ENSG00000119242	0.002	0.167	    3.449
ENSG00000250091	0.004	0.137	    3.699
ENSG00000183798	0.000	0.129	    0.000
ENSG00000114023	0.002	0.111	    0.000
ENSG00000132855	0.001	0.109	    0.000
ENSG00000272182	0.000	0.109	    0.000
ENSG00000167910	0.000	0.105	    0.000
ENSG00000243431	0.001	0.095	    0.000
ENSG00000204178	0.001	0.095	    0.000
ENSG00000084734	0.002	0.082	    0.000
ENSG00000156006	0.003	0.074	    0.000
ENSG00000015520	0.011	0.069	    0.000
ENSG00000095139	0.001	0.068	    0.000
ENSG00000272758	0.001	0.066	    0.724
ENSG00000197586	0.000	0.063	    0.000
ENSG00000216775	0.031	0.062	    0.625
ENSG00000272842	0.001	0.055	   -3.612
ENSG00000173065	0.001	0.052	    0.000
ENSG00000196981	0.006	0.051	   -3.153
ENSG00000236255	0.000	0.051	   -2.268
ENSG00000224331	0.000	0.050	    0.000
ENSG00000196821	0.003	0.050	    4.065
ENSG00000115414	0.002	0.048	    0.000
ENSG00000138075	0.012	0.048	    0.000
ENSG00000134824	0.000	0.047	    4.506
ENSG00000276952	0.000	0.047	    3.134
ENSG00000120306	0.000	0.047	   -3.211
ENSG00000088205	0.002	0.046	    0.000
ENSG00000258521	0.001	0.045	    0.000
ENSG00000162676	0.000	0.043	    0.000
ENSG00000178718	0.001	0.042	    2.936
ENSG00000126001	0.002	0.041	    0.000
ENSG00000163938	0.000	0.040	    3.019
ENSG00000118096	0.001	0.039	    3.560
