Gene	GRCP	GLCP	TWAS_z
ENSG00000261701	0.155	1.000	  -11.373
ENSG00000176920	0.010	0.996	   -5.584
ENSG00000178209	0.008	0.960	    6.848
ENSG00000176909	0.002	0.947	   -5.359
ENSG00000272221	0.003	0.894	    5.389
ENSG00000149485	0.012	0.841	  -10.916
ENSG00000140830	0.439	0.817	  -10.348
ENSG00000241106	0.028	0.644	    1.091
ENSG00000178852	0.057	0.604	   -5.929
ENSG00000276790	0.004	0.462	    0.000
ENSG00000257017	0.044	0.371	   -9.782
ENSG00000204178	0.003	0.289	    0.000
ENSG00000156006	0.002	0.273	    0.000
ENSG00000149582	0.002	0.253	    3.739
ENSG00000154127	0.004	0.250	    0.000
ENSG00000243431	0.002	0.175	    0.000
ENSG00000204287	0.001	0.126	   -7.612
ENSG00000168297	0.000	0.115	    0.000
ENSG00000250091	0.002	0.104	    3.540
ENSG00000125991	0.003	0.092	    4.216
ENSG00000196821	0.004	0.076	    4.637
ENSG00000270061	0.001	0.074	    0.000
ENSG00000066084	0.002	0.070	    2.476
ENSG00000087237	0.001	0.065	    0.000
ENSG00000216775	0.011	0.065	    0.945
ENSG00000174165	0.001	0.064	   -3.503
ENSG00000188672	0.001	0.061	   -5.999
ENSG00000234127	0.000	0.056	    0.374
ENSG00000274330	0.003	0.056	    3.428
ENSG00000120306	0.000	0.055	   -3.220
ENSG00000163596	0.001	0.054	   -3.403
ENSG00000264538	0.000	0.051	   -2.458
ENSG00000134824	0.000	0.049	    0.000
ENSG00000118096	0.001	0.049	    3.570
ENSG00000198890	0.001	0.047	    3.159
ENSG00000107614	0.003	0.045	    0.000
ENSG00000270028	0.001	0.043	    3.395
ENSG00000176473	0.001	0.041	   -3.395
ENSG00000178802	0.002	0.040	   -3.892
ENSG00000095596	0.000	0.037	    0.000
ENSG00000121769	0.000	0.035	    0.000
ENSG00000138823	0.001	0.034	    0.000
ENSG00000112339	0.001	0.033	   -1.693
ENSG00000108961	0.001	0.033	    0.000
ENSG00000196981	0.003	0.032	   -1.538
ENSG00000100284	0.000	0.031	    0.000
ENSG00000280069	0.000	0.030	   -2.821
ENSG00000269997	0.000	0.029	    0.000
ENSG00000101003	0.000	0.027	    0.000
ENSG00000173065	0.000	0.027	    0.000
ENSG00000154914	0.000	0.027	    0.000
ENSG00000198075	0.000	0.027	    0.000
ENSG00000233579	0.001	0.026	    0.000
ENSG00000057608	0.001	0.025	    0.000
ENSG00000168843	0.001	0.025	    3.310
ENSG00000167397	0.000	0.025	    0.000
ENSG00000239415	0.001	0.025	   -2.050
ENSG00000223537	0.000	0.024	    3.189
ENSG00000268297	0.002	0.024	    3.498
ENSG00000145850	0.007	0.024	    0.000
ENSG00000167525	0.001	0.024	   -3.641
ENSG00000124713	0.001	0.023	   -2.809
ENSG00000255517	0.000	0.022	    0.000
ENSG00000224331	0.000	0.022	    0.000
ENSG00000174483	0.000	0.022	    0.000
ENSG00000135968	0.000	0.021	   -2.576
ENSG00000274414	0.001	0.021	    3.025
ENSG00000114904	0.000	0.020	    0.000
ENSG00000277938	0.000	0.020	   -3.841
ENSG00000263293	0.000	0.019	    0.000
ENSG00000124587	0.001	0.019	    3.268
ENSG00000156521	0.000	0.019	    3.316
ENSG00000275956	0.000	0.019	    0.000
ENSG00000158604	0.001	0.018	    0.000
ENSG00000134825	0.000	0.018	    0.000
ENSG00000114030	0.000	0.018	   -3.451
ENSG00000160285	0.000	0.018	   -0.776
ENSG00000160124	0.000	0.017	    0.000
ENSG00000117500	0.000	0.017	    3.005
ENSG00000143412	0.006	0.017	    0.000
ENSG00000117118	0.000	0.017	    0.000
ENSG00000138442	0.000	0.017	    0.000
ENSG00000164849	0.000	0.017	    0.000
ENSG00000113716	0.000	0.015	   -2.805
ENSG00000272758	0.000	0.015	    0.000
ENSG00000147454	0.001	0.015	    0.000
ENSG00000143924	0.001	0.015	    0.000
ENSG00000273493	0.000	0.015	    1.643
ENSG00000173662	0.000	0.014	    0.000
ENSG00000138161	0.001	0.014	   -3.740
ENSG00000155085	0.001	0.014	    3.247
ENSG00000224497	0.001	0.013	    3.989
ENSG00000187553	0.001	0.013	   -3.661
ENSG00000150961	0.000	0.013	    0.000
ENSG00000273226	0.001	0.013	   -3.517
ENSG00000101004	0.000	0.012	    0.000
ENSG00000108479	0.001	0.011	    0.000
ENSG00000203747	0.001	0.011	    0.000
ENSG00000156795	0.000	0.011	    2.452
ENSG00000144834	0.000	0.011	   -2.732
ENSG00000172171	0.000	0.011	   -2.700
ENSG00000142168	0.000	0.011	    0.000
ENSG00000138246	0.000	0.011	    0.000
ENSG00000100325	0.000	0.011	    0.349
ENSG00000272076	0.000	0.011	    0.000
ENSG00000229320	0.000	0.010	   -3.217
ENSG00000140474	0.000	0.010	    0.000
ENSG00000263531	0.000	0.010	    0.000
ENSG00000121766	0.000	0.010	    0.000
ENSG00000250462	0.000	0.010	    0.000
ENSG00000151376	0.000	0.010	    3.217
ENSG00000132478	0.001	0.010	    0.000
ENSG00000229124	0.000	0.009	    0.000
ENSG00000179195	0.000	0.009	    0.000
ENSG00000135596	0.000	0.009	    0.884
ENSG00000243753	0.001	0.009	    2.820
ENSG00000260000	0.000	0.009	    2.708
ENSG00000177076	0.000	0.009	    0.000
ENSG00000204632	0.000	0.009	   -1.933
ENSG00000168496	0.000	0.009	    0.000
ENSG00000229097	0.000	0.008	    0.000
ENSG00000172818	0.000	0.008	    3.213
ENSG00000176208	0.000	0.008	    0.000
ENSG00000162408	0.000	0.008	    0.000
ENSG00000172009	0.000	0.008	    0.000
ENSG00000205143	0.000	0.008	   -3.139
ENSG00000215424	0.000	0.008	   -0.423
ENSG00000254924	0.000	0.008	    2.359
ENSG00000078304	0.000	0.008	   -2.808
ENSG00000271730	0.000	0.008	    0.000
ENSG00000101246	0.000	0.008	    3.004
ENSG00000197114	0.000	0.008	    0.000
ENSG00000086991	0.000	0.008	    0.000
ENSG00000154175	0.001	0.008	    0.000
ENSG00000228022	0.000	0.008	    1.292
ENSG00000270130	0.000	0.007	    0.000
ENSG00000172403	0.000	0.007	    0.000
ENSG00000183726	0.000	0.007	   -6.195
ENSG00000258521	0.000	0.007	    0.000
ENSG00000013573	0.000	0.007	   -2.743
ENSG00000227124	0.000	0.007	   -2.943
ENSG00000146530	0.000	0.007	   -0.190
