Gene	GRCP	GLCP	TWAS_z
ENSG00000261701	0.194	0.997	  -11.370
ENSG00000142233	0.064	0.993	   -4.421
ENSG00000119927	0.024	0.970	    4.891
ENSG00000205978	0.139	0.956	    7.416
ENSG00000241106	0.062	0.840	    1.786
ENSG00000140830	0.203	0.788	    0.000
ENSG00000134824	0.003	0.635	    0.000
ENSG00000276790	0.006	0.485	    5.437
ENSG00000100284	0.004	0.482	   -4.155
ENSG00000100281	0.003	0.432	    4.117
ENSG00000109917	0.009	0.384	    2.486
ENSG00000138823	0.010	0.382	    3.679
ENSG00000204178	0.003	0.308	   -6.300
ENSG00000225217	0.004	0.268	    0.000
ENSG00000130204	0.007	0.217	  -32.866
ENSG00000129933	0.002	0.213	   -0.514
ENSG00000007944	0.007	0.201	   -6.727
ENSG00000130164	0.004	0.198	    0.000
ENSG00000263293	0.001	0.189	    2.424
ENSG00000243431	0.002	0.173	   -3.638
ENSG00000110080	0.002	0.170	   -7.370
ENSG00000076003	0.001	0.138	   -2.596
ENSG00000121766	0.001	0.133	   -3.738
ENSG00000154127	0.002	0.127	    0.000
ENSG00000178977	0.014	0.124	    0.000
ENSG00000204287	0.001	0.122	   -7.733
ENSG00000095139	0.002	0.116	    3.727
ENSG00000138246	0.001	0.109	    1.198
ENSG00000113971	0.000	0.107	    0.997
ENSG00000231113	0.002	0.107	    3.207
ENSG00000066084	0.001	0.103	    0.000
ENSG00000262766	0.005	0.100	   -3.872
ENSG00000178209	0.000	0.098	    6.061
ENSG00000196981	0.016	0.096	   -2.153
ENSG00000143921	0.017	0.096	    0.000
ENSG00000270048	0.001	0.094	    0.000
ENSG00000095596	0.001	0.089	    0.000
ENSG00000103507	0.003	0.085	   -3.677
ENSG00000118096	0.001	0.080	    2.456
ENSG00000132855	0.000	0.078	    0.000
ENSG00000235545	0.000	0.075	    0.000
ENSG00000125991	0.003	0.075	    3.977
ENSG00000149582	0.002	0.072	    3.746
ENSG00000283317	0.008	0.066	    2.292
ENSG00000149485	0.000	0.063	  -10.869
ENSG00000258951	0.005	0.059	    0.000
ENSG00000203910	0.001	0.057	   -4.621
ENSG00000270941	0.000	0.057	    0.000
ENSG00000109118	0.001	0.054	    0.000
ENSG00000250069	0.001	0.053	    1.975
ENSG00000117614	0.000	0.053	    0.000
ENSG00000114904	0.000	0.052	    2.866
ENSG00000124664	0.002	0.051	   -4.138
ENSG00000118369	0.002	0.051	    2.028
ENSG00000135100	0.006	0.051	    0.000
ENSG00000250091	0.002	0.051	    3.520
ENSG00000114030	0.001	0.050	   -2.540
ENSG00000265443	0.000	0.047	   -2.763
ENSG00000270061	0.000	0.046	    0.000
ENSG00000134825	0.002	0.045	    0.000
ENSG00000140105	0.002	0.045	    2.992
ENSG00000174165	0.001	0.044	   -3.475
ENSG00000198890	0.001	0.044	    3.277
ENSG00000105877	0.000	0.043	    0.000
ENSG00000228432	0.000	0.042	   -4.137
ENSG00000264538	0.000	0.042	   -2.864
ENSG00000057608	0.001	0.042	   -3.586
ENSG00000224079	0.001	0.042	    2.964
ENSG00000273176	0.000	0.039	    0.000
ENSG00000258666	0.002	0.038	    3.710
ENSG00000272288	0.005	0.037	    0.000
ENSG00000244682	0.001	0.037	    0.000
ENSG00000111816	0.000	0.036	   -3.251
ENSG00000273487	0.000	0.035	    3.929
ENSG00000163938	0.000	0.035	    2.997
ENSG00000150961	0.000	0.035	    2.375
ENSG00000270130	0.000	0.035	    0.000
ENSG00000163463	0.001	0.034	    3.196
ENSG00000280069	0.000	0.034	   -2.733
ENSG00000242439	0.000	0.034	    0.000
ENSG00000157895	0.000	0.034	    2.083
ENSG00000265791	0.000	0.034	   -3.409
ENSG00000178802	0.000	0.033	   -2.630
ENSG00000120306	0.000	0.033	   -3.183
ENSG00000260257	0.000	0.033	   -1.012
ENSG00000167525	0.001	0.033	   -3.677
ENSG00000100997	0.000	0.033	   -3.495
ENSG00000272950	0.005	0.032	   -3.404
ENSG00000060688	0.000	0.032	   -1.720
ENSG00000272758	0.001	0.032	    0.000
ENSG00000198075	0.000	0.031	   -2.976
ENSG00000163596	0.000	0.031	    0.000
ENSG00000233579	0.001	0.030	    0.000
ENSG00000147485	0.000	0.030	   -3.099
ENSG00000173064	0.001	0.029	    5.291
ENSG00000229447	0.001	0.029	   -3.343
ENSG00000162408	0.000	0.029	    0.000
ENSG00000243753	0.000	0.029	   -0.718
ENSG00000214078	0.000	0.028	   -3.057
ENSG00000223745	0.001	0.028	    2.749
ENSG00000119242	0.000	0.027	    0.000
ENSG00000149179	0.000	0.027	    1.635
ENSG00000112365	0.000	0.027	    0.000
ENSG00000274414	0.000	0.027	    3.170
ENSG00000173065	0.000	0.027	    0.000
ENSG00000198242	0.001	0.027	    0.000
ENSG00000263603	0.000	0.027	   -2.708
ENSG00000198952	0.001	0.026	    3.170
ENSG00000074319	0.000	0.026	    0.000
ENSG00000138442	0.001	0.025	    0.000
ENSG00000125804	0.000	0.025	    1.977
ENSG00000092929	0.000	0.024	    0.000
ENSG00000275956	0.000	0.024	    2.948
ENSG00000269763	0.002	0.024	   -1.574
ENSG00000123268	0.000	0.024	    0.000
ENSG00000010319	0.000	0.024	    0.000
ENSG00000068885	0.000	0.023	    3.252
ENSG00000158604	0.000	0.023	   -8.016
ENSG00000268297	0.002	0.023	    1.997
ENSG00000145850	0.005	0.022	    0.000
ENSG00000185250	0.000	0.022	    0.244
ENSG00000213186	0.000	0.022	    3.083
ENSG00000103653	0.001	0.021	   -2.875
ENSG00000168300	0.000	0.021	   -2.917
ENSG00000115414	0.001	0.020	    0.000
ENSG00000129083	0.000	0.020	    2.612
ENSG00000276952	0.000	0.020	    3.009
ENSG00000103510	0.006	0.020	   -3.602
ENSG00000113716	0.000	0.020	   -2.729
ENSG00000126001	0.000	0.020	    0.000
ENSG00000172009	0.001	0.019	   -2.044
ENSG00000273493	0.000	0.019	    0.000
ENSG00000156521	0.000	0.019	    2.738
ENSG00000244462	0.001	0.019	    0.000
ENSG00000269938	0.000	0.018	    0.000
ENSG00000162676	0.000	0.018	    0.000
ENSG00000112249	0.000	0.018	   -3.108
ENSG00000184060	0.000	0.018	    2.733
ENSG00000176473	0.001	0.018	   -2.950
ENSG00000227379	0.000	0.017	   -2.843
ENSG00000178175	0.000	0.017	    0.000
ENSG00000272076	0.000	0.017	    0.000
ENSG00000239415	0.000	0.017	   -3.177
ENSG00000167397	0.000	0.016	    0.000
ENSG00000187553	0.001	0.016	   -3.876
ENSG00000278967	0.000	0.016	    0.000
ENSG00000248746	0.000	0.016	    0.000
ENSG00000084628	0.000	0.016	    0.000
ENSG00000258521	0.000	0.016	   -2.265
ENSG00000155085	0.001	0.016	    2.739
ENSG00000175920	0.003	0.015	   -3.495
ENSG00000131051	0.000	0.015	    0.000
ENSG00000163939	0.000	0.015	    0.000
ENSG00000269997	0.000	0.015	    0.000
ENSG00000169756	0.000	0.015	    2.467
ENSG00000134222	0.000	0.015	    4.217
ENSG00000139117	0.000	0.015	   -3.188
ENSG00000139323	0.000	0.015	    3.161
ENSG00000270095	0.000	0.015	    0.000
ENSG00000121769	0.001	0.015	   -2.432
ENSG00000173662	0.000	0.015	    0.000
ENSG00000224497	0.002	0.014	    4.177
ENSG00000165912	0.001	0.014	    3.243
ENSG00000127948	0.000	0.014	   -1.556
ENSG00000174547	0.000	0.014	    0.000
ENSG00000042286	0.000	0.014	   -2.757
ENSG00000213463	0.000	0.013	   -0.104
ENSG00000137312	0.000	0.013	    2.523
ENSG00000272842	0.001	0.013	   -3.510
ENSG00000033327	0.000	0.013	   -1.349
ENSG00000013573	0.000	0.013	   -2.680
ENSG00000249487	0.000	0.012	   -0.181
ENSG00000122483	0.000	0.012	    2.822
ENSG00000229519	0.000	0.012	    0.000
ENSG00000258302	0.000	0.012	    0.238
ENSG00000129071	0.000	0.011	    2.520
ENSG00000172818	0.000	0.011	    3.152
ENSG00000263531	0.000	0.011	    2.776
ENSG00000110880	0.001	0.011	    3.351
ENSG00000231074	0.000	0.011	   -1.033
ENSG00000278989	0.001	0.011	    4.042
ENSG00000163913	0.000	0.011	    2.032
ENSG00000125995	0.000	0.010	    0.000
ENSG00000105650	0.000	0.010	    3.112
ENSG00000142168	0.000	0.010	    0.000
ENSG00000104375	0.000	0.010	    0.000
ENSG00000175224	0.000	0.010	   -2.949
ENSG00000261124	0.000	0.010	    0.000
ENSG00000101004	0.000	0.010	   -2.013
ENSG00000238917	0.000	0.010	    0.000
ENSG00000172403	0.000	0.009	    0.000
ENSG00000203747	0.000	0.009	    0.000
ENSG00000145723	0.000	0.009	    1.839
ENSG00000176390	0.001	0.009	   -3.749
ENSG00000124587	0.001	0.009	    2.744
ENSG00000135862	0.000	0.009	    2.150
ENSG00000145331	0.000	0.009	    0.000
ENSG00000163935	0.000	0.009	   -2.547
ENSG00000273091	0.000	0.009	    0.000
ENSG00000280832	0.000	0.009	    0.000
ENSG00000177752	0.000	0.009	    2.233
ENSG00000197136	0.000	0.009	    3.035
ENSG00000232479	0.000	0.009	    0.000
ENSG00000246334	0.000	0.009	    0.000
ENSG00000276250	0.000	0.009	   -2.767
ENSG00000179195	0.000	0.009	   -1.907
ENSG00000196139	0.000	0.009	   -1.736
ENSG00000131899	0.000	0.009	    2.563
ENSG00000203965	0.000	0.009	   -2.296
ENSG00000172171	0.000	0.009	   -2.638
ENSG00000255520	0.000	0.009	    2.656
ENSG00000176208	0.000	0.008	    2.659
ENSG00000198625	0.000	0.008	   -2.640
ENSG00000135535	0.000	0.008	    1.370
ENSG00000183726	0.000	0.008	   -6.028
ENSG00000260000	0.000	0.008	   -2.307
ENSG00000242252	0.000	0.008	   -3.300
ENSG00000204580	0.000	0.008	    1.318
ENSG00000134574	0.000	0.008	    0.000
ENSG00000284052	0.000	0.008	    2.036
ENSG00000172478	0.000	0.008	   -2.374
ENSG00000270978	0.000	0.008	   -1.574
ENSG00000227540	0.000	0.008	   -1.748
ENSG00000138161	0.001	0.007	    0.000
ENSG00000164296	0.000	0.007	   -3.105
ENSG00000172771	0.000	0.007	   -2.339
ENSG00000178172	0.000	0.007	    0.000
ENSG00000254420	0.000	0.007	    0.000
ENSG00000179029	0.000	0.007	    0.000
ENSG00000271730	0.000	0.007	    0.000
ENSG00000122367	0.000	0.007	    2.532
ENSG00000253540	0.000	0.007	   -0.683
ENSG00000228022	0.000	0.007	    2.661
ENSG00000239257	0.001	0.007	    1.523
ENSG00000242516	0.000	0.007	   -2.802
ENSG00000101003	0.000	0.007	    0.000
ENSG00000227124	0.000	0.007	   -2.705
ENSG00000152749	0.000	0.007	   -2.598
ENSG00000125510	0.001	0.007	    3.054
ENSG00000219626	0.000	0.007	    2.165
ENSG00000142552	0.000	0.007	   -2.470
ENSG00000242247	0.000	0.007	   -2.424
ENSG00000101019	0.000	0.007	    0.000
ENSG00000223963	0.000	0.007	   -0.371
ENSG00000138363	0.000	0.007	   -2.621
ENSG00000141378	0.000	0.007	    0.000
ENSG00000231208	0.000	0.007	    0.000
ENSG00000115129	0.000	0.007	    2.074
ENSG00000153012	0.000	0.007	    0.000
ENSG00000254226	0.000	0.006	   -1.405
ENSG00000144681	0.000	0.006	   -0.701
ENSG00000230074	0.001	0.006	    2.869
ENSG00000281195	0.000	0.006	    3.468
ENSG00000135587	0.000	0.006	   -1.631
ENSG00000235812	0.000	0.006	    2.405
ENSG00000227533	0.000	0.006	   -1.993
ENSG00000101246	0.000	0.006	    2.915
ENSG00000145907	0.000	0.006	   -0.845
ENSG00000244184	0.000	0.006	    0.000
ENSG00000233654	0.000	0.006	    2.933
ENSG00000204574	0.000	0.006	    0.000
ENSG00000011021	0.000	0.006	    0.886
ENSG00000205084	0.000	0.006	    2.471
ENSG00000154582	0.000	0.006	    0.000
ENSG00000130518	0.001	0.006	   -3.259
ENSG00000145888	0.000	0.006	   -1.442
ENSG00000119326	0.000	0.006	    1.267
ENSG00000146414	0.000	0.006	   -1.787
ENSG00000196712	0.000	0.006	    0.000
ENSG00000229635	0.000	0.006	    2.507
ENSG00000173327	0.001	0.006	    3.396
ENSG00000229043	0.000	0.006	   -1.235
ENSG00000172493	0.000	0.006	    2.823
ENSG00000230939	0.000	0.006	    1.174
ENSG00000189079	0.000	0.006	    2.526
ENSG00000105926	0.000	0.006	   -2.716
ENSG00000261783	0.000	0.006	   -0.890
ENSG00000109576	0.000	0.006	   -2.550
ENSG00000229124	0.000	0.006	    2.093
ENSG00000205143	0.000	0.006	   -2.925
ENSG00000162804	0.000	0.006	   -1.955
ENSG00000188897	0.000	0.006	    2.526
ENSG00000260273	0.000	0.006	    0.000
ENSG00000254986	0.000	0.006	    0.000
ENSG00000000460	0.000	0.006	    0.212
ENSG00000224468	0.000	0.006	    2.242
ENSG00000162623	0.000	0.006	    1.805
ENSG00000249846	0.000	0.006	    1.100
ENSG00000188282	0.000	0.005	    2.920
ENSG00000205352	0.000	0.005	   -2.499
ENSG00000163491	0.000	0.005	    2.728
ENSG00000196544	0.000	0.005	    0.000
ENSG00000163281	0.000	0.005	    1.310
ENSG00000116652	0.000	0.005	   -2.516
ENSG00000052344	0.000	0.005	    2.583
ENSG00000236255	0.000	0.005	   -2.586
ENSG00000237276	0.000	0.005	   -1.172
ENSG00000204590	0.000	0.005	    0.000
ENSG00000251639	0.000	0.005	   -2.071
ENSG00000162607	0.000	0.005	    0.000
ENSG00000154845	0.000	0.005	    2.211
ENSG00000141295	0.001	0.005	   -2.938
ENSG00000090659	0.000	0.005	    0.838
ENSG00000125520	0.000	0.005	    0.272
ENSG00000156304	0.000	0.005	    0.000
ENSG00000117118	0.000	0.005	   -2.434
ENSG00000157106	0.000	0.005	   -2.263
ENSG00000033867	0.000	0.005	    0.000
ENSG00000149182	0.000	0.005	    0.000
ENSG00000104497	0.000	0.005	   -2.420
ENSG00000215704	0.000	0.005	    0.000
ENSG00000180210	0.000	0.005	   -1.516
ENSG00000177302	0.000	0.005	    2.863
ENSG00000138286	0.000	0.005	    1.680
ENSG00000049449	0.000	0.005	    0.000
ENSG00000174080	0.001	0.005	    3.308
ENSG00000128274	0.000	0.005	    2.383
ENSG00000108479	0.000	0.005	    0.000
ENSG00000253502	0.000	0.005	   -1.860
ENSG00000256092	0.000	0.005	    0.947
ENSG00000204619	0.000	0.005	   -0.624
ENSG00000100934	0.000	0.005	    2.191
ENSG00000121314	0.000	0.005	   -1.783
ENSG00000198093	0.000	0.005	   -2.041
ENSG00000173171	0.000	0.005	    0.000
ENSG00000274501	0.000	0.005	    3.115
ENSG00000133624	0.000	0.005	    2.472
ENSG00000138606	0.000	0.005	    2.273
ENSG00000255517	0.000	0.005	    0.000
ENSG00000086827	0.000	0.005	   -1.558
ENSG00000130208	0.001	0.004	    0.000
ENSG00000136717	0.000	0.004	    0.604
ENSG00000153993	0.000	0.004	   -2.924
ENSG00000251323	0.000	0.004	    3.244
ENSG00000168273	0.000	0.004	    0.000
ENSG00000217130	0.000	0.004	    0.000
ENSG00000182362	0.001	0.004	    1.359
