Gene	GRCP	GLCP	TWAS_z
ENSG00000261701	0.085	0.994	  -10.982
ENSG00000178209	0.021	0.968	    6.781
ENSG00000067208	0.006	0.887	    5.326
ENSG00000257017	0.197	0.865	  -11.475
ENSG00000241106	0.074	0.810	    1.281
ENSG00000204267	0.061	0.792	   -0.286
ENSG00000272221	0.001	0.688	   -1.281
ENSG00000140830	0.206	0.558	  -10.069
ENSG00000154127	0.004	0.510	   -3.929
ENSG00000100281	0.003	0.403	    4.108
ENSG00000113161	0.005	0.400	    0.000
ENSG00000204178	0.002	0.372	    0.000
ENSG00000140829	0.151	0.339	  -10.961
ENSG00000100284	0.002	0.332	    0.000
ENSG00000168496	0.002	0.320	    0.000
ENSG00000243431	0.002	0.231	   -3.575
ENSG00000160124	0.003	0.226	   -4.028
ENSG00000168297	0.001	0.190	    3.154
ENSG00000110880	0.001	0.186	    0.000
ENSG00000265474	0.002	0.155	    0.000
ENSG00000118369	0.002	0.153	    3.649
ENSG00000204290	0.001	0.122	   -7.398
ENSG00000263293	0.002	0.118	    0.000
ENSG00000138823	0.002	0.114	    0.000
ENSG00000122008	0.000	0.113	    0.000
ENSG00000244682	0.002	0.112	    0.000
ENSG00000114030	0.002	0.107	   -3.526
ENSG00000110756	0.001	0.102	   -1.924
ENSG00000223501	0.000	0.102	   -6.307
ENSG00000196981	0.010	0.095	   -3.286
ENSG00000205978	0.034	0.095	    5.993
ENSG00000145331	0.001	0.093	    0.000
ENSG00000174483	0.001	0.088	   -3.236
ENSG00000167394	0.002	0.086	    0.000
ENSG00000231074	0.000	0.086	   -0.438
ENSG00000174165	0.001	0.080	   -3.504
ENSG00000125991	0.005	0.076	    4.238
ENSG00000118096	0.001	0.074	    3.355
ENSG00000279812	0.027	0.071	    0.000
ENSG00000108961	0.001	0.070	    0.000
ENSG00000196700	0.002	0.069	   -3.934
ENSG00000262766	0.003	0.063	    0.000
ENSG00000114902	0.000	0.059	    0.000
ENSG00000163596	0.001	0.057	   -3.163
ENSG00000134825	0.001	0.056	   12.123
