Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.012	0.999	   20.808
ENSG00000261701	0.378	0.997	  -11.948
ENSG00000178209	0.004	0.933	    6.853
ENSG00000204178	0.003	0.923	   -6.525
ENSG00000176920	0.034	0.842	   -0.210
ENSG00000241106	0.040	0.836	    1.044
ENSG00000140830	0.192	0.757	   -8.423
ENSG00000272221	0.000	0.498	    4.112
ENSG00000168297	0.001	0.467	    3.073
ENSG00000100284	0.003	0.357	    0.000
ENSG00000130202	0.004	0.320	  -28.207
ENSG00000149485	0.002	0.298	  -11.302
ENSG00000110880	0.003	0.268	    3.263
ENSG00000149582	0.003	0.228	    2.794
ENSG00000132478	0.024	0.211	    0.000
ENSG00000015520	0.016	0.199	    0.000
ENSG00000204267	0.003	0.184	    0.651
ENSG00000154127	0.001	0.160	    0.000
ENSG00000235545	0.001	0.155	    0.000
ENSG00000269938	0.001	0.142	    0.000
ENSG00000160124	0.003	0.117	   -3.407
ENSG00000126001	0.000	0.100	   -1.633
ENSG00000272950	0.005	0.098	   -3.659
ENSG00000243431	0.001	0.097	   -3.819
ENSG00000138442	0.000	0.093	    0.000
ENSG00000196981	0.011	0.092	   -4.274
ENSG00000066084	0.004	0.089	    2.727
ENSG00000174483	0.001	0.089	   -3.512
ENSG00000167397	0.002	0.085	    0.000
ENSG00000125991	0.002	0.077	    3.952
ENSG00000095139	0.001	0.075	    0.000
ENSG00000270028	0.001	0.075	    3.334
ENSG00000224497	0.002	0.074	    4.195
ENSG00000263293	0.001	0.071	    0.000
ENSG00000176473	0.002	0.069	   -3.814
ENSG00000188672	0.001	0.066	   -5.975
ENSG00000280128	0.002	0.065	    1.348
ENSG00000095596	0.001	0.064	    0.000
ENSG00000103510	0.004	0.062	   -2.850
ENSG00000276790	0.001	0.062	    0.000
ENSG00000174165	0.001	0.062	   -3.450
ENSG00000122484	0.001	0.062	    5.565
ENSG00000134825	0.001	0.056	   11.611
ENSG00000272758	0.001	0.056	    3.010
ENSG00000163596	0.001	0.056	   -3.371
ENSG00000179195	0.000	0.053	    0.000
ENSG00000187553	0.001	0.051	   -3.880
ENSG00000178093	0.000	0.050	    0.000
ENSG00000273487	0.000	0.050	    1.943
ENSG00000121766	0.001	0.049	   -3.448
ENSG00000119242	0.000	0.048	    0.000
ENSG00000198890	0.001	0.047	    2.885
ENSG00000203910	0.001	0.047	   -2.892
ENSG00000118096	0.001	0.046	    3.530
ENSG00000114902	0.000	0.045	   -2.802
ENSG00000120306	0.000	0.044	   -3.078
ENSG00000229124	0.001	0.041	    0.000
ENSG00000255624	0.001	0.039	    0.000
ENSG00000272842	0.001	0.039	    0.000
ENSG00000274330	0.001	0.039	   -0.134
ENSG00000264538	0.000	0.038	   -2.096
ENSG00000142168	0.001	0.038	   -2.024
ENSG00000143226	0.001	0.037	    0.000
ENSG00000118369	0.000	0.037	    1.655
ENSG00000167395	0.002	0.034	   -3.490
ENSG00000185989	0.001	0.034	   -3.042
ENSG00000266490	0.000	0.034	    0.199
ENSG00000124587	0.001	0.034	    3.325
ENSG00000280069	0.000	0.032	   -2.737
ENSG00000068885	0.000	0.032	    0.000
ENSG00000174080	0.001	0.032	    3.387
ENSG00000171368	0.000	0.032	   -2.387
ENSG00000168496	0.001	0.031	    0.000
ENSG00000168843	0.000	0.031	    3.053
ENSG00000233579	0.001	0.030	    0.000
ENSG00000231074	0.000	0.030	   -0.225
ENSG00000124713	0.001	0.029	   -2.675
