Gene	GRCP	GLCP	TWAS_z
ENSG00000140830	0.343	0.999	  -12.003
ENSG00000261701	0.130	0.999	  -11.251
ENSG00000176909	0.010	0.988	   -5.530
ENSG00000257017	0.078	0.975	  -10.194
ENSG00000142233	0.002	0.932	   -5.758
ENSG00000178209	0.015	0.904	    5.183
ENSG00000134222	0.004	0.534	    7.123
ENSG00000272221	0.003	0.495	    5.474
ENSG00000100284	0.003	0.346	    0.000
ENSG00000176920	0.003	0.323	   -3.113
ENSG00000279227	0.001	0.215	    0.000
ENSG00000183726	0.000	0.183	    0.000
ENSG00000204178	0.002	0.155	    0.000
ENSG00000196981	0.007	0.149	   -4.043
ENSG00000149582	0.002	0.145	    0.000
ENSG00000075234	0.001	0.144	   -0.238
ENSG00000015520	0.018	0.130	    0.000
ENSG00000168297	0.000	0.123	    0.000
ENSG00000104447	0.000	0.114	    0.000
ENSG00000134825	0.001	0.100	    0.000
ENSG00000103510	0.004	0.093	   -2.886
ENSG00000250091	0.003	0.090	    0.000
ENSG00000188672	0.003	0.088	   -6.076
ENSG00000124587	0.002	0.085	    3.445
ENSG00000100281	0.002	0.083	    0.000
ENSG00000174165	0.001	0.083	   -3.482
ENSG00000196821	0.005	0.076	    4.065
ENSG00000114030	0.001	0.075	    0.000
ENSG00000125991	0.003	0.073	    4.150
ENSG00000129933	0.000	0.072	    0.221
ENSG00000066084	0.002	0.066	    0.000
ENSG00000224331	0.000	0.064	    0.000
ENSG00000174547	0.001	0.063	   -3.570
ENSG00000273176	0.000	0.062	    0.000
ENSG00000118096	0.001	0.059	    3.523
ENSG00000121766	0.001	0.054	   -3.262
ENSG00000187553	0.001	0.054	   -4.068
ENSG00000154127	0.001	0.048	    0.000
ENSG00000258666	0.001	0.047	    0.000
ENSG00000134824	0.000	0.046	    0.000
ENSG00000121769	0.001	0.045	    0.000
ENSG00000198890	0.002	0.045	    3.331
ENSG00000125804	0.000	0.045	    2.562
ENSG00000274330	0.001	0.043	    3.024
ENSG00000178802	0.001	0.041	   -3.075
ENSG00000180573	0.000	0.041	    0.000
ENSG00000138823	0.001	0.041	    0.000
ENSG00000185989	0.001	0.038	   -2.428
ENSG00000178719	0.000	0.038	    0.000
ENSG00000266490	0.000	0.037	    1.032
ENSG00000273487	0.000	0.035	    2.886
ENSG00000068885	0.000	0.035	    3.224
ENSG00000169242	0.000	0.034	    2.865
ENSG00000179761	0.000	0.034	    0.000
ENSG00000235545	0.000	0.032	    0.000
ENSG00000124664	0.001	0.032	    0.000
ENSG00000176390	0.000	0.032	   -2.927
ENSG00000120306	0.000	0.029	    0.000
ENSG00000272950	0.001	0.028	   -1.561
ENSG00000143924	0.001	0.028	   -3.198
ENSG00000057608	0.001	0.028	   -3.374
ENSG00000109917	0.008	0.027	    4.029
ENSG00000174483	0.000	0.027	    0.000
ENSG00000186205	0.006	0.027	    0.000
ENSG00000181524	0.000	0.027	    0.000
ENSG00000115414	0.001	0.026	    0.000
ENSG00000216775	0.008	0.025	   -0.339
ENSG00000283317	0.002	0.025	    0.000
ENSG00000168843	0.000	0.025	    0.000
ENSG00000233579	0.001	0.024	    0.000
ENSG00000263603	0.000	0.024	   -2.743
ENSG00000100997	0.000	0.023	   -3.080
ENSG00000174080	0.001	0.022	    2.937
ENSG00000076003	0.000	0.021	    0.000
ENSG00000140497	0.000	0.021	    0.000
ENSG00000275956	0.000	0.020	    2.887
ENSG00000255435	0.000	0.020	    0.000
ENSG00000280069	0.000	0.020	    0.000
ENSG00000156521	0.000	0.019	    2.982
ENSG00000239959	0.000	0.019	   -1.376
ENSG00000162676	0.000	0.019	    0.000
ENSG00000206341	0.000	0.018	   -1.379
ENSG00000106771	0.000	0.018	    0.016
ENSG00000214855	0.002	0.018	    0.000
ENSG00000268297	0.001	0.017	    3.217
ENSG00000155085	0.001	0.017	    3.381
ENSG00000260273	0.000	0.017	   -3.194
ENSG00000138380	0.000	0.016	    0.000
ENSG00000013573	0.000	0.016	   -2.759
ENSG00000228801	0.000	0.016	    0.000
ENSG00000274414	0.000	0.016	    0.000
ENSG00000125965	0.000	0.015	    1.880
ENSG00000255557	0.000	0.015	    0.000
ENSG00000132478	0.001	0.015	    0.000
ENSG00000145730	0.000	0.015	    2.341
ENSG00000270130	0.000	0.015	    0.000
ENSG00000095139	0.000	0.015	    0.000
ENSG00000263531	0.000	0.015	    2.716
ENSG00000224497	0.002	0.014	    4.202
ENSG00000239415	0.001	0.014	   -2.464
ENSG00000215424	0.000	0.014	    0.000
ENSG00000228078	0.000	0.014	   -3.350
ENSG00000174516	0.000	0.014	    0.000
ENSG00000227124	0.000	0.012	   -2.984
ENSG00000173065	0.000	0.012	    0.000
ENSG00000273493	0.000	0.012	    2.298
ENSG00000150961	0.000	0.012	    0.000
ENSG00000243422	0.000	0.012	   -1.917
ENSG00000140105	0.000	0.012	    0.000
ENSG00000139323	0.000	0.012	    0.000
ENSG00000270061	0.000	0.012	    0.000
ENSG00000198055	0.000	0.012	    0.000
ENSG00000178175	0.000	0.011	    0.000
ENSG00000169756	0.000	0.011	    2.756
ENSG00000271730	0.000	0.011	    0.000
ENSG00000177076	0.000	0.011	    0.000
ENSG00000232748	0.000	0.011	    0.000
ENSG00000176473	0.000	0.010	   -4.258
ENSG00000272135	0.000	0.010	    0.000
ENSG00000100239	0.000	0.010	   -2.416
ENSG00000244926	0.001	0.010	    0.000
ENSG00000140474	0.001	0.010	    0.000
ENSG00000281920	0.000	0.010	    3.176
ENSG00000228137	0.000	0.010	   -1.464
ENSG00000160298	0.000	0.010	   -3.079
ENSG00000223947	0.000	0.010	    0.000
ENSG00000254924	0.000	0.009	    0.000
ENSG00000167395	0.002	0.009	   -2.743
ENSG00000242252	0.000	0.009	    3.001
ENSG00000173662	0.000	0.009	    0.000
ENSG00000160781	0.001	0.009	    0.000
ENSG00000176208	0.000	0.009	    2.805
ENSG00000137154	0.000	0.009	    0.000
ENSG00000162408	0.000	0.009	    0.000
ENSG00000137312	0.000	0.009	    0.471
ENSG00000086991	0.000	0.009	   -1.455
ENSG00000130208	0.001	0.008	    0.000
ENSG00000189120	0.000	0.008	    0.000
ENSG00000142552	0.000	0.008	    2.467
ENSG00000101246	0.000	0.008	    2.888
ENSG00000160124	0.000	0.008	    0.000
ENSG00000164849	0.000	0.008	    0.000
ENSG00000007944	0.000	0.008	    0.000
ENSG00000141456	0.000	0.008	    0.000
ENSG00000269997	0.000	0.008	    0.000
ENSG00000229373	0.000	0.007	    0.000
ENSG00000124713	0.000	0.007	   -2.718
ENSG00000126001	0.000	0.007	    0.000
ENSG00000177359	0.000	0.007	    0.000
ENSG00000231074	0.000	0.007	   -0.028
ENSG00000178741	0.000	0.007	    0.000
ENSG00000112365	0.000	0.007	    0.000
ENSG00000101019	0.000	0.007	   -3.031
ENSG00000269938	0.000	0.007	    0.000
ENSG00000151806	0.000	0.007	   -1.544
ENSG00000129083	0.000	0.007	    0.000
ENSG00000161905	0.000	0.007	   -2.574
ENSG00000136819	0.000	0.007	    0.000
ENSG00000135968	0.000	0.007	    0.000
ENSG00000101004	0.000	0.007	   -3.139
ENSG00000113758	0.000	0.007	    0.000
ENSG00000246334	0.000	0.007	    0.000
ENSG00000131899	0.000	0.007	    2.538
ENSG00000002933	0.000	0.007	    0.842
ENSG00000138161	0.001	0.007	   -3.664
ENSG00000167525	0.001	0.007	   -3.595
ENSG00000130518	0.000	0.007	   -3.080
ENSG00000081665	0.001	0.007	    1.836
ENSG00000253540	0.000	0.007	   -1.391
ENSG00000131051	0.000	0.006	    0.000
ENSG00000219626	0.000	0.006	    2.044
ENSG00000254986	0.000	0.006	    0.000
ENSG00000172893	0.000	0.006	    0.000
ENSG00000077616	0.000	0.006	   -1.364
ENSG00000115129	0.000	0.006	    2.048
ENSG00000250462	0.000	0.006	    0.000
ENSG00000163596	0.000	0.006	    0.000
ENSG00000139697	0.000	0.006	    0.000
ENSG00000114904	0.000	0.006	    0.000
ENSG00000176155	0.000	0.006	    1.425
ENSG00000227533	0.000	0.006	   -1.632
ENSG00000175749	0.000	0.006	    2.093
ENSG00000102781	0.000	0.006	    2.993
ENSG00000140254	0.000	0.006	   -2.100
