Gene	GRCP	GLCP	TWAS_z
ENSG00000261701	0.518	1.000	  -12.351
ENSG00000178209	0.007	0.984	    6.793
ENSG00000276790	0.013	0.972	    5.315
ENSG00000142233	0.007	0.943	   -4.514
ENSG00000119927	0.008	0.916	    5.471
ENSG00000176920	0.002	0.891	   -4.535
ENSG00000272221	0.003	0.889	    5.048
ENSG00000084674	0.179	0.777	    0.000
ENSG00000125991	0.030	0.602	    4.170
ENSG00000149485	0.009	0.546	  -10.249
ENSG00000257017	0.091	0.523	    0.000
ENSG00000140830	0.199	0.514	  -10.474
ENSG00000168297	0.002	0.445	    3.107
ENSG00000109917	0.003	0.434	    0.000
ENSG00000154127	0.006	0.414	   -4.275
ENSG00000204267	0.008	0.320	    0.416
ENSG00000270933	0.001	0.229	    0.000
ENSG00000114030	0.004	0.190	   -4.140
ENSG00000205643	0.001	0.160	    0.000
ENSG00000118369	0.002	0.158	    3.609
ENSG00000149582	0.001	0.157	    0.000
ENSG00000243431	0.001	0.153	    0.000
ENSG00000180596	0.009	0.138	    0.000
ENSG00000168496	0.001	0.113	    0.000
ENSG00000138161	0.002	0.104	   -3.827
ENSG00000250091	0.002	0.104	    3.497
ENSG00000245156	0.001	0.103	    0.000
ENSG00000174165	0.001	0.102	   -3.538
ENSG00000270028	0.001	0.102	    3.477
ENSG00000173065	0.002	0.100	    0.000
ENSG00000196981	0.006	0.096	   -3.160
ENSG00000126001	0.003	0.092	    0.000
ENSG00000241106	0.001	0.082	    0.830
ENSG00000100284	0.001	0.082	    0.000
ENSG00000066084	0.002	0.080	    2.025
ENSG00000196821	0.006	0.072	    4.391
ENSG00000124713	0.001	0.072	   -2.883
ENSG00000188672	0.001	0.070	   -6.113
ENSG00000272842	0.000	0.061	    0.000
ENSG00000115414	0.001	0.060	    0.000
ENSG00000187553	0.001	0.053	    0.000
ENSG00000216775	0.018	0.052	    0.716
ENSG00000263293	0.001	0.051	    0.000
ENSG00000274330	0.004	0.049	    2.291
ENSG00000198890	0.002	0.049	    3.278
ENSG00000124920	0.000	0.048	    0.000
ENSG00000095139	0.000	0.046	    0.000
ENSG00000176390	0.000	0.045	   -2.791
ENSG00000204178	0.001	0.042	    0.000
ENSG00000264538	0.000	0.042	   -2.728
ENSG00000226648	0.000	0.040	    0.000
ENSG00000118096	0.001	0.039	    3.576
ENSG00000224497	0.002	0.037	    4.210
ENSG00000103510	0.003	0.035	   -3.330
ENSG00000237338	0.001	0.035	    3.390
ENSG00000258666	0.002	0.035	    3.593
ENSG00000125965	0.001	0.034	    0.000
ENSG00000169242	0.001	0.034	    3.422
ENSG00000167525	0.001	0.033	   -3.639
ENSG00000174547	0.000	0.032	    0.000
ENSG00000120306	0.000	0.032	   -3.208
ENSG00000260273	0.000	0.030	   -3.073
ENSG00000162676	0.000	0.027	    0.000
ENSG00000108479	0.001	0.027	    0.000
ENSG00000134824	0.000	0.027	    0.000
ENSG00000233579	0.001	0.027	    0.000
ENSG00000271730	0.000	0.027	    0.000
ENSG00000143412	0.001	0.026	    0.000
ENSG00000263603	0.000	0.026	   -2.799
ENSG00000272950	0.002	0.026	   -3.530
ENSG00000232479	0.000	0.025	    0.000
ENSG00000178802	0.001	0.025	   -3.070
ENSG00000112365	0.000	0.024	    3.061
ENSG00000223537	0.000	0.023	    3.233
ENSG00000255557	0.000	0.023	    0.000
ENSG00000100239	0.000	0.023	   -2.890
ENSG00000268297	0.002	0.023	    3.363
ENSG00000275956	0.000	0.023	    3.167
ENSG00000223947	0.000	0.023	    0.000
ENSG00000068885	0.000	0.022	    2.532
ENSG00000164849	0.000	0.021	    0.000
ENSG00000156521	0.000	0.020	    3.151
ENSG00000270130	0.000	0.019	    0.000
ENSG00000147485	0.000	0.018	   -2.298
ENSG00000163596	0.000	0.018	    0.000
ENSG00000101019	0.000	0.017	   -3.033
ENSG00000155085	0.000	0.017	    3.292
ENSG00000135535	0.000	0.017	    2.845
ENSG00000101003	0.000	0.016	    0.000
ENSG00000100997	0.000	0.016	   -3.066
ENSG00000130584	0.000	0.016	    0.000
ENSG00000241345	0.000	0.016	    0.000
ENSG00000013573	0.000	0.015	   -2.766
ENSG00000276250	0.000	0.014	   -2.778
ENSG00000219395	0.000	0.014	   -3.327
ENSG00000114902	0.000	0.013	    0.000
ENSG00000167397	0.000	0.013	    0.000
ENSG00000270061	0.000	0.013	    0.000
ENSG00000137154	0.000	0.013	    0.000
ENSG00000263531	0.000	0.013	    2.712
ENSG00000114904	0.000	0.013	    0.000
ENSG00000227124	0.000	0.013	   -3.037
ENSG00000119242	0.000	0.013	    0.000
ENSG00000162408	0.000	0.013	    0.000
ENSG00000145850	0.004	0.013	    0.000
ENSG00000112367	0.000	0.013	    0.000
ENSG00000117118	0.000	0.012	   -2.989
ENSG00000224331	0.000	0.012	    0.000
ENSG00000139323	0.000	0.012	    3.082
ENSG00000138380	0.000	0.012	    0.000
ENSG00000124587	0.001	0.011	    3.268
ENSG00000096092	0.000	0.011	    0.000
ENSG00000172403	0.000	0.011	    0.000
ENSG00000158604	0.000	0.011	    0.000
ENSG00000273226	0.001	0.011	   -3.457
ENSG00000165912	0.001	0.011	    3.122
ENSG00000134516	0.000	0.010	    2.539
ENSG00000122483	0.000	0.010	    0.000
ENSG00000244462	0.002	0.010	    0.000
ENSG00000130204	0.001	0.010	    0.000
ENSG00000156795	0.000	0.010	    2.321
ENSG00000138190	0.000	0.009	    0.000
ENSG00000177752	0.000	0.009	    2.239
ENSG00000251562	0.000	0.009	    0.000
ENSG00000177076	0.000	0.009	    0.000
ENSG00000254986	0.000	0.009	    0.000
ENSG00000132478	0.001	0.009	    0.000
ENSG00000242252	0.000	0.009	    2.963
ENSG00000072364	0.000	0.009	   -2.587
ENSG00000100281	0.000	0.009	    0.000
ENSG00000150961	0.000	0.009	    0.000
ENSG00000182362	0.001	0.008	    3.188
ENSG00000231721	0.001	0.008	    0.000
ENSG00000172818	0.000	0.008	    0.000
ENSG00000178175	0.000	0.008	    0.000
ENSG00000231074	0.000	0.008	    0.278
ENSG00000142207	0.000	0.008	   -0.566
ENSG00000057608	0.000	0.008	    0.000
ENSG00000162779	0.000	0.008	    2.618
ENSG00000135248	0.000	0.008	    1.285
ENSG00000280160	0.000	0.008	    0.000
ENSG00000105926	0.000	0.008	   -2.789
ENSG00000137331	0.000	0.008	    1.448
ENSG00000265474	0.000	0.008	    0.000
ENSG00000276952	0.000	0.007	    0.000
ENSG00000114023	0.000	0.007	    0.000
ENSG00000250412	0.000	0.007	   -0.424
ENSG00000173662	0.000	0.007	    0.000
ENSG00000143226	0.000	0.007	    0.000
ENSG00000066379	0.000	0.007	   -0.616
ENSG00000138363	0.001	0.007	   -1.019
ENSG00000262766	0.000	0.007	    0.000
ENSG00000219626	0.000	0.006	    2.079
ENSG00000227533	0.000	0.006	   -1.464
ENSG00000136827	0.000	0.006	    0.000
ENSG00000115129	0.000	0.006	    2.274
ENSG00000066230	0.001	0.006	   -0.834
ENSG00000151376	0.000	0.006	    2.685
ENSG00000120262	0.001	0.006	   -3.449
ENSG00000132591	0.000	0.006	    0.000
ENSG00000228252	0.000	0.006	    2.183
ENSG00000104497	0.000	0.006	   -2.275
ENSG00000159788	0.000	0.006	    3.652
ENSG00000112339	0.000	0.006	   -1.601
ENSG00000203747	0.000	0.006	    0.000
ENSG00000230939	0.000	0.006	    1.186
ENSG00000176208	0.000	0.006	    0.000
ENSG00000110080	0.000	0.006	    0.000
ENSG00000140105	0.000	0.006	    0.000
ENSG00000161905	0.000	0.005	   -2.471
ENSG00000273493	0.000	0.005	    0.000
ENSG00000174564	0.000	0.005	    0.000
ENSG00000274414	0.000	0.005	    0.000
ENSG00000281920	0.000	0.005	    0.000
ENSG00000174483	0.000	0.005	    0.000
ENSG00000229191	0.000	0.005	    0.000
ENSG00000081665	0.000	0.005	    1.604
ENSG00000259905	0.000	0.005	   -1.361
ENSG00000168273	0.000	0.005	    0.000
ENSG00000107779	0.000	0.005	   -2.396
ENSG00000117500	0.000	0.005	    2.875
ENSG00000175548	0.000	0.005	    0.000
ENSG00000173992	0.000	0.005	    0.000
ENSG00000180423	0.000	0.005	    2.920
ENSG00000178226	0.000	0.005	   -1.254
ENSG00000134825	0.000	0.005	    0.000
ENSG00000130540	0.000	0.005	   -2.412
ENSG00000005471	0.000	0.005	    0.000
ENSG00000242247	0.000	0.005	   -2.445
ENSG00000254226	0.000	0.005	    0.000
ENSG00000280828	0.000	0.005	   -1.948
ENSG00000196544	0.000	0.005	    0.000
ENSG00000076604	0.000	0.005	    0.000
ENSG00000197124	0.000	0.004	    2.059
ENSG00000162063	0.000	0.004	    0.000
ENSG00000138829	0.000	0.004	    1.451
ENSG00000179029	0.000	0.004	    0.000
ENSG00000156304	0.000	0.004	    0.000
ENSG00000236790	0.000	0.004	    3.035
ENSG00000204334	0.000	0.004	    2.078
ENSG00000226469	0.000	0.004	   -4.613
ENSG00000108406	0.000	0.004	    0.000
ENSG00000280832	0.000	0.004	    0.000
ENSG00000138496	0.000	0.004	    3.259
ENSG00000269997	0.000	0.004	    0.000
ENSG00000233609	0.000	0.004	   -2.739
ENSG00000230635	0.000	0.004	   -0.773
ENSG00000259520	0.000	0.004	   -0.492
ENSG00000113318	0.000	0.004	   -1.136
ENSG00000168826	0.000	0.004	    2.604
ENSG00000129083	0.000	0.004	    0.000
ENSG00000224863	0.000	0.004	    1.318
ENSG00000169398	0.000	0.004	    0.000
ENSG00000280069	0.000	0.004	    0.000
ENSG00000137252	0.000	0.004	    0.000
ENSG00000269938	0.000	0.004	    0.000
ENSG00000266200	0.001	0.004	   -3.205
ENSG00000151364	0.000	0.004	    1.660
ENSG00000108559	0.000	0.004	   -1.515
ENSG00000179195	0.000	0.004	    0.000
ENSG00000160124	0.000	0.004	    0.000
ENSG00000241370	0.000	0.004	    0.000
ENSG00000152749	0.000	0.004	   -2.619
ENSG00000154582	0.000	0.004	    0.000
ENSG00000276128	0.000	0.004	   -0.679
ENSG00000138750	0.000	0.004	   -1.210
ENSG00000136816	0.000	0.004	    0.069
ENSG00000137312	0.000	0.004	   -0.407
ENSG00000178295	0.000	0.004	    2.467
ENSG00000075826	0.000	0.004	    2.150
ENSG00000131941	0.000	0.004	    2.136
ENSG00000163935	0.000	0.004	    0.000
ENSG00000276248	0.000	0.004	    1.515
ENSG00000230732	0.000	0.004	    0.093
ENSG00000074755	0.000	0.004	   -2.237
ENSG00000107614	0.000	0.004	   -2.678
ENSG00000167395	0.000	0.004	    0.000
ENSG00000101004	0.000	0.004	    0.000
ENSG00000101639	0.000	0.004	    1.939
ENSG00000255517	0.000	0.004	    0.000
ENSG00000141458	0.000	0.004	    2.401
ENSG00000117480	0.000	0.004	    0.016
ENSG00000090316	0.000	0.003	    0.000
ENSG00000205085	0.000	0.003	   -1.941
ENSG00000272072	0.000	0.003	    0.000
ENSG00000227543	0.000	0.003	    0.000
ENSG00000226622	0.000	0.003	    0.000
ENSG00000273391	0.000	0.003	    1.739
ENSG00000135587	0.000	0.003	   -2.772
ENSG00000143614	0.000	0.003	   -1.609
ENSG00000158161	0.000	0.003	    2.201
ENSG00000187535	0.000	0.003	    0.000
ENSG00000108785	0.000	0.003	    0.000
ENSG00000105750	0.000	0.003	   -1.525
ENSG00000230521	0.000	0.003	    1.667
ENSG00000259088	0.000	0.003	    0.000
ENSG00000272281	0.000	0.003	   -0.689
ENSG00000116791	0.000	0.003	    1.580
ENSG00000135596	0.000	0.003	    2.797
ENSG00000149084	0.000	0.003	    2.261
ENSG00000115556	0.000	0.003	   -1.971
ENSG00000185250	0.000	0.003	    0.000
ENSG00000116652	0.000	0.003	   -2.464
ENSG00000174080	0.000	0.003	    2.189
