Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.015	0.999	   22.014
ENSG00000176920	0.002	0.998	   -5.210
ENSG00000140830	0.240	0.997	  -11.292
ENSG00000261701	0.915	0.996	  -13.224
ENSG00000178209	0.004	0.953	    6.565
ENSG00000204267	0.034	0.886	   -0.507
ENSG00000272221	0.004	0.501	    5.194
ENSG00000204287	0.003	0.447	   -7.614
ENSG00000091317	0.014	0.307	    0.000
ENSG00000257017	0.019	0.298	   -8.225
ENSG00000100284	0.003	0.297	    0.000
ENSG00000178852	0.015	0.295	   -6.019
ENSG00000149485	0.002	0.269	  -11.065
ENSG00000095139	0.002	0.205	    3.675
ENSG00000270028	0.002	0.183	    3.562
ENSG00000243431	0.002	0.176	   -3.593
ENSG00000088205	0.006	0.174	    5.304
ENSG00000115207	0.013	0.140	    0.000
ENSG00000156006	0.001	0.138	    0.000
ENSG00000154127	0.002	0.126	    0.000
ENSG00000179119	0.038	0.126	    0.000
ENSG00000164087	0.000	0.118	    0.000
ENSG00000067208	0.001	0.115	    5.050
ENSG00000130208	0.011	0.110	    0.000
ENSG00000188672	0.002	0.096	   -5.959
ENSG00000138246	0.001	0.096	    0.000
ENSG00000250091	0.001	0.095	    3.562
ENSG00000204178	0.001	0.091	    0.000
ENSG00000121766	0.002	0.091	   -3.744
ENSG00000242198	0.001	0.091	    0.000
ENSG00000118369	0.002	0.086	    3.325
ENSG00000163684	0.001	0.085	   -0.199
ENSG00000254986	0.001	0.080	   -3.551
ENSG00000196981	0.013	0.078	   -4.286
ENSG00000119927	0.000	0.076	    0.000
ENSG00000160124	0.002	0.075	   -3.910
ENSG00000066084	0.005	0.072	    2.376
ENSG00000272950	0.005	0.066	   -3.126
ENSG00000121769	0.001	0.064	   -3.679
ENSG00000272758	0.000	0.062	    0.586
ENSG00000272842	0.001	0.061	   -3.669
ENSG00000114030	0.001	0.059	   -2.981
ENSG00000263293	0.002	0.058	    0.997
ENSG00000149582	0.001	0.057	    0.000
ENSG00000224079	0.000	0.055	    2.419
ENSG00000026025	0.005	0.054	    0.000
ENSG00000111816	0.000	0.053	    0.000
ENSG00000233579	0.001	0.052	    0.000
ENSG00000105538	0.000	0.048	    0.000
ENSG00000174165	0.001	0.047	   -3.459
ENSG00000103510	0.004	0.047	   -3.541
ENSG00000118096	0.001	0.047	    2.424
ENSG00000274330	0.005	0.046	    3.470
ENSG00000198890	0.001	0.046	    3.313
ENSG00000244005	0.001	0.046	    0.000
ENSG00000114904	0.000	0.046	    0.000
ENSG00000137656	0.001	0.044	    0.000
ENSG00000171680	0.000	0.044	    0.000
