Gene	GRCP	GLCP	TWAS_z
ENSG00000261701	0.185	1.000	   -3.390
ENSG00000178209	0.002	0.981	    6.424
ENSG00000142233	0.034	0.966	   -6.259
ENSG00000084674	0.131	0.916	   18.565
ENSG00000149485	0.019	0.904	  -11.606
ENSG00000241106	0.046	0.799	    0.927
ENSG00000204178	0.004	0.518	   -6.530
ENSG00000175164	0.057	0.508	   -9.436
ENSG00000272221	0.004	0.500	    5.574
ENSG00000178852	0.065	0.499	   -3.740
ENSG00000100284	0.002	0.232	    0.000
ENSG00000257017	0.015	0.212	    0.000
ENSG00000138823	0.004	0.212	    0.000
ENSG00000111816	0.000	0.198	    3.683
ENSG00000243431	0.001	0.178	    0.000
ENSG00000205643	0.004	0.159	    0.000
ENSG00000178719	0.000	0.127	    0.000
ENSG00000095139	0.002	0.118	    3.745
ENSG00000118096	0.001	0.115	    3.664
ENSG00000250091	0.004	0.112	    3.621
ENSG00000130203	0.027	0.107	    0.000
ENSG00000100281	0.001	0.101	    0.000
ENSG00000182264	0.007	0.100	    2.860
ENSG00000119242	0.001	0.088	    0.000
ENSG00000105538	0.000	0.088	    0.000
ENSG00000120341	0.003	0.087	    3.197
ENSG00000134824	0.002	0.081	    0.000
ENSG00000196981	0.011	0.076	   -4.191
ENSG00000100994	0.001	0.073	   -3.372
ENSG00000125991	0.002	0.072	    4.011
ENSG00000230155	0.000	0.061	    0.000
ENSG00000187553	0.001	0.051	   -3.762
ENSG00000163596	0.001	0.051	    3.430
ENSG00000198890	0.001	0.048	    3.292
ENSG00000174165	0.001	0.047	   -3.365
ENSG00000138380	0.000	0.046	   -3.392
ENSG00000274330	0.002	0.046	    0.000
ENSG00000154127	0.000	0.044	    0.000
ENSG00000264538	0.000	0.043	   -2.732
ENSG00000061656	0.000	0.041	    0.000
ENSG00000156006	0.001	0.038	    0.000
ENSG00000178802	0.001	0.037	    0.000
ENSG00000229124	0.002	0.037	    0.000
ENSG00000224497	0.002	0.036	    4.248
ENSG00000120306	0.000	0.036	   -3.169
ENSG00000163938	0.000	0.036	    2.852
ENSG00000272842	0.001	0.032	   -3.386
ENSG00000224331	0.000	0.031	    0.000
ENSG00000227630	0.000	0.030	    0.000
ENSG00000263293	0.001	0.030	    0.000
ENSG00000239415	0.001	0.028	   -3.367
ENSG00000155189	0.001	0.027	    3.333
ENSG00000270028	0.000	0.026	    0.000
ENSG00000068885	0.000	0.026	    3.242
ENSG00000134825	0.000	0.026	    0.000
ENSG00000105705	0.001	0.025	    0.000
ENSG00000168496	0.000	0.025	    0.000
ENSG00000154589	0.000	0.024	    0.000
ENSG00000100239	0.000	0.023	   -2.244
ENSG00000130943	0.000	0.023	    2.313
ENSG00000255435	0.000	0.022	    0.000
ENSG00000162676	0.000	0.022	    0.000
ENSG00000176390	0.000	0.021	    0.000
ENSG00000101019	0.000	0.021	    0.000
ENSG00000174080	0.001	0.021	    3.417
ENSG00000162408	0.000	0.020	    0.000
ENSG00000100997	0.000	0.019	    0.000
ENSG00000147485	0.000	0.019	    0.000
ENSG00000276952	0.001	0.019	   -3.262
ENSG00000280069	0.000	0.019	   -2.751
ENSG00000221843	0.000	0.018	    0.000
ENSG00000270130	0.000	0.018	    0.000
ENSG00000016864	0.000	0.018	    0.000
ENSG00000244005	0.000	0.018	    0.000
ENSG00000178175	0.000	0.017	    0.000
ENSG00000257594	0.000	0.017	    2.744
ENSG00000155085	0.000	0.017	    3.267
ENSG00000258521	0.000	0.017	    0.000
ENSG00000260273	0.000	0.016	   -3.353
ENSG00000263603	0.000	0.016	    0.000
ENSG00000223947	0.000	0.016	    0.000
ENSG00000240704	0.001	0.016	    0.000
ENSG00000115414	0.001	0.016	    0.000
ENSG00000206341	0.000	0.016	   -1.861
ENSG00000121769	0.000	0.015	    0.000
ENSG00000266490	0.000	0.015	    0.000
ENSG00000113716	0.000	0.015	   -2.872
ENSG00000088205	0.000	0.014	    0.000
ENSG00000117115	0.000	0.014	    0.000
ENSG00000245614	0.000	0.014	    0.000
ENSG00000250462	0.000	0.014	    0.000
ENSG00000179085	0.000	0.013	    0.000
ENSG00000198952	0.001	0.013	    0.000
ENSG00000272950	0.005	0.013	   -3.485
ENSG00000172403	0.000	0.013	    0.000
ENSG00000176473	0.001	0.013	   -3.421
ENSG00000173065	0.000	0.013	    0.000
ENSG00000169756	0.000	0.012	    1.031
ENSG00000144834	0.000	0.012	   -2.583
ENSG00000175003	0.000	0.012	    0.000
ENSG00000057608	0.000	0.012	    0.000
ENSG00000172922	0.000	0.012	    0.000
ENSG00000108785	0.000	0.012	    0.000
ENSG00000268297	0.001	0.012	    3.589
ENSG00000108479	0.000	0.011	    0.000
ENSG00000112339	0.000	0.011	   -1.540
ENSG00000156795	0.000	0.011	    2.405
ENSG00000185104	0.000	0.011	    2.123
ENSG00000179195	0.000	0.011	    0.000
ENSG00000150961	0.000	0.011	    0.000
ENSG00000140474	0.000	0.010	    0.000
ENSG00000127952	0.000	0.010	    2.008
ENSG00000117500	0.000	0.010	    0.000
ENSG00000162267	0.000	0.010	    0.000
ENSG00000236255	0.000	0.010	    0.000
ENSG00000263531	0.000	0.010	    2.683
ENSG00000146166	0.000	0.010	    1.409
ENSG00000275956	0.000	0.010	    0.000
