Gene	GRCP	GLCP	TWAS_z
ENSG00000261701	0.103	1.000	  -11.129
ENSG00000142233	0.022	0.991	   -5.642
ENSG00000178209	0.005	0.979	    6.526
ENSG00000084674	0.030	0.978	   23.367
ENSG00000140830	0.336	0.972	  -11.621
ENSG00000188672	0.003	0.931	   -6.075
ENSG00000272221	0.004	0.895	    4.543
ENSG00000205643	0.007	0.695	    0.000
ENSG00000149485	0.006	0.664	    0.000
ENSG00000134222	0.038	0.434	    0.028
ENSG00000100284	0.004	0.424	   -4.150
ENSG00000257017	0.034	0.226	    0.000
ENSG00000114030	0.003	0.193	   -4.116
ENSG00000145331	0.002	0.169	    0.000
ENSG00000109917	0.005	0.151	    0.000
ENSG00000095139	0.001	0.109	    0.000
ENSG00000118096	0.001	0.099	    3.590
ENSG00000124587	0.001	0.094	    3.369
ENSG00000095596	0.003	0.093	   -3.894
ENSG00000103510	0.005	0.087	   -3.414
ENSG00000250091	0.002	0.078	    0.000
ENSG00000174165	0.001	0.078	   -3.475
ENSG00000138161	0.001	0.070	   -3.217
ENSG00000243431	0.000	0.065	    0.000
ENSG00000179988	0.001	0.062	   -2.719
ENSG00000244005	0.001	0.061	    3.413
ENSG00000019144	0.000	0.057	    0.000
ENSG00000276952	0.000	0.054	    0.000
ENSG00000160124	0.001	0.051	    0.000
ENSG00000154127	0.001	0.049	    0.000
ENSG00000007944	0.000	0.048	    0.000
ENSG00000264538	0.000	0.047	   -2.726
ENSG00000224497	0.002	0.047	    4.177
ENSG00000125991	0.003	0.047	    0.000
ENSG00000100994	0.000	0.045	   -2.788
ENSG00000263293	0.001	0.042	    0.000
ENSG00000272950	0.002	0.042	   -2.792
ENSG00000217078	0.001	0.040	    0.000
ENSG00000178977	0.003	0.039	    0.000
ENSG00000204178	0.001	0.038	    0.000
ENSG00000168297	0.000	0.037	    0.000
ENSG00000254986	0.000	0.037	    0.000
ENSG00000178802	0.000	0.035	    0.000
ENSG00000065308	0.004	0.034	    0.000
ENSG00000132478	0.002	0.033	    0.000
ENSG00000169242	0.001	0.031	    3.145
ENSG00000025293	0.000	0.031	    0.000
ENSG00000163596	0.000	0.029	    0.000
ENSG00000164849	0.000	0.029	    0.000
ENSG00000229124	0.001	0.028	    0.000
ENSG00000162676	0.000	0.027	    0.000
ENSG00000255624	0.000	0.027	    0.000
ENSG00000235545	0.000	0.027	    0.000
ENSG00000176390	0.000	0.026	   -2.958
ENSG00000270130	0.000	0.026	    0.000
ENSG00000100281	0.000	0.025	    0.000
ENSG00000279837	0.001	0.025	    0.000
ENSG00000145850	0.006	0.025	    0.000
ENSG00000213996	0.001	0.024	    0.000
ENSG00000224331	0.001	0.024	    0.000
ENSG00000268297	0.002	0.024	    3.608
