Gene	GRCP	GLCP	TWAS_z
ENSG00000179119	0.375	0.998	    5.886
ENSG00000134222	0.301	0.996	   33.458
ENSG00000176920	0.266	0.991	    4.642
ENSG00000142233	0.054	0.990	   -4.746
ENSG00000067208	0.023	0.926	    4.771
ENSG00000241106	0.618	0.618	    1.946
ENSG00000165029	0.283	0.603	    5.839
ENSG00000178921	0.134	0.525	   -3.013
ENSG00000238084	0.005	0.507	    0.000
ENSG00000125633	0.005	0.404	   -0.944
ENSG00000110876	0.009	0.343	   -3.272
ENSG00000132591	0.030	0.319	    4.044
ENSG00000215515	0.014	0.272	   -3.211
ENSG00000154127	0.067	0.252	    4.143
ENSG00000156006	0.010	0.250	    3.662
ENSG00000176909	0.000	0.250	   -2.810
ENSG00000076604	0.026	0.236	   -3.889
ENSG00000003056	0.081	0.221	   -3.464
ENSG00000105705	0.003	0.183	  -10.601
ENSG00000263293	0.013	0.173	    0.000
ENSG00000236255	0.004	0.168	   -1.129
ENSG00000270028	0.012	0.167	    3.572
ENSG00000110080	0.017	0.166	   -5.047
ENSG00000116641	0.009	0.163	   -8.976
ENSG00000119965	0.145	0.161	    4.159
ENSG00000118369	0.016	0.156	    1.701
ENSG00000121769	0.022	0.146	   -3.805
ENSG00000124587	0.018	0.133	    3.511
ENSG00000196981	0.128	0.133	   -2.997
ENSG00000250091	0.023	0.131	    1.506
ENSG00000147454	0.046	0.130	   -1.226
ENSG00000173110	0.024	0.127	    3.920
ENSG00000176473	0.033	0.114	   -3.981
ENSG00000184371	0.071	0.112	   -3.223
ENSG00000126001	0.035	0.107	    1.902
ENSG00000272758	0.043	0.106	    0.048
ENSG00000108479	0.008	0.103	    0.000
ENSG00000272950	0.045	0.096	   -3.708
ENSG00000052344	0.031	0.090	    3.821
ENSG00000178971	0.086	0.086	   -0.590
ENSG00000174483	0.012	0.086	   -3.548
ENSG00000124181	0.001	0.085	    0.000
ENSG00000125991	0.043	0.082	   -4.271
ENSG00000149582	0.005	0.079	    0.000
ENSG00000198890	0.010	0.072	    1.945
ENSG00000231074	0.022	0.071	    1.393
ENSG00000188906	0.046	0.069	    2.786
ENSG00000224497	0.018	0.063	    4.175
ENSG00000103510	0.060	0.063	   -2.960
ENSG00000138380	0.003	0.060	   -3.294
ENSG00000122484	0.007	0.059	    5.535
ENSG00000213185	0.003	0.057	   -3.717
ENSG00000163596	0.008	0.055	    3.383
ENSG00000167525	0.010	0.055	   -3.580
ENSG00000196821	0.028	0.054	    4.848
ENSG00000057608	0.015	0.052	   -3.560
ENSG00000101670	0.019	0.051	    3.502
ENSG00000140105	0.010	0.051	    1.774
ENSG00000162676	0.001	0.051	    0.000
ENSG00000173065	0.007	0.050	    0.000
ENSG00000258666	0.010	0.047	    3.864
ENSG00000100284	0.024	0.046	   -3.774
ENSG00000168496	0.002	0.043	    0.000
ENSG00000235545	0.002	0.042	    0.000
ENSG00000242252	0.016	0.042	    1.649
ENSG00000101003	0.003	0.042	   -2.851
ENSG00000283199	0.001	0.040	   -2.478
ENSG00000019144	0.003	0.040	    2.935
ENSG00000255517	0.021	0.039	   -1.585
ENSG00000132478	0.009	0.039	   -0.408
ENSG00000257594	0.008	0.039	    2.873
ENSG00000264538	0.004	0.038	   -3.255
ENSG00000119242	0.005	0.036	    2.980
ENSG00000140543	0.006	0.036	   -1.660
ENSG00000145331	0.003	0.035	    0.000
ENSG00000168291	0.001	0.035	   -0.413
ENSG00000146540	0.034	0.034	    1.472
ENSG00000178802	0.027	0.034	   -3.200
ENSG00000114902	0.007	0.033	   -3.148
ENSG00000254986	0.011	0.032	   -3.469
ENSG00000137154	0.006	0.032	    1.331
ENSG00000160606	0.008	0.032	    3.778
ENSG00000162129	0.007	0.032	   -3.560
ENSG00000162408	0.005	0.031	    3.035
ENSG00000265474	0.003	0.031	    0.000
ENSG00000167394	0.031	0.031	    3.703
ENSG00000258521	0.003	0.030	   -3.027
ENSG00000112367	0.002	0.028	   -1.687
ENSG00000172171	0.012	0.028	   -2.569
ENSG00000158604	0.001	0.027	   -3.891
ENSG00000149182	0.004	0.027	    3.225
ENSG00000204178	0.001	0.027	   -3.013
ENSG00000109113	0.005	0.027	   -3.442
ENSG00000113522	0.027	0.027	    4.005
ENSG00000237153	0.012	0.026	    3.609
ENSG00000075292	0.003	0.026	   -3.016
ENSG00000113068	0.013	0.025	   -3.464
ENSG00000168528	0.024	0.025	   -3.599
ENSG00000198952	0.011	0.024	    3.401
ENSG00000138161	0.012	0.024	   -2.844
ENSG00000231064	0.001	0.024	    0.000
ENSG00000213949	0.024	0.024	    0.549
ENSG00000118094	0.003	0.024	    2.914
ENSG00000172922	0.004	0.024	    1.260
ENSG00000112249	0.002	0.023	   -2.131
ENSG00000095139	0.001	0.023	    0.000
ENSG00000162267	0.003	0.023	    0.000
ENSG00000156521	0.004	0.023	    2.618
ENSG00000270344	0.004	0.022	    2.094
ENSG00000125510	0.018	0.022	    3.649
ENSG00000263603	0.001	0.021	   -2.734
ENSG00000175548	0.006	0.021	    1.642
ENSG00000275956	0.003	0.021	    2.999
ENSG00000163491	0.004	0.021	   -2.279
ENSG00000163938	0.006	0.020	    2.976
ENSG00000103507	0.005	0.020	    0.000
ENSG00000224431	0.002	0.020	   -3.001
ENSG00000241370	0.003	0.019	    3.822
ENSG00000272842	0.008	0.019	   -3.431
ENSG00000182362	0.018	0.019	    3.250
ENSG00000229124	0.002	0.018	   -2.223
ENSG00000198933	0.003	0.018	    4.708
ENSG00000114904	0.003	0.018	    3.032
ENSG00000281392	0.004	0.018	   -3.280
ENSG00000174080	0.006	0.018	   -0.411
ENSG00000118096	0.014	0.018	    3.623
ENSG00000250462	0.004	0.018	   -1.750
ENSG00000213693	0.004	0.017	   -2.862
ENSG00000173327	0.016	0.017	    2.109
ENSG00000232479	0.001	0.017	   -3.523
ENSG00000025293	0.002	0.017	   -2.925
ENSG00000171700	0.016	0.016	    3.230
ENSG00000278030	0.001	0.016	    0.875
ENSG00000132475	0.007	0.016	    0.000
ENSG00000178381	0.007	0.016	    0.207
ENSG00000015520	0.001	0.016	    0.000
ENSG00000283709	0.002	0.015	   -1.589
ENSG00000176390	0.004	0.015	   -3.839
ENSG00000100997	0.004	0.015	   -3.091
ENSG00000034713	0.004	0.015	    3.194
ENSG00000213463	0.001	0.015	   -1.415
ENSG00000129083	0.003	0.015	    3.060
ENSG00000111816	0.005	0.014	   -5.306
ENSG00000205108	0.004	0.014	    2.741
ENSG00000233184	0.002	0.014	   -2.775
ENSG00000137331	0.002	0.014	    3.467
ENSG00000137656	0.007	0.014	    0.000
ENSG00000136758	0.002	0.014	    1.879
ENSG00000013573	0.002	0.014	   -2.571
ENSG00000151690	0.005	0.013	   -1.871
ENSG00000117500	0.003	0.013	    2.959
ENSG00000088280	0.002	0.012	   -0.718
ENSG00000242349	0.003	0.012	   -1.778
ENSG00000142632	0.002	0.012	   -0.772
ENSG00000138772	0.003	0.012	    1.944
ENSG00000245614	0.002	0.012	    2.323
ENSG00000142186	0.001	0.012	    0.000
ENSG00000160447	0.008	0.012	    3.343
ENSG00000172893	0.002	0.012	   -2.746
ENSG00000239557	0.010	0.012	   -3.330
ENSG00000248121	0.002	0.011	   -1.177
ENSG00000135535	0.006	0.011	    1.715
ENSG00000280069	0.002	0.011	   -2.836
ENSG00000162746	0.008	0.011	    1.459
ENSG00000160124	0.001	0.011	   -3.378
ENSG00000163472	0.002	0.011	    2.748
ENSG00000139697	0.001	0.011	   -1.611
ENSG00000269997	0.002	0.011	    0.000
ENSG00000111300	0.001	0.011	   -5.470
ENSG00000141295	0.010	0.011	   -1.533
ENSG00000108786	0.007	0.011	   -2.716
ENSG00000163633	0.001	0.010	    2.240
ENSG00000263531	0.001	0.010	    2.675
ENSG00000179912	0.007	0.010	    3.253
ENSG00000125995	0.002	0.010	    0.000
ENSG00000183726	0.008	0.010	    3.019
ENSG00000284052	0.002	0.010	   -0.378
ENSG00000156795	0.001	0.010	    2.124
ENSG00000132471	0.001	0.010	   -2.014
ENSG00000260230	0.003	0.010	    2.984
ENSG00000033867	0.006	0.010	   -3.063
ENSG00000229519	0.001	0.010	    0.000
ENSG00000271730	0.000	0.009	    0.000
ENSG00000204592	0.003	0.009	   -1.459
ENSG00000185250	0.006	0.009	    2.778
ENSG00000281195	0.001	0.009	   -1.390
ENSG00000091409	0.005	0.009	   -2.030
ENSG00000131899	0.003	0.009	    1.770
ENSG00000033327	0.002	0.009	   -2.856
ENSG00000144647	0.001	0.009	   -2.644
ENSG00000150961	0.000	0.009	   -0.029
ENSG00000214078	0.001	0.009	   -2.832
ENSG00000267419	0.001	0.009	    2.027
ENSG00000162063	0.001	0.009	   -2.517
ENSG00000137462	0.006	0.009	    2.902
ENSG00000132589	0.004	0.009	    3.434
ENSG00000089327	0.001	0.009	    2.415
ENSG00000138363	0.009	0.009	    0.011
ENSG00000108785	0.006	0.009	   -2.430
ENSG00000106771	0.004	0.009	    3.096
ENSG00000138246	0.002	0.009	   -0.588
ENSG00000166848	0.002	0.009	   -3.119
ENSG00000164418	0.001	0.009	    0.322
ENSG00000111275	0.003	0.009	    1.885
ENSG00000242372	0.007	0.009	   -1.059
ENSG00000198589	0.002	0.008	   -0.767
ENSG00000145428	0.006	0.008	    3.249
ENSG00000065243	0.002	0.008	    3.277
ENSG00000204623	0.008	0.008	    0.937
ENSG00000114030	0.002	0.008	    1.716
ENSG00000227533	0.002	0.008	   -2.169
ENSG00000160766	0.002	0.008	    2.504
ENSG00000243422	0.003	0.008	   -0.947
ENSG00000100281	0.001	0.008	    0.000
ENSG00000205084	0.001	0.008	    1.249
ENSG00000276250	0.000	0.008	    0.000
ENSG00000088451	0.001	0.008	    2.637
ENSG00000117394	0.002	0.008	    2.870
ENSG00000181744	0.000	0.008	    1.947
ENSG00000204219	0.005	0.008	   -1.369
ENSG00000071082	0.001	0.008	    0.000
ENSG00000273226	0.007	0.008	   -3.415
ENSG00000225791	0.008	0.008	   -1.584
ENSG00000164849	0.003	0.008	   -3.463
ENSG00000164220	0.001	0.007	   -2.080
ENSG00000173662	0.000	0.007	    0.000
ENSG00000168214	0.003	0.007	    0.000
ENSG00000270130	0.001	0.007	    0.000
ENSG00000270061	0.001	0.007	    0.000
ENSG00000121406	0.000	0.007	    2.052
ENSG00000246334	0.002	0.007	    2.849
ENSG00000172354	0.003	0.007	   -2.133
ENSG00000142552	0.002	0.007	    0.000
ENSG00000219626	0.001	0.007	    1.347
ENSG00000142546	0.001	0.007	    1.433
ENSG00000160781	0.002	0.007	    2.898
ENSG00000253953	0.002	0.007	    2.236
ENSG00000163684	0.003	0.007	    0.283
ENSG00000083937	0.001	0.007	    0.785
ENSG00000225342	0.006	0.007	    3.138
ENSG00000259088	0.002	0.007	    2.918
ENSG00000160785	0.003	0.007	   -1.588
