Gene	GRCP	GLCP	TWAS_z
ENSG00000143921	0.305	0.999	   19.517
ENSG00000176920	0.290	0.995	    5.815
ENSG00000087237	0.016	0.993	  -11.306
ENSG00000178209	0.009	0.985	    6.780
ENSG00000105538	0.002	0.978	   -5.585
ENSG00000186205	0.699	0.950	   -4.415
ENSG00000271815	0.048	0.864	   16.324
ENSG00000138075	0.279	0.827	   19.164
ENSG00000134222	0.019	0.737	   17.972
ENSG00000179119	0.253	0.677	    0.000
ENSG00000204267	0.026	0.586	    0.670
ENSG00000138823	0.074	0.561	   -4.071
ENSG00000116641	0.033	0.502	  -10.764
ENSG00000272221	0.024	0.418	    5.505
ENSG00000204261	0.064	0.414	    1.752
ENSG00000229124	0.011	0.405	    3.385
ENSG00000111816	0.009	0.391	   -5.440
ENSG00000149485	0.023	0.370	    0.000
ENSG00000100284	0.020	0.278	    0.000
ENSG00000095139	0.016	0.262	    3.925
ENSG00000135100	0.027	0.241	    0.000
ENSG00000236255	0.007	0.240	   -2.757
ENSG00000163684	0.003	0.216	   -0.053
ENSG00000003056	0.016	0.204	   -2.748
ENSG00000213949	0.090	0.196	   -2.586
ENSG00000119965	0.010	0.194	    3.123
ENSG00000224331	0.010	0.189	    0.000
ENSG00000130204	0.048	0.182	    0.000
ENSG00000243431	0.011	0.141	   -3.842
ENSG00000112640	0.030	0.129	   -3.454
ENSG00000114030	0.030	0.129	   -4.233
ENSG00000118369	0.017	0.125	    3.673
ENSG00000204613	0.033	0.119	   -3.715
ENSG00000103510	0.028	0.104	   -2.392
ENSG00000126001	0.022	0.102	    2.908
ENSG00000270061	0.006	0.099	   -3.667
ENSG00000146540	0.008	0.094	    2.235
ENSG00000073060	0.056	0.093	   -4.249
ENSG00000279812	0.065	0.092	    0.000
ENSG00000231113	0.019	0.092	    1.735
ENSG00000272950	0.039	0.081	   -3.714
ENSG00000163938	0.004	0.076	    2.937
ENSG00000196821	0.019	0.074	    4.656
ENSG00000174483	0.009	0.074	   -3.538
