Gene	GRCP	GLCP	TWAS_z
ENSG00000142233	0.115	0.998	   -3.012
ENSG00000178425	0.044	0.996	   -5.319
ENSG00000134222	0.067	0.984	   19.919
ENSG00000119927	0.144	0.965	   -6.792
ENSG00000084674	0.023	0.963	   18.974
ENSG00000175164	0.151	0.956	   -2.454
ENSG00000067208	0.019	0.892	    5.269
ENSG00000188672	0.045	0.839	   -6.148
ENSG00000241106	0.178	0.816	    0.558
ENSG00000272221	0.006	0.523	    5.027
ENSG00000263293	0.021	0.523	   -2.501
ENSG00000179119	0.152	0.508	    0.000
ENSG00000088340	0.012	0.454	   -1.985
ENSG00000116641	0.008	0.405	   -9.567
ENSG00000204791	0.000	0.379	    0.000
ENSG00000205978	0.020	0.375	    0.000
ENSG00000156006	0.031	0.364	    4.382
ENSG00000149485	0.070	0.328	  -11.675
ENSG00000280832	0.013	0.315	    0.000
ENSG00000087237	0.012	0.285	   -4.978
ENSG00000154127	0.016	0.242	   -2.384
ENSG00000187498	0.026	0.197	    0.000
ENSG00000232871	0.003	0.194	   -2.508
ENSG00000178209	0.000	0.191	    6.217
ENSG00000204789	0.061	0.180	   -2.672
ENSG00000168297	0.001	0.164	    1.554
ENSG00000224497	0.027	0.161	    4.296
ENSG00000270028	0.007	0.151	    3.566
ENSG00000197653	0.008	0.141	    3.660
ENSG00000229124	0.007	0.125	    4.045
ENSG00000137161	0.010	0.121	    3.501
ENSG00000162676	0.001	0.118	    0.000
ENSG00000003056	0.048	0.117	   -3.150
ENSG00000206869	0.002	0.112	    0.000
ENSG00000100330	0.000	0.105	    1.725
ENSG00000243431	0.004	0.101	   -2.740
ENSG00000107614	0.001	0.092	   -0.382
ENSG00000174483	0.004	0.090	    0.000
ENSG00000196821	0.014	0.089	    4.704
ENSG00000118369	0.014	0.088	    3.905
ENSG00000125991	0.014	0.083	    4.030
ENSG00000145331	0.005	0.079	   -0.513
ENSG00000231113	0.002	0.076	    3.375
ENSG00000196981	0.073	0.076	   -2.627
ENSG00000015520	0.003	0.070	    0.000
ENSG00000250091	0.013	0.066	    3.649
ENSG00000272950	0.020	0.066	   -3.908
ENSG00000197586	0.002	0.065	    0.767
ENSG00000272758	0.008	0.065	    0.125
ENSG00000162607	0.008	0.064	  -10.509
ENSG00000100284	0.002	0.061	    0.000
ENSG00000121769	0.003	0.057	   -3.084
ENSG00000198890	0.004	0.053	    3.357
ENSG00000163596	0.003	0.048	    3.403
ENSG00000264538	0.001	0.048	   -2.868
ENSG00000213949	0.047	0.047	   -4.072
ENSG00000254986	0.005	0.046	   -3.529
ENSG00000204178	0.023	0.045	   -6.778
ENSG00000178977	0.015	0.045	    0.000
ENSG00000138380	0.001	0.045	   -3.842
ENSG00000223947	0.001	0.044	    0.000
ENSG00000113068	0.004	0.043	   -3.395
ENSG00000109113	0.004	0.042	   -3.603
ENSG00000103510	0.033	0.041	   -3.336
ENSG00000033327	0.001	0.039	   -2.787
ENSG00000223745	0.002	0.039	    2.646
ENSG00000135100	0.011	0.039	    0.000
ENSG00000143126	0.011	0.038	   -3.275
ENSG00000138823	0.002	0.038	    0.000
ENSG00000160606	0.004	0.038	   -3.615
ENSG00000095139	0.001	0.037	    0.000
