Gene	GRCP	GLCP	TWAS_z
ENSG00000188672	0.002	0.740	    0.000
ENSG00000215114	0.013	0.681	    5.807
ENSG00000015520	0.017	0.560	    0.000
ENSG00000105877	0.007	0.546	    0.000
ENSG00000084734	0.075	0.493	    0.000
ENSG00000205643	0.003	0.465	    0.000
ENSG00000273176	0.002	0.282	    0.000
ENSG00000179119	0.085	0.270	    0.000
ENSG00000257017	0.002	0.257	    0.000
ENSG00000178209	0.001	0.243	    0.000
ENSG00000237614	0.005	0.212	    0.000
ENSG00000132855	0.001	0.169	    0.000
ENSG00000138246	0.001	0.126	    0.000
ENSG00000178852	0.000	0.115	    0.000
ENSG00000196981	0.002	0.108	    0.000
ENSG00000167397	0.003	0.106	   -3.799
ENSG00000235545	0.000	0.099	    0.000
ENSG00000100284	0.001	0.091	    0.000
ENSG00000263293	0.002	0.090	    0.000
ENSG00000088340	0.001	0.087	    0.000
ENSG00000254986	0.001	0.087	   -3.553
ENSG00000272950	0.004	0.086	   -4.097
ENSG00000103510	0.004	0.081	    0.000
ENSG00000261250	0.003	0.068	    0.000
ENSG00000176920	0.003	0.067	    0.000
ENSG00000112339	0.001	0.064	    0.000
ENSG00000118369	0.001	0.061	    0.000
ENSG00000223947	0.000	0.059	    0.000
ENSG00000160124	0.001	0.058	    0.000
ENSG00000154127	0.000	0.058	    0.000
ENSG00000163596	0.001	0.058	    3.066
ENSG00000178719	0.000	0.053	    0.000
ENSG00000272758	0.001	0.053	    3.274
ENSG00000213186	0.001	0.049	    3.308
ENSG00000204178	0.001	0.047	    0.000
ENSG00000100325	0.000	0.047	    0.000
ENSG00000119242	0.000	0.046	    0.000
ENSG00000250031	0.000	0.043	    0.000
ENSG00000154914	0.001	0.042	    0.000
ENSG00000250091	0.002	0.041	    0.000
ENSG00000264538	0.000	0.041	   -2.747
ENSG00000174483	0.000	0.040	    0.000
ENSG00000198242	0.001	0.038	   -3.611
ENSG00000135100	0.006	0.037	    0.000
ENSG00000224497	0.001	0.035	    4.164
ENSG00000258521	0.000	0.034	    0.000
ENSG00000162676	0.000	0.033	    0.000
ENSG00000163840	0.001	0.032	    0.000
ENSG00000118096	0.000	0.031	    0.000
ENSG00000176390	0.000	0.031	    0.000
ENSG00000262766	0.002	0.030	    0.000
ENSG00000156006	0.000	0.029	    0.000
ENSG00000173065	0.000	0.029	    0.000
ENSG00000013573	0.000	0.028	   -2.779
ENSG00000120306	0.000	0.028	    0.000
ENSG00000276250	0.000	0.027	   -2.761
ENSG00000280069	0.000	0.026	    0.000
ENSG00000213304	0.014	0.025	    0.000
ENSG00000178999	0.001	0.025	    0.000
ENSG00000225855	0.001	0.023	    0.000
ENSG00000260273	0.000	0.021	    0.000
ENSG00000258666	0.001	0.021	    0.000
ENSG00000283317	0.002	0.021	    0.000
ENSG00000230521	0.000	0.019	    2.002
ENSG00000268297	0.001	0.018	    3.687
ENSG00000115414	0.001	0.018	    0.000
ENSG00000150961	0.000	0.016	    0.000
ENSG00000164296	0.000	0.015	   -2.973
ENSG00000151376	0.000	0.015	    0.000
ENSG00000114904	0.000	0.015	    0.000
ENSG00000272842	0.000	0.014	   -3.226
ENSG00000178175	0.000	0.014	    0.000
ENSG00000198890	0.000	0.014	    0.000
ENSG00000167525	0.001	0.013	   -3.532
ENSG00000206869	0.000	0.013	    0.000
ENSG00000033327	0.000	0.013	    0.000
ENSG00000270061	0.000	0.012	    0.000
ENSG00000156795	0.000	0.012	    2.465
ENSG00000224331	0.000	0.011	    0.000
ENSG00000141295	0.000	0.011	   -3.187
ENSG00000277938	0.001	0.011	    0.000
ENSG00000227124	0.000	0.011	   -2.840
ENSG00000182362	0.000	0.010	    1.694
ENSG00000132475	0.002	0.010	    0.000
ENSG00000123485	0.000	0.010	    0.000
ENSG00000263531	0.000	0.010	    2.713
ENSG00000278967	0.000	0.010	    0.000
ENSG00000137312	0.000	0.010	    2.002
ENSG00000132478	0.000	0.010	    0.000
ENSG00000162607	0.000	0.009	    0.000
ENSG00000100297	0.000	0.009	    0.000
ENSG00000270604	0.001	0.009	    0.000
ENSG00000160781	0.000	0.009	    2.808
ENSG00000171700	0.001	0.009	    0.000
ENSG00000104856	0.000	0.009	    0.000
ENSG00000203747	0.000	0.009	    0.000
ENSG00000172893	0.000	0.009	    0.000
ENSG00000177076	0.000	0.009	    0.000
ENSG00000112365	0.000	0.008	    0.000
ENSG00000236255	0.000	0.008	    0.000
ENSG00000124713	0.000	0.008	   -2.752
ENSG00000101003	0.000	0.008	    0.000
ENSG00000227802	0.000	0.008	    0.000
ENSG00000269997	0.000	0.008	    0.000
ENSG00000270048	0.000	0.008	    0.000
ENSG00000227262	0.000	0.008	    2.593
ENSG00000231074	0.000	0.008	    0.000
ENSG00000156521	0.000	0.008	    0.000
ENSG00000270130	0.000	0.008	    0.000
ENSG00000232818	0.001	0.008	    0.000
ENSG00000171680	0.000	0.008	    0.000
ENSG00000179195	0.000	0.007	    0.000
ENSG00000122033	0.000	0.007	    0.000
ENSG00000145850	0.002	0.007	    0.000
ENSG00000162408	0.000	0.007	    0.000
ENSG00000138380	0.000	0.007	    0.000
ENSG00000121769	0.000	0.007	    0.000
ENSG00000156304	0.000	0.007	    0.000
ENSG00000134612	0.000	0.007	   -1.688
ENSG00000259520	0.000	0.007	   -0.453
ENSG00000147485	0.000	0.007	    0.000
ENSG00000232748	0.000	0.007	    0.000
ENSG00000173327	0.000	0.007	    0.000
ENSG00000143226	0.000	0.007	    0.000
ENSG00000175606	0.000	0.007	    0.000
ENSG00000280160	0.000	0.007	    0.000
ENSG00000173662	0.000	0.006	    0.000
ENSG00000136878	0.000	0.006	    0.000
ENSG00000227533	0.000	0.006	   -2.296
ENSG00000244122	0.000	0.006	    0.000
ENSG00000229124	0.000	0.006	    0.000
ENSG00000100997	0.000	0.006	    0.000
ENSG00000271730	0.000	0.006	    0.000
ENSG00000230939	0.000	0.006	    1.282
ENSG00000204219	0.000	0.006	    0.000
ENSG00000171298	0.000	0.006	    2.631
ENSG00000259905	0.000	0.006	   -1.356
ENSG00000111752	0.000	0.006	    0.000
ENSG00000273226	0.001	0.006	   -3.393
ENSG00000143156	0.000	0.006	   -1.833
ENSG00000258591	0.000	0.006	    2.537
ENSG00000130518	0.000	0.006	   -2.683
ENSG00000134825	0.000	0.006	    0.000
ENSG00000178718	0.000	0.006	    2.380
ENSG00000165025	0.000	0.006	   -2.374
ENSG00000259531	0.000	0.006	   -2.146
ENSG00000089327	0.000	0.005	    0.000
ENSG00000176208	0.000	0.005	    0.000
ENSG00000250474	0.000	0.005	    0.000
ENSG00000280128	0.000	0.005	    0.000
ENSG00000245614	0.000	0.005	    0.000
ENSG00000007944	0.000	0.005	    0.000
ENSG00000204610	0.000	0.005	    0.000
ENSG00000251600	0.000	0.005	   -0.067
ENSG00000239415	0.000	0.005	    0.000
ENSG00000121766	0.000	0.005	    0.000
ENSG00000180185	0.000	0.005	    0.415
ENSG00000125991	0.000	0.005	    0.000
ENSG00000280239	0.000	0.005	    0.000
ENSG00000164849	0.000	0.005	    0.000
ENSG00000138801	0.000	0.005	   -2.620
ENSG00000156875	0.000	0.005	    0.000
ENSG00000127952	0.000	0.005	    1.790
ENSG00000152439	0.000	0.005	    1.271
ENSG00000264943	0.000	0.005	    0.000
ENSG00000251323	0.000	0.005	    2.701
ENSG00000109576	0.000	0.005	   -2.495
ENSG00000164220	0.000	0.005	    0.000
ENSG00000269720	0.000	0.004	    0.000
ENSG00000197124	0.000	0.004	    0.000
ENSG00000175749	0.000	0.004	    1.934
ENSG00000105516	0.000	0.004	    0.000
ENSG00000249846	0.000	0.004	    2.202
ENSG00000162129	0.000	0.004	    0.000
ENSG00000155749	0.000	0.004	    2.523
ENSG00000205352	0.000	0.004	    0.000
ENSG00000172403	0.000	0.004	    0.000
ENSG00000167524	0.000	0.004	    0.000
ENSG00000178921	0.000	0.004	    0.000
ENSG00000172890	0.000	0.004	    0.000
ENSG00000137860	0.000	0.004	   -1.856
ENSG00000241622	0.000	0.004	    0.000
ENSG00000167165	0.000	0.004	    0.000
ENSG00000178222	0.000	0.004	    0.000
ENSG00000112249	0.000	0.004	    0.000
ENSG00000276591	0.000	0.004	   -0.819
ENSG00000178802	0.000	0.004	    0.000
ENSG00000103042	0.000	0.004	    0.000
ENSG00000224468	0.000	0.004	    0.000
ENSG00000181074	0.000	0.004	    0.000
ENSG00000229097	0.000	0.004	    0.000
ENSG00000071082	0.000	0.004	    0.000
ENSG00000138002	0.000	0.004	    0.000
ENSG00000204623	0.000	0.004	    1.378
ENSG00000167394	0.000	0.004	    0.000
ENSG00000228801	0.000	0.004	    0.000
ENSG00000226578	0.000	0.004	    0.000
ENSG00000174516	0.000	0.004	    0.000
ENSG00000214078	0.000	0.004	   -3.285
ENSG00000213066	0.000	0.004	    0.000
ENSG00000108785	0.000	0.004	    0.000
ENSG00000244462	0.000	0.004	    0.000
ENSG00000250412	0.000	0.004	    0.000
ENSG00000072694	0.000	0.004	   -2.602
ENSG00000125965	0.000	0.004	    0.000
ENSG00000230635	0.000	0.004	   -0.741
ENSG00000219626	0.000	0.004	    2.069
ENSG00000172171	0.000	0.004	    0.000
ENSG00000255517	0.000	0.004	    0.000
ENSG00000170165	0.000	0.004	   -0.763
ENSG00000273091	0.000	0.004	    0.000
ENSG00000166321	0.000	0.004	   -1.399
ENSG00000197208	0.000	0.004	    0.000
ENSG00000225851	0.000	0.004	   -2.284
ENSG00000221957	0.000	0.004	   -0.960
ENSG00000107554	0.000	0.004	    0.000
ENSG00000186432	0.000	0.004	    0.000
ENSG00000276128	0.000	0.004	   -0.861
ENSG00000236138	0.000	0.004	    0.000
ENSG00000132740	0.000	0.004	    2.203
ENSG00000157259	0.000	0.004	    0.000
ENSG00000140497	0.000	0.004	    0.000
ENSG00000149084	0.000	0.003	    1.993
ENSG00000266490	0.000	0.003	    0.000
ENSG00000100281	0.000	0.003	    0.000
ENSG00000117480	0.000	0.003	    1.318
ENSG00000234567	0.000	0.003	   -1.207
ENSG00000161180	0.000	0.003	   -2.066
ENSG00000138750	0.000	0.003	   -1.172
ENSG00000146530	0.000	0.003	    0.000
ENSG00000152749	0.000	0.003	   -2.612
ENSG00000151575	0.000	0.003	   -1.469
ENSG00000280374	0.000	0.003	   -2.150
ENSG00000120669	0.000	0.003	   -0.432
ENSG00000076604	0.000	0.003	    0.000
ENSG00000129315	0.000	0.003	    0.000
ENSG00000160602	0.000	0.003	    0.000
ENSG00000124587	0.001	0.003	    3.302
ENSG00000003056	0.000	0.003	    0.000
ENSG00000232479	0.000	0.003	    0.000
ENSG00000105136	0.000	0.003	   -1.838
ENSG00000236816	0.000	0.003	   -0.369
ENSG00000246448	0.000	0.003	   -0.065
ENSG00000278811	0.000	0.003	    0.757
ENSG00000168496	0.000	0.003	    0.000
ENSG00000182472	0.000	0.003	   -1.765
ENSG00000261783	0.000	0.003	   -0.828
