Gene	GRCP	GLCP	TWAS_z
ENSG00000230628	0.075	1.000	    6.750
ENSG00000282097	0.121	0.998	    7.575
ENSG00000179119	0.364	0.998	    5.866
ENSG00000087237	0.108	0.997	  -11.711
ENSG00000241106	0.107	0.815	    0.979
ENSG00000110080	0.015	0.783	   -7.552
ENSG00000176920	0.047	0.737	    3.309
ENSG00000232871	0.057	0.719	   -3.345
ENSG00000204267	0.044	0.608	    0.526
ENSG00000134222	0.029	0.563	    9.342
ENSG00000188672	0.007	0.511	   -6.189
ENSG00000149485	0.012	0.506	  -11.603
ENSG00000183726	0.001	0.475	    0.000
ENSG00000100284	0.017	0.473	   -4.039
ENSG00000263293	0.024	0.439	   -5.270
ENSG00000100281	0.013	0.428	    4.148
ENSG00000111816	0.007	0.400	    0.000
ENSG00000168496	0.009	0.364	    0.000
ENSG00000273176	0.011	0.354	    4.113
ENSG00000007944	0.061	0.274	    0.000
ENSG00000243431	0.009	0.213	   -3.759
ENSG00000178209	0.003	0.211	    6.661
ENSG00000205978	0.034	0.209	    0.000
ENSG00000177076	0.005	0.183	   -2.463
ENSG00000224331	0.009	0.177	    0.000
ENSG00000168297	0.001	0.137	    2.533
ENSG00000119965	0.023	0.125	    4.482
ENSG00000125991	0.002	0.112	   -0.390
ENSG00000231113	0.007	0.109	    2.492
ENSG00000204178	0.002	0.109	    0.000
ENSG00000003056	0.037	0.106	   -3.801
ENSG00000204290	0.001	0.105	   -7.173
ENSG00000118096	0.006	0.103	    3.366
ENSG00000116641	0.007	0.097	  -10.583
ENSG00000163938	0.001	0.091	    3.009
ENSG00000232748	0.004	0.088	    0.000
ENSG00000178852	0.001	0.082	   -3.491
ENSG00000095139	0.002	0.082	    0.000
ENSG00000143412	0.003	0.078	    0.000
ENSG00000162607	0.004	0.074	   -8.632
ENSG00000174516	0.004	0.072	   -3.546
ENSG00000283317	0.067	0.069	    2.426
ENSG00000274330	0.018	0.067	    0.954
ENSG00000122484	0.003	0.066	    5.818
