Gene	GRCP	GLCP	TWAS_z
ENSG00000176920	0.322	0.997	    5.717
ENSG00000143126	0.548	0.985	   32.476
ENSG00000179119	0.413	0.985	    5.894
ENSG00000087237	0.046	0.948	  -11.594
ENSG00000178685	0.001	0.632	    0.000
ENSG00000272221	0.008	0.616	    5.472
ENSG00000134243	0.123	0.582	    0.000
ENSG00000154127	0.162	0.434	    0.000
ENSG00000105705	0.029	0.347	    0.000
ENSG00000225217	0.025	0.270	    3.332
ENSG00000283317	0.263	0.263	    4.269
ENSG00000243431	0.069	0.249	   -3.716
ENSG00000100281	0.046	0.249	    0.000
ENSG00000196981	0.220	0.223	   -4.294
ENSG00000130203	0.062	0.216	    0.000
ENSG00000134824	0.013	0.149	    0.000
ENSG00000272950	0.100	0.143	   -3.458
ENSG00000103510	0.097	0.138	   -3.668
ENSG00000126001	0.018	0.136	    2.907
ENSG00000244682	0.028	0.136	    3.386
ENSG00000196821	0.046	0.125	    4.720
ENSG00000149485	0.014	0.124	   -7.686
ENSG00000119242	0.024	0.118	    0.000
ENSG00000178977	0.026	0.116	    0.000
ENSG00000272758	0.055	0.114	    0.465
ENSG00000119965	0.004	0.113	    0.000
ENSG00000198890	0.032	0.111	    3.319
ENSG00000015520	0.005	0.110	    0.000
ENSG00000115216	0.002	0.109	    0.000
ENSG00000140105	0.031	0.102	    3.797
ENSG00000057608	0.098	0.098	   -3.907
ENSG00000250091	0.039	0.093	    3.533
ENSG00000274330	0.057	0.088	    3.187
ENSG00000003056	0.026	0.085	   -3.324
ENSG00000254986	0.029	0.078	   -3.529
ENSG00000167910	0.000	0.078	    0.000
ENSG00000224331	0.003	0.077	    0.000
ENSG00000118096	0.028	0.070	    3.574
ENSG00000268297	0.046	0.068	    3.597
ENSG00000114904	0.037	0.068	    3.452
ENSG00000276952	0.013	0.066	    3.283
ENSG00000258666	0.044	0.066	    3.689
ENSG00000270028	0.012	0.063	    0.000
ENSG00000205643	0.002	0.063	    0.000
ENSG00000162676	0.001	0.063	    0.000
ENSG00000163596	0.020	0.062	    3.425
ENSG00000205978	0.005	0.060	    0.000
