Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.019	1.000	   17.740
ENSG00000142233	0.017	0.991	   -5.966
ENSG00000232871	0.162	0.980	   -5.829
ENSG00000272221	0.003	0.895	    5.575
ENSG00000204267	0.005	0.822	   -2.201
ENSG00000157895	0.008	0.821	    3.496
ENSG00000087237	0.012	0.813	  -11.408
ENSG00000186583	0.003	0.751	    0.000
ENSG00000178921	0.068	0.572	   -4.878
ENSG00000110080	0.003	0.529	   -7.333
ENSG00000100284	0.004	0.495	   -4.149
ENSG00000168496	0.004	0.477	    0.000
ENSG00000263293	0.004	0.419	   -5.158
ENSG00000280832	0.005	0.352	   -7.424
ENSG00000154127	0.004	0.264	    0.000
ENSG00000162676	0.001	0.238	   -4.898
ENSG00000111816	0.002	0.225	   -2.832
ENSG00000130943	0.002	0.197	    1.990
ENSG00000178209	0.001	0.189	    6.348
ENSG00000118096	0.003	0.185	    1.682
ENSG00000176920	0.003	0.175	    3.735
ENSG00000149485	0.003	0.170	    0.000
ENSG00000129933	0.000	0.166	    0.074
ENSG00000119965	0.012	0.130	    4.289
ENSG00000243431	0.001	0.130	   -4.075
ENSG00000203747	0.006	0.129	    0.000
ENSG00000168297	0.000	0.128	    1.229
ENSG00000138246	0.001	0.127	    0.000
ENSG00000273176	0.001	0.126	    0.000
ENSG00000173065	0.001	0.123	    3.935
ENSG00000100281	0.001	0.109	    0.000
ENSG00000160124	0.001	0.107	   -3.882
ENSG00000118369	0.003	0.104	    3.872
ENSG00000250091	0.004	0.103	    3.679
ENSG00000112640	0.004	0.101	   -3.324
ENSG00000149582	0.002	0.101	    3.703
ENSG00000103510	0.005	0.096	   -2.841
ENSG00000188672	0.001	0.095	   -6.258
ENSG00000236255	0.000	0.095	   -0.984
ENSG00000250031	0.001	0.092	    0.000
ENSG00000272950	0.004	0.092	   -3.154
ENSG00000278967	0.001	0.088	    0.000
ENSG00000163938	0.000	0.084	    2.994
ENSG00000204178	0.001	0.083	    0.000
ENSG00000196821	0.003	0.081	    4.564
ENSG00000126001	0.004	0.079	    2.942
ENSG00000103496	0.000	0.076	    0.000
ENSG00000283317	0.024	0.068	    4.003
ENSG00000125991	0.003	0.067	    4.229
ENSG00000270061	0.001	0.064	   -3.870
ENSG00000173662	0.000	0.063	   -3.256
ENSG00000122484	0.001	0.061	    5.495
ENSG00000232748	0.001	0.061	    2.943
ENSG00000272758	0.001	0.061	    1.581
ENSG00000167397	0.001	0.059	    2.898
ENSG00000163596	0.000	0.057	    0.000
ENSG00000138161	0.001	0.056	   -3.775
ENSG00000178718	0.002	0.055	    3.151
ENSG00000110880	0.000	0.049	    0.000
ENSG00000138380	0.000	0.047	   -0.792
ENSG00000138823	0.001	0.045	    0.000
ENSG00000120306	0.000	0.044	   -2.937
ENSG00000196981	0.003	0.042	   -1.454
ENSG00000174165	0.000	0.041	   -3.486
ENSG00000197586	0.000	0.041	    0.000
ENSG00000274330	0.000	0.040	    3.156
ENSG00000179195	0.001	0.040	    0.000
ENSG00000233579	0.002	0.037	    0.000
ENSG00000140105	0.002	0.037	    2.231
