Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.156	0.997	   20.597
ENSG00000142233	0.005	0.994	   -2.941
ENSG00000179119	0.366	0.990	    5.409
ENSG00000178209	0.003	0.945	    6.574
ENSG00000149485	0.018	0.920	  -11.413
ENSG00000067208	0.008	0.916	    5.272
ENSG00000087237	0.003	0.684	   -9.917
ENSG00000204178	0.003	0.637	    0.000
ENSG00000132475	0.051	0.393	    4.087
ENSG00000229124	0.004	0.323	    4.336
ENSG00000110080	0.005	0.284	    0.000
ENSG00000154127	0.003	0.214	    0.000
ENSG00000143126	0.004	0.186	    0.000
ENSG00000113161	0.006	0.185	    0.000
ENSG00000243431	0.002	0.184	   -3.807
ENSG00000119965	0.003	0.151	    3.923
ENSG00000236255	0.001	0.148	   -2.952
ENSG00000119927	0.001	0.131	    0.000
ENSG00000108479	0.002	0.124	    0.000
ENSG00000137161	0.001	0.112	    2.986
ENSG00000260912	0.001	0.112	    0.000
ENSG00000149582	0.002	0.095	    3.733
ENSG00000272758	0.006	0.083	   -0.143
ENSG00000118096	0.001	0.079	    1.811
ENSG00000125991	0.004	0.067	    4.207
ENSG00000188672	0.001	0.063	   -6.281
ENSG00000224497	0.002	0.063	    4.149
ENSG00000143412	0.003	0.062	    0.000
ENSG00000270028	0.001	0.061	    3.467
ENSG00000272950	0.004	0.060	   -3.965
ENSG00000278967	0.001	0.059	    0.000
ENSG00000138823	0.001	0.058	    0.000
ENSG00000250091	0.001	0.055	    3.468
ENSG00000111816	0.003	0.050	   -5.452
ENSG00000147485	0.000	0.048	   -3.086
ENSG00000178718	0.000	0.048	    2.714
ENSG00000145331	0.001	0.048	    0.000
ENSG00000276952	0.000	0.046	    0.000
ENSG00000015520	0.004	0.046	    0.000
ENSG00000080546	0.000	0.046	    3.175
ENSG00000120306	0.000	0.044	   -3.204
ENSG00000122008	0.004	0.044	  -12.132
ENSG00000173065	0.001	0.043	    0.000
ENSG00000145850	0.013	0.042	    0.000
ENSG00000213949	0.014	0.042	   -3.749
ENSG00000258581	0.000	0.042	   -2.912
ENSG00000196821	0.002	0.042	    0.000
ENSG00000138380	0.000	0.041	   -3.360
ENSG00000270048	0.000	0.041	    0.000
ENSG00000179195	0.001	0.040	   -3.458
ENSG00000114904	0.001	0.040	    3.269
ENSG00000178175	0.000	0.039	    0.000
ENSG00000226622	0.000	0.039	    0.000
ENSG00000103510	0.001	0.038	   -1.843
ENSG00000264538	0.000	0.036	   -2.741
ENSG00000176473	0.001	0.036	   -3.873
ENSG00000270061	0.000	0.036	    0.000
ENSG00000241720	0.001	0.035	    0.000
ENSG00000134824	0.000	0.035	    7.268
ENSG00000183726	0.000	0.034	    0.000
ENSG00000119242	0.000	0.034	    3.157
ENSG00000181524	0.000	0.033	    0.000
ENSG00000100997	0.000	0.033	   -3.140
ENSG00000258666	0.001	0.032	    3.689
ENSG00000272221	0.000	0.031	    4.647
ENSG00000163938	0.000	0.031	    2.844
ENSG00000100281	0.001	0.030	    0.000
ENSG00000178761	0.001	0.030	    0.000
ENSG00000168297	0.000	0.029	    0.000
ENSG00000260273	0.001	0.026	   -3.323
ENSG00000121769	0.000	0.026	    0.000
ENSG00000271730	0.000	0.026	    0.000
ENSG00000263603	0.000	0.026	   -2.752
ENSG00000167525	0.001	0.026	   -3.491
ENSG00000233579	0.001	0.025	    0.000
ENSG00000255517	0.002	0.025	   -1.525
ENSG00000276250	0.000	0.025	   -2.741
ENSG00000245614	0.000	0.025	   -0.289
ENSG00000232748	0.000	0.024	    2.255
ENSG00000215424	0.001	0.024	   -1.224
ENSG00000104969	0.000	0.024	    2.198
ENSG00000230155	0.000	0.023	    0.000
ENSG00000168496	0.000	0.023	    0.000
ENSG00000160124	0.001	0.022	   -1.656
ENSG00000163596	0.000	0.022	    0.000
ENSG00000272842	0.001	0.021	   -3.575
ENSG00000271654	0.000	0.021	    0.000
ENSG00000129083	0.000	0.021	    3.054
ENSG00000250031	0.000	0.021	    0.000
ENSG00000258521	0.000	0.020	   -2.943
ENSG00000204619	0.001	0.020	    0.000
ENSG00000280384	0.000	0.020	    0.000
ENSG00000138002	0.000	0.020	    0.000
ENSG00000178802	0.001	0.020	   -2.771
ENSG00000176390	0.000	0.019	   -2.906
ENSG00000115414	0.001	0.019	    0.000
ENSG00000206341	0.000	0.019	   -2.142
ENSG00000263293	0.000	0.018	    0.000
ENSG00000175548	0.001	0.018	    3.468
ENSG00000213996	0.003	0.018	   -6.393
ENSG00000176208	0.000	0.018	    2.795
ENSG00000254986	0.001	0.017	   -3.490
ENSG00000177076	0.000	0.017	    0.000
ENSG00000163684	0.000	0.017	   -0.445
ENSG00000112877	0.000	0.017	    2.905
ENSG00000280069	0.000	0.017	   -2.830
ENSG00000132478	0.001	0.017	    0.000
ENSG00000160602	0.000	0.016	    0.000
ENSG00000168300	0.000	0.016	   -3.037
ENSG00000263531	0.000	0.015	    2.627
ENSG00000134825	0.001	0.015	    0.000
ENSG00000213186	0.000	0.015	    0.000
ENSG00000101003	0.000	0.014	    0.000
ENSG00000156795	0.000	0.013	    2.938
ENSG00000206869	0.000	0.013	    0.000
ENSG00000007944	0.002	0.013	    0.000
ENSG00000088340	0.000	0.012	   -2.378
ENSG00000065308	0.000	0.012	    0.000
ENSG00000275956	0.000	0.012	    2.950
ENSG00000165912	0.000	0.011	    2.751
ENSG00000105928	0.001	0.011	    0.408
ENSG00000224468	0.000	0.011	    2.227
ENSG00000136827	0.000	0.011	   -2.156
ENSG00000160299	0.001	0.010	   -3.325
ENSG00000131899	0.000	0.010	    2.713
ENSG00000125510	0.002	0.010	    1.239
ENSG00000060688	0.000	0.009	    0.000
ENSG00000171700	0.001	0.009	    3.448
ENSG00000269938	0.000	0.009	    0.000
ENSG00000156304	0.000	0.009	    0.000
ENSG00000244122	0.000	0.009	   -0.883
ENSG00000224331	0.000	0.009	    0.000
ENSG00000178741	0.000	0.009	    0.000
ENSG00000277938	0.001	0.009	   -0.945
ENSG00000280160	0.000	0.009	   -2.999
ENSG00000260761	0.000	0.009	   -2.376
ENSG00000259124	0.000	0.009	   -2.523
ENSG00000162408	0.000	0.008	    0.000
ENSG00000280239	0.000	0.008	   -2.677
ENSG00000125995	0.000	0.008	    0.000
ENSG00000139546	0.001	0.008	    3.244
ENSG00000278828	0.001	0.008	    0.000
ENSG00000150961	0.000	0.008	    0.000
ENSG00000091536	0.000	0.008	   -2.700
ENSG00000141295	0.001	0.008	   -3.255
ENSG00000108785	0.001	0.008	   -3.324
ENSG00000113068	0.001	0.008	   -3.415
ENSG00000171680	0.000	0.008	    0.000
ENSG00000228022	0.000	0.008	    1.418
ENSG00000124713	0.000	0.007	    0.000
ENSG00000158604	0.000	0.007	    0.000
ENSG00000141456	0.000	0.007	    0.000
ENSG00000124587	0.001	0.007	    3.266
ENSG00000219626	0.000	0.007	    2.185
ENSG00000057608	0.001	0.007	   -2.440
ENSG00000228801	0.000	0.007	    0.000
ENSG00000242349	0.000	0.007	   -1.643
ENSG00000243753	0.000	0.007	    1.417
ENSG00000272288	0.001	0.007	    0.000
ENSG00000111252	0.000	0.007	    0.000
ENSG00000101019	0.000	0.007	    0.000
ENSG00000025293	0.000	0.007	    0.000
ENSG00000116641	0.000	0.007	    0.000
ENSG00000156521	0.000	0.007	    0.000
ENSG00000267082	0.000	0.007	    0.000
ENSG00000114030	0.000	0.007	    0.000
ENSG00000164849	0.000	0.007	    0.000
ENSG00000198890	0.001	0.007	    0.000
ENSG00000147454	0.001	0.007	    0.000
ENSG00000198625	0.000	0.006	   -2.743
ENSG00000175224	0.000	0.006	    0.000
ENSG00000141664	0.000	0.006	   -2.322
ENSG00000112365	0.000	0.006	    0.000
ENSG00000122483	0.000	0.006	    2.822
ENSG00000173327	0.002	0.006	    3.585
ENSG00000065243	0.000	0.006	    0.000
ENSG00000120333	0.000	0.006	    2.328
ENSG00000250462	0.000	0.006	    2.868
ENSG00000176732	0.000	0.006	    1.419
ENSG00000230939	0.000	0.006	    1.286
ENSG00000259520	0.000	0.006	   -0.244
ENSG00000106823	0.000	0.006	   -2.446
ENSG00000013573	0.000	0.006	   -2.734
ENSG00000236756	0.000	0.006	   -1.360
ENSG00000136144	0.000	0.006	    2.546
ENSG00000176155	0.000	0.006	    2.398
ENSG00000160049	0.000	0.005	    0.000
ENSG00000269997	0.000	0.005	    0.000
ENSG00000188883	0.000	0.005	   -1.545
ENSG00000172403	0.000	0.005	    0.000
ENSG00000203896	0.000	0.005	   -2.161
ENSG00000174080	0.000	0.005	    0.768
ENSG00000280832	0.000	0.005	    0.000
ENSG00000122484	0.000	0.005	    0.000
ENSG00000270672	0.000	0.005	    0.000
ENSG00000181744	0.000	0.005	    0.000
ENSG00000140506	0.000	0.005	    0.000
ENSG00000103507	0.000	0.005	    0.000
ENSG00000152439	0.000	0.005	    1.733
ENSG00000081665	0.000	0.005	    1.725
ENSG00000055957	0.000	0.005	    0.000
ENSG00000167670	0.000	0.005	   -2.047
ENSG00000241186	0.000	0.005	   -0.027
ENSG00000248121	0.000	0.005	    1.451
ENSG00000281392	0.000	0.005	    0.000
ENSG00000101333	0.000	0.005	   -2.193
ENSG00000228393	0.000	0.005	    0.000
ENSG00000167165	0.000	0.005	    0.000
ENSG00000265474	0.000	0.005	    0.000
ENSG00000259905	0.000	0.005	   -1.419
ENSG00000115129	0.000	0.005	    0.000
ENSG00000169282	0.000	0.005	    2.673
ENSG00000254858	0.000	0.005	    0.000
ENSG00000260475	0.000	0.005	    2.390
ENSG00000164404	0.000	0.005	    2.036
ENSG00000061656	0.000	0.005	    0.000
ENSG00000066230	0.001	0.005	   -1.310
ENSG00000231064	0.000	0.005	    0.000
ENSG00000223727	0.000	0.005	    0.000
ENSG00000104497	0.000	0.004	   -2.348
ENSG00000037749	0.000	0.004	    1.963
ENSG00000228252	0.000	0.004	    2.130
ENSG00000251639	0.000	0.004	   -2.098
ENSG00000241809	0.001	0.004	    0.000
ENSG00000174483	0.000	0.004	    0.000
ENSG00000233609	0.001	0.004	   -3.018
ENSG00000052344	0.000	0.004	    0.000
ENSG00000109047	0.000	0.004	    1.412
