Gene	GRCP	GLCP	TWAS_z
ENSG00000178209	0.011	0.998	    5.294
ENSG00000176920	0.166	0.994	    5.831
ENSG00000145850	0.342	0.984	    9.719
ENSG00000087237	0.026	0.980	  -11.211
ENSG00000111816	0.006	0.956	   -5.397
ENSG00000179119	0.317	0.952	    5.847
ENSG00000206337	0.001	0.626	    5.702
ENSG00000105877	0.005	0.624	    5.775
ENSG00000113161	0.010	0.552	    0.000
ENSG00000272221	0.000	0.497	    5.512
ENSG00000154262	0.077	0.354	    0.000
ENSG00000221843	0.008	0.335	    0.000
ENSG00000116641	0.002	0.257	   -9.693
ENSG00000163596	0.001	0.228	    0.000
ENSG00000243431	0.002	0.216	   -3.633
ENSG00000236255	0.002	0.206	   -2.251
ENSG00000134824	0.001	0.184	    4.054
ENSG00000100281	0.001	0.173	    0.000
ENSG00000178999	0.006	0.167	    0.000
ENSG00000224331	0.002	0.165	    0.000
ENSG00000105705	0.002	0.141	    0.000
ENSG00000118096	0.001	0.129	    3.619
ENSG00000204178	0.001	0.109	    0.000
ENSG00000270028	0.004	0.097	    3.703
ENSG00000250091	0.004	0.096	    3.701
ENSG00000112640	0.003	0.094	    0.000
ENSG00000272950	0.004	0.093	   -3.921
ENSG00000154127	0.001	0.092	    0.000
ENSG00000204613	0.002	0.092	    0.000
ENSG00000126001	0.002	0.085	    2.966
ENSG00000167910	0.000	0.084	    0.000
ENSG00000134825	0.005	0.082	   12.444
ENSG00000265474	0.001	0.074	    0.000
ENSG00000196821	0.002	0.067	    4.233
ENSG00000188672	0.002	0.067	   -6.048
ENSG00000224497	0.002	0.067	    4.174
ENSG00000178852	0.002	0.065	    0.000
ENSG00000163938	0.000	0.062	    3.025
ENSG00000057608	0.001	0.062	    0.000
ENSG00000272758	0.000	0.056	    0.627
ENSG00000263603	0.000	0.053	   -3.046
ENSG00000178718	0.000	0.052	    2.984
ENSG00000003056	0.009	0.051	   -3.747
ENSG00000273176	0.000	0.049	    0.000
ENSG00000100284	0.000	0.048	    0.000
ENSG00000250031	0.000	0.048	    0.000
ENSG00000138380	0.000	0.046	   -3.294
ENSG00000125991	0.001	0.044	    0.000
ENSG00000264538	0.000	0.040	   -2.752
ENSG00000138823	0.001	0.040	    0.000
ENSG00000258666	0.000	0.040	    3.162
ENSG00000173065	0.001	0.038	    0.000
ENSG00000117500	0.001	0.037	    3.365
ENSG00000167394	0.002	0.037	    0.000
ENSG00000196981	0.010	0.034	   -2.135
ENSG00000110880	0.000	0.034	    0.000
ENSG00000176473	0.001	0.033	   -3.745
ENSG00000137154	0.000	0.033	    0.000
ENSG00000109113	0.000	0.031	    0.000
ENSG00000263293	0.001	0.030	    0.000
ENSG00000198242	0.001	0.030	    0.000
ENSG00000140105	0.000	0.029	    0.000
ENSG00000138246	0.000	0.028	    1.397
ENSG00000100325	0.008	0.028	    0.000
ENSG00000174516	0.001	0.028	    0.000
ENSG00000162408	0.000	0.028	   -3.065
ENSG00000254986	0.001	0.027	   -3.520
ENSG00000216775	0.015	0.027	    1.973
ENSG00000156006	0.000	0.027	    0.000
ENSG00000140497	0.000	0.026	   -2.320
ENSG00000264577	0.000	0.025	    0.000
ENSG00000167525	0.001	0.025	   -3.707
ENSG00000253390	0.000	0.025	   -3.336
ENSG00000274414	0.001	0.025	    0.000
ENSG00000124713	0.001	0.024	   -2.851
ENSG00000160781	0.001	0.024	    3.522
ENSG00000168496	0.000	0.024	    0.000
ENSG00000226874	0.000	0.023	   -0.280
ENSG00000172009	0.000	0.023	   -2.608
ENSG00000260273	0.001	0.023	   -3.398
ENSG00000263531	0.000	0.023	    2.842
ENSG00000178977	0.003	0.023	    0.000
ENSG00000076604	0.000	0.022	    0.000
ENSG00000129083	0.000	0.022	    3.069
ENSG00000244593	0.000	0.022	    0.000
ENSG00000172006	0.001	0.022	   -2.579
ENSG00000198715	0.001	0.021	    2.439
ENSG00000239415	0.001	0.020	   -2.702
ENSG00000203747	0.001	0.020	    0.000
ENSG00000269938	0.000	0.020	    0.000
ENSG00000270061	0.000	0.020	    0.000
ENSG00000273226	0.001	0.019	   -3.527
ENSG00000168300	0.000	0.019	   -2.995
ENSG00000271654	0.000	0.018	    0.000
ENSG00000268297	0.001	0.018	    0.000
ENSG00000254510	0.000	0.018	    0.000
ENSG00000114030	0.000	0.018	   -3.311
ENSG00000101019	0.000	0.018	    0.000
ENSG00000272842	0.000	0.018	    0.000
ENSG00000206341	0.000	0.018	   -3.382
ENSG00000215424	0.001	0.017	   -1.115
ENSG00000113716	0.001	0.017	   -3.418
ENSG00000151006	0.001	0.016	   -2.965
ENSG00000150961	0.000	0.016	    0.000
ENSG00000015520	0.001	0.016	    0.000
ENSG00000258581	0.000	0.016	    0.000
ENSG00000119965	0.003	0.016	    0.000
ENSG00000270048	0.000	0.016	    0.000
ENSG00000271730	0.000	0.016	    0.000
ENSG00000160124	0.001	0.016	    0.000
ENSG00000167395	0.001	0.015	   -0.727
ENSG00000255435	0.000	0.015	    0.000
ENSG00000229519	0.000	0.015	    0.000
ENSG00000178175	0.000	0.015	    0.000
ENSG00000100997	0.000	0.014	   -3.024
ENSG00000255517	0.001	0.014	   -3.464
ENSG00000269997	0.000	0.014	    0.000
ENSG00000128165	0.000	0.014	   -2.885
ENSG00000164849	0.000	0.014	    0.000
ENSG00000007944	0.002	0.014	    0.000
ENSG00000227802	0.001	0.014	    0.000
ENSG00000280069	0.000	0.013	    0.000
ENSG00000108479	0.000	0.013	    0.000
ENSG00000132510	0.004	0.013	    0.000
ENSG00000146386	0.002	0.012	    2.984
ENSG00000164713	0.000	0.012	    0.000
ENSG00000114904	0.001	0.011	    3.033
ENSG00000143412	0.001	0.011	    0.000
ENSG00000179195	0.000	0.011	    0.000
ENSG00000198952	0.001	0.011	    3.464
ENSG00000227766	0.000	0.011	    3.260
ENSG00000140543	0.000	0.011	    0.000
ENSG00000270130	0.000	0.011	    0.000
ENSG00000132478	0.001	0.011	    0.000
ENSG00000119242	0.000	0.011	    2.801
ENSG00000178761	0.000	0.011	    0.000
ENSG00000244682	0.000	0.010	    2.822
ENSG00000075292	0.000	0.010	    3.250
ENSG00000175548	0.000	0.010	    0.000
ENSG00000280832	0.001	0.010	    0.000
ENSG00000168685	0.000	0.010	    0.000
ENSG00000160602	0.000	0.010	    0.000
ENSG00000155085	0.000	0.010	    1.538
ENSG00000121769	0.000	0.009	    0.000
ENSG00000245614	0.000	0.009	    2.739
ENSG00000122483	0.000	0.009	    2.301
ENSG00000281392	0.000	0.009	    0.000
ENSG00000113810	0.000	0.009	   -3.081
ENSG00000198758	0.000	0.009	    0.000
ENSG00000117505	0.000	0.009	   -2.982
ENSG00000172893	0.000	0.008	   -2.740
ENSG00000172548	0.000	0.008	    1.802
ENSG00000156521	0.000	0.008	    0.000
ENSG00000198890	0.001	0.008	    3.248
ENSG00000181744	0.000	0.008	    2.039
ENSG00000265791	0.000	0.008	   -3.152
ENSG00000140107	0.001	0.008	    0.000
ENSG00000167397	0.000	0.008	   -2.775
ENSG00000185250	0.000	0.008	    0.000
ENSG00000103507	0.000	0.008	    0.000
ENSG00000167674	0.000	0.008	   -3.208
ENSG00000254858	0.000	0.007	   -3.037
ENSG00000223947	0.000	0.007	    0.000
ENSG00000013573	0.000	0.007	   -2.741
ENSG00000079332	0.000	0.007	   -0.523
ENSG00000173662	0.000	0.007	    0.000
ENSG00000251287	0.000	0.007	    1.440
ENSG00000232479	0.000	0.007	    0.000
ENSG00000125995	0.000	0.007	    0.000
ENSG00000160299	0.001	0.007	   -3.269
ENSG00000280160	0.000	0.007	   -2.965
ENSG00000283360	0.000	0.007	    0.000
ENSG00000130584	0.000	0.007	    0.000
ENSG00000172403	0.000	0.007	    0.000
ENSG00000141295	0.001	0.007	   -3.531
ENSG00000203896	0.000	0.007	   -2.961
ENSG00000197217	0.001	0.006	    0.000
ENSG00000173327	0.001	0.006	    3.554
ENSG00000124587	0.001	0.006	    3.273
ENSG00000228252	0.000	0.006	    1.795
ENSG00000250069	0.000	0.006	    0.000
ENSG00000230224	0.000	0.006	   -2.843
ENSG00000130518	0.000	0.006	   -2.483
ENSG00000227533	0.000	0.006	   -2.515
ENSG00000238741	0.000	0.006	    0.000
ENSG00000164405	0.000	0.006	    0.000
ENSG00000143226	0.000	0.006	    0.000
ENSG00000230939	0.000	0.006	    1.314
ENSG00000270672	0.000	0.006	    0.000
ENSG00000153993	0.000	0.006	    2.787
ENSG00000226469	0.000	0.006	   -4.473
ENSG00000270060	0.000	0.005	    0.000
ENSG00000236756	0.000	0.005	   -1.769
ENSG00000142552	0.000	0.005	    2.506
ENSG00000172482	0.000	0.005	   -2.358
ENSG00000112339	0.000	0.005	    0.000
ENSG00000121897	0.000	0.005	    1.735
ENSG00000220205	0.000	0.005	    0.000
ENSG00000163577	0.000	0.005	    0.000
ENSG00000107779	0.000	0.005	   -2.625
ENSG00000136878	0.000	0.005	    0.000
ENSG00000073060	0.001	0.005	    0.000
ENSG00000174165	0.000	0.005	    0.000
ENSG00000167670	0.000	0.005	   -2.223
ENSG00000283992	0.000	0.005	    1.420
ENSG00000258792	0.000	0.005	    0.000
ENSG00000227262	0.000	0.005	    2.139
ENSG00000167165	0.000	0.005	    0.000
ENSG00000206503	0.000	0.005	    1.155
ENSG00000272601	0.000	0.005	    0.000
ENSG00000272076	0.000	0.005	    0.000
ENSG00000213463	0.000	0.005	   -2.322
ENSG00000175224	0.000	0.005	    0.000
ENSG00000227124	0.000	0.005	   -2.698
ENSG00000257219	0.000	0.005	    2.713
ENSG00000156795	0.000	0.005	    2.909
ENSG00000160285	0.000	0.005	   -1.295
ENSG00000248635	0.000	0.005	    0.551
ENSG00000127831	0.000	0.005	    0.000
ENSG00000280828	0.000	0.004	   -1.622
ENSG00000254420	0.000	0.004	    0.000
ENSG00000227141	0.000	0.004	    0.000
ENSG00000241635	0.001	0.004	   -3.387
ENSG00000109576	0.000	0.004	   -2.484
ENSG00000282499	0.000	0.004	    0.000
ENSG00000274330	0.000	0.004	    0.000
ENSG00000212464	0.000	0.004	    0.000
ENSG00000174483	0.000	0.004	    0.000
ENSG00000230155	0.000	0.004	    0.000
ENSG00000244122	0.000	0.004	    0.000
ENSG00000243135	0.000	0.004	    0.000
ENSG00000249846	0.000	0.004	    2.219
ENSG00000182362	0.000	0.004	    2.118
ENSG00000223745	0.000	0.004	    2.293
ENSG00000181104	0.000	0.004	   -1.955
ENSG00000135930	0.000	0.004	    2.122
ENSG00000231074	0.000	0.004	   -2.330
ENSG00000135862	0.000	0.004	    0.000
ENSG00000234484	0.000	0.004	    0.000
ENSG00000283050	0.000	0.004	    0.900
ENSG00000259374	0.000	0.004	    0.000
ENSG00000203737	0.000	0.004	    0.000
ENSG00000270095	0.000	0.004	    0.000
ENSG00000236675	0.000	0.004	    0.000
ENSG00000130303	0.000	0.004	    0.000
ENSG00000213759	0.000	0.004	   -1.448
ENSG00000256073	0.000	0.004	    0.881
ENSG00000166848	0.000	0.004	    0.000
ENSG00000204219	0.000	0.004	    0.000
ENSG00000274372	0.000	0.004	    0.000
ENSG00000213542	0.000	0.004	   -2.581
ENSG00000176155	0.000	0.004	    2.011
ENSG00000127952	0.000	0.004	    1.867
ENSG00000273391	0.000	0.004	    1.849
ENSG00000280138	0.000	0.004	    0.000
ENSG00000119782	0.000	0.004	   -1.827
ENSG00000115129	0.000	0.004	   -1.563
ENSG00000234608	0.000	0.004	   -4.593
ENSG00000205085	0.000	0.004	   -1.705
ENSG00000104969	0.000	0.004	    0.000
ENSG00000176390	0.000	0.004	    0.000
ENSG00000250696	0.000	0.004	   -1.376
ENSG00000067208	0.000	0.004	    0.000
ENSG00000276250	0.000	0.004	    0.000
ENSG00000261250	0.000	0.004	   -2.212
ENSG00000256771	0.000	0.004	    0.813
ENSG00000184619	0.000	0.004	    3.260
ENSG00000136816	0.000	0.004	   -2.807
ENSG00000284052	0.000	0.004	    0.000
ENSG00000266200	0.000	0.004	   -3.095
ENSG00000270885	0.000	0.004	    0.000
ENSG00000178971	0.000	0.004	    3.479
ENSG00000130540	0.000	0.004	   -2.630
ENSG00000230521	0.000	0.004	    0.787
ENSG00000228716	0.000	0.004	   -0.996
ENSG00000228078	0.000	0.004	   -3.755
ENSG00000165650	0.000	0.004	   -0.887
ENSG00000106560	0.000	0.004	   -1.521
ENSG00000212126	0.000	0.003	   -1.684
ENSG00000198093	0.000	0.003	   -2.251
ENSG00000180185	0.000	0.003	    0.683
ENSG00000115128	0.000	0.003	   -2.113
ENSG00000011021	0.000	0.003	    1.265
ENSG00000116791	0.000	0.003	    1.752
ENSG00000162267	0.000	0.003	    0.000
ENSG00000132589	0.000	0.003	    0.000
ENSG00000276248	0.000	0.003	    1.530
ENSG00000150403	0.000	0.003	    1.497
ENSG00000168826	0.000	0.003	    0.000
ENSG00000052749	0.000	0.003	    1.586
ENSG00000256274	0.000	0.003	   -0.267
ENSG00000179406	0.000	0.003	    0.561
ENSG00000248648	0.000	0.003	    0.000
ENSG00000279425	0.000	0.003	   -1.068
ENSG00000267011	0.000	0.003	    0.000
ENSG00000138750	0.000	0.003	   -1.217
ENSG00000079689	0.000	0.003	    0.000
ENSG00000172354	0.000	0.003	    0.000
ENSG00000197894	0.000	0.003	    1.755
ENSG00000107554	0.000	0.003	   -2.434
ENSG00000268858	0.000	0.003	    0.000
ENSG00000246250	0.000	0.003	    2.869
ENSG00000248810	0.000	0.003	    1.669
ENSG00000175749	0.000	0.003	    1.969
ENSG00000281490	0.000	0.003	   -0.336
ENSG00000262766	0.000	0.003	    0.000
ENSG00000268070	0.000	0.003	    0.000
ENSG00000088451	0.000	0.003	    2.569
ENSG00000141294	0.000	0.003	    0.089
ENSG00000183726	0.000	0.003	    0.000
ENSG00000168038	0.000	0.003	   -1.303
ENSG00000138744	0.000	0.003	    1.872
ENSG00000114796	0.000	0.003	    1.326
ENSG00000138801	0.000	0.003	    0.604
ENSG00000255163	0.000	0.003	    1.506
ENSG00000232216	0.000	0.003	    0.304
ENSG00000175054	0.000	0.003	   -1.859
ENSG00000214078	0.000	0.003	   -2.799
ENSG00000135587	0.000	0.003	   -2.792
ENSG00000259407	0.000	0.003	    0.532
ENSG00000250376	0.000	0.003	   -1.531
ENSG00000213066	0.000	0.003	    0.000
ENSG00000185627	0.000	0.003	   -2.039
ENSG00000156304	0.000	0.003	    0.000
ENSG00000136819	0.000	0.003	    0.000
ENSG00000250412	0.000	0.003	    0.000
ENSG00000227373	0.000	0.003	   -2.207
ENSG00000151575	0.000	0.003	   -1.423
ENSG00000213693	0.000	0.003	    0.000
ENSG00000163913	0.000	0.003	    2.136
ENSG00000172771	0.000	0.003	    0.000
ENSG00000243795	0.000	0.003	   -2.404
ENSG00000169231	0.000	0.003	   -3.005
ENSG00000127249	0.000	0.003	   -1.832
ENSG00000113758	0.000	0.003	    0.000
ENSG00000138190	0.000	0.003	    0.000
ENSG00000275052	0.000	0.003	   -2.441
ENSG00000267575	0.000	0.003	    0.900
ENSG00000121350	0.000	0.003	   -1.487
ENSG00000135372	0.000	0.003	   -1.577
ENSG00000140474	0.000	0.003	    0.000
ENSG00000157106	0.000	0.003	   -1.790
ENSG00000278017	0.000	0.003	    0.000
ENSG00000257594	0.000	0.003	    0.000
ENSG00000100106	0.000	0.003	   -2.102
ENSG00000259295	0.000	0.003	    0.924
ENSG00000160447	0.001	0.003	    3.341
ENSG00000181126	0.000	0.003	   -0.598
ENSG00000166839	0.000	0.003	   -2.241
ENSG00000137831	0.000	0.003	    0.000
ENSG00000274576	0.000	0.003	    0.512
ENSG00000272599	0.000	0.003	   -1.404
ENSG00000138496	0.000	0.003	    0.000
ENSG00000242600	0.000	0.002	    2.363
ENSG00000139668	0.000	0.002	    0.000
ENSG00000273340	0.000	0.002	   -0.097
ENSG00000142207	0.000	0.002	   -2.470
ENSG00000160679	0.000	0.002	   -1.863
ENSG00000173272	0.000	0.002	    1.070
ENSG00000081665	0.000	0.002	    2.274
ENSG00000213430	0.000	0.002	    0.000
ENSG00000214184	0.000	0.002	   -1.802
ENSG00000162607	0.000	0.002	    0.000
ENSG00000258053	0.000	0.002	   -1.250
ENSG00000169241	0.000	0.002	    0.000
ENSG00000185862	0.000	0.002	    0.000
ENSG00000271344	0.000	0.002	   -1.628
ENSG00000197124	0.000	0.002	    1.827
ENSG00000158156	0.000	0.002	    0.000
ENSG00000278811	0.000	0.002	    0.935
ENSG00000134851	0.000	0.002	   -1.060
ENSG00000255837	0.000	0.002	   -0.498
ENSG00000143340	0.000	0.002	    0.000
ENSG00000126464	0.000	0.002	   -1.834
ENSG00000277290	0.000	0.002	   -2.007
ENSG00000168268	0.000	0.002	    2.008
ENSG00000272941	0.000	0.002	   -0.909
ENSG00000230715	0.000	0.002	   -1.024
ENSG00000276916	0.000	0.002	    0.000
ENSG00000231952	0.000	0.002	   -0.993
ENSG00000141699	0.000	0.002	    0.000
ENSG00000010072	0.000	0.002	   -0.188
ENSG00000071246	0.000	0.002	    2.297
ENSG00000272288	0.000	0.002	    0.000
ENSG00000101489	0.000	0.002	    0.939
ENSG00000247121	0.000	0.002	    0.748
ENSG00000141456	0.000	0.002	    0.000
ENSG00000117697	0.000	0.002	   -2.235
ENSG00000198625	0.000	0.002	   -1.567
ENSG00000267419	0.000	0.002	    2.400
ENSG00000145777	0.000	0.002	    0.000
ENSG00000120669	0.000	0.002	   -0.596
ENSG00000088930	0.000	0.002	   -1.785
ENSG00000076650	0.000	0.002	    0.000
ENSG00000135913	0.000	0.002	    1.294
ENSG00000166262	0.000	0.002	    0.000
ENSG00000138777	0.000	0.002	    1.581
ENSG00000133706	0.000	0.002	    1.102
ENSG00000145725	0.000	0.002	   -1.989
ENSG00000211750	0.000	0.002	    0.000
ENSG00000136463	0.000	0.002	    0.000
ENSG00000196072	0.000	0.002	    1.016
ENSG00000016864	0.000	0.002	    0.000
ENSG00000196544	0.000	0.002	    0.000
ENSG00000272966	0.000	0.002	   -2.246
ENSG00000125629	0.000	0.002	    2.324
ENSG00000254503	0.000	0.002	    0.000
ENSG00000168827	0.000	0.002	    1.778
ENSG00000033327	0.000	0.002	    0.000
ENSG00000223542	0.000	0.002	   -2.327
ENSG00000234127	0.000	0.002	    0.000
ENSG00000149089	0.000	0.002	   -0.847
ENSG00000170571	0.000	0.002	   -1.288
ENSG00000124207	0.000	0.002	    0.778
ENSG00000217130	0.000	0.002	    0.000
ENSG00000125498	0.000	0.002	    0.000
ENSG00000243335	0.000	0.002	    0.000
ENSG00000226091	0.000	0.002	    1.172
ENSG00000256574	0.000	0.002	    1.936
ENSG00000266677	0.000	0.002	    0.000
ENSG00000213963	0.000	0.002	   -1.865
