Gene	GRCP	GLCP	TWAS_z
ENSG00000178209	0.053	0.976	    6.906
ENSG00000179119	0.290	0.951	    5.819
ENSG00000178719	0.020	0.821	    6.765
ENSG00000145850	0.489	0.818	   10.058
ENSG00000176920	0.038	0.780	    5.859
ENSG00000111816	0.004	0.762	   -5.523
ENSG00000087237	0.026	0.569	    0.000
ENSG00000272221	0.000	0.497	    4.335
ENSG00000116641	0.003	0.354	  -10.178
ENSG00000156006	0.003	0.349	    4.162
ENSG00000241106	0.003	0.253	   -0.302
ENSG00000100284	0.002	0.192	   -3.741
ENSG00000168297	0.000	0.191	    2.133
ENSG00000178852	0.001	0.186	   -0.387
ENSG00000236255	0.001	0.180	   -2.963
ENSG00000176909	0.001	0.176	    0.000
ENSG00000132591	0.002	0.147	    0.000
ENSG00000264577	0.002	0.143	    0.000
ENSG00000269938	0.001	0.140	   -3.449
ENSG00000283317	0.014	0.115	    3.346
ENSG00000225791	0.014	0.115	   -5.178
ENSG00000204178	0.001	0.097	    0.000
ENSG00000272758	0.005	0.097	   -0.269
ENSG00000119965	0.036	0.084	    4.592
ENSG00000196821	0.003	0.083	    4.642
ENSG00000163938	0.000	0.078	    2.977
ENSG00000188672	0.001	0.075	    0.000
ENSG00000146540	0.001	0.074	    3.564
ENSG00000224497	0.003	0.072	    4.176
ENSG00000118369	0.003	0.072	    3.877
ENSG00000226622	0.001	0.072	   -4.172
ENSG00000232748	0.001	0.070	    3.258
ENSG00000103510	0.003	0.070	   -2.354
ENSG00000125991	0.001	0.068	    3.670
ENSG00000115414	0.003	0.060	    0.000
ENSG00000160124	0.001	0.060	    3.014
ENSG00000248746	0.001	0.059	    3.368
ENSG00000243431	0.002	0.058	   -3.527
ENSG00000174516	0.001	0.058	    0.000
ENSG00000250091	0.001	0.057	    3.496
ENSG00000171680	0.000	0.056	    3.242
ENSG00000273091	0.000	0.055	    1.999
ENSG00000134825	0.001	0.055	   11.893
ENSG00000110880	0.000	0.052	    0.000
ENSG00000100281	0.000	0.051	    0.000
ENSG00000198890	0.001	0.050	    3.383
ENSG00000250031	0.000	0.049	    0.000
ENSG00000121766	0.002	0.049	   -3.682
ENSG00000274330	0.006	0.048	    3.327
ENSG00000168496	0.000	0.047	    0.000
ENSG00000178977	0.008	0.046	    0.000
ENSG00000137154	0.001	0.046	    0.000
ENSG00000178175	0.000	0.044	    0.000
ENSG00000213949	0.012	0.044	   -4.135
ENSG00000273176	0.000	0.044	    0.000
ENSG00000134824	0.000	0.043	    5.884
ENSG00000176390	0.000	0.043	   -2.865
ENSG00000174080	0.001	0.042	    0.534
ENSG00000258581	0.001	0.042	    3.695
