Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.041	1.000	   12.642
ENSG00000178209	0.007	0.999	    6.808
ENSG00000087237	0.006	0.994	  -11.433
ENSG00000142233	0.074	0.994	   -4.776
ENSG00000232871	0.148	0.994	   -4.407
ENSG00000084674	0.025	0.960	    8.703
ENSG00000186583	0.005	0.929	    6.288
ENSG00000179119	0.399	0.912	    6.202
ENSG00000282097	0.084	0.858	    7.423
ENSG00000084734	0.009	0.754	    5.092
ENSG00000138002	0.006	0.676	    4.177
ENSG00000178977	0.036	0.633	    5.106
ENSG00000206869	0.003	0.524	   -3.408
ENSG00000273176	0.003	0.510	    4.001
ENSG00000205643	0.009	0.468	   -1.726
ENSG00000204791	0.001	0.441	    0.000
ENSG00000116641	0.002	0.421	   -3.543
ENSG00000229124	0.014	0.409	    3.338
ENSG00000241106	0.065	0.370	    0.692
ENSG00000100281	0.002	0.365	    4.206
ENSG00000145331	0.002	0.337	   -0.877
ENSG00000143412	0.011	0.328	   -1.015
ENSG00000154127	0.004	0.313	    0.120
ENSG00000204520	0.009	0.311	    4.229
ENSG00000100284	0.004	0.290	   -4.105
ENSG00000113161	0.007	0.262	    0.000
ENSG00000227630	0.001	0.245	    0.502
ENSG00000095139	0.002	0.240	    3.750
ENSG00000183726	0.001	0.239	    0.909
ENSG00000149582	0.003	0.235	    3.821
ENSG00000233579	0.001	0.221	    0.000
ENSG00000187664	0.005	0.206	    2.283
ENSG00000253111	0.001	0.203	    0.000
ENSG00000115414	0.004	0.158	    0.000
ENSG00000279227	0.001	0.152	   -5.235
ENSG00000269938	0.001	0.151	   -3.886
ENSG00000139618	0.010	0.145	   -2.121
ENSG00000199332	0.000	0.139	    3.147
ENSG00000110880	0.001	0.137	    3.161
ENSG00000187837	0.001	0.137	    0.000
ENSG00000224331	0.001	0.135	    0.000
ENSG00000168496	0.001	0.132	    0.000
ENSG00000132478	0.001	0.131	   -0.207
ENSG00000138772	0.005	0.131	    1.234
ENSG00000204178	0.004	0.120	   -6.421
ENSG00000157992	0.003	0.113	   -1.168
ENSG00000250091	0.003	0.111	    2.531
ENSG00000280832	0.003	0.109	    0.000
ENSG00000089234	0.001	0.109	    0.000
ENSG00000125991	0.001	0.108	    3.705
ENSG00000113163	0.001	0.103	   13.250
ENSG00000204287	0.000	0.100	   -7.377
ENSG00000121766	0.001	0.096	   -3.499
ENSG00000138439	0.000	0.095	    3.362
ENSG00000126001	0.003	0.091	    1.627
ENSG00000111252	0.008	0.091	    0.000
ENSG00000204574	0.002	0.090	   -1.284
ENSG00000146540	0.001	0.088	    0.875
ENSG00000267444	0.002	0.084	   -0.401
ENSG00000196981	0.002	0.083	   -3.053
ENSG00000179195	0.002	0.083	   -3.464
ENSG00000119965	0.022	0.082	    4.347
ENSG00000096093	0.001	0.081	   -3.210
ENSG00000140105	0.001	0.076	    2.497
ENSG00000270095	0.001	0.074	   -0.769
ENSG00000269947	0.001	0.074	   -0.712
ENSG00000122484	0.001	0.072	    5.475
ENSG00000140829	0.000	0.071	    0.000
ENSG00000224497	0.002	0.071	    4.137
ENSG00000271730	0.000	0.068	    3.200
ENSG00000269997	0.001	0.066	   -3.233
ENSG00000272950	0.004	0.066	   -3.682
ENSG00000270604	0.001	0.061	   -2.617
ENSG00000065308	0.010	0.058	    1.443
ENSG00000186010	0.000	0.057	   -1.241
ENSG00000270061	0.000	0.057	    0.000
ENSG00000066084	0.001	0.056	    0.760
ENSG00000149485	0.001	0.056	  -11.091
ENSG00000118096	0.005	0.055	    1.732
ENSG00000143226	0.002	0.055	    1.802
ENSG00000241635	0.002	0.053	    0.000
ENSG00000003056	0.011	0.053	   -3.597
ENSG00000162408	0.000	0.052	   -3.135
ENSG00000138823	0.001	0.052	    0.000
ENSG00000221843	0.005	0.052	    4.921
ENSG00000167394	0.003	0.051	    3.737
ENSG00000178719	0.000	0.050	    1.542
ENSG00000136271	0.003	0.048	    0.000
ENSG00000109917	0.001	0.048	    1.586
ENSG00000235545	0.003	0.047	    3.439
ENSG00000226871	0.000	0.047	   -2.997
ENSG00000109113	0.001	0.043	   -3.320
ENSG00000112365	0.000	0.042	    3.319
ENSG00000118369	0.005	0.042	    4.022
ENSG00000015520	0.003	0.040	    0.000
ENSG00000169242	0.001	0.039	    3.358
ENSG00000258666	0.002	0.039	    3.666
ENSG00000197536	0.001	0.038	    1.564
ENSG00000255557	0.000	0.037	    1.778
ENSG00000120306	0.000	0.036	   -2.889
ENSG00000131051	0.000	0.036	    0.000
ENSG00000150961	0.000	0.036	   -2.597
ENSG00000163939	0.001	0.036	   -3.010
ENSG00000113810	0.000	0.034	   -3.236
ENSG00000213949	0.005	0.034	   -2.749
ENSG00000178971	0.008	0.034	   -0.679
ENSG00000103507	0.001	0.034	    0.000
ENSG00000016864	0.001	0.033	   -3.163
ENSG00000283317	0.006	0.033	    1.934
ENSG00000172493	0.001	0.033	    3.456
ENSG00000276952	0.000	0.032	   -3.099
ENSG00000076604	0.001	0.032	    3.776
ENSG00000113068	0.001	0.031	   -3.518
ENSG00000243431	0.002	0.030	   -3.658
ENSG00000103653	0.001	0.030	    2.214
ENSG00000169756	0.004	0.030	    1.665
ENSG00000185250	0.001	0.029	    2.270
ENSG00000125965	0.000	0.029	    3.107
