Gene	GRCP	GLCP	TWAS_z
ENSG00000178209	0.029	0.966	    6.673
ENSG00000188672	0.029	0.905	   -6.499
ENSG00000272221	0.004	0.896	    5.424
ENSG00000149485	0.023	0.873	  -11.036
ENSG00000179119	0.177	0.707	    5.483
ENSG00000142233	0.031	0.643	    0.000
ENSG00000134824	0.004	0.573	    0.000
ENSG00000204178	0.003	0.432	    0.000
ENSG00000134222	0.054	0.430	    7.751
ENSG00000100281	0.003	0.401	    4.126
ENSG00000270933	0.001	0.252	    0.000
ENSG00000134825	0.002	0.231	    0.000
ENSG00000228962	0.001	0.213	   -6.980
ENSG00000100284	0.001	0.197	    0.000
ENSG00000237614	0.024	0.149	    0.000
ENSG00000124181	0.002	0.147	    0.000
ENSG00000118096	0.001	0.133	    3.103
ENSG00000197653	0.001	0.131	    3.482
ENSG00000119965	0.014	0.125	    3.737
ENSG00000112339	0.001	0.103	    0.000
ENSG00000272950	0.005	0.092	   -3.970
ENSG00000270028	0.001	0.085	    0.000
ENSG00000250091	0.002	0.080	    0.000
ENSG00000163938	0.000	0.058	    0.000
ENSG00000095139	0.000	0.057	    0.000
ENSG00000273176	0.000	0.055	    0.000
ENSG00000242748	0.004	0.054	    0.000
ENSG00000278967	0.001	0.054	    0.000
ENSG00000271654	0.000	0.043	    0.000
ENSG00000255517	0.001	0.043	   -3.564
ENSG00000015520	0.006	0.041	    0.000
ENSG00000057608	0.001	0.040	   -3.227
ENSG00000215788	0.000	0.039	    0.000
ENSG00000264538	0.000	0.038	   -2.777
ENSG00000137161	0.000	0.038	    0.000
ENSG00000168297	0.000	0.036	    0.000
ENSG00000244682	0.002	0.036	    0.000
ENSG00000254986	0.000	0.036	    0.000
ENSG00000270130	0.000	0.036	    0.000
ENSG00000250462	0.000	0.036	    0.000
ENSG00000115414	0.001	0.035	    0.000
ENSG00000178719	0.000	0.033	    0.000
ENSG00000196981	0.002	0.032	   -2.154
ENSG00000247595	0.000	0.032	    0.000
ENSG00000178718	0.000	0.029	    0.000
ENSG00000171680	0.001	0.028	    3.505
ENSG00000162676	0.000	0.027	    0.000
ENSG00000149582	0.000	0.026	    0.000
ENSG00000227855	0.000	0.026	    3.234
ENSG00000272758	0.000	0.026	    0.000
ENSG00000239415	0.001	0.026	   -3.386
ENSG00000214659	0.001	0.026	    0.019
ENSG00000076003	0.000	0.025	    0.000
ENSG00000140105	0.000	0.025	    0.000
ENSG00000257017	0.000	0.025	    0.000
ENSG00000204520	0.000	0.024	    3.588
ENSG00000132855	0.000	0.023	    0.000
ENSG00000173065	0.001	0.023	    0.000
ENSG00000241370	0.001	0.023	    0.000
ENSG00000179029	0.000	0.023	    0.000
ENSG00000198890	0.001	0.022	    0.000
ENSG00000157895	0.000	0.022	    3.616
ENSG00000272288	0.002	0.021	    0.000
ENSG00000113810	0.000	0.021	   -3.184
ENSG00000260273	0.001	0.020	   -2.807
ENSG00000013573	0.000	0.020	   -2.760
ENSG00000160606	0.001	0.020	    0.000
ENSG00000196544	0.000	0.020	    0.000
ENSG00000263603	0.000	0.019	   -2.760
ENSG00000172006	0.000	0.019	   -2.667
ENSG00000263293	0.000	0.019	    0.000
ENSG00000280069	0.000	0.019	    0.000
ENSG00000176390	0.001	0.019	   -4.174
ENSG00000138380	0.000	0.018	   -3.666
ENSG00000132475	0.002	0.018	    0.000
ENSG00000224497	0.002	0.018	    4.190
ENSG00000269997	0.000	0.018	    0.000
ENSG00000076604	0.000	0.017	    0.000
ENSG00000084734	0.002	0.017	    0.000
ENSG00000229519	0.000	0.017	    0.000
ENSG00000162408	0.000	0.017	    0.000
ENSG00000223947	0.000	0.017	    0.000
ENSG00000140107	0.000	0.016	    0.000
ENSG00000229124	0.001	0.016	    0.000
ENSG00000258521	0.000	0.015	   -2.872
ENSG00000007944	0.002	0.014	    0.000
ENSG00000271730	0.000	0.014	    0.000
ENSG00000138439	0.000	0.014	    0.000
ENSG00000132478	0.001	0.014	    0.000
ENSG00000114904	0.000	0.014	    0.000
ENSG00000215424	0.000	0.014	    0.000
ENSG00000228801	0.000	0.014	    0.000
ENSG00000116641	0.000	0.013	    0.000
ENSG00000165912	0.000	0.013	    0.000
ENSG00000276952	0.000	0.013	    0.000
ENSG00000124713	0.000	0.012	   -2.788
ENSG00000273226	0.000	0.012	   -3.182
ENSG00000117500	0.000	0.012	    2.888
ENSG00000248746	0.000	0.012	    0.000
ENSG00000177076	0.000	0.012	    0.000
ENSG00000224331	0.000	0.012	    0.000
ENSG00000150961	0.000	0.011	    0.000
ENSG00000250031	0.000	0.011	    0.000
ENSG00000138246	0.000	0.011	    0.000
ENSG00000263531	0.000	0.011	    2.700
ENSG00000154175	0.000	0.011	   -2.184
ENSG00000163913	0.000	0.011	    0.000
ENSG00000125510	0.001	0.010	    3.623
ENSG00000168496	0.000	0.010	    0.000
ENSG00000156006	0.002	0.010	    0.000
ENSG00000246250	0.000	0.010	   -0.649
ENSG00000156795	0.000	0.010	    2.615
ENSG00000178175	0.000	0.010	    0.000
ENSG00000204592	0.000	0.010	   -2.979
ENSG00000267082	0.002	0.009	   -4.208
ENSG00000160299	0.001	0.009	   -3.428
ENSG00000280300	0.000	0.009	    0.000
ENSG00000276250	0.000	0.009	   -2.737
ENSG00000164849	0.000	0.009	    0.000
ENSG00000250069	0.000	0.009	    0.000
ENSG00000166321	0.000	0.008	   -1.655
ENSG00000173662	0.000	0.008	    0.000
ENSG00000130173	0.001	0.008	    0.000
ENSG00000270048	0.000	0.008	    0.000
ENSG00000124587	0.001	0.008	    3.434
ENSG00000228022	0.000	0.008	    1.659
ENSG00000172403	0.000	0.008	    0.000
ENSG00000272842	0.000	0.008	    0.000
ENSG00000266904	0.000	0.008	    1.171
ENSG00000135587	0.000	0.007	   -2.840
ENSG00000280239	0.000	0.007	   -2.346
ENSG00000280160	0.000	0.007	    0.000
ENSG00000259520	0.000	0.007	   -0.219
ENSG00000196821	0.000	0.007	    0.000
ENSG00000141295	0.001	0.007	   -3.289
ENSG00000125991	0.000	0.007	    0.000
ENSG00000198874	0.000	0.007	   -0.664
ENSG00000219626	0.000	0.007	    2.062
ENSG00000154582	0.000	0.006	    0.000
ENSG00000227533	0.000	0.006	   -2.496
ENSG00000100997	0.000	0.006	   -3.100
ENSG00000274719	0.000	0.006	   -2.678
ENSG00000145723	0.000	0.006	    1.931
ENSG00000236255	0.000	0.006	    0.085
ENSG00000260911	0.000	0.006	   -1.335
ENSG00000231074	0.000	0.006	   -0.191
ENSG00000267592	0.000	0.006	   -2.681
ENSG00000122477	0.000	0.005	   -2.048
ENSG00000126001	0.000	0.005	    0.000
ENSG00000213463	0.000	0.005	   -2.538
ENSG00000173905	0.000	0.005	    0.000
ENSG00000185591	0.000	0.005	   -2.340
ENSG00000270095	0.000	0.005	    0.000
ENSG00000251639	0.000	0.005	   -2.145
ENSG00000081665	0.000	0.005	    1.576
ENSG00000203747	0.000	0.005	    0.000
ENSG00000114902	0.000	0.005	    0.000
ENSG00000075826	0.000	0.005	    2.152
ENSG00000160298	0.000	0.005	   -0.373
ENSG00000227124	0.000	0.005	   -2.734
ENSG00000258666	0.000	0.005	    0.000
ENSG00000271553	0.000	0.005	    1.279
ENSG00000163281	0.000	0.005	    0.139
ENSG00000202533	0.000	0.005	    0.000
ENSG00000174165	0.000	0.005	    0.000
ENSG00000132199	0.000	0.005	    2.531
ENSG00000173327	0.001	0.005	    3.602
ENSG00000249846	0.000	0.005	    1.559
ENSG00000146540	0.000	0.005	    0.000
ENSG00000260646	0.000	0.005	    0.000
ENSG00000224251	0.000	0.005	   -2.305
ENSG00000147485	0.000	0.005	    0.000
ENSG00000241170	0.000	0.005	   -1.445
ENSG00000187553	0.000	0.005	    0.000
ENSG00000167670	0.000	0.005	   -1.292
ENSG00000137312	0.000	0.005	    1.523
ENSG00000003056	0.000	0.004	    0.000
ENSG00000184925	0.000	0.004	    2.729
ENSG00000254420	0.000	0.004	    0.000
ENSG00000283317	0.001	0.004	    2.128
ENSG00000136878	0.000	0.004	    2.506
ENSG00000262766	0.000	0.004	    0.000
ENSG00000242252	0.000	0.004	    0.000
ENSG00000280832	0.000	0.004	    0.000
ENSG00000280231	0.000	0.004	    0.000
ENSG00000215529	0.000	0.004	    2.974
ENSG00000169242	0.000	0.004	    0.000
ENSG00000145692	0.000	0.004	   -1.948
ENSG00000261758	0.000	0.004	    2.861
ENSG00000110080	0.000	0.004	    0.000
ENSG00000105953	0.000	0.004	    0.000
ENSG00000260095	0.000	0.004	    2.399
ENSG00000259374	0.000	0.004	    0.000
ENSG00000101004	0.000	0.004	    2.694
ENSG00000256274	0.000	0.004	   -0.229
ENSG00000122483	0.000	0.004	    0.000
ENSG00000143226	0.000	0.004	    0.000
ENSG00000229097	0.000	0.004	    0.000
ENSG00000107554	0.000	0.004	    0.000
ENSG00000121769	0.000	0.004	    0.000
ENSG00000235545	0.000	0.004	    0.000
ENSG00000234618	0.000	0.004	   -2.334
ENSG00000156304	0.000	0.004	    0.000
