Gene	GRCP	GLCP	TWAS_z
ENSG00000188672	0.025	0.974	   -6.402
ENSG00000178209	0.011	0.968	    6.832
ENSG00000178685	0.003	0.923	    6.375
ENSG00000272221	0.004	0.897	    5.442
ENSG00000176920	0.063	0.880	    5.676
ENSG00000142233	0.003	0.856	   -1.412
ENSG00000241106	0.012	0.830	   -0.085
ENSG00000179119	0.227	0.678	    0.000
ENSG00000154127	0.017	0.486	   -4.526
ENSG00000115414	0.011	0.457	    0.000
ENSG00000075234	0.000	0.229	   -2.388
ENSG00000272182	0.001	0.221	    3.085
ENSG00000278967	0.002	0.151	    0.000
ENSG00000236255	0.001	0.151	   -4.220
ENSG00000130943	0.000	0.139	    2.631
ENSG00000178719	0.000	0.133	    0.000
ENSG00000118096	0.001	0.122	    3.230
ENSG00000231113	0.001	0.112	    2.766
ENSG00000272758	0.002	0.104	    1.973
ENSG00000103510	0.002	0.100	   -3.300
ENSG00000250091	0.003	0.099	    3.616
ENSG00000163596	0.001	0.097	    0.000
ENSG00000180596	0.002	0.073	    0.000
ENSG00000183160	0.000	0.071	    0.000
ENSG00000149485	0.001	0.068	    0.000
ENSG00000254986	0.001	0.066	    0.000
ENSG00000272950	0.004	0.064	   -3.889
ENSG00000175920	0.004	0.062	   -4.632
ENSG00000087237	0.000	0.053	    0.000
ENSG00000283317	0.013	0.050	    3.986
ENSG00000204178	0.001	0.050	    0.000
ENSG00000255517	0.001	0.048	   -3.548
ENSG00000198890	0.001	0.046	    3.313
ENSG00000178093	0.000	0.046	    0.000
ENSG00000224497	0.002	0.045	    4.201
ENSG00000100281	0.000	0.042	    0.000
ENSG00000216775	0.013	0.040	    0.000
ENSG00000144635	0.004	0.040	    0.000
ENSG00000119242	0.001	0.039	    3.407
ENSG00000224079	0.000	0.038	    3.190
ENSG00000132478	0.001	0.035	    0.000
ENSG00000178718	0.001	0.035	    2.643
ENSG00000176390	0.001	0.035	   -4.184
ENSG00000196821	0.001	0.034	    0.000
ENSG00000162676	0.000	0.033	    0.000
ENSG00000007944	0.004	0.032	    0.000
ENSG00000145850	0.008	0.031	    0.000
ENSG00000134825	0.002	0.031	    0.000
ENSG00000276952	0.000	0.029	    0.000
ENSG00000271730	0.000	0.027	    0.000
ENSG00000100284	0.000	0.027	    0.000
ENSG00000095139	0.000	0.026	    0.000
ENSG00000163684	0.000	0.023	   -0.054
ENSG00000172006	0.001	0.023	   -2.708
ENSG00000112877	0.000	0.023	    2.671
ENSG00000258666	0.001	0.021	    0.000
ENSG00000186715	0.000	0.021	    3.217
ENSG00000263293	0.000	0.020	    0.000
ENSG00000180573	0.001	0.020	    0.000
ENSG00000160124	0.000	0.020	    0.000
ENSG00000264538	0.000	0.018	   -2.808
ENSG00000206341	0.002	0.018	   -2.861
ENSG00000245614	0.000	0.018	    3.138
ENSG00000178802	0.000	0.018	    0.000
ENSG00000177076	0.000	0.017	    0.000
ENSG00000182362	0.001	0.016	    3.274
ENSG00000220205	0.000	0.016	    0.000
ENSG00000263603	0.000	0.016	    0.000
ENSG00000266980	0.000	0.016	    0.000
ENSG00000260273	0.001	0.016	   -2.758
ENSG00000274414	0.000	0.016	    0.000
ENSG00000147454	0.001	0.016	    0.000
ENSG00000164849	0.000	0.016	    0.000
ENSG00000223947	0.000	0.016	    0.000
ENSG00000015520	0.001	0.016	    0.000
ENSG00000013573	0.000	0.015	   -2.757
ENSG00000272842	0.000	0.015	    0.000
ENSG00000165912	0.000	0.015	    3.133
ENSG00000101019	0.000	0.014	   -3.079
ENSG00000150961	0.000	0.014	    0.000
ENSG00000179195	0.000	0.014	    0.000
ENSG00000125965	0.001	0.014	    0.000
ENSG00000179029	0.000	0.014	    3.673
ENSG00000132855	0.000	0.013	    0.000
ENSG00000206869	0.000	0.012	    0.000
ENSG00000126001	0.000	0.012	    0.000
ENSG00000198952	0.001	0.012	    2.714
ENSG00000112339	0.000	0.011	   -1.610
ENSG00000175606	0.000	0.011	    0.000
ENSG00000136271	0.000	0.011	   -4.973
ENSG00000171680	0.000	0.011	    1.561
ENSG00000259374	0.000	0.011	    3.253
ENSG00000171700	0.001	0.011	    3.647
ENSG00000178971	0.000	0.011	    3.435
ENSG00000280069	0.000	0.011	   -2.731
ENSG00000270048	0.000	0.011	    0.000
ENSG00000226622	0.000	0.011	    0.000
ENSG00000180720	0.000	0.011	    0.000
ENSG00000276250	0.000	0.010	    0.000
ENSG00000162408	0.000	0.010	    0.000
ENSG00000143412	0.001	0.010	    0.000
ENSG00000156795	0.000	0.010	    2.888
ENSG00000176473	0.001	0.010	    0.000
ENSG00000224331	0.000	0.010	    0.000
ENSG00000130518	0.001	0.010	   -3.243
ENSG00000076003	0.000	0.009	    0.000
ENSG00000142632	0.000	0.009	   -2.870
ENSG00000270028	0.000	0.009	    0.000
ENSG00000250031	0.000	0.009	    0.000
ENSG00000178175	0.000	0.009	    0.000
ENSG00000124713	0.000	0.009	   -2.728
ENSG00000224984	0.000	0.008	    0.461
ENSG00000227802	0.000	0.008	    0.000
ENSG00000111816	0.000	0.008	    0.000
ENSG00000173065	0.000	0.008	    0.000
ENSG00000091536	0.000	0.008	   -2.670
ENSG00000237371	0.001	0.008	    0.000
ENSG00000248464	0.000	0.007	    0.000
ENSG00000140497	0.000	0.007	    0.000
ENSG00000114904	0.000	0.007	    0.000
ENSG00000151806	0.000	0.007	   -0.881
ENSG00000168297	0.000	0.007	    3.065
ENSG00000225342	0.000	0.007	    0.000
ENSG00000270130	0.000	0.007	    0.000
ENSG00000178172	0.000	0.007	    2.506
ENSG00000227124	0.000	0.007	   -2.848
ENSG00000081665	0.000	0.007	    2.376
ENSG00000138380	0.000	0.007	    0.000
ENSG00000136878	0.000	0.007	    2.368
ENSG00000230074	0.001	0.007	    3.447
ENSG00000176155	0.000	0.007	    2.569
ENSG00000263531	0.000	0.007	    0.000
ENSG00000117500	0.000	0.007	    0.000
ENSG00000228022	0.000	0.007	    1.793
ENSG00000273226	0.001	0.006	   -3.450
ENSG00000117118	0.000	0.006	    0.000
ENSG00000236756	0.000	0.006	   -1.830
ENSG00000273091	0.000	0.006	    0.000
ENSG00000168496	0.000	0.006	    0.000
ENSG00000228078	0.000	0.006	   -2.577
ENSG00000042286	0.000	0.006	    0.000
ENSG00000132475	0.001	0.006	    0.000
ENSG00000157111	0.000	0.006	    0.000
ENSG00000219626	0.000	0.006	    2.030
ENSG00000227533	0.000	0.006	   -2.685
ENSG00000189067	0.000	0.006	    0.000
ENSG00000281831	0.000	0.006	    0.323
ENSG00000158604	0.000	0.006	    0.000
ENSG00000244122	0.000	0.006	    0.000
ENSG00000196139	0.000	0.006	    0.000
ENSG00000259520	0.000	0.006	   -0.436
ENSG00000224468	0.000	0.006	    0.000
ENSG00000101367	0.000	0.006	   -2.889
ENSG00000236138	0.000	0.006	   -2.783
ENSG00000260000	0.000	0.005	    0.000
ENSG00000280160	0.000	0.005	    0.000
ENSG00000243753	0.000	0.005	   -2.129
ENSG00000184925	0.000	0.005	    2.055
ENSG00000110080	0.000	0.005	    0.000
ENSG00000125510	0.000	0.005	    2.827
ENSG00000270427	0.000	0.005	    0.000
ENSG00000228252	0.000	0.005	    2.048
ENSG00000249846	0.000	0.005	    2.068
ENSG00000280832	0.000	0.005	    0.000
ENSG00000152439	0.000	0.005	    1.888
ENSG00000130522	0.000	0.005	    0.000
ENSG00000150551	0.000	0.005	    0.000
ENSG00000277938	0.000	0.005	    0.000
ENSG00000265474	0.000	0.005	    0.000
ENSG00000214078	0.000	0.005	   -2.825
ENSG00000143226	0.000	0.004	    0.000
ENSG00000253334	0.000	0.004	    0.000
ENSG00000185250	0.000	0.004	    0.000
ENSG00000161551	0.000	0.004	   -2.257
ENSG00000175749	0.000	0.004	    1.891
ENSG00000228793	0.000	0.004	    2.234
ENSG00000151006	0.000	0.004	    0.000
ENSG00000055957	0.000	0.004	    0.000
ENSG00000166135	0.000	0.004	    2.255
ENSG00000197465	0.000	0.004	    0.136
ENSG00000172403	0.000	0.004	    0.000
ENSG00000167165	0.000	0.004	    0.000
ENSG00000188906	0.000	0.004	    0.000
ENSG00000168826	0.000	0.004	    2.555
ENSG00000244462	0.000	0.004	    0.000
ENSG00000280239	0.000	0.004	   -2.337
ENSG00000204632	0.000	0.004	   -2.193
ENSG00000163913	0.000	0.004	    0.000
ENSG00000234756	0.000	0.004	    2.214
ENSG00000127952	0.000	0.004	    1.892
ENSG00000198758	0.000	0.004	    0.000
ENSG00000251639	0.000	0.004	   -1.682
ENSG00000259531	0.000	0.004	   -2.134
ENSG00000155085	0.000	0.004	    1.946
ENSG00000178741	0.000	0.004	    0.000
ENSG00000242748	0.000	0.004	    0.000
ENSG00000138750	0.000	0.004	   -1.214
ENSG00000233609	0.000	0.004	   -2.543
ENSG00000071082	0.000	0.004	    0.000
ENSG00000263220	0.000	0.004	   -1.377
ENSG00000228716	0.000	0.004	   -1.280
