Gene	GRCP	GLCP	TWAS_z
ENSG00000171700	0.763	0.994	   10.102
ENSG00000151834	0.691	0.990	   -8.740
ENSG00000142233	0.087	0.980	   -0.803
ENSG00000236814	0.237	0.978	    0.000
ENSG00000106565	0.946	0.963	   -4.064
ENSG00000109339	0.155	0.959	    0.000
ENSG00000105329	0.832	0.955	    5.050
ENSG00000134222	0.471	0.951	   10.112
ENSG00000116729	0.807	0.945	    5.084
ENSG00000002933	0.929	0.929	    2.667
ENSG00000262061	0.612	0.925	    1.824
ENSG00000142039	0.814	0.925	    5.009
ENSG00000262920	0.924	0.924	   -0.113
ENSG00000167395	0.460	0.921	  -12.287
ENSG00000103024	0.221	0.917	  -17.958
ENSG00000181031	0.620	0.914	    0.748
ENSG00000272514	0.323	0.898	  -11.355
ENSG00000108591	0.372	0.894	   -6.844
ENSG00000178295	0.686	0.875	   -6.377
ENSG00000125637	0.568	0.873	    3.507
ENSG00000112343	0.294	0.870	   -8.201
ENSG00000198740	0.841	0.861	   -1.080
ENSG00000036257	0.665	0.853	    6.379
ENSG00000245025	0.850	0.850	    1.645
ENSG00000077585	0.813	0.813	   -2.002
ENSG00000133612	0.112	0.809	    0.000
ENSG00000159228	0.789	0.789	    9.484
ENSG00000155530	0.781	0.781	    1.093
ENSG00000198890	0.682	0.774	   -5.279
ENSG00000183049	0.766	0.766	    5.699
ENSG00000132386	0.662	0.766	   -1.934
ENSG00000152219	0.137	0.764	    4.688
ENSG00000078237	0.756	0.756	   -4.261
ENSG00000008988	0.233	0.746	   -4.393
ENSG00000162877	0.717	0.741	   -3.435
ENSG00000177311	0.164	0.729	  -13.983
ENSG00000273295	0.570	0.729	   -7.101
ENSG00000272787	0.434	0.728	   -6.966
ENSG00000172613	0.646	0.726	    4.951
ENSG00000162585	0.715	0.717	    4.914
ENSG00000136141	0.463	0.697	    0.000
ENSG00000178425	0.379	0.689	    0.592
ENSG00000181264	0.405	0.686	    6.085
ENSG00000275807	0.247	0.685	    0.000
ENSG00000178188	0.267	0.682	    6.885
ENSG00000176909	0.128	0.680	  -11.665
ENSG00000168496	0.306	0.674	    0.000
ENSG00000070444	0.165	0.646	    1.469
ENSG00000240429	0.250	0.643	   -4.918
ENSG00000144233	0.526	0.641	   -4.695
ENSG00000214941	0.568	0.637	   -7.183
ENSG00000078804	0.188	0.636	    8.034
ENSG00000283709	0.216	0.626	   -1.461
ENSG00000196141	0.371	0.624	   -3.208
ENSG00000100347	0.228	0.623	   -4.331
ENSG00000204581	0.379	0.597	   -1.831
ENSG00000165449	0.184	0.594	   -4.355
ENSG00000185658	0.430	0.594	    1.374
ENSG00000176422	0.465	0.593	   -5.569
ENSG00000168488	0.207	0.587	   -5.509
ENSG00000198646	0.349	0.583	   -8.226
ENSG00000254038	0.485	0.582	    0.753
ENSG00000198892	0.581	0.581	    4.352
ENSG00000183779	0.471	0.581	   -1.866
ENSG00000131196	0.097	0.570	    4.550
ENSG00000276023	0.267	0.554	   -2.833
ENSG00000126267	0.355	0.551	    0.753
ENSG00000271849	0.246	0.540	   -2.292
ENSG00000105668	0.453	0.539	    4.998
ENSG00000160799	0.373	0.533	    0.000
ENSG00000143303	0.532	0.532	   -4.125
ENSG00000204632	0.128	0.532	    1.810
ENSG00000145476	0.524	0.531	   -2.258
ENSG00000104964	0.529	0.529	   -1.824
ENSG00000142655	0.265	0.528	   -5.731
ENSG00000223745	0.253	0.525	    2.869
ENSG00000230084	0.274	0.524	    5.008
ENSG00000184897	0.170	0.522	   -5.444
ENSG00000160321	0.134	0.517	    3.806
ENSG00000196993	0.241	0.514	   -0.082
ENSG00000106635	0.471	0.514	    8.326
ENSG00000204525	0.496	0.496	    6.907
ENSG00000106367	0.434	0.494	    4.005
ENSG00000011590	0.333	0.488	    5.942
ENSG00000267249	0.267	0.485	    4.368
ENSG00000260942	0.317	0.484	   -4.009
ENSG00000273733	0.284	0.482	    4.860
ENSG00000008838	0.065	0.473	    9.211
ENSG00000011243	0.472	0.472	   -4.379
ENSG00000115380	0.391	0.468	    5.698
ENSG00000184349	0.078	0.466	    1.034
ENSG00000146243	0.250	0.462	   -8.948
ENSG00000133433	0.173	0.459	   -1.223
ENSG00000227782	0.108	0.459	    0.438
ENSG00000167910	0.034	0.452	    4.395
ENSG00000105656	0.150	0.447	   -4.535
ENSG00000149485	0.139	0.445	   -0.476
ENSG00000101624	0.308	0.443	    4.385
ENSG00000167083	0.013	0.442	   -2.523
ENSG00000196296	0.226	0.440	    7.064
ENSG00000167074	0.143	0.439	  -10.561
ENSG00000203801	0.167	0.439	   17.809
ENSG00000261766	0.177	0.437	    2.649
ENSG00000189223	0.437	0.437	   -4.494
ENSG00000218537	0.399	0.431	   -6.786
ENSG00000179021	0.140	0.428	    8.075
ENSG00000138767	0.221	0.428	    4.085
ENSG00000260911	0.420	0.423	  -12.194
ENSG00000125618	0.423	0.423	   -3.852
ENSG00000100412	0.008	0.422	   -7.225
ENSG00000137074	0.325	0.420	   -3.772
ENSG00000257594	0.135	0.418	    0.000
ENSG00000271581	0.417	0.417	    8.637
ENSG00000137312	0.413	0.413	   -9.157
ENSG00000164403	0.057	0.412	  -11.561
ENSG00000058453	0.410	0.410	    2.116
ENSG00000171121	0.268	0.408	   -4.732
ENSG00000179889	0.089	0.408	    3.974
ENSG00000226314	0.294	0.407	   -1.654
ENSG00000071967	0.186	0.402	   -4.579
ENSG00000240972	0.379	0.398	   -7.036
ENSG00000164405	0.054	0.391	    6.698
ENSG00000106948	0.299	0.390	   -1.369
ENSG00000115524	0.125	0.388	   -4.125
ENSG00000170802	0.388	0.388	    4.017
ENSG00000225282	0.379	0.387	   -7.033
ENSG00000086061	0.252	0.378	   -0.827
ENSG00000225733	0.132	0.378	    2.591
ENSG00000227963	0.225	0.377	   -0.088
ENSG00000099974	0.377	0.377	    3.530
ENSG00000255422	0.208	0.372	    0.488
ENSG00000148655	0.371	0.371	   -5.973
ENSG00000236810	0.202	0.371	    3.973
ENSG00000137185	0.312	0.368	   -3.911
ENSG00000179588	0.187	0.365	   -4.091
