Gene	GRCP	GLCP	TWAS_z
ENSG00000155530	0.998	0.998	    1.204
ENSG00000125510	0.511	0.994	    9.784
ENSG00000184985	0.443	0.985	   -2.268
ENSG00000183826	0.699	0.978	    7.994
ENSG00000083635	0.686	0.954	    0.000
ENSG00000142039	0.829	0.952	    4.985
ENSG00000167397	0.533	0.951	   -3.171
ENSG00000105329	0.819	0.951	    4.920
ENSG00000134222	0.350	0.944	    9.841
ENSG00000262061	0.028	0.922	   -0.723
ENSG00000181031	0.252	0.921	   -0.036
ENSG00000262920	0.237	0.910	    0.332
ENSG00000138738	0.356	0.898	    5.760
ENSG00000178295	0.670	0.873	   -6.378
ENSG00000245025	0.853	0.853	   -2.050
ENSG00000105364	0.132	0.832	   -7.321
ENSG00000077585	0.212	0.830	   -2.006
ENSG00000162877	0.710	0.823	   -3.435
ENSG00000239697	0.609	0.819	    0.560
ENSG00000149485	0.523	0.806	    7.916
ENSG00000171700	0.719	0.794	    9.247
ENSG00000198890	0.665	0.791	   -5.249
ENSG00000163629	0.152	0.787	    0.000
ENSG00000178188	0.114	0.784	   -6.631
ENSG00000189223	0.658	0.748	   -4.220
ENSG00000146247	0.175	0.746	   -9.015
ENSG00000078237	0.743	0.743	   -4.261
ENSG00000125618	0.665	0.715	    0.000
ENSG00000178209	0.384	0.714	    0.000
ENSG00000183049	0.712	0.712	    5.788
ENSG00000198535	0.155	0.705	  -14.903
ENSG00000167395	0.244	0.696	  -12.177
ENSG00000133612	0.512	0.690	    3.357
ENSG00000172613	0.187	0.690	    6.224
ENSG00000132386	0.598	0.690	    0.238
ENSG00000134917	0.390	0.681	   -4.831
ENSG00000091129	0.239	0.676	    4.934
ENSG00000129103	0.089	0.671	   -2.374
ENSG00000178425	0.355	0.664	    0.461
ENSG00000181264	0.458	0.639	    5.456
ENSG00000168488	0.188	0.616	   -5.527
ENSG00000186583	0.179	0.614	    2.004
ENSG00000092964	0.095	0.608	   -4.831
ENSG00000198089	0.258	0.608	    1.002
ENSG00000260911	0.307	0.605	  -12.070
ENSG00000019144	0.127	0.599	    4.720
ENSG00000251323	0.136	0.592	   -7.225
ENSG00000144233	0.434	0.592	   -4.657
ENSG00000178952	0.254	0.571	    6.825
ENSG00000100347	0.163	0.567	   -4.226
ENSG00000219891	0.501	0.565	   -3.281
ENSG00000251867	0.067	0.564	   -2.360
ENSG00000230002	0.111	0.559	   -5.423
ENSG00000198646	0.296	0.557	   -8.221
ENSG00000214894	0.264	0.550	   -5.843
ENSG00000008838	0.435	0.541	    4.865
ENSG00000143303	0.541	0.541	   -4.137
ENSG00000105668	0.382	0.535	    5.433
ENSG00000176422	0.210	0.533	   -5.304
ENSG00000104964	0.511	0.511	    0.000
ENSG00000130511	0.358	0.510	    0.000
ENSG00000267534	0.156	0.499	  -11.111
ENSG00000139218	0.421	0.491	    5.289
ENSG00000136758	0.222	0.487	    3.509
ENSG00000148672	0.484	0.484	    4.426
ENSG00000230084	0.221	0.482	    5.248
ENSG00000106367	0.414	0.480	    3.548
ENSG00000179889	0.290	0.471	    4.322
ENSG00000133433	0.442	0.468	   -4.038
ENSG00000126267	0.336	0.463	   -2.736
ENSG00000011590	0.222	0.458	    5.304
ENSG00000163909	0.417	0.456	   -2.800
ENSG00000172795	0.262	0.451	   -4.649
ENSG00000179021	0.114	0.450	    8.094
ENSG00000273295	0.394	0.448	   -7.040
ENSG00000160796	0.200	0.447	   -7.085
ENSG00000100412	0.014	0.444	   -8.935
ENSG00000196296	0.176	0.443	    7.048
ENSG00000271581	0.273	0.442	    9.349
ENSG00000239388	0.239	0.439	   -5.530
ENSG00000108582	0.266	0.433	   -4.696
ENSG00000198010	0.171	0.432	    3.771
ENSG00000118094	0.147	0.432	    4.908
ENSG00000198892	0.420	0.430	    4.535
ENSG00000117500	0.128	0.424	    4.668
ENSG00000162585	0.395	0.416	    0.000
ENSG00000087258	0.233	0.414	    5.311
ENSG00000128891	0.238	0.409	   -5.400
ENSG00000160075	0.409	0.409	   -4.025
ENSG00000272501	0.401	0.401	    2.901
ENSG00000111816	0.330	0.396	    0.000
ENSG00000058453	0.393	0.394	    3.888
ENSG00000099974	0.256	0.394	    0.720
ENSG00000130203	0.018	0.392	   -2.940
ENSG00000108591	0.078	0.388	   -5.445
ENSG00000255422	0.204	0.387	    4.590
ENSG00000089199	0.146	0.386	   -4.287
ENSG00000240972	0.364	0.383	   -7.044
ENSG00000272787	0.371	0.383	    0.720
ENSG00000228696	0.010	0.379	    1.611
ENSG00000078804	0.197	0.376	    8.251
ENSG00000115380	0.205	0.373	    5.258
ENSG00000218537	0.365	0.373	   -7.034
ENSG00000130244	0.127	0.373	    1.225
ENSG00000225282	0.361	0.369	   -7.075
ENSG00000269345	0.128	0.366	    4.427
ENSG00000103196	0.230	0.365	   -4.662
ENSG00000146243	0.183	0.363	   -8.895
ENSG00000227782	0.080	0.361	   -5.721
ENSG00000170802	0.338	0.359	    3.990
ENSG00000148655	0.355	0.355	   -5.973
ENSG00000103671	0.204	0.353	    0.000
ENSG00000174332	0.246	0.351	    4.169
ENSG00000156886	0.312	0.349	    1.925
ENSG00000271926	0.147	0.348	    4.829
ENSG00000160710	0.074	0.346	   -0.109
ENSG00000106635	0.294	0.335	    8.303
ENSG00000260942	0.204	0.332	   -3.992
ENSG00000104738	0.330	0.330	   -4.256
ENSG00000105339	0.110	0.327	   -0.107
ENSG00000099308	0.324	0.324	    4.175
ENSG00000111652	0.323	0.324	    4.034
ENSG00000160799	0.110	0.319	    7.261
ENSG00000275088	0.304	0.309	   -4.736
ENSG00000272360	0.303	0.308	    3.323
ENSG00000167981	0.245	0.306	   -4.222
ENSG00000142627	0.191	0.306	   -6.900
ENSG00000197548	0.284	0.304	    5.279
ENSG00000179588	0.083	0.301	   -4.053
ENSG00000241170	0.298	0.298	   -3.872
ENSG00000151834	0.203	0.298	   -8.649
ENSG00000254852	0.213	0.297	    0.009
ENSG00000265799	0.141	0.296	    8.388
ENSG00000167711	0.147	0.295	    1.042
ENSG00000115073	0.293	0.295	   -2.872
ENSG00000197157	0.272	0.294	    0.000
ENSG00000248734	0.249	0.292	    3.356
ENSG00000042062	0.036	0.289	   -1.361
ENSG00000115568	0.211	0.289	   -5.103
ENSG00000120253	0.069	0.285	    0.000
ENSG00000006607	0.279	0.279	    6.076
ENSG00000174226	0.263	0.279	   -5.960
ENSG00000008988	0.086	0.278	   -4.378
ENSG00000184110	0.256	0.273	    7.016
ENSG00000188906	0.035	0.271	    1.889
ENSG00000275066	0.235	0.270	   -0.288
ENSG00000181555	0.203	0.270	    7.318
ENSG00000099365	0.045	0.268	  -11.901
ENSG00000262136	0.246	0.267	   -9.777
ENSG00000272333	0.158	0.267	    5.230
ENSG00000057757	0.235	0.266	    4.039
ENSG00000100316	0.150	0.261	   -3.714
ENSG00000160691	0.154	0.260	    0.000
ENSG00000109339	0.051	0.260	    0.000
ENSG00000141378	0.230	0.259	    0.060
ENSG00000160049	0.098	0.258	   -6.061
ENSG00000185347	0.103	0.257	    0.000
ENSG00000214425	0.011	0.256	    0.000
ENSG00000011243	0.256	0.256	   -4.459
ENSG00000225733	0.118	0.253	   -0.883
ENSG00000009950	0.018	0.250	    7.197
ENSG00000197226	0.244	0.245	   -0.088
ENSG00000165555	0.105	0.244	    5.402
ENSG00000100216	0.002	0.242	    0.185
