Gene	GRCP	GLCP	TWAS_z
ENSG00000171700	0.252	0.999	    9.528
ENSG00000160710	0.405	0.991	    5.288
ENSG00000125510	0.734	0.990	   10.175
ENSG00000002933	0.950	0.971	   -0.900
ENSG00000106565	0.957	0.969	    0.000
ENSG00000111196	0.753	0.966	   -3.213
ENSG00000176909	0.176	0.965	  -11.885
ENSG00000105329	0.866	0.961	    5.042
ENSG00000108591	0.558	0.929	   -7.596
ENSG00000110756	0.287	0.919	   -8.168
ENSG00000273076	0.059	0.918	  -10.469
ENSG00000165449	0.859	0.903	    4.731
ENSG00000134851	0.253	0.894	    2.043
ENSG00000125637	0.705	0.878	    5.418
ENSG00000198890	0.727	0.873	   -5.396
ENSG00000198535	0.084	0.871	  -13.860
ENSG00000108091	0.795	0.868	    2.279
ENSG00000162877	0.790	0.862	    1.176
ENSG00000279814	0.544	0.862	   -6.160
ENSG00000100242	0.004	0.857	   -9.673
ENSG00000182793	0.419	0.856	    6.904
ENSG00000155530	0.822	0.852	    1.153
ENSG00000167395	0.404	0.836	  -12.085
ENSG00000149196	0.701	0.835	    5.675
ENSG00000178188	0.282	0.823	   -6.537
ENSG00000099769	0.019	0.811	   14.884
ENSG00000078237	0.799	0.799	   -4.262
ENSG00000181264	0.460	0.796	    6.030
ENSG00000275088	0.283	0.791	   -4.144
ENSG00000163629	0.133	0.783	   -1.798
ENSG00000245025	0.736	0.770	    1.755
ENSG00000189223	0.571	0.769	   -2.662
ENSG00000235106	0.497	0.759	   -4.973
ENSG00000172613	0.401	0.750	    6.242
ENSG00000125618	0.551	0.744	   -4.425
ENSG00000178209	0.345	0.714	    0.000
ENSG00000122390	0.416	0.695	    4.703
ENSG00000109794	0.673	0.673	   -1.094
ENSG00000198646	0.414	0.664	   -8.229
ENSG00000198089	0.447	0.664	    1.296
ENSG00000257576	0.586	0.644	   -5.650
ENSG00000178295	0.258	0.643	   -5.143
ENSG00000106367	0.559	0.636	    4.062
ENSG00000128564	0.556	0.633	    4.113
ENSG00000198740	0.573	0.624	    2.725
ENSG00000243955	0.346	0.622	    6.753
ENSG00000276234	0.108	0.620	   -0.213
ENSG00000251417	0.299	0.620	    2.009
ENSG00000128594	0.324	0.597	    0.112
ENSG00000110713	0.394	0.594	   -7.013
ENSG00000104964	0.592	0.592	    0.589
ENSG00000011590	0.313	0.585	    5.379
ENSG00000273295	0.529	0.579	   -7.081
ENSG00000267053	0.126	0.571	   -4.603
ENSG00000176953	0.227	0.568	    7.029
ENSG00000008988	0.163	0.565	   -4.535
ENSG00000269345	0.166	0.550	    4.396
ENSG00000134986	0.209	0.550	    5.255
ENSG00000170989	0.411	0.548	   -4.782
ENSG00000089199	0.387	0.528	   -4.567
ENSG00000139218	0.483	0.518	    5.488
ENSG00000163320	0.148	0.504	    1.209
ENSG00000109339	0.128	0.502	   -2.737
ENSG00000033327	0.192	0.501	    0.447
ENSG00000272572	0.300	0.498	   10.007
ENSG00000272338	0.219	0.491	    0.000
ENSG00000276023	0.253	0.490	    0.000
ENSG00000225282	0.482	0.488	   -7.072
ENSG00000058453	0.481	0.488	    4.176
ENSG00000128891	0.307	0.478	   -4.707
ENSG00000146243	0.271	0.465	   -8.971
ENSG00000142039	0.429	0.461	    5.163
ENSG00000218537	0.441	0.459	   -7.043
ENSG00000164404	0.094	0.459	    6.371
ENSG00000114573	0.237	0.456	    1.954
ENSG00000170802	0.453	0.453	    4.021
ENSG00000240972	0.431	0.450	   -7.049
ENSG00000101624	0.278	0.449	    4.394
ENSG00000277938	0.029	0.448	   -0.401
ENSG00000116793	0.362	0.436	   -4.130
ENSG00000179889	0.088	0.415	    3.902
ENSG00000236184	0.169	0.410	    0.618
ENSG00000178952	0.159	0.405	    7.027
ENSG00000255568	0.293	0.402	   -4.388
ENSG00000272663	0.399	0.399	   -3.961
ENSG00000148655	0.394	0.394	   -6.014
ENSG00000130511	0.391	0.393	   -2.814
ENSG00000183087	0.169	0.391	   -1.706
ENSG00000279982	0.204	0.391	   -4.027
ENSG00000104738	0.379	0.379	   -4.256
ENSG00000132394	0.176	0.379	   -4.025
ENSG00000167595	0.148	0.376	    1.973
ENSG00000103671	0.254	0.370	    3.554
ENSG00000160075	0.314	0.370	   -3.850
ENSG00000167716	0.276	0.369	    2.493
ENSG00000272969	0.135	0.365	   -4.356
ENSG00000108784	0.011	0.363	    3.490
ENSG00000228039	0.159	0.362	    5.093
ENSG00000133433	0.202	0.357	    0.622
ENSG00000100221	0.006	0.356	   -0.660
ENSG00000132840	0.259	0.348	    2.517
ENSG00000271849	0.131	0.348	    1.007
ENSG00000133612	0.119	0.342	   -5.101
ENSG00000184110	0.230	0.342	    7.010
ENSG00000153815	0.339	0.339	    0.000
ENSG00000108576	0.145	0.339	   -4.493
