Gene	GRCP	GLCP	TWAS_z
ENSG00000125510	0.257	0.998	    9.836
ENSG00000142233	0.040	0.991	   -3.929
ENSG00000171700	0.398	0.988	   10.086
ENSG00000106565	0.948	0.967	    3.784
ENSG00000231530	0.258	0.956	    5.827
ENSG00000149179	0.352	0.854	   10.637
ENSG00000215399	0.726	0.852	    4.979
ENSG00000178295	0.654	0.844	   -5.636
ENSG00000162877	0.762	0.838	    3.226
ENSG00000155530	0.804	0.835	    1.053
ENSG00000214530	0.416	0.834	   -4.683
ENSG00000163629	0.167	0.805	    0.000
ENSG00000183826	0.517	0.791	    7.981
ENSG00000099365	0.176	0.782	  -12.225
ENSG00000078237	0.781	0.782	   -4.261
ENSG00000189223	0.702	0.759	    4.576
ENSG00000125618	0.573	0.748	   -3.709
ENSG00000271849	0.743	0.743	   -1.941
ENSG00000151834	0.488	0.733	   -8.618
ENSG00000160710	0.279	0.732	    4.798
ENSG00000172613	0.576	0.728	    6.599
ENSG00000067208	0.067	0.699	    7.107
ENSG00000151006	0.642	0.698	    2.619
ENSG00000260911	0.301	0.689	  -12.236
ENSG00000276023	0.320	0.669	   -2.833
ENSG00000198646	0.379	0.658	   -8.224
ENSG00000137312	0.260	0.644	   -8.646
ENSG00000099769	0.009	0.633	   13.431
ENSG00000273295	0.562	0.628	   -7.139
ENSG00000198535	0.248	0.628	  -13.669
ENSG00000204791	0.054	0.620	    0.000
ENSG00000126267	0.491	0.620	   -5.120
ENSG00000142949	0.320	0.620	  -10.608
ENSG00000219891	0.522	0.616	   -5.398
ENSG00000134917	0.477	0.595	   -5.222
ENSG00000149485	0.268	0.595	    7.700
ENSG00000181264	0.426	0.590	    6.031
ENSG00000162585	0.549	0.580	    3.340
ENSG00000130511	0.309	0.577	    0.000
ENSG00000178188	0.208	0.572	    0.000
ENSG00000182873	0.089	0.570	    5.325
ENSG00000132475	0.320	0.569	   -1.961
ENSG00000269345	0.161	0.562	    4.467
ENSG00000104964	0.561	0.561	    0.000
ENSG00000243955	0.236	0.551	    6.783
ENSG00000218537	0.480	0.547	   -7.091
ENSG00000178665	0.399	0.542	   -4.611
ENSG00000143303	0.541	0.541	   -4.115
ENSG00000128891	0.291	0.541	   -5.360
ENSG00000172795	0.262	0.506	   -4.779
ENSG00000272572	0.214	0.496	    9.935
ENSG00000011021	0.013	0.496	   -3.936
ENSG00000133067	0.241	0.468	   -1.470
ENSG00000105668	0.357	0.465	    5.414
ENSG00000272994	0.311	0.462	   -3.807
ENSG00000204525	0.451	0.451	    5.151
ENSG00000008324	0.200	0.440	    0.000
ENSG00000108784	0.360	0.438	    5.923
ENSG00000157601	0.324	0.437	    1.892
ENSG00000138767	0.180	0.432	    4.457
ENSG00000240972	0.410	0.430	   -7.035
ENSG00000225282	0.404	0.424	   -6.803
ENSG00000119314	0.151	0.420	    0.000
ENSG00000011590	0.278	0.418	    5.087
ENSG00000170802	0.418	0.418	    4.015
ENSG00000106799	0.261	0.413	   -5.566
ENSG00000133433	0.406	0.406	   -3.331
ENSG00000132840	0.205	0.400	    2.552
ENSG00000146205	0.083	0.397	    4.846
ENSG00000255422	0.224	0.393	    0.300
ENSG00000197586	0.154	0.390	   -5.075
