Gene	GRCP	GLCP	TWAS_z
ENSG00000228274	0.001	0.990	    9.699
ENSG00000020922	0.276	0.989	    5.463
ENSG00000272572	0.195	0.930	   10.121
ENSG00000161955	0.699	0.899	   -7.287
ENSG00000189223	0.609	0.867	    4.636
ENSG00000125618	0.612	0.867	    0.363
ENSG00000198890	0.557	0.850	   -5.296
ENSG00000146243	0.221	0.778	   -9.047
ENSG00000178295	0.286	0.765	   -5.975
ENSG00000159228	0.124	0.733	   -9.835
ENSG00000162877	0.610	0.704	    1.144
ENSG00000166478	0.365	0.702	   -4.726
ENSG00000241218	0.256	0.693	   -7.907
ENSG00000128891	0.247	0.689	   -6.153
ENSG00000272787	0.099	0.658	    0.760
ENSG00000236814	0.126	0.658	    0.192
ENSG00000100211	0.006	0.646	    9.433
ENSG00000255568	0.277	0.639	    6.654
ENSG00000149485	0.221	0.627	    7.223
ENSG00000101353	0.188	0.614	    4.759
ENSG00000132563	0.110	0.595	   12.310
ENSG00000174226	0.257	0.557	   -6.296
ENSG00000230084	0.263	0.550	    5.072
ENSG00000146477	0.153	0.542	   12.745
ENSG00000230461	0.067	0.540	   -7.014
ENSG00000134825	0.222	0.518	   -8.044
ENSG00000117899	0.164	0.502	    0.864
ENSG00000167711	0.379	0.494	    2.303
ENSG00000257594	0.174	0.477	    2.428
ENSG00000093183	0.178	0.477	    5.200
ENSG00000272667	0.390	0.475	   -1.976
ENSG00000128789	0.203	0.474	    0.000
ENSG00000008988	0.215	0.462	   -4.407
ENSG00000142233	0.049	0.456	  -12.053
ENSG00000273295	0.387	0.455	   -7.062
ENSG00000011590	0.213	0.450	    5.260
ENSG00000179021	0.112	0.438	    8.103
ENSG00000214941	0.125	0.433	    0.000
ENSG00000198535	0.073	0.423	  -14.784
ENSG00000233223	0.022	0.407	   -5.843
ENSG00000138767	0.111	0.399	    4.246
ENSG00000168140	0.021	0.395	   -4.449
ENSG00000160710	0.138	0.384	   -8.734
ENSG00000178209	0.210	0.381	    5.034
ENSG00000251417	0.278	0.380	   -5.679
ENSG00000181264	0.158	0.371	    4.269
ENSG00000260911	0.264	0.364	  -12.205
ENSG00000197157	0.272	0.362	    0.000
ENSG00000218537	0.333	0.356	   -5.356
ENSG00000170802	0.336	0.354	    3.999
ENSG00000225282	0.350	0.350	   -7.098
ENSG00000275413	0.102	0.331	   -7.255
ENSG00000272338	0.051	0.310	    2.884
ENSG00000272692	0.205	0.308	    4.375
ENSG00000135766	0.129	0.307	    2.871
ENSG00000160075	0.288	0.288	   -3.950
ENSG00000158604	0.155	0.276	   -4.558
ENSG00000088854	0.227	0.276	    6.629
ENSG00000122483	0.100	0.273	    4.631
ENSG00000272969	0.106	0.272	   -4.423
ENSG00000267534	0.127	0.268	    2.718
ENSG00000168010	0.089	0.268	    4.883
ENSG00000204525	0.226	0.264	    6.405
ENSG00000171055	0.067	0.258	   -1.342
ENSG00000273080	0.092	0.255	   -3.808
ENSG00000223313	0.190	0.254	   -5.591
ENSG00000006607	0.236	0.252	    4.974
ENSG00000011295	0.106	0.252	   -7.069
ENSG00000251022	0.184	0.251	   -4.773
ENSG00000108344	0.009	0.246	    8.261
ENSG00000133433	0.216	0.246	    1.615
ENSG00000219891	0.197	0.245	    2.316
ENSG00000114054	0.012	0.245	    8.878
ENSG00000118094	0.043	0.242	    4.652
ENSG00000103496	0.081	0.237	   11.793
ENSG00000269345	0.053	0.236	    4.091
ENSG00000231760	0.075	0.234	    3.584
ENSG00000099377	0.027	0.231	  -12.317
ENSG00000272008	0.015	0.230	    6.896
ENSG00000135517	0.207	0.228	   -5.721
ENSG00000203760	0.010	0.228	   -5.681
ENSG00000233393	0.019	0.226	  -12.995
ENSG00000101003	0.066	0.225	   -4.243
ENSG00000146205	0.064	0.221	    5.565
ENSG00000197894	0.004	0.220	   -5.858
ENSG00000125531	0.162	0.217	    1.975
ENSG00000197226	0.215	0.216	   -0.246
ENSG00000178952	0.102	0.214	    6.919
ENSG00000267249	0.086	0.213	    4.354
ENSG00000109381	0.118	0.213	   -3.947
ENSG00000172613	0.177	0.213	    6.522
ENSG00000071967	0.154	0.210	   -4.335
ENSG00000176909	0.067	0.209	  -12.021
ENSG00000249085	0.045	0.202	    4.775
ENSG00000272360	0.202	0.202	   -1.488
ENSG00000197548	0.193	0.200	    5.315
ENSG00000230912	0.001	0.199	   -1.741
ENSG00000261390	0.049	0.199	    0.491
ENSG00000161180	0.052	0.197	    1.683
ENSG00000141027	0.026	0.194	    5.531
ENSG00000112893	0.073	0.192	    3.591
ENSG00000140090	0.098	0.187	    6.496
ENSG00000279453	0.073	0.186	   -1.662
ENSG00000130413	0.067	0.185	    2.963
ENSG00000132840	0.026	0.185	    3.384
ENSG00000134248	0.038	0.181	   -0.304
ENSG00000100347	0.035	0.179	   -3.089
ENSG00000214425	0.010	0.176	   -5.751
ENSG00000144580	0.082	0.175	   -6.479
ENSG00000124713	0.142	0.174	    0.000
ENSG00000052795	0.069	0.173	    2.027
ENSG00000070756	0.143	0.173	   -6.101
ENSG00000133065	0.127	0.165	   -6.308
ENSG00000168038	0.057	0.165	   -4.037
ENSG00000274895	0.022	0.163	   -7.113
ENSG00000137411	0.054	0.163	    7.126
ENSG00000055483	0.133	0.162	    4.845
ENSG00000130193	0.101	0.162	    3.816
ENSG00000206527	0.066	0.161	   -4.423
ENSG00000279377	0.034	0.159	    1.565
ENSG00000099977	0.016	0.158	   -6.508
ENSG00000141101	0.147	0.156	   -7.539
ENSG00000100997	0.066	0.154	   -3.891
ENSG00000177239	0.154	0.154	    2.763
ENSG00000100583	0.090	0.154	   -5.334
ENSG00000230910	0.044	0.152	    3.263
ENSG00000186704	0.048	0.149	    1.018
ENSG00000172795	0.051	0.149	   -4.523
ENSG00000257815	0.120	0.147	   -3.919
ENSG00000166863	0.061	0.145	    0.000
ENSG00000231381	0.095	0.145	   -3.479
ENSG00000241106	0.094	0.145	    1.255
ENSG00000074695	0.002	0.145	   -0.285
ENSG00000168876	0.051	0.144	   -3.220
ENSG00000001561	0.036	0.143	   -0.672
ENSG00000136378	0.104	0.141	   -3.842
ENSG00000178665	0.064	0.141	   -5.941
ENSG00000163879	0.062	0.140	    3.525
ENSG00000105323	0.006	0.140	    3.597
ENSG00000108578	0.030	0.138	    3.213
ENSG00000164040	0.004	0.137	    4.169
ENSG00000169519	0.106	0.136	    0.193
ENSG00000099785	0.098	0.135	    3.485
ENSG00000174332	0.075	0.134	    4.255
ENSG00000272663	0.134	0.134	   -4.003
ENSG00000112782	0.040	0.133	    1.097
ENSG00000249487	0.017	0.133	    1.436
ENSG00000150867	0.005	0.132	    6.309
ENSG00000276952	0.012	0.132	   -4.240
ENSG00000264589	0.011	0.132	   -4.150
ENSG00000112977	0.132	0.132	   -4.607
ENSG00000095539	0.020	0.132	   10.300
ENSG00000141367	0.036	0.132	    4.298
ENSG00000105668	0.096	0.128	    1.693
ENSG00000100591	0.033	0.127	    5.708
ENSG00000072958	0.046	0.123	    3.315
ENSG00000273058	0.021	0.122	    1.654
ENSG00000175216	0.001	0.120	   -8.564
ENSG00000145723	0.034	0.119	    5.010
