Gene	GRCP	GLCP	TWAS_z
ENSG00000171700	0.318	0.994	   10.052
ENSG00000232871	0.061	0.939	  -11.733
ENSG00000155530	0.597	0.923	    0.000
ENSG00000239697	0.803	0.903	    5.647
ENSG00000136630	0.258	0.893	   12.744
ENSG00000230461	0.537	0.879	   -8.401
ENSG00000214530	0.417	0.863	   -4.440
ENSG00000189223	0.550	0.847	   -3.664
ENSG00000165449	0.750	0.844	   -0.636
ENSG00000245025	0.814	0.814	    2.061
ENSG00000167395	0.258	0.810	  -12.415
ENSG00000198890	0.584	0.800	   -5.238
ENSG00000251417	0.209	0.798	   -3.726
ENSG00000160710	0.312	0.797	   -8.933
ENSG00000108344	0.258	0.796	   10.229
ENSG00000178295	0.243	0.795	   -6.429
ENSG00000178188	0.215	0.794	    0.000
ENSG00000149485	0.346	0.793	    7.712
ENSG00000106799	0.350	0.789	    0.000
ENSG00000146243	0.185	0.780	   -9.065
ENSG00000273076	0.010	0.736	  -10.153
ENSG00000233393	0.063	0.719	   -1.568
ENSG00000248648	0.151	0.707	    1.287
ENSG00000134222	0.312	0.700	   10.147
ENSG00000110768	0.058	0.700	   -8.103
ENSG00000078237	0.693	0.694	   -4.289
ENSG00000174945	0.247	0.666	   -0.231
ENSG00000279428	0.046	0.662	   -8.287
ENSG00000275088	0.661	0.661	    2.943
ENSG00000184922	0.009	0.642	   -5.730
ENSG00000255568	0.104	0.630	   -1.039
ENSG00000261766	0.206	0.628	   -5.472
ENSG00000196526	0.240	0.615	    3.731
ENSG00000198646	0.282	0.607	   -8.284
ENSG00000196914	0.136	0.602	    6.023
ENSG00000020922	0.245	0.583	    5.068
ENSG00000168140	0.160	0.570	   -4.763
ENSG00000119906	0.142	0.569	   -6.416
ENSG00000100591	0.060	0.567	    5.377
ENSG00000137312	0.068	0.545	   -8.464
ENSG00000272008	0.158	0.536	    4.175
ENSG00000236814	0.314	0.527	    0.189
ENSG00000100150	0.342	0.517	    5.660
ENSG00000172613	0.393	0.515	    4.819
ENSG00000123901	0.404	0.507	    1.731
ENSG00000112812	0.329	0.503	   -9.247
ENSG00000142765	0.499	0.499	    0.938
ENSG00000196141	0.124	0.499	    0.575
ENSG00000077238	0.016	0.487	    4.064
ENSG00000232450	0.246	0.483	   -0.636
ENSG00000106635	0.210	0.479	    8.745
ENSG00000011295	0.185	0.477	   -7.167
ENSG00000126267	0.287	0.476	    1.733
ENSG00000270492	0.121	0.473	   -1.484
ENSG00000188994	0.012	0.461	    9.875
ENSG00000239388	0.287	0.457	   -5.617
ENSG00000174226	0.315	0.454	   -7.031
ENSG00000172795	0.173	0.444	   -4.682
ENSG00000134824	0.050	0.443	    6.516
ENSG00000008988	0.177	0.443	   -4.389
ENSG00000232852	0.041	0.428	    9.726
ENSG00000103496	0.089	0.421	  -12.222
ENSG00000121579	0.078	0.417	   -4.545
ENSG00000119314	0.107	0.415	    0.073
ENSG00000166133	0.132	0.412	   -2.400
ENSG00000272787	0.172	0.411	   -7.415
ENSG00000133612	0.020	0.403	   -4.267
ENSG00000272572	0.124	0.400	    9.910
ENSG00000169641	0.129	0.397	   -1.485
ENSG00000257576	0.042	0.391	   -4.902
ENSG00000272338	0.138	0.388	    3.247
ENSG00000198900	0.056	0.386	   -6.424
ENSG00000138193	0.299	0.385	   -8.596
ENSG00000251323	0.092	0.379	   -7.098
ENSG00000132394	0.098	0.375	   -3.994
ENSG00000227782	0.051	0.369	   -1.896
ENSG00000160796	0.203	0.365	   -7.285
ENSG00000143303	0.362	0.362	   -4.049
ENSG00000225282	0.311	0.360	   -7.034
ENSG00000134851	0.032	0.359	    1.659
ENSG00000088833	0.149	0.346	   -2.845
ENSG00000144580	0.115	0.337	   -7.051
ENSG00000105668	0.284	0.335	    5.286
ENSG00000131023	0.050	0.329	    3.591
ENSG00000009790	0.095	0.327	   -4.801
ENSG00000273295	0.315	0.326	   -6.447
ENSG00000218537	0.270	0.326	   -4.206
ENSG00000099977	0.307	0.326	   -7.060
ENSG00000148672	0.324	0.324	    4.226
ENSG00000275413	0.114	0.317	   -6.194
ENSG00000011590	0.168	0.317	    5.205
ENSG00000170802	0.316	0.316	    4.011
ENSG00000214941	0.135	0.314	   -6.600
ENSG00000162775	0.174	0.313	   -4.295
ENSG00000153822	0.270	0.312	   -4.216
ENSG00000196684	0.175	0.309	   -3.323
ENSG00000114573	0.094	0.307	    4.248
ENSG00000115524	0.099	0.305	    0.598
ENSG00000248394	0.036	0.305	    5.432
ENSG00000215114	0.076	0.301	    2.726
ENSG00000138709	0.088	0.299	    4.637
ENSG00000033327	0.136	0.299	   -1.856
ENSG00000117899	0.151	0.299	    0.785
ENSG00000138767	0.093	0.298	    3.695
ENSG00000237371	0.051	0.288	    7.689
ENSG00000137185	0.212	0.288	   -8.902
ENSG00000115556	0.091	0.287	    7.339
ENSG00000128891	0.177	0.285	   -1.886
ENSG00000214435	0.252	0.284	   -6.104
ENSG00000196419	0.006	0.281	    9.542
ENSG00000273466	0.140	0.280	    7.518
ENSG00000174332	0.194	0.280	    2.581
ENSG00000232642	0.089	0.279	    3.682
ENSG00000257337	0.277	0.277	   -1.856
ENSG00000100403	0.012	0.277	   -9.720
ENSG00000104738	0.274	0.274	   -4.256
ENSG00000249487	0.083	0.273	    0.000
ENSG00000172728	0.101	0.272	    0.000
ENSG00000099822	0.117	0.271	    3.935
ENSG00000241106	0.140	0.271	    0.830
ENSG00000198944	0.002	0.268	   -8.381
ENSG00000175548	0.203	0.262	    6.776
ENSG00000105656	0.058	0.262	   -4.504
ENSG00000113594	0.069	0.262	    3.680
ENSG00000168038	0.053	0.261	   -4.449
ENSG00000270326	0.123	0.257	    2.995
ENSG00000272912	0.147	0.257	    0.000
ENSG00000239732	0.164	0.257	    4.378
ENSG00000161179	0.081	0.256	   -3.945
ENSG00000261253	0.121	0.255	    4.147
ENSG00000122483	0.098	0.251	    4.578
ENSG00000165633	0.119	0.248	    5.316
ENSG00000196993	0.030	0.246	   -3.577
ENSG00000141378	0.130	0.245	    3.758
ENSG00000061936	0.225	0.244	   -2.359
ENSG00000231760	0.054	0.241	    3.633
ENSG00000180346	0.121	0.238	    7.005
ENSG00000178685	0.014	0.238	    1.118
ENSG00000115073	0.234	0.234	   -3.916
ENSG00000273080	0.068	0.234	   -3.797
ENSG00000065000	0.217	0.230	    0.000
ENSG00000204525	0.189	0.230	    0.000
ENSG00000100883	0.081	0.228	    3.820
ENSG00000164867	0.008	0.227	   -2.690
ENSG00000230084	0.115	0.227	    5.150
ENSG00000133065	0.174	0.225	   -5.295
ENSG00000052795	0.063	0.225	    4.153
ENSG00000058453	0.196	0.224	    3.675
ENSG00000065413	0.081	0.224	    4.194
ENSG00000160194	0.060	0.223	    0.228
ENSG00000164932	0.088	0.220	    3.485
ENSG00000185347	0.086	0.220	   -0.630
ENSG00000237759	0.041	0.219	    4.529
ENSG00000125510	0.216	0.216	    9.992
ENSG00000223745	0.020	0.216	    3.112
ENSG00000187867	0.215	0.215	   -1.053
ENSG00000266289	0.102	0.215	    2.019
ENSG00000165555	0.070	0.206	    4.794
ENSG00000172469	0.180	0.202	   -4.061
ENSG00000136378	0.116	0.199	    0.934
ENSG00000256937	0.022	0.198	    3.118
ENSG00000275066	0.197	0.197	    0.000
ENSG00000239523	0.080	0.195	   -2.239
ENSG00000254852	0.195	0.195	   -4.128
ENSG00000257103	0.054	0.194	    3.766
ENSG00000260911	0.057	0.194	  -11.947
ENSG00000281912	0.088	0.191	    0.076
ENSG00000160075	0.106	0.191	   -3.756
ENSG00000118369	0.096	0.191	   -7.007
ENSG00000164070	0.095	0.190	   -3.169
ENSG00000260796	0.049	0.189	   -2.314
ENSG00000120256	0.018	0.189	    3.616
ENSG00000003056	0.011	0.188	    2.893
