Gene	GRCP	GLCP	TWAS_z
ENSG00000171700	0.985	0.999	    9.709
ENSG00000125510	0.758	0.999	    8.831
ENSG00000142233	0.054	0.991	   -6.401
ENSG00000176909	0.107	0.960	    9.676
ENSG00000133612	0.294	0.948	    0.000
ENSG00000100221	0.014	0.945	   -5.078
ENSG00000108344	0.404	0.943	    9.905
ENSG00000230461	0.791	0.920	   -8.450
ENSG00000105364	0.017	0.914	  -14.175
ENSG00000148965	0.274	0.911	   -8.473
ENSG00000122512	0.016	0.885	   -0.822
ENSG00000214530	0.439	0.865	   -4.858
ENSG00000057019	0.218	0.862	    7.578
ENSG00000178295	0.628	0.861	   -6.686
ENSG00000165449	0.785	0.855	    0.060
ENSG00000167394	0.308	0.845	   10.836
ENSG00000163629	0.085	0.835	   -1.297
ENSG00000168140	0.557	0.832	   -4.998
ENSG00000189223	0.568	0.831	   -2.707
ENSG00000241106	0.199	0.830	    1.033
ENSG00000245025	0.817	0.817	    1.890
ENSG00000110768	0.080	0.814	   -8.505
ENSG00000261766	0.201	0.813	   -6.730
ENSG00000169925	0.361	0.802	   -0.063
ENSG00000172795	0.201	0.786	   -4.689
ENSG00000198890	0.630	0.782	   -5.248
ENSG00000133958	0.297	0.782	   -7.291
ENSG00000159228	0.055	0.777	    2.310
ENSG00000178188	0.217	0.772	   -1.193
ENSG00000233393	0.069	0.738	  -12.897
ENSG00000216990	0.189	0.726	  -10.810
ENSG00000205978	0.488	0.715	    5.686
ENSG00000078237	0.708	0.708	   -4.260
ENSG00000277287	0.448	0.703	   -5.212
ENSG00000101353	0.184	0.701	    4.143
ENSG00000133065	0.515	0.699	   -4.860
ENSG00000069275	0.248	0.669	    0.000
ENSG00000099365	0.071	0.662	  -12.097
ENSG00000146243	0.201	0.662	   -8.163
ENSG00000106799	0.297	0.662	    0.024
ENSG00000270424	0.164	0.661	    7.121
ENSG00000267121	0.010	0.647	   -0.485
ENSG00000148672	0.647	0.647	    4.443
ENSG00000157933	0.368	0.643	   -1.993
ENSG00000100412	0.102	0.640	   -9.987
ENSG00000196526	0.250	0.637	    4.281
ENSG00000172613	0.465	0.627	    3.941
ENSG00000149485	0.304	0.623	   -2.558
ENSG00000168152	0.167	0.611	    4.980
ENSG00000198646	0.300	0.606	   -8.239
ENSG00000134824	0.054	0.603	    7.579
ENSG00000171790	0.229	0.594	   -6.598
ENSG00000105656	0.129	0.593	   -4.781
ENSG00000214367	0.199	0.584	   -4.240
ENSG00000255893	0.051	0.580	    4.766
ENSG00000181126	0.063	0.568	    5.616
ENSG00000142765	0.548	0.548	    0.941
ENSG00000203910	0.240	0.540	   -7.144
ENSG00000261390	0.225	0.538	   -2.343
ENSG00000230084	0.233	0.536	    5.078
ENSG00000112812	0.464	0.530	   -8.699
ENSG00000232450	0.268	0.529	    2.938
ENSG00000198944	0.015	0.523	   -7.890
ENSG00000033327	0.160	0.511	   -2.160
ENSG00000251417	0.096	0.510	   -5.697
ENSG00000279377	0.117	0.500	    4.081
ENSG00000106635	0.382	0.499	    8.330
ENSG00000229152	0.112	0.481	   -1.531
ENSG00000020922	0.051	0.471	    4.269
ENSG00000223745	0.215	0.468	    3.448
ENSG00000239388	0.305	0.454	   -5.583
ENSG00000255222	0.020	0.454	    3.392
ENSG00000225282	0.419	0.446	   -7.234
ENSG00000008988	0.185	0.442	   -4.352
ENSG00000275088	0.432	0.432	   -4.955
ENSG00000273295	0.352	0.431	   -5.951
ENSG00000196296	0.143	0.409	    6.910
