Gene	GRCP	GLCP	TWAS_z
ENSG00000236814	0.216	0.971	   -1.163
ENSG00000205978	0.229	0.967	    5.229
ENSG00000134222	0.895	0.955	   10.111
ENSG00000146477	0.363	0.949	    9.907
ENSG00000088854	0.659	0.935	    7.007
ENSG00000274895	0.337	0.892	   -8.442
ENSG00000109944	0.507	0.890	    2.588
ENSG00000272572	0.245	0.883	   10.514
ENSG00000176909	0.055	0.872	  -11.166
ENSG00000189223	0.617	0.871	   -4.768
ENSG00000125618	0.608	0.871	   -3.447
ENSG00000214530	0.511	0.861	   -4.846
ENSG00000183826	0.393	0.847	    8.043
ENSG00000178295	0.653	0.838	   -6.208
ENSG00000162877	0.723	0.828	    0.000
ENSG00000010803	0.246	0.818	    2.846
ENSG00000188938	0.786	0.814	   -6.554
ENSG00000198890	0.672	0.809	   -5.243
ENSG00000171703	0.037	0.785	    0.086
ENSG00000133065	0.535	0.759	   -5.650
ENSG00000231160	0.131	0.751	    3.342
ENSG00000260911	0.335	0.747	  -12.224
ENSG00000196993	0.241	0.743	    0.000
ENSG00000091732	0.559	0.742	    3.061
ENSG00000181264	0.423	0.731	    6.060
ENSG00000166478	0.391	0.724	   -4.735
ENSG00000146243	0.223	0.707	   -9.024
ENSG00000150867	0.407	0.705	    6.440
ENSG00000078237	0.699	0.699	   -4.379
ENSG00000164506	0.193	0.694	    7.573
ENSG00000168140	0.153	0.682	   -4.828
ENSG00000163629	0.140	0.672	    0.000
ENSG00000230461	0.308	0.654	   -8.573
ENSG00000176542	0.119	0.652	   -4.536
ENSG00000011021	0.156	0.642	   -5.039
ENSG00000108784	0.608	0.637	    6.264
ENSG00000008988	0.266	0.622	   -4.377
ENSG00000160321	0.125	0.620	    1.265
ENSG00000187837	0.159	0.620	  -12.731
ENSG00000198646	0.314	0.602	   -8.263
ENSG00000142233	0.599	0.599	  -10.115
ENSG00000179588	0.353	0.575	   -4.571
ENSG00000108591	0.015	0.574	   -6.288
ENSG00000160796	0.316	0.573	   -7.307
ENSG00000112893	0.212	0.572	    4.082
ENSG00000243955	0.258	0.572	   -6.406
ENSG00000272008	0.239	0.569	    4.286
ENSG00000134852	0.123	0.567	   -4.559
ENSG00000261766	0.189	0.562	   -7.028
ENSG00000118094	0.121	0.562	    4.693
ENSG00000134825	0.101	0.556	   -7.240
ENSG00000020922	0.082	0.555	    4.977
ENSG00000185658	0.274	0.546	    8.054
ENSG00000162407	0.202	0.535	   -3.878
ENSG00000103496	0.196	0.533	   11.764
ENSG00000170425	0.118	0.532	    0.000
ENSG00000188994	0.101	0.522	    2.543
ENSG00000169641	0.262	0.515	   -1.543
ENSG00000143178	0.133	0.511	    0.328
ENSG00000008324	0.128	0.509	    0.000
ENSG00000011295	0.152	0.508	   -7.372
ENSG00000105668	0.358	0.505	    2.854
ENSG00000230084	0.273	0.504	    5.109
ENSG00000248508	0.426	0.504	   -3.595
ENSG00000240972	0.109	0.501	   -6.834
ENSG00000235106	0.396	0.492	    0.949
ENSG00000088448	0.424	0.485	    0.000
ENSG00000134569	0.211	0.483	   10.586
ENSG00000272338	0.185	0.483	    0.000
ENSG00000205189	0.059	0.481	   -5.823
ENSG00000153094	0.375	0.479	   -2.054
ENSG00000213799	0.217	0.476	   -5.687
ENSG00000196141	0.241	0.474	   -4.640
ENSG00000213625	0.259	0.472	   -6.307
ENSG00000067208	0.028	0.471	    7.051
ENSG00000216990	0.105	0.467	  -10.262
ENSG00000273295	0.402	0.467	   -7.041
ENSG00000272969	0.166	0.466	   -4.699
ENSG00000269345	0.124	0.465	    4.327
ENSG00000174945	0.297	0.462	   -0.665
