Gene	GRCP	GLCP	TWAS_z
ENSG00000176909	0.254	0.973	  -12.213
ENSG00000071967	0.763	0.936	   -3.905
ENSG00000259466	0.439	0.924	  -14.834
ENSG00000198535	0.315	0.890	  -14.838
ENSG00000187837	0.232	0.885	  -13.020
ENSG00000088970	0.015	0.882	    3.391
ENSG00000230461	0.260	0.861	   -8.078
ENSG00000198945	0.034	0.856	    1.246
ENSG00000189223	0.617	0.853	   -4.247
ENSG00000198890	0.598	0.838	   -5.333
ENSG00000151292	0.563	0.832	    5.382
ENSG00000270424	0.259	0.805	    7.100
ENSG00000134222	0.589	0.804	   -0.253
ENSG00000162877	0.707	0.798	   -0.270
ENSG00000088854	0.350	0.796	    5.556
ENSG00000146243	0.235	0.789	   -9.084
ENSG00000178295	0.385	0.777	   -6.047
ENSG00000138640	0.343	0.754	   -2.322
ENSG00000125618	0.604	0.753	   -2.637
ENSG00000078237	0.746	0.746	   -4.254
ENSG00000178209	0.170	0.745	    4.214
ENSG00000100249	0.408	0.742	    2.998
ENSG00000276600	0.640	0.739	   -6.683
ENSG00000128891	0.333	0.733	   -0.864
ENSG00000197134	0.109	0.730	    4.585
ENSG00000133065	0.638	0.729	   -6.638
ENSG00000166478	0.451	0.724	   -4.736
ENSG00000172613	0.538	0.692	    6.605
ENSG00000280160	0.275	0.668	    6.493
ENSG00000236814	0.156	0.667	    0.003
ENSG00000255568	0.353	0.642	    6.814
ENSG00000174945	0.154	0.640	   -2.063
ENSG00000198646	0.342	0.633	   -8.242
ENSG00000185829	0.012	0.626	    5.851
ENSG00000261766	0.221	0.616	   -6.255
ENSG00000174226	0.544	0.607	   -6.990
ENSG00000231160	0.220	0.605	   -0.073
ENSG00000138696	0.363	0.603	   -4.906
ENSG00000281912	0.369	0.602	   -0.391
ENSG00000167395	0.443	0.601	  -12.292
ENSG00000197586	0.284	0.592	   -5.316
ENSG00000275413	0.114	0.585	   -7.368
ENSG00000198089	0.582	0.582	    1.287
ENSG00000105668	0.566	0.580	    5.610
ENSG00000260911	0.169	0.571	  -12.161
ENSG00000020922	0.048	0.552	    4.717
ENSG00000272572	0.250	0.542	   10.469
ENSG00000160321	0.091	0.536	    1.046
ENSG00000103671	0.215	0.515	    3.882
ENSG00000183624	0.236	0.513	   -5.388
ENSG00000280063	0.306	0.507	   -5.677
ENSG00000008324	0.156	0.504	   -0.234
ENSG00000141027	0.089	0.504	    0.561
ENSG00000150867	0.133	0.487	    6.315
ENSG00000117899	0.220	0.483	    0.842
ENSG00000008988	0.214	0.478	   -4.348
ENSG00000145063	0.295	0.471	    2.653
ENSG00000126267	0.303	0.468	    0.363
ENSG00000236409	0.108	0.467	   -7.038
ENSG00000230084	0.245	0.455	    5.129
ENSG00000162585	0.198	0.453	   -3.501
ENSG00000175489	0.120	0.446	    0.000
ENSG00000187772	0.214	0.445	   -5.507
ENSG00000218537	0.423	0.423	   -7.144
ENSG00000215417	0.379	0.420	    4.815
ENSG00000180346	0.008	0.413	   -0.619
ENSG00000162032	0.013	0.412	   17.594
ENSG00000099977	0.224	0.409	   -6.974
ENSG00000145692	0.384	0.407	    5.607
ENSG00000204267	0.121	0.405	    4.747
ENSG00000163431	0.402	0.402	    4.548
ENSG00000225282	0.378	0.393	   -7.055
ENSG00000165966	0.198	0.391	   -5.683
ENSG00000273295	0.363	0.384	   -7.035
ENSG00000132881	0.019	0.380	    5.125
ENSG00000112977	0.380	0.380	   -1.206
ENSG00000251417	0.228	0.376	    0.000
ENSG00000170802	0.373	0.373	    3.974
ENSG00000133433	0.364	0.372	   -3.709
ENSG00000272338	0.071	0.363	    2.524
ENSG00000170425	0.083	0.357	    0.000
ENSG00000179546	0.105	0.354	   -4.102
ENSG00000133067	0.157	0.338	   -4.009
ENSG00000126934	0.337	0.337	    4.183
ENSG00000117868	0.098	0.337	    3.878
