Gene	GRCP	GLCP	TWAS_z
ENSG00000176909	0.538	0.946	  -11.874
ENSG00000134222	0.616	0.946	   -0.323
ENSG00000088854	0.621	0.937	    6.870
ENSG00000165626	0.724	0.908	    4.703
ENSG00000134851	0.140	0.880	    1.125
ENSG00000178295	0.655	0.868	   -6.328
ENSG00000272572	0.149	0.865	    9.842
ENSG00000011021	0.481	0.854	   -6.189
ENSG00000189223	0.599	0.847	   -4.845
ENSG00000125618	0.560	0.845	   -2.481
ENSG00000198890	0.624	0.830	   -5.307
ENSG00000100249	0.525	0.823	   -0.858
ENSG00000236814	0.119	0.820	   -0.248
ENSG00000138640	0.307	0.806	   -2.061
ENSG00000100211	0.004	0.806	    1.913
ENSG00000149485	0.078	0.805	    8.037
ENSG00000162877	0.706	0.792	   -2.898
ENSG00000230461	0.028	0.786	   -7.172
ENSG00000172795	0.240	0.769	   -4.699
ENSG00000280063	0.529	0.761	   -5.666
ENSG00000105323	0.060	0.754	    3.656
ENSG00000078237	0.737	0.738	   -4.261
ENSG00000187953	0.178	0.727	    0.351
ENSG00000150867	0.529	0.726	    6.346
ENSG00000168140	0.154	0.710	   -4.721
ENSG00000274895	0.060	0.702	   -8.372
ENSG00000138696	0.121	0.690	   -4.950
ENSG00000272787	0.338	0.667	    0.773
ENSG00000165555	0.085	0.664	    5.344
ENSG00000172613	0.549	0.654	    6.638
ENSG00000261766	0.206	0.641	   -6.451
ENSG00000146243	0.204	0.625	   -9.016
ENSG00000099974	0.063	0.614	    0.000
ENSG00000243955	0.243	0.605	    6.801
ENSG00000174226	0.486	0.590	   -6.784
ENSG00000276023	0.172	0.582	    0.000
ENSG00000251417	0.189	0.565	   -6.338
ENSG00000095539	0.164	0.560	   10.669
ENSG00000163528	0.057	0.560	   -0.465
ENSG00000078804	0.273	0.540	   -8.322
ENSG00000103671	0.207	0.540	    3.335
ENSG00000020922	0.052	0.539	    4.780
ENSG00000230084	0.261	0.535	    5.080
ENSG00000121579	0.151	0.530	   -4.568
ENSG00000100591	0.061	0.527	    5.392
ENSG00000273295	0.452	0.523	   -7.096
ENSG00000164161	0.071	0.516	   -4.669
ENSG00000166478	0.324	0.509	   -4.890
ENSG00000165322	0.285	0.505	   -4.886
ENSG00000008988	0.208	0.499	   -4.354
ENSG00000171121	0.160	0.484	   -4.658
ENSG00000241878	0.165	0.482	    6.012
ENSG00000203760	0.037	0.474	    8.606
ENSG00000283709	0.160	0.473	   -4.363
ENSG00000213064	0.149	0.439	    3.935
ENSG00000253695	0.030	0.435	    0.753
ENSG00000248394	0.059	0.433	    5.107
ENSG00000269345	0.149	0.424	    4.531
ENSG00000168152	0.125	0.423	    5.085
ENSG00000173575	0.279	0.423	   -5.431
ENSG00000204442	0.421	0.421	    2.232
ENSG00000105668	0.222	0.411	    5.299
ENSG00000236810	0.149	0.406	    4.217
ENSG00000215014	0.400	0.404	   -3.781
ENSG00000141101	0.358	0.399	   -9.274
ENSG00000145692	0.274	0.399	    5.240
ENSG00000204267	0.086	0.392	    3.995
ENSG00000179021	0.110	0.382	    8.234
ENSG00000169641	0.117	0.381	   -1.449
ENSG00000187837	0.188	0.378	  -12.875
ENSG00000126934	0.377	0.377	    3.704
ENSG00000218537	0.355	0.377	   -6.983
ENSG00000133433	0.074	0.371	    2.231
ENSG00000170802	0.368	0.368	    4.012
ENSG00000117899	0.217	0.368	    0.804
ENSG00000088387	0.109	0.363	    1.080
ENSG00000260911	0.294	0.363	  -12.221
ENSG00000033327	0.111	0.361	    0.000
ENSG00000223313	0.146	0.360	   -5.376
ENSG00000153774	0.066	0.359	    0.000
ENSG00000176422	0.196	0.357	    5.498
ENSG00000224699	0.169	0.352	    4.090
ENSG00000093183	0.165	0.350	    5.115
ENSG00000083635	0.242	0.349	    1.630
ENSG00000137074	0.193	0.344	    2.455
ENSG00000225282	0.336	0.336	   -7.086
ENSG00000214435	0.323	0.332	   -6.064
ENSG00000148655	0.086	0.323	   -6.363
ENSG00000103496	0.086	0.318	    9.998
ENSG00000146477	0.044	0.318	   10.323
ENSG00000160796	0.136	0.316	   -7.358
ENSG00000030582	0.076	0.314	   -0.218
ENSG00000126267	0.310	0.310	    0.753
ENSG00000227782	0.061	0.307	    0.768
ENSG00000099977	0.146	0.306	   -7.312
