Gene	GRCP	GLCP	TWAS_z
ENSG00000106565	0.938	0.963	    0.865
ENSG00000142233	0.150	0.962	  -11.426
ENSG00000198890	0.681	0.918	   -5.265
ENSG00000100211	0.004	0.911	    2.529
ENSG00000149485	0.417	0.885	    8.002
ENSG00000125618	0.612	0.875	    0.601
ENSG00000189223	0.647	0.868	   -4.867
ENSG00000267534	0.719	0.863	    7.783
ENSG00000162877	0.771	0.847	    0.000
ENSG00000257594	0.305	0.825	    0.000
ENSG00000251417	0.298	0.812	    0.000
ENSG00000255422	0.192	0.806	   -3.211
ENSG00000142632	0.495	0.777	   -7.493
ENSG00000011021	0.361	0.775	   -5.186
ENSG00000178952	0.252	0.766	    7.048
ENSG00000260911	0.407	0.752	  -12.224
ENSG00000020922	0.133	0.750	    4.897
ENSG00000255893	0.633	0.746	    5.646
ENSG00000178209	0.109	0.742	    0.000
ENSG00000274895	0.051	0.727	   -7.506
ENSG00000071967	0.609	0.720	   -3.888
ENSG00000146243	0.258	0.710	   -9.006
ENSG00000172795	0.209	0.694	   -4.697
ENSG00000116678	0.302	0.693	    7.518
ENSG00000172613	0.536	0.644	    6.601
ENSG00000100226	0.002	0.634	    1.632
ENSG00000272462	0.462	0.633	  -12.931
ENSG00000093183	0.216	0.615	    5.053
ENSG00000117899	0.271	0.609	    0.851
ENSG00000150867	0.508	0.596	    6.437
ENSG00000174226	0.286	0.578	   -6.258
ENSG00000214530	0.124	0.577	   -3.548
ENSG00000230084	0.277	0.565	    5.296
ENSG00000218537	0.401	0.548	   -6.917
ENSG00000011295	0.145	0.542	   -7.205
ENSG00000246379	0.315	0.535	   -2.538
ENSG00000185658	0.082	0.508	    7.319
ENSG00000276023	0.228	0.506	   -2.833
ENSG00000272338	0.231	0.499	    0.000
ENSG00000172728	0.187	0.486	    3.256
ENSG00000272969	0.176	0.481	   -4.604
ENSG00000197134	0.298	0.465	    4.921
ENSG00000175105	0.107	0.465	   -7.344
ENSG00000116127	0.119	0.462	    5.585
ENSG00000143303	0.455	0.455	   -4.037
ENSG00000167315	0.090	0.454	    0.014
ENSG00000130997	0.162	0.442	    2.377
ENSG00000099769	0.014	0.437	    7.440
ENSG00000106948	0.345	0.434	   -1.907
ENSG00000273295	0.409	0.429	   -6.481
ENSG00000248508	0.321	0.428	   -4.731
ENSG00000101745	0.195	0.419	    3.191
ENSG00000099977	0.339	0.414	   -7.151
ENSG00000117868	0.071	0.407	    3.823
ENSG00000224699	0.195	0.406	    3.650
ENSG00000170802	0.381	0.401	    3.995
ENSG00000167711	0.185	0.399	    2.379
ENSG00000170425	0.085	0.397	    0.000
ENSG00000270720	0.207	0.390	    6.751
ENSG00000267053	0.233	0.384	   -5.029
ENSG00000172538	0.012	0.376	    4.331
ENSG00000058453	0.366	0.366	    4.213
ENSG00000105323	0.024	0.365	    3.686
ENSG00000138175	0.080	0.365	   -5.862
ENSG00000178295	0.227	0.364	   -5.162
ENSG00000214435	0.361	0.364	   -6.104
ENSG00000269345	0.090	0.358	    4.454
ENSG00000128891	0.255	0.351	   -5.204
ENSG00000197157	0.269	0.348	    0.144
ENSG00000255568	0.179	0.345	   -0.525
ENSG00000117305	0.179	0.343	   -2.131
ENSG00000245025	0.018	0.333	   -1.644
ENSG00000120253	0.068	0.329	    3.660
ENSG00000137338	0.075	0.326	   -8.627
ENSG00000166478	0.057	0.325	   -4.316
ENSG00000133067	0.200	0.322	    0.256
ENSG00000156886	0.319	0.320	    1.435
ENSG00000275413	0.132	0.317	   -7.098
ENSG00000077616	0.048	0.317	   -3.283
ENSG00000235106	0.180	0.300	   -5.012
ENSG00000100316	0.175	0.298	   -3.647
ENSG00000233393	0.001	0.297	  -12.906
ENSG00000271155	0.144	0.295	    0.554
ENSG00000137185	0.236	0.294	   -6.208
ENSG00000163629	0.034	0.294	   -1.788
ENSG00000213064	0.082	0.292	    3.751
ENSG00000230461	0.054	0.289	   -8.135
ENSG00000225282	0.215	0.284	   -6.888
ENSG00000273080	0.107	0.274	   -3.842
ENSG00000259038	0.020	0.274	   -1.552
ENSG00000168038	0.052	0.269	   -3.869
ENSG00000231113	0.175	0.267	   -1.164
ENSG00000126522	0.077	0.267	    3.524
ENSG00000236814	0.057	0.267	    0.117
ENSG00000146112	0.146	0.265	    0.000
ENSG00000117500	0.124	0.264	    4.696
ENSG00000232642	0.077	0.263	    3.485
ENSG00000275066	0.261	0.261	    0.000
ENSG00000158604	0.107	0.260	   -4.235
ENSG00000138640	0.163	0.260	    7.772
ENSG00000267249	0.143	0.260	    4.367
ENSG00000204682	0.016	0.259	    0.000
ENSG00000180138	0.121	0.257	    3.963
ENSG00000115524	0.101	0.250	   -4.185
ENSG00000087258	0.032	0.250	   -4.279
ENSG00000249274	0.011	0.243	    5.503
ENSG00000099785	0.131	0.242	    3.460
ENSG00000272692	0.173	0.242	    4.650
ENSG00000161180	0.108	0.242	    0.797
ENSG00000272333	0.214	0.241	    4.839
ENSG00000152689	0.239	0.239	   -3.822
ENSG00000109381	0.172	0.238	   -3.871
ENSG00000266289	0.119	0.236	    3.434
ENSG00000231760	0.095	0.235	    3.588
ENSG00000011590	0.202	0.233	    5.142
ENSG00000183527	0.116	0.231	    6.866
ENSG00000112977	0.231	0.231	    2.632
ENSG00000105552	0.161	0.228	   -5.286
ENSG00000127663	0.023	0.225	  -14.691
ENSG00000132305	0.102	0.218	    1.018
ENSG00000178665	0.147	0.213	   -5.756
ENSG00000057757	0.105	0.205	    3.887
ENSG00000130717	0.205	0.205	    2.441
ENSG00000145725	0.085	0.204	    4.244
ENSG00000251022	0.176	0.203	    5.021
ENSG00000270760	0.147	0.203	    4.356
ENSG00000144580	0.087	0.199	   -6.148
ENSG00000134825	0.025	0.198	   -6.770
ENSG00000227220	0.085	0.198	    0.103
ENSG00000213413	0.192	0.196	    6.336
ENSG00000120088	0.011	0.195	   -1.695
ENSG00000124713	0.121	0.194	   -0.384
ENSG00000099984	0.095	0.192	    0.000
ENSG00000105953	0.060	0.189	    2.298
ENSG00000255557	0.102	0.186	    6.745
ENSG00000214425	0.013	0.179	   -1.992
ENSG00000064835	0.064	0.173	   -4.006
ENSG00000197226	0.141	0.171	   -3.104
ENSG00000272572	0.064	0.171	   10.028
ENSG00000135845	0.109	0.167	   -2.074
ENSG00000111816	0.117	0.163	    2.315
ENSG00000162032	0.001	0.160	   18.192
ENSG00000086991	0.020	0.159	   -2.713
ENSG00000165124	0.074	0.159	    3.546
ENSG00000231160	0.158	0.158	    3.308
ENSG00000260876	0.073	0.155	    1.413
ENSG00000186704	0.052	0.154	   -3.735
ENSG00000232880	0.116	0.151	    0.734
ENSG00000167395	0.071	0.151	  -12.453
ENSG00000250948	0.041	0.151	   -2.483
ENSG00000100997	0.041	0.150	    0.091
ENSG00000138709	0.051	0.149	    4.650
ENSG00000241106	0.098	0.148	    1.207
ENSG00000101452	0.073	0.146	   -1.460
ENSG00000131023	0.059	0.144	    3.500
ENSG00000177000	0.052	0.144	   -5.965
ENSG00000121578	0.058	0.143	    1.269
ENSG00000264589	0.014	0.143	   -1.922
ENSG00000198042	0.049	0.140	   -1.134
ENSG00000169020	0.121	0.140	   -3.665
ENSG00000272911	0.044	0.136	   -1.946
ENSG00000179021	0.033	0.135	    8.131
ENSG00000228446	0.063	0.135	    5.838
ENSG00000108578	0.041	0.134	   -1.065
ENSG00000175489	0.118	0.134	    0.000
ENSG00000052795	0.042	0.133	    3.366
ENSG00000162415	0.089	0.133	   -5.337
ENSG00000206527	0.065	0.132	   -4.851
ENSG00000169519	0.061	0.131	   -3.533
ENSG00000021488	0.064	0.131	   -3.327
ENSG00000117115	0.069	0.130	    0.382
ENSG00000183828	0.008	0.129	   -0.218
ENSG00000231769	0.037	0.129	    0.000
ENSG00000254081	0.091	0.127	    2.112
ENSG00000204934	0.066	0.126	    3.333
ENSG00000116977	0.023	0.125	   -3.800
ENSG00000167981	0.077	0.124	   -2.505
ENSG00000244062	0.082	0.121	   -3.503
ENSG00000122483	0.057	0.120	    4.398
ENSG00000149295	0.053	0.119	   -4.808
ENSG00000204650	0.013	0.119	    5.845
ENSG00000219891	0.099	0.119	   -4.247
ENSG00000173473	0.046	0.118	   -4.678
ENSG00000101624	0.058	0.117	    4.340
ENSG00000119397	0.053	0.116	    0.000
ENSG00000091732	0.038	0.115	    3.736
ENSG00000112796	0.068	0.114	    0.000
ENSG00000169641	0.048	0.114	   -1.918
ENSG00000072958	0.033	0.111	    3.144
ENSG00000129116	0.026	0.111	   -3.097
ENSG00000241350	0.064	0.111	   -3.414
ENSG00000279536	0.043	0.111	    3.405
ENSG00000115053	0.088	0.108	    4.453
ENSG00000163879	0.060	0.107	    3.522
ENSG00000068383	0.106	0.106	   -3.245
ENSG00000247624	0.067	0.105	   -3.495
ENSG00000198900	0.071	0.105	   -6.478
ENSG00000130193	0.048	0.104	    3.165
ENSG00000153094	0.085	0.104	   -0.016
ENSG00000109339	0.023	0.103	   -0.249
ENSG00000160999	0.016	0.103	    3.536
ENSG00000174227	0.020	0.102	   -2.654
ENSG00000160886	0.043	0.102	    3.096
ENSG00000108591	0.041	0.102	   -5.941
ENSG00000198130	0.059	0.102	    3.260
ENSG00000233056	0.095	0.101	    3.945
ENSG00000283183	0.052	0.101	   -2.942
ENSG00000250222	0.003	0.100	    6.268
ENSG00000011009	0.033	0.100	    3.935
ENSG00000235319	0.022	0.100	    1.879
ENSG00000178425	0.049	0.098	   -0.494
ENSG00000240634	0.043	0.098	   -1.335
ENSG00000166275	0.076	0.097	    0.000
ENSG00000151006	0.074	0.097	    9.324
ENSG00000204525	0.096	0.096	    3.106
ENSG00000253741	0.060	0.096	   -1.208
ENSG00000162585	0.037	0.095	    0.000
ENSG00000230325	0.016	0.095	   -3.766
ENSG00000178719	0.010	0.094	    5.032
ENSG00000144357	0.073	0.094	   -4.034
ENSG00000100335	0.092	0.092	   -3.513
ENSG00000171130	0.062	0.091	    3.298
ENSG00000112041	0.054	0.091	   -3.797
ENSG00000151834	0.001	0.089	   -6.604
ENSG00000105538	0.004	0.088	  -10.362
ENSG00000139626	0.052	0.088	    1.366
ENSG00000235138	0.043	0.088	    0.567
ENSG00000178623	0.069	0.088	   -3.341
ENSG00000138696	0.081	0.088	    0.000
ENSG00000186577	0.009	0.087	   -5.691
ENSG00000141854	0.085	0.087	    2.770
ENSG00000225434	0.087	0.087	    3.248
ENSG00000262539	0.014	0.086	    5.712
ENSG00000168876	0.022	0.084	   -1.992
ENSG00000174611	0.036	0.084	    3.394
ENSG00000110756	0.042	0.084	   -7.755
ENSG00000108342	0.037	0.084	   -9.719
ENSG00000175170	0.064	0.084	   -3.812
ENSG00000272810	0.044	0.083	    1.214
