Gene	GRCP	GLCP	TWAS_z
ENSG00000228274	0.004	0.891	    1.415
ENSG00000125618	0.626	0.847	   -2.246
ENSG00000189223	0.606	0.845	   -3.821
ENSG00000083635	0.578	0.817	   -2.781
ENSG00000149196	0.786	0.787	    3.548
ENSG00000205189	0.552	0.769	   -6.861
ENSG00000178209	0.361	0.754	    0.155
ENSG00000078237	0.715	0.716	   -4.300
ENSG00000011021	0.103	0.704	   -4.907
ENSG00000119906	0.223	0.681	   -4.488
ENSG00000174945	0.142	0.678	    7.385
ENSG00000130222	0.229	0.658	   -6.230
ENSG00000260317	0.446	0.654	   -6.880
ENSG00000259982	0.071	0.643	    6.763
ENSG00000103671	0.223	0.640	    3.542
ENSG00000271581	0.635	0.635	    9.947
ENSG00000214894	0.026	0.629	   -8.602
ENSG00000261766	0.198	0.620	   -5.726
ENSG00000254783	0.589	0.589	    5.722
ENSG00000099974	0.178	0.579	    1.799
ENSG00000033327	0.174	0.563	   -7.126
ENSG00000078804	0.308	0.539	    8.321
ENSG00000008838	0.158	0.514	    3.333
ENSG00000104964	0.511	0.511	   -2.956
ENSG00000175489	0.275	0.499	   -0.262
ENSG00000110756	0.064	0.496	   -7.935
ENSG00000008988	0.198	0.487	   -4.351
ENSG00000143178	0.249	0.484	   -0.566
ENSG00000146535	0.465	0.469	    7.350
ENSG00000260942	0.292	0.464	   -3.984
ENSG00000270424	0.134	0.447	    7.053
ENSG00000101624	0.249	0.424	    4.366
ENSG00000240972	0.364	0.423	   -7.077
ENSG00000276023	0.286	0.420	    4.731
ENSG00000229152	0.151	0.405	   -3.491
ENSG00000134824	0.213	0.401	   -6.391
ENSG00000273295	0.367	0.376	   -7.034
ENSG00000251867	0.270	0.375	   -6.845
ENSG00000225282	0.366	0.375	   -7.033
ENSG00000218537	0.365	0.373	   -7.042
ENSG00000006607	0.189	0.372	    6.249
ENSG00000170802	0.368	0.368	    4.008
ENSG00000176422	0.367	0.367	   -5.678
ENSG00000145476	0.060	0.362	    2.223
ENSG00000160796	0.266	0.359	    7.282
ENSG00000260911	0.070	0.358	  -12.032
ENSG00000132881	0.357	0.357	    5.429
ENSG00000243323	0.350	0.351	    0.783
ENSG00000185658	0.146	0.348	   -1.336
ENSG00000196141	0.163	0.336	   -4.669
ENSG00000128891	0.227	0.332	   -4.753
ENSG00000104738	0.328	0.328	   -4.260
ENSG00000258704	0.118	0.326	   -0.017
ENSG00000160193	0.113	0.315	    0.879
ENSG00000119314	0.096	0.308	   -0.349
ENSG00000232946	0.156	0.307	   -4.577
ENSG00000196526	0.112	0.304	   -2.124
ENSG00000168488	0.105	0.295	    7.056
ENSG00000255568	0.146	0.282	   -0.194
ENSG00000262050	0.262	0.273	   -5.113
ENSG00000214941	0.142	0.268	   -6.275
ENSG00000167081	0.035	0.268	    6.721
ENSG00000134825	0.038	0.263	   -6.341
ENSG00000168038	0.075	0.263	   -4.377
ENSG00000100994	0.018	0.262	   -4.120
ENSG00000273080	0.083	0.252	   -3.838
ENSG00000175792	0.097	0.250	    3.882
