Gene	GRCP	GLCP	TWAS_z
ENSG00000171700	0.700	0.997	    9.520
ENSG00000105538	0.866	0.982	  -11.869
ENSG00000142233	0.036	0.973	   -3.762
ENSG00000002933	0.940	0.964	    4.531
ENSG00000134222	0.717	0.951	   10.097
ENSG00000106565	0.924	0.939	    0.000
ENSG00000238078	0.207	0.920	   -1.076
ENSG00000109339	0.158	0.919	   -2.093
ENSG00000008838	0.488	0.905	    3.141
ENSG00000176909	0.038	0.903	  -11.780
ENSG00000133612	0.156	0.893	   -5.133
ENSG00000151834	0.022	0.889	   -6.830
ENSG00000178295	0.700	0.885	   -6.243
ENSG00000119906	0.405	0.861	    9.577
ENSG00000178188	0.258	0.831	   -6.747
ENSG00000183826	0.505	0.815	    7.671
ENSG00000162877	0.729	0.813	    0.000
ENSG00000146535	0.081	0.792	    5.547
ENSG00000155530	0.791	0.791	    0.923
ENSG00000125618	0.646	0.775	   -2.663
ENSG00000078237	0.767	0.767	   -4.261
ENSG00000146247	0.161	0.761	   -8.948
ENSG00000118705	0.207	0.759	    4.538
ENSG00000078804	0.403	0.754	    8.356
ENSG00000233393	0.071	0.739	  -12.224
ENSG00000189223	0.671	0.738	   -4.768
ENSG00000178209	0.306	0.705	    0.000
ENSG00000243955	0.176	0.688	    6.698
ENSG00000273295	0.537	0.685	   -7.126
ENSG00000128342	0.498	0.678	    5.281
ENSG00000260911	0.353	0.671	  -12.236
ENSG00000163629	0.140	0.670	   -0.617
ENSG00000240429	0.219	0.660	   -4.203
ENSG00000198890	0.452	0.659	   -4.987
ENSG00000172613	0.623	0.654	    6.624
ENSG00000125531	0.170	0.653	   -4.449
ENSG00000088854	0.357	0.647	    6.371
ENSG00000145147	0.262	0.640	    4.021
ENSG00000276023	0.322	0.638	   -2.395
ENSG00000112343	0.216	0.636	    1.510
ENSG00000149485	0.552	0.634	    0.000
ENSG00000145723	0.025	0.632	    4.875
ENSG00000196914	0.301	0.603	    6.171
ENSG00000008988	0.273	0.601	   -4.366
ENSG00000198646	0.357	0.601	   -8.231
ENSG00000103671	0.255	0.597	    3.854
ENSG00000008324	0.204	0.592	    0.000
