Gene	GRCP	GLCP	TWAS_z
ENSG00000125510	0.427	0.998	    9.708
ENSG00000171700	0.070	0.992	    9.799
ENSG00000142039	0.832	0.956	    5.111
ENSG00000105329	0.826	0.955	    4.825
ENSG00000262061	0.674	0.927	    1.429
ENSG00000167395	0.268	0.906	  -11.844
ENSG00000129003	0.190	0.903	    6.041
ENSG00000198890	0.651	0.892	   -4.940
ENSG00000138738	0.454	0.891	    6.944
ENSG00000183826	0.601	0.880	    7.978
ENSG00000077585	0.735	0.878	    2.911
ENSG00000189223	0.652	0.856	   -3.701
ENSG00000138696	0.176	0.836	   -4.774
ENSG00000162877	0.718	0.835	   -5.430
ENSG00000148655	0.371	0.830	   -6.115
ENSG00000134825	0.378	0.828	   -8.060
ENSG00000145428	0.475	0.821	    1.160
ENSG00000184110	0.284	0.795	    7.052
ENSG00000172795	0.300	0.773	   -4.640
ENSG00000125618	0.655	0.773	   -2.653
ENSG00000078237	0.760	0.760	   -4.280
ENSG00000178188	0.261	0.754	    0.000
ENSG00000149485	0.129	0.753	    7.120
ENSG00000146247	0.173	0.735	   -9.001
ENSG00000196141	0.373	0.734	    4.550
ENSG00000260911	0.376	0.729	  -12.193
ENSG00000110080	0.478	0.724	   -3.713
ENSG00000178209	0.271	0.722	    0.000
ENSG00000159228	0.325	0.706	    9.759
ENSG00000172613	0.645	0.705	    6.681
ENSG00000002933	0.639	0.658	    5.481
ENSG00000111816	0.371	0.654	   -1.724
ENSG00000198646	0.285	0.648	   -8.272
ENSG00000235106	0.422	0.643	   -4.989
ENSG00000010803	0.207	0.642	    6.469
ENSG00000245025	0.528	0.628	    1.599
ENSG00000008988	0.265	0.622	   -4.333
ENSG00000109794	0.489	0.609	   -3.009
ENSG00000212978	0.500	0.609	   -1.687
ENSG00000279943	0.110	0.598	   -4.023
ENSG00000104964	0.592	0.592	   -3.036
ENSG00000130222	0.273	0.583	   -6.439
ENSG00000164344	0.408	0.577	    1.714
ENSG00000272572	0.240	0.565	   10.011
ENSG00000083844	0.562	0.562	    0.000
ENSG00000178295	0.008	0.558	   -5.833
ENSG00000099769	0.011	0.550	   17.596
ENSG00000143303	0.549	0.549	   -4.109
ENSG00000246379	0.341	0.549	    3.314
ENSG00000198740	0.448	0.545	    2.073
ENSG00000182809	0.536	0.536	    3.357
ENSG00000273295	0.450	0.518	   -7.058
ENSG00000137575	0.018	0.518	   -8.281
ENSG00000174502	0.487	0.517	    0.000
ENSG00000140961	0.030	0.504	    1.850
ENSG00000134222	0.319	0.499	   10.066
ENSG00000133067	0.253	0.496	    0.021
ENSG00000146477	0.033	0.494	   10.065
ENSG00000137312	0.069	0.489	   -8.411
ENSG00000089199	0.182	0.488	   -4.383
ENSG00000276023	0.208	0.480	   -1.589
ENSG00000146243	0.226	0.480	   -8.961
ENSG00000138767	0.179	0.474	    4.000
ENSG00000167716	0.457	0.457	    0.493
ENSG00000160796	0.277	0.449	   -7.258
ENSG00000109339	0.146	0.440	    0.000
ENSG00000113494	0.253	0.427	   -2.747
ENSG00000105655	0.129	0.423	   -4.810
ENSG00000272501	0.423	0.423	    3.041
ENSG00000182871	0.162	0.421	   -1.542
ENSG00000272787	0.375	0.412	    0.701
ENSG00000204632	0.044	0.408	    4.028
ENSG00000218537	0.389	0.406	   -6.558
ENSG00000137074	0.257	0.405	    1.960
ENSG00000130511	0.401	0.401	   -0.152
ENSG00000170802	0.397	0.397	    4.011
ENSG00000168010	0.111	0.391	    4.706
ENSG00000142765	0.390	0.390	    0.855
ENSG00000272338	0.116	0.380	    1.462
ENSG00000117594	0.329	0.378	   -2.942
ENSG00000240972	0.377	0.377	   -7.064
ENSG00000136141	0.067	0.376	   -5.318
ENSG00000099974	0.375	0.375	   -3.774
ENSG00000064042	0.051	0.375	   -4.335
ENSG00000132386	0.322	0.375	   -0.368
ENSG00000214941	0.185	0.375	   -4.565
ENSG00000160075	0.374	0.374	   -3.986
ENSG00000058453	0.373	0.373	    3.548
ENSG00000197157	0.285	0.373	    0.000
ENSG00000117868	0.156	0.372	    3.739
ENSG00000151014	0.275	0.369	   -0.038
ENSG00000213420	0.367	0.367	   -1.400
ENSG00000261253	0.086	0.358	    4.005
ENSG00000112977	0.357	0.357	    3.009
ENSG00000267053	0.258	0.357	   -4.921
ENSG00000183682	0.141	0.356	    4.242
ENSG00000126267	0.355	0.355	    1.735
ENSG00000119314	0.142	0.354	    2.699
ENSG00000283709	0.087	0.350	   -4.216
ENSG00000104738	0.350	0.350	   -4.256
ENSG00000103196	0.201	0.345	   -3.710
ENSG00000133065	0.291	0.342	   -5.579
ENSG00000257594	0.221	0.342	   -3.811
ENSG00000170759	0.236	0.339	   -3.840
ENSG00000269345	0.147	0.339	    4.417
ENSG00000006607	0.310	0.337	    5.647
ENSG00000277782	0.210	0.336	    1.308
ENSG00000103671	0.107	0.331	    4.975
ENSG00000174226	0.286	0.326	   -5.319
ENSG00000110756	0.061	0.319	   -8.536
ENSG00000108784	0.008	0.317	    2.554
ENSG00000139323	0.202	0.316	   -5.098
ENSG00000172728	0.153	0.315	    0.000
ENSG00000011590	0.207	0.309	    5.212
ENSG00000267871	0.278	0.309	   -4.775
ENSG00000260942	0.197	0.308	   -3.992
ENSG00000276234	0.011	0.308	   -0.178
ENSG00000248734	0.243	0.306	    3.797
ENSG00000203801	0.095	0.306	   17.969
ENSG00000124762	0.093	0.304	    0.335
ENSG00000272360	0.297	0.297	    3.357
ENSG00000168140	0.185	0.297	   -5.586
ENSG00000143178	0.086	0.294	   -0.464
ENSG00000128891	0.232	0.291	   -4.681
ENSG00000069275	0.291	0.291	    0.324
ENSG00000239523	0.241	0.290	   -3.977
ENSG00000255568	0.200	0.288	    2.939
ENSG00000275066	0.272	0.288	    0.000
ENSG00000131368	0.268	0.283	    4.346
ENSG00000127483	0.057	0.282	    5.035
ENSG00000177469	0.041	0.281	   -4.872
ENSG00000241170	0.194	0.281	   -3.925
ENSG00000118526	0.279	0.279	    3.824
ENSG00000136271	0.095	0.278	   -4.285
ENSG00000224713	0.278	0.278	   -2.316
ENSG00000057757	0.087	0.274	    3.890
ENSG00000099785	0.178	0.270	    3.608
ENSG00000133460	0.143	0.269	   -6.977
ENSG00000240771	0.192	0.268	   -1.740
ENSG00000103496	0.088	0.264	  -12.336
ENSG00000113594	0.042	0.261	    3.272
ENSG00000105953	0.121	0.260	    4.431
ENSG00000106565	0.253	0.258	    3.059
ENSG00000273080	0.098	0.256	   -3.846
ENSG00000235241	0.255	0.255	    3.961
ENSG00000065000	0.255	0.255	    0.298
ENSG00000197226	0.253	0.253	   -0.192
ENSG00000055483	0.173	0.252	    4.311
ENSG00000261783	0.053	0.251	   -1.396
ENSG00000099331	0.107	0.250	   -4.159
ENSG00000122484	0.058	0.249	    6.979
ENSG00000114541	0.247	0.248	   -0.679
ENSG00000226314	0.199	0.244	   -8.133
ENSG00000165555	0.099	0.244	    5.414
ENSG00000099365	0.135	0.243	  -12.420
ENSG00000235888	0.028	0.243	    7.229
ENSG00000087448	0.218	0.240	    2.112
ENSG00000196109	0.136	0.238	    4.396
ENSG00000196812	0.083	0.237	   -8.322
ENSG00000231760	0.086	0.235	    3.583
ENSG00000279453	0.211	0.231	    0.405
ENSG00000237371	0.022	0.227	   10.007
ENSG00000168038	0.076	0.226	   -4.414
ENSG00000100997	0.080	0.225	   -2.500
ENSG00000163029	0.052	0.224	   -5.747
ENSG00000255248	0.201	0.221	    0.000
ENSG00000161180	0.137	0.220	    1.172
ENSG00000185651	0.088	0.219	   -3.791
ENSG00000144580	0.153	0.216	   -3.429
ENSG00000185347	0.083	0.216	    4.327
ENSG00000178951	0.021	0.215	   -3.556
ENSG00000133121	0.149	0.213	   -3.760
ENSG00000105339	0.078	0.210	   -1.101
ENSG00000223374	0.121	0.209	   -2.051
ENSG00000118094	0.057	0.207	    4.830
ENSG00000115524	0.088	0.207	   -4.200
ENSG00000196526	0.054	0.207	   -2.065
ENSG00000112343	0.030	0.206	    0.000
ENSG00000182670	0.155	0.206	   -2.439
ENSG00000231113	0.085	0.205	   -5.789
ENSG00000168679	0.125	0.202	    0.728
ENSG00000109180	0.078	0.200	   -3.793
ENSG00000063046	0.033	0.200	    3.005
ENSG00000158604	0.174	0.199	   -0.139
ENSG00000036054	0.147	0.198	   -3.515
ENSG00000083312	0.076	0.197	    4.689
ENSG00000071967	0.151	0.197	   -3.836
ENSG00000224596	0.192	0.192	   -3.614
ENSG00000122483	0.086	0.191	    4.640
ENSG00000011295	0.121	0.191	   -6.975
ENSG00000109381	0.115	0.188	   -3.934
ENSG00000268079	0.053	0.186	    4.246
ENSG00000255642	0.075	0.186	    3.374
ENSG00000164897	0.126	0.186	    3.541
ENSG00000130413	0.042	0.185	   -0.812
ENSG00000169641	0.033	0.184	   -4.833
ENSG00000251022	0.148	0.184	   -1.062
ENSG00000100591	0.085	0.183	    5.418
ENSG00000183397	0.183	0.183	    0.000
ENSG00000124713	0.153	0.182	    0.000
ENSG00000033327	0.037	0.181	   -6.717
ENSG00000198042	0.039	0.179	   -0.568
ENSG00000269959	0.178	0.178	    0.660
ENSG00000177076	0.033	0.178	    5.222
ENSG00000198399	0.178	0.178	    4.075
ENSG00000117115	0.130	0.176	   -3.927
ENSG00000164403	0.011	0.173	  -10.784
ENSG00000187837	0.027	0.170	  -12.459
ENSG00000197548	0.145	0.169	    5.234
ENSG00000145692	0.023	0.168	    3.434
ENSG00000166275	0.132	0.167	   -5.592
ENSG00000105656	0.057	0.167	   -4.215
ENSG00000124587	0.139	0.167	   -5.026
ENSG00000086061	0.111	0.162	    1.729
ENSG00000138771	0.064	0.162	   -4.237
ENSG00000099977	0.161	0.161	   -6.725
ENSG00000103034	0.055	0.161	    3.213
ENSG00000116127	0.120	0.161	   -5.319
ENSG00000100883	0.093	0.160	    3.806
ENSG00000257337	0.160	0.160	   -3.503
ENSG00000135913	0.072	0.157	   -6.329
ENSG00000141526	0.138	0.156	    2.269
ENSG00000091732	0.018	0.156	    3.918
ENSG00000180999	0.156	0.156	    3.629
ENSG00000186704	0.107	0.155	   -1.787
ENSG00000274654	0.049	0.154	    3.548
ENSG00000115541	0.102	0.153	   -3.795
ENSG00000257815	0.115	0.153	   -3.923
ENSG00000175445	0.084	0.152	    2.212
ENSG00000131845	0.134	0.150	   -3.129
ENSG00000276334	0.148	0.148	    3.841
ENSG00000132305	0.061	0.146	    2.028
ENSG00000168237	0.106	0.144	    4.541
ENSG00000159713	0.123	0.144	    3.224
ENSG00000112796	0.044	0.142	   -1.550
ENSG00000160886	0.072	0.142	    3.023
ENSG00000101745	0.068	0.142	    0.000
ENSG00000203722	0.031	0.141	    3.362
ENSG00000267249	0.049	0.140	    4.272
ENSG00000175489	0.140	0.140	    0.000
ENSG00000178425	0.045	0.139	    2.067
ENSG00000108669	0.104	0.139	    1.894
ENSG00000108578	0.109	0.138	   -1.624
ENSG00000138675	0.012	0.137	    3.827
ENSG00000133433	0.137	0.137	   -0.272
ENSG00000275807	0.049	0.137	   -5.867
ENSG00000152749	0.018	0.137	    2.333
ENSG00000169925	0.061	0.137	    3.104
ENSG00000205978	0.062	0.136	    6.185
ENSG00000165626	0.081	0.135	    6.056
ENSG00000107290	0.103	0.131	   -3.547
ENSG00000186868	0.012	0.129	   -2.750
ENSG00000231160	0.128	0.129	    3.317
ENSG00000171444	0.033	0.128	    4.111
ENSG00000099968	0.049	0.124	   -2.549
ENSG00000170425	0.024	0.124	    0.000
ENSG00000001561	0.066	0.124	    5.043
ENSG00000211445	0.109	0.124	   -3.532
ENSG00000139567	0.122	0.122	    2.035
ENSG00000264070	0.068	0.122	    5.794
ENSG00000171130	0.080	0.121	    2.470
ENSG00000009790	0.039	0.121	   -4.678
ENSG00000228696	0.010	0.121	    2.001
ENSG00000103089	0.120	0.121	    4.360
ENSG00000104886	0.051	0.121	    3.610
ENSG00000117122	0.118	0.119	   -3.202
ENSG00000231769	0.041	0.119	    4.815
ENSG00000241350	0.070	0.118	   -1.590
ENSG00000272669	0.001	0.118	   -8.942
ENSG00000108599	0.033	0.116	   -4.970
ENSG00000140948	0.054	0.115	    0.336
ENSG00000204267	0.109	0.115	    3.127
ENSG00000147852	0.114	0.114	    3.518
ENSG00000167595	0.112	0.114	   -2.678
ENSG00000128789	0.021	0.113	   -1.771
ENSG00000175749	0.063	0.112	    5.209
ENSG00000185917	0.001	0.110	   12.921
ENSG00000105146	0.005	0.109	    2.184
ENSG00000108786	0.102	0.108	   -5.908
ENSG00000129696	0.035	0.108	   -3.726
ENSG00000182873	0.021	0.108	    3.390
ENSG00000251417	0.041	0.106	   -5.540
ENSG00000170092	0.087	0.106	   -1.029
ENSG00000240634	0.060	0.106	   -0.692
ENSG00000276259	0.059	0.105	    0.386
ENSG00000267796	0.034	0.105	    4.408
ENSG00000138709	0.033	0.104	    3.776
ENSG00000261143	0.102	0.102	   -3.803
ENSG00000149179	0.067	0.102	   10.506
ENSG00000251442	0.037	0.102	   -3.073
ENSG00000131023	0.055	0.101	    3.524
ENSG00000204934	0.065	0.101	    3.306
ENSG00000224597	0.062	0.099	   -2.258
ENSG00000136816	0.023	0.099	    0.433
ENSG00000235138	0.060	0.099	   -0.135
ENSG00000083635	0.079	0.099	   -2.940
ENSG00000119397	0.047	0.099	    0.000
ENSG00000072958	0.055	0.099	    3.292
ENSG00000065413	0.042	0.097	   -3.771
ENSG00000168488	0.031	0.097	   -5.511
ENSG00000085231	0.057	0.096	   -4.325
ENSG00000164941	0.049	0.096	   -2.799
ENSG00000178623	0.065	0.096	   -3.364
ENSG00000156103	0.044	0.095	   -3.446
ENSG00000129187	0.087	0.094	    2.983
ENSG00000271659	0.034	0.094	   -7.360
