Gene	GRCP	GLCP	TWAS_z
ENSG00000171700	0.254	0.841	    9.728
ENSG00000215114	0.174	0.818	   -9.595
ENSG00000214530	0.266	0.735	   -4.835
ENSG00000214425	0.006	0.682	   -5.848
ENSG00000162877	0.349	0.663	    0.000
ENSG00000178295	0.327	0.655	   -6.344
ENSG00000251417	0.080	0.651	   -6.600
ENSG00000008988	0.137	0.599	   -4.330
ENSG00000137312	0.035	0.572	   -8.570
ENSG00000084734	0.095	0.569	   22.360
ENSG00000249274	0.127	0.558	    7.452
ENSG00000100226	0.006	0.527	   -3.888
ENSG00000106367	0.324	0.441	    4.103
ENSG00000255893	0.090	0.434	    5.031
ENSG00000128891	0.136	0.419	   -6.267
ENSG00000172795	0.104	0.405	   -4.693
ENSG00000142039	0.296	0.377	    5.051
ENSG00000178409	0.377	0.377	   -4.704
ENSG00000243955	0.100	0.363	    6.365
ENSG00000273295	0.261	0.354	   -7.035
ENSG00000260911	0.074	0.339	  -12.101
ENSG00000178188	0.057	0.336	   -7.155
ENSG00000161180	0.058	0.334	    1.108
ENSG00000230027	0.085	0.329	   -3.571
ENSG00000149292	0.013	0.326	    0.000
ENSG00000185917	0.008	0.325	   -9.866
ENSG00000009790	0.096	0.324	    4.968
ENSG00000212978	0.047	0.316	    3.134
ENSG00000146205	0.066	0.307	    6.138
ENSG00000270412	0.027	0.306	    0.585
ENSG00000272572	0.132	0.294	   10.491
ENSG00000160796	0.082	0.287	   -7.415
ENSG00000272787	0.046	0.269	    0.800
ENSG00000267322	0.023	0.269	   -3.703
ENSG00000133433	0.109	0.268	    0.708
ENSG00000218537	0.237	0.261	   -7.038
ENSG00000198890	0.134	0.256	   -5.368
ENSG00000198646	0.088	0.250	   -8.260
ENSG00000146477	0.069	0.250	   11.886
ENSG00000249231	0.010	0.249	    4.750
ENSG00000257815	0.087	0.239	   -4.025
ENSG00000276023	0.061	0.237	   -2.962
ENSG00000261783	0.026	0.235	   -2.254
ENSG00000231760	0.042	0.235	    3.629
ENSG00000127831	0.175	0.234	    7.667
ENSG00000168038	0.028	0.226	   -3.997
ENSG00000179913	0.118	0.226	    1.419
ENSG00000170802	0.174	0.224	    4.066
ENSG00000204525	0.152	0.223	   -1.045
ENSG00000033327	0.032	0.222	   -7.347
ENSG00000105877	0.059	0.219	    4.163
