Gene	GRCP	GLCP	TWAS_z
ENSG00000197888	0.990	1.000	  -13.998
ENSG00000100221	0.999	0.999	  -11.064
ENSG00000077238	0.957	0.998	   -5.872
ENSG00000183087	0.994	0.994	    0.000
ENSG00000160710	0.652	0.994	    5.551
ENSG00000267534	0.962	0.994	  -15.234
ENSG00000213799	0.492	0.993	   -5.746
ENSG00000172613	0.777	0.987	    6.659
ENSG00000228274	0.020	0.986	   -2.157
ENSG00000106565	0.976	0.983	   -1.444
ENSG00000205978	0.803	0.982	   -5.890
ENSG00000105329	0.936	0.979	    5.134
ENSG00000078140	0.882	0.978	  -10.708
ENSG00000146477	0.707	0.974	  -13.250
ENSG00000274895	0.206	0.971	   -8.191
ENSG00000008838	0.622	0.970	    9.287
ENSG00000279428	0.630	0.963	    1.190
ENSG00000262061	0.551	0.960	    4.863
ENSG00000237372	0.660	0.943	   -0.432
ENSG00000071205	0.917	0.939	    8.142
ENSG00000189223	0.806	0.933	   -4.517
ENSG00000125618	0.795	0.933	    0.496
ENSG00000282097	0.845	0.929	    7.462
ENSG00000110713	0.694	0.926	   -5.363
ENSG00000163029	0.823	0.919	    6.624
ENSG00000155530	0.897	0.913	    0.000
ENSG00000133065	0.866	0.911	   -6.641
ENSG00000204217	0.798	0.911	   -8.479
ENSG00000178295	0.832	0.911	   -6.643
ENSG00000162877	0.864	0.901	    0.000
ENSG00000142627	0.839	0.899	    4.882
ENSG00000149196	0.858	0.893	    5.910
ENSG00000187867	0.836	0.883	   -0.688
ENSG00000078237	0.880	0.880	   -4.263
ENSG00000198089	0.876	0.876	    1.273
ENSG00000275088	0.814	0.870	   -5.137
ENSG00000072364	0.447	0.869	  -12.747
ENSG00000233393	0.004	0.867	   -8.117
ENSG00000198890	0.845	0.862	   -5.252
ENSG00000143028	0.400	0.844	    1.963
ENSG00000110080	0.727	0.837	   -5.568
ENSG00000167395	0.432	0.837	  -12.056
ENSG00000140961	0.326	0.807	    3.816
ENSG00000173039	0.741	0.800	    0.000
ENSG00000149485	0.698	0.790	    7.173
ENSG00000164327	0.785	0.785	    1.938
ENSG00000011021	0.285	0.785	   -5.411
ENSG00000162650	0.377	0.777	    9.187
ENSG00000178445	0.742	0.770	   -0.844
ENSG00000235106	0.591	0.763	   -4.916
ENSG00000179588	0.585	0.761	   -4.720
ENSG00000104964	0.727	0.727	    0.000
ENSG00000133612	0.478	0.718	   -5.156
ENSG00000130511	0.581	0.715	   -5.218
ENSG00000164406	0.184	0.707	  -12.679
ENSG00000251417	0.373	0.700	   -6.635
ENSG00000142949	0.477	0.697	   10.671
ENSG00000221968	0.131	0.694	    0.564
ENSG00000239789	0.584	0.689	   -5.980
ENSG00000260911	0.405	0.677	  -12.238
ENSG00000099977	0.661	0.670	    0.749
ENSG00000257337	0.663	0.663	   -3.088
ENSG00000243955	0.411	0.661	    6.847
ENSG00000108591	0.133	0.653	   -8.552
ENSG00000134243	0.649	0.649	   10.111
ENSG00000134222	0.645	0.645	   10.111
ENSG00000100226	0.056	0.635	   -9.350
ENSG00000143126	0.621	0.632	   10.099
ENSG00000204525	0.630	0.630	    0.000
ENSG00000133703	0.562	0.628	   -0.316
ENSG00000109654	0.623	0.623	    0.000
ENSG00000272787	0.601	0.618	    0.000
ENSG00000181264	0.462	0.615	    6.121
ENSG00000225282	0.602	0.615	   -7.054
ENSG00000174579	0.062	0.612	  -11.791
ENSG00000273295	0.593	0.608	   -7.039
ENSG00000214944	0.606	0.606	    0.000
ENSG00000099974	0.593	0.606	    3.907
ENSG00000218537	0.596	0.606	   -7.057
ENSG00000240972	0.590	0.604	   -7.042
ENSG00000170802	0.599	0.599	    4.031
ENSG00000270091	0.111	0.595	    0.000
ENSG00000166787	0.066	0.594	   -7.651
ENSG00000171444	0.288	0.586	    4.200
ENSG00000213064	0.581	0.581	    0.000
ENSG00000273521	0.505	0.574	    2.854
ENSG00000276023	0.309	0.568	   -1.808
ENSG00000271849	0.214	0.568	   -2.290
ENSG00000227963	0.445	0.567	    4.280
ENSG00000272338	0.226	0.564	    3.306
ENSG00000133460	0.560	0.560	    0.000
ENSG00000145692	0.159	0.551	   -3.665
ENSG00000172795	0.345	0.548	   -4.369
ENSG00000099769	0.010	0.538	   19.279
ENSG00000106948	0.448	0.533	    0.000
ENSG00000177000	0.092	0.531	   -4.398
ENSG00000188599	0.529	0.529	    4.635
ENSG00000170745	0.255	0.528	    0.729
ENSG00000105146	0.326	0.514	   -0.911
ENSG00000167981	0.269	0.512	   -4.259
ENSG00000132475	0.327	0.512	   -0.819
ENSG00000164307	0.453	0.507	    2.721
ENSG00000214530	0.166	0.503	   -3.569
ENSG00000185561	0.236	0.495	   -5.824
ENSG00000273076	0.022	0.490	   -9.833
ENSG00000111816	0.385	0.484	   -2.059
ENSG00000108479	0.183	0.483	   -5.022
ENSG00000058453	0.426	0.483	    3.934
ENSG00000133433	0.475	0.475	    0.667
ENSG00000166478	0.321	0.470	   -1.867
ENSG00000142039	0.444	0.457	    4.477
ENSG00000109339	0.192	0.453	   -2.093
ENSG00000118094	0.228	0.452	    4.590
ENSG00000179577	0.450	0.450	    4.283
ENSG00000112977	0.448	0.449	    2.864
ENSG00000117305	0.419	0.448	    3.946
ENSG00000090686	0.441	0.447	   -4.904
ENSG00000128891	0.417	0.446	    1.264
ENSG00000280107	0.355	0.437	    1.013
ENSG00000156886	0.416	0.436	   -1.165
ENSG00000105866	0.279	0.432	    4.224
ENSG00000105877	0.424	0.429	    4.111
ENSG00000157933	0.031	0.424	   -0.088
ENSG00000182793	0.199	0.424	    6.163
ENSG00000096092	0.120	0.422	   -2.116
ENSG00000172728	0.290	0.420	    0.000
ENSG00000163629	0.162	0.417	    0.000
ENSG00000178209	0.359	0.409	   -2.636
ENSG00000279453	0.359	0.408	    0.243
ENSG00000197548	0.364	0.407	    5.225
ENSG00000237276	0.406	0.406	    5.013
ENSG00000134278	0.273	0.398	    2.722
ENSG00000120332	0.250	0.393	    0.000
ENSG00000276234	0.031	0.392	   -0.245
ENSG00000115524	0.149	0.389	   -4.373
ENSG00000103196	0.315	0.389	   -3.918
ENSG00000033327	0.247	0.385	   -7.157
ENSG00000108344	0.070	0.383	    8.708
ENSG00000267322	0.072	0.382	   -2.771
ENSG00000197226	0.380	0.380	   -2.584
ENSG00000229057	0.238	0.377	    0.530
ENSG00000273080	0.195	0.371	   -3.890
ENSG00000115073	0.362	0.363	   -3.813
ENSG00000086061	0.227	0.360	   -0.831
ENSG00000236184	0.112	0.355	    3.380
ENSG00000272555	0.013	0.348	    3.100
ENSG00000184986	0.307	0.348	    0.000
ENSG00000171700	0.341	0.343	    9.973
ENSG00000214941	0.267	0.342	   -7.081
ENSG00000146243	0.081	0.341	   -6.434
ENSG00000198646	0.134	0.337	   -7.666
ENSG00000105677	0.331	0.331	   -5.126
ENSG00000160075	0.295	0.330	   -3.714
ENSG00000257815	0.267	0.328	   -3.938
ENSG00000113594	0.089	0.326	    3.329
ENSG00000135913	0.195	0.326	   -6.846
ENSG00000231760	0.162	0.322	    3.637
ENSG00000198535	0.030	0.322	   -8.482
ENSG00000149292	0.065	0.318	    0.000
ENSG00000165555	0.195	0.317	    5.450
ENSG00000248734	0.316	0.316	    3.589
ENSG00000105656	0.175	0.314	   -4.584
ENSG00000198042	0.138	0.312	   -0.810
ENSG00000158604	0.212	0.312	   -1.755
ENSG00000236810	0.234	0.312	   -3.887
ENSG00000011295	0.257	0.310	   -7.036
ENSG00000041982	0.225	0.306	    0.000
ENSG00000225175	0.291	0.299	   -5.393
ENSG00000151445	0.176	0.296	   -4.904
ENSG00000160999	0.086	0.294	    3.423
ENSG00000256720	0.220	0.291	    2.201
ENSG00000272109	0.050	0.288	    2.647
ENSG00000180999	0.287	0.287	    0.740
ENSG00000117115	0.250	0.286	   -3.717
ENSG00000249274	0.047	0.286	    5.700
ENSG00000186704	0.270	0.286	    1.120
ENSG00000100243	0.162	0.285	    3.096
ENSG00000178685	0.067	0.285	   -3.205
ENSG00000231113	0.182	0.284	   -0.149
ENSG00000141582	0.281	0.281	    3.994
ENSG00000122390	0.184	0.281	    5.405
ENSG00000196296	0.205	0.273	    6.243
ENSG00000137074	0.237	0.270	    3.422
ENSG00000099365	0.059	0.268	  -11.620
ENSG00000148655	0.128	0.268	   -5.896
ENSG00000203722	0.068	0.267	    3.371
ENSG00000137312	0.044	0.263	   -8.138
ENSG00000197563	0.142	0.263	    0.000
ENSG00000272572	0.161	0.263	   10.092
ENSG00000101624	0.194	0.257	    4.204
ENSG00000079335	0.254	0.256	    0.000
ENSG00000179021	0.119	0.253	    8.173
ENSG00000179913	0.249	0.249	   -0.958
ENSG00000145901	0.205	0.245	   -3.780
ENSG00000116127	0.234	0.244	   -5.393
ENSG00000170775	0.241	0.243	    0.361
ENSG00000083844	0.174	0.241	    0.822
ENSG00000116793	0.187	0.238	   -4.569
ENSG00000242435	0.147	0.236	    2.718
ENSG00000099785	0.164	0.235	    3.344
ENSG00000233559	0.085	0.229	   -2.548
ENSG00000134852	0.138	0.227	   -4.042
ENSG00000100997	0.113	0.226	   -4.013
ENSG00000204267	0.071	0.224	    7.217
ENSG00000138767	0.038	0.220	    3.551
ENSG00000055483	0.101	0.218	    4.379
ENSG00000163879	0.211	0.216	    3.558
ENSG00000124587	0.215	0.216	   -4.656
ENSG00000160213	0.093	0.214	    0.000
ENSG00000224597	0.207	0.213	   -2.253
ENSG00000219433	0.085	0.213	    3.683
ENSG00000175003	0.112	0.210	   -5.230
ENSG00000217228	0.056	0.208	   -5.586
ENSG00000075240	0.041	0.208	    0.000
ENSG00000008988	0.140	0.208	   -3.739
ENSG00000274825	0.097	0.206	   -3.272
ENSG00000130270	0.138	0.204	   -3.687
ENSG00000162585	0.166	0.201	    0.851
ENSG00000160688	0.128	0.195	   -5.716
ENSG00000083312	0.074	0.191	   -4.307
ENSG00000065413	0.170	0.190	   -4.289
ENSG00000104537	0.187	0.189	    2.919
ENSG00000169902	0.114	0.188	    1.246
ENSG00000228010	0.014	0.188	  -10.900
ENSG00000213445	0.160	0.187	    1.744
ENSG00000050748	0.108	0.187	    3.227
ENSG00000168140	0.157	0.186	    4.168
ENSG00000118526	0.111	0.186	    3.350
ENSG00000131023	0.109	0.183	    3.374
ENSG00000166822	0.044	0.181	   -2.831
ENSG00000253813	0.173	0.179	    3.426
ENSG00000158615	0.142	0.178	    0.512
ENSG00000251022	0.136	0.177	    3.989
ENSG00000013306	0.014	0.176	    4.592
ENSG00000214435	0.045	0.176	   -2.274
ENSG00000163581	0.029	0.174	    0.000
ENSG00000106049	0.107	0.174	    3.973
ENSG00000188641	0.145	0.173	   -5.645
ENSG00000116016	0.151	0.172	   -5.118
ENSG00000182670	0.152	0.172	   -2.580
ENSG00000231050	0.123	0.171	    0.027
ENSG00000224122	0.078	0.171	   -0.097
ENSG00000256937	0.165	0.171	    3.515
ENSG00000241350	0.154	0.167	   -2.296
ENSG00000168010	0.114	0.167	    4.817
ENSG00000272695	0.018	0.167	   -0.792
ENSG00000152749	0.157	0.166	    3.967
ENSG00000145476	0.130	0.166	    2.652
ENSG00000155749	0.063	0.165	   -1.988
ENSG00000172086	0.093	0.164	   -3.415
ENSG00000259974	0.139	0.163	   -3.311
ENSG00000154767	0.162	0.162	    5.413
ENSG00000204920	0.069	0.161	   -2.667
ENSG00000106443	0.117	0.160	    1.274
ENSG00000004059	0.127	0.159	    0.350
ENSG00000196109	0.081	0.159	    4.088
ENSG00000135870	0.114	0.158	   -4.293
ENSG00000231381	0.110	0.157	   -4.442
ENSG00000077585	0.143	0.156	    3.690
ENSG00000267751	0.140	0.156	    1.486
ENSG00000225434	0.156	0.156	    3.248
ENSG00000163041	0.107	0.155	   -1.866
ENSG00000116785	0.154	0.155	    3.350
ENSG00000132305	0.074	0.154	    1.014
ENSG00000178425	0.102	0.154	   -4.537
ENSG00000168038	0.062	0.152	   -3.745
ENSG00000143106	0.086	0.151	    9.857
ENSG00000164506	0.139	0.151	   -7.249
ENSG00000167595	0.129	0.149	   -4.607
ENSG00000110768	0.084	0.149	   -7.735
ENSG00000234684	0.149	0.149	   -3.676
ENSG00000005700	0.135	0.147	   -2.730
ENSG00000103496	0.046	0.146	  -11.187
ENSG00000248394	0.079	0.146	    4.913
ENSG00000105668	0.128	0.146	    4.553
ENSG00000162961	0.029	0.145	   -2.698
ENSG00000088926	0.055	0.144	   -4.602
ENSG00000130816	0.056	0.143	  -15.426
ENSG00000136238	0.075	0.143	   -3.151
ENSG00000170425	0.086	0.140	   -1.179
ENSG00000198598	0.127	0.139	   -3.235
ENSG00000263503	0.120	0.137	    5.767
ENSG00000179163	0.048	0.135	   -2.273
ENSG00000163257	0.134	0.134	    0.000
ENSG00000178665	0.091	0.134	   -0.345
ENSG00000179023	0.132	0.132	    0.000
ENSG00000128272	0.084	0.131	   -3.030
ENSG00000201967	0.103	0.131	    3.588
ENSG00000170092	0.102	0.129	   -0.132
ENSG00000272360	0.126	0.128	    1.808
ENSG00000214106	0.094	0.127	    2.917
ENSG00000162139	0.024	0.127	    2.635
ENSG00000137161	0.100	0.126	    0.395
ENSG00000253741	0.126	0.126	   -1.421
ENSG00000170759	0.088	0.125	   -4.200
ENSG00000141664	0.060	0.124	    3.474
ENSG00000008118	0.109	0.123	   -4.464
ENSG00000146535	0.036	0.121	    7.188
ENSG00000108474	0.020	0.121	    5.553
ENSG00000162951	0.118	0.121	    3.103
ENSG00000272969	0.065	0.121	   -4.684
ENSG00000255893	0.101	0.119	    4.709
ENSG00000185917	0.004	0.119	  -12.010
ENSG00000158856	0.118	0.118	   -1.700
ENSG00000175105	0.061	0.118	   -5.634
ENSG00000156206	0.068	0.116	    1.459
ENSG00000270175	0.046	0.116	    3.251
ENSG00000167377	0.115	0.115	   -0.243
ENSG00000168496	0.053	0.114	    3.492
ENSG00000119328	0.058	0.114	   -5.200
ENSG00000260942	0.078	0.113	   -4.005
ENSG00000132478	0.060	0.113	   -5.171
ENSG00000117335	0.055	0.113	    6.627
ENSG00000230894	0.045	0.112	   -3.026
ENSG00000261783	0.055	0.112	   -1.865
ENSG00000229728	0.112	0.112	    3.742
ENSG00000213965	0.105	0.111	    3.033
ENSG00000274883	0.029	0.111	    2.760
ENSG00000230910	0.096	0.111	    3.257
ENSG00000184925	0.097	0.111	   -2.573
ENSG00000158806	0.083	0.111	   -2.999
ENSG00000124564	0.111	0.111	  -12.945
ENSG00000272663	0.110	0.110	   -3.839
ENSG00000100304	0.109	0.109	   -1.584
ENSG00000116903	0.108	0.108	   -2.673
ENSG00000114054	0.045	0.107	  -12.997
ENSG00000275807	0.055	0.107	   -4.165
ENSG00000139531	0.080	0.107	    5.012
ENSG00000056558	0.087	0.107	   -3.942
ENSG00000136271	0.086	0.107	   -4.147
ENSG00000279536	0.075	0.106	    3.287
ENSG00000255366	0.051	0.106	    2.394
ENSG00000185829	0.011	0.104	   -0.065
ENSG00000237310	0.103	0.103	   -3.669
ENSG00000258256	0.084	0.103	    1.185
ENSG00000271503	0.033	0.102	    0.082
ENSG00000255568	0.030	0.102	    0.460
ENSG00000183549	0.067	0.101	   -0.998
ENSG00000147647	0.039	0.101	    3.348
ENSG00000141034	0.004	0.101	    4.907
ENSG00000196793	0.071	0.100	   -2.866
ENSG00000126746	0.100	0.100	    3.478
ENSG00000206417	0.052	0.100	   -3.053
ENSG00000100554	0.058	0.100	   -2.928
ENSG00000141380	0.094	0.100	   -0.413
ENSG00000205189	0.051	0.100	   -4.814
ENSG00000111450	0.074	0.100	   -2.992
ENSG00000112640	0.078	0.100	    0.000
ENSG00000230325	0.047	0.099	    3.658
ENSG00000120253	0.044	0.099	   -0.758
ENSG00000151575	0.041	0.098	    0.660
ENSG00000153560	0.097	0.097	    7.030
ENSG00000215252	0.096	0.097	    0.915
ENSG00000174842	0.057	0.097	    7.073
ENSG00000259448	0.086	0.096	   -1.217
ENSG00000181404	0.096	0.096	    0.000
ENSG00000264070	0.076	0.096	    4.933
ENSG00000135766	0.026	0.096	    2.889
ENSG00000214313	0.091	0.095	   -1.173
ENSG00000186272	0.069	0.095	   -3.755
ENSG00000033800	0.044	0.094	   -7.998
ENSG00000066135	0.054	0.094	   10.806
ENSG00000198130	0.090	0.094	    3.081
ENSG00000226261	0.047	0.093	   -7.991
ENSG00000238083	0.093	0.093	    5.766
ENSG00000246090	0.005	0.093	   -2.513
ENSG00000176148	0.043	0.092	   -2.773
ENSG00000069275	0.072	0.092	    3.932
ENSG00000158865	0.064	0.092	    3.028
ENSG00000188010	0.063	0.092	    2.949
ENSG00000255642	0.066	0.092	    3.196
ENSG00000133624	0.072	0.091	   -3.084
ENSG00000137824	0.025	0.091	    5.033
ENSG00000219891	0.034	0.091	   -7.852
ENSG00000260762	0.062	0.091	   -2.861
ENSG00000149289	0.066	0.091	    3.067
ENSG00000136381	0.078	0.090	   -2.499
ENSG00000064012	0.072	0.089	    1.873
ENSG00000235138	0.050	0.088	   -4.118
ENSG00000175773	0.085	0.088	   -4.239
ENSG00000204872	0.067	0.088	   -3.593
ENSG00000267475	0.077	0.086	   -2.978
ENSG00000272209	0.086	0.086	   -1.618
ENSG00000087087	0.076	0.086	    3.007
ENSG00000117505	0.035	0.086	   -3.541
ENSG00000124713	0.068	0.085	    0.000
ENSG00000143319	0.085	0.085	    0.173
ENSG00000108599	0.034	0.084	   -4.148
ENSG00000178719	0.017	0.083	   -0.692
ENSG00000234427	0.037	0.082	    2.782
ENSG00000273958	0.082	0.082	    0.439
ENSG00000129003	0.009	0.081	    3.949
ENSG00000018869	0.041	0.081	   -0.755
ENSG00000091490	0.081	0.081	    0.218
ENSG00000158815	0.081	0.081	   -2.955
ENSG00000248508	0.053	0.081	   -3.399
ENSG00000111863	0.033	0.081	    2.304
ENSG00000140319	0.069	0.080	    1.504
ENSG00000139546	0.036	0.080	    3.259
ENSG00000197353	0.027	0.080	   -0.394
ENSG00000151963	0.079	0.079	   -0.745
ENSG00000270179	0.008	0.079	   -1.593
ENSG00000261600	0.056	0.078	   -2.886
ENSG00000163832	0.072	0.078	   -4.643
ENSG00000164879	0.050	0.078	   -2.993
ENSG00000272333	0.051	0.078	    3.248
