Gene	GRCP	GLCP	TWAS_z
ENSG00000089101	0.863	0.998	   -8.908
ENSG00000213799	0.909	0.993	   -4.365
ENSG00000142233	0.047	0.990	   -4.485
ENSG00000183826	0.760	0.984	    6.886
ENSG00000162032	0.004	0.973	   17.471
ENSG00000106565	0.953	0.965	   -4.146
ENSG00000155530	0.964	0.964	    1.903
ENSG00000134222	0.824	0.957	   -0.934
ENSG00000167981	0.848	0.955	    1.372
ENSG00000203801	0.469	0.953	   17.857
ENSG00000133612	0.186	0.942	    1.177
ENSG00000258692	0.702	0.940	   -6.257
ENSG00000197894	0.571	0.939	   -5.861
ENSG00000138696	0.213	0.937	   -5.008
ENSG00000122390	0.688	0.928	    2.625
ENSG00000168496	0.369	0.919	   -2.008
ENSG00000163029	0.532	0.918	   -0.766
ENSG00000002933	0.893	0.911	    1.691
ENSG00000219565	0.529	0.905	   17.672
ENSG00000187555	0.898	0.898	   -2.764
ENSG00000142655	0.498	0.882	    5.881
ENSG00000272636	0.818	0.875	    2.794
ENSG00000110756	0.328	0.874	   -8.435
ENSG00000167397	0.808	0.870	    3.894
ENSG00000125618	0.575	0.855	   -3.610
ENSG00000184302	0.821	0.849	   -5.863
ENSG00000105329	0.835	0.846	    5.013
ENSG00000083635	0.805	0.843	   -2.692
ENSG00000162877	0.751	0.843	    0.318
ENSG00000128342	0.681	0.829	    5.321
ENSG00000077585	0.587	0.825	   -1.201
ENSG00000260979	0.226	0.824	   -2.859
ENSG00000088836	0.262	0.809	    6.138
ENSG00000245025	0.758	0.803	    0.811
ENSG00000078237	0.788	0.788	   -4.262
ENSG00000140090	0.413	0.784	    6.168
ENSG00000164828	0.213	0.768	    0.000
ENSG00000172613	0.681	0.761	    6.624
ENSG00000198890	0.735	0.749	   -2.194
ENSG00000103489	0.253	0.741	   -5.464
ENSG00000163629	0.127	0.710	    0.489
ENSG00000138738	0.537	0.707	    5.117
ENSG00000134825	0.265	0.687	   -7.787
ENSG00000237372	0.356	0.676	   -4.928
ENSG00000138095	0.668	0.668	    4.156
ENSG00000144231	0.575	0.660	    0.254
ENSG00000089199	0.210	0.658	   -4.341
ENSG00000123473	0.113	0.655	    3.555
ENSG00000261766	0.329	0.647	    7.054
ENSG00000164402	0.004	0.641	    2.280
ENSG00000273295	0.542	0.639	   -7.089
ENSG00000116918	0.336	0.630	    0.000
ENSG00000020922	0.033	0.626	    4.726
ENSG00000140319	0.624	0.624	   -4.666
ENSG00000197852	0.511	0.622	   -4.423
ENSG00000099365	0.109	0.621	  -12.118
ENSG00000008988	0.316	0.619	   -4.388
ENSG00000104964	0.582	0.616	    0.000
ENSG00000149177	0.539	0.608	  -13.222
ENSG00000135766	0.303	0.603	    2.815
ENSG00000196296	0.283	0.603	    7.085
