Gene	GRCP	GLCP	TWAS_z
ENSG00000171700	0.840	0.994	    9.585
ENSG00000163629	0.079	0.991	   -3.568
ENSG00000171703	0.063	0.986	    0.559
ENSG00000105538	0.466	0.974	  -11.839
ENSG00000103150	0.136	0.964	   -7.410
ENSG00000273076	0.014	0.952	  -10.290
ENSG00000164404	0.004	0.949	    3.949
ENSG00000165633	0.272	0.943	    5.457
ENSG00000141433	0.526	0.937	    1.630
ENSG00000265179	0.534	0.936	    1.687
ENSG00000134222	0.083	0.926	    0.000
ENSG00000198944	0.478	0.911	   -8.369
ENSG00000204581	0.500	0.904	   -0.247
ENSG00000278463	0.215	0.902	  -13.557
ENSG00000116729	0.812	0.901	   -2.448
ENSG00000105329	0.743	0.898	    5.123
ENSG00000105364	0.280	0.896	  -15.168
ENSG00000168010	0.272	0.848	    4.756
ENSG00000077585	0.252	0.821	   -3.478
ENSG00000189223	0.506	0.805	   -2.590
ENSG00000118705	0.104	0.799	    4.115
ENSG00000174453	0.099	0.796	    5.018
ENSG00000178295	0.542	0.787	   -6.455
ENSG00000133612	0.657	0.785	    0.000
ENSG00000230461	0.582	0.784	   -8.040
ENSG00000167394	0.156	0.781	   11.764
ENSG00000257594	0.262	0.750	    3.075
ENSG00000148655	0.106	0.748	   -5.959
ENSG00000134852	0.146	0.734	   -4.564
ENSG00000151292	0.387	0.731	    5.144
ENSG00000100216	0.005	0.730	    8.776
ENSG00000236814	0.050	0.720	   -1.798
ENSG00000149196	0.603	0.703	    5.759
ENSG00000148672	0.700	0.700	    4.436
ENSG00000162877	0.618	0.695	    1.124
ENSG00000196141	0.341	0.689	   -4.228
ENSG00000196993	0.065	0.688	   -6.589
ENSG00000109339	0.066	0.665	    1.575
ENSG00000151834	0.005	0.664	   -6.416
ENSG00000106565	0.642	0.660	    1.568
ENSG00000133065	0.476	0.657	   -6.680
ENSG00000078237	0.651	0.651	   -4.226
ENSG00000126247	0.159	0.627	   -4.105
ENSG00000259536	0.200	0.627	    5.932
ENSG00000167914	0.118	0.616	    9.677
ENSG00000101460	0.104	0.612	    6.542
ENSG00000234816	0.610	0.610	  -12.961
