Gene	GRCP	GLCP	TWAS_z
ENSG00000125510	0.706	0.992	    9.944
ENSG00000172613	0.520	0.968	    6.589
ENSG00000008838	0.397	0.960	    3.674
ENSG00000148655	0.291	0.872	   -6.171
ENSG00000189223	0.542	0.858	    0.000
ENSG00000162877	0.682	0.808	    0.000
ENSG00000149485	0.458	0.803	    7.932
ENSG00000125618	0.553	0.801	   -2.052
ENSG00000259982	0.237	0.786	    7.067
ENSG00000146535	0.051	0.776	    6.815
ENSG00000251417	0.214	0.771	   -6.884
ENSG00000145692	0.190	0.743	    5.154
ENSG00000270424	0.114	0.725	    7.162
ENSG00000078237	0.720	0.720	   -4.262
ENSG00000142039	0.634	0.692	    5.186
ENSG00000145723	0.040	0.688	    5.053
ENSG00000011021	0.036	0.602	   -4.410
ENSG00000174226	0.147	0.588	   -5.851
ENSG00000182264	0.036	0.588	   11.477
ENSG00000134824	0.166	0.559	   -7.658
ENSG00000083635	0.375	0.552	   -1.446
ENSG00000011295	0.157	0.539	   -7.445
ENSG00000182873	0.211	0.525	    4.510
ENSG00000214941	0.286	0.505	   -7.212
ENSG00000128891	0.209	0.490	    0.558
ENSG00000008988	0.094	0.475	   -4.163
ENSG00000130997	0.132	0.473	   -0.657
ENSG00000235106	0.220	0.455	   -4.989
ENSG00000181264	0.208	0.429	    5.198
ENSG00000146243	0.093	0.424	   -8.994
ENSG00000273295	0.361	0.418	   -7.082
ENSG00000198890	0.280	0.412	   -5.520
ENSG00000239899	0.217	0.408	    2.144
ENSG00000134222	0.198	0.398	   10.089
ENSG00000218537	0.315	0.391	   -6.928
ENSG00000163629	0.054	0.379	    1.673
ENSG00000255568	0.100	0.378	   -3.055
ENSG00000011590	0.240	0.371	    5.461
ENSG00000105668	0.371	0.371	    5.317
ENSG00000134825	0.064	0.367	   -7.107
ENSG00000160796	0.206	0.359	   -7.360
ENSG00000099974	0.140	0.359	    4.287
ENSG00000272572	0.143	0.343	    9.907
ENSG00000259251	0.025	0.334	    2.868
ENSG00000162910	0.033	0.330	   -4.616
ENSG00000099365	0.055	0.327	  -11.997
ENSG00000119314	0.104	0.325	    0.000
ENSG00000183569	0.128	0.321	   -1.938
ENSG00000269345	0.071	0.319	    4.437
ENSG00000240972	0.311	0.311	   -7.124
ENSG00000105953	0.113	0.307	    4.581
ENSG00000099977	0.154	0.298	   -6.846
ENSG00000138767	0.061	0.295	    3.881
ENSG00000172795	0.136	0.295	   -4.630
ENSG00000109180	0.086	0.286	   -4.006
ENSG00000260911	0.125	0.286	  -12.043
ENSG00000225282	0.285	0.285	   -7.227
ENSG00000178209	0.140	0.284	    5.160
ENSG00000057019	0.061	0.276	    7.397
ENSG00000143303	0.232	0.274	   -3.830
ENSG00000137074	0.104	0.273	    2.030
ENSG00000276023	0.105	0.272	   -1.500
ENSG00000271849	0.062	0.264	   -1.870
ENSG00000132305	0.076	0.258	    0.000
ENSG00000105538	0.028	0.258	  -11.696
ENSG00000108591	0.046	0.255	   -5.430
ENSG00000115073	0.254	0.254	   -3.902
ENSG00000204525	0.213	0.254	   -2.060
ENSG00000117500	0.099	0.251	    4.683
ENSG00000214435	0.248	0.250	   -2.742
ENSG00000203801	0.106	0.248	   17.890
ENSG00000006607	0.242	0.242	    6.087
ENSG00000115568	0.122	0.240	   -5.665
ENSG00000161180	0.096	0.239	    1.021
ENSG00000197157	0.180	0.238	    0.342
ENSG00000231760	0.068	0.236	    3.576
ENSG00000165555	0.087	0.229	    5.386
ENSG00000266962	0.133	0.226	    6.436
ENSG00000183624	0.055	0.216	    5.028
ENSG00000183527	0.042	0.215	    7.326
ENSG00000214530	0.085	0.214	   -4.584
ENSG00000152219	0.027	0.212	    5.732
ENSG00000056558	0.196	0.208	   -4.963
ENSG00000117305	0.103	0.200	   -3.939
ENSG00000118526	0.196	0.197	    3.895
ENSG00000117868	0.020	0.195	    3.918
ENSG00000178188	0.048	0.192	   -1.212
ENSG00000168140	0.021	0.190	   -0.530
ENSG00000160710	0.026	0.190	    3.774
ENSG00000110768	0.013	0.189	   -8.136
ENSG00000275066	0.151	0.182	   -1.748
ENSG00000214425	0.010	0.180	   -5.753
ENSG00000106367	0.055	0.179	    2.113
ENSG00000137312	0.022	0.178	   -8.263
ENSG00000057252	0.007	0.176	   -3.619
ENSG00000270091	0.026	0.176	    0.000
ENSG00000142627	0.008	0.174	   -5.412
ENSG00000167394	0.056	0.172	    7.741
ENSG00000186715	0.172	0.172	    4.151
ENSG00000163320	0.049	0.171	    1.186
ENSG00000214369	0.025	0.171	   -4.281
ENSG00000270179	0.010	0.167	    2.597
ENSG00000099785	0.091	0.167	    3.526
ENSG00000196526	0.059	0.167	   -1.750
ENSG00000223356	0.146	0.166	    1.416
ENSG00000111596	0.103	0.165	    1.560
ENSG00000224713	0.089	0.165	   -5.343
ENSG00000230912	0.000	0.165	   -1.188
ENSG00000174332	0.099	0.164	    4.218
ENSG00000133433	0.116	0.163	   -3.818
ENSG00000099769	0.003	0.160	   13.483
ENSG00000124713	0.118	0.160	    0.000
ENSG00000170802	0.130	0.156	    3.900
ENSG00000146729	0.061	0.152	   -2.685
ENSG00000240634	0.076	0.151	   -4.426
ENSG00000171700	0.091	0.150	   10.262
ENSG00000137634	0.074	0.146	   -0.936
ENSG00000233393	0.006	0.146	  -12.232
ENSG00000276334	0.131	0.140	    4.268
ENSG00000219891	0.111	0.140	   -4.845
ENSG00000272695	0.072	0.140	   -2.935
ENSG00000266289	0.061	0.139	    3.325
ENSG00000179021	0.028	0.135	    8.181
ENSG00000186868	0.010	0.135	   -2.810
ENSG00000278133	0.003	0.133	    0.092
ENSG00000279453	0.042	0.131	    4.447
ENSG00000126746	0.034	0.130	    3.412
ENSG00000178623	0.062	0.129	   -3.517
ENSG00000163041	0.047	0.128	   -1.917
ENSG00000229152	0.029	0.128	   -0.954
ENSG00000055483	0.108	0.127	    4.826
ENSG00000277767	0.094	0.126	    3.763
ENSG00000120253	0.034	0.126	    3.574
ENSG00000198042	0.029	0.125	   -0.859
ENSG00000274220	0.020	0.124	    3.538
ENSG00000071967	0.054	0.124	   -4.213
ENSG00000178952	0.098	0.123	    6.801
ENSG00000146112	0.050	0.123	    1.546
ENSG00000277782	0.053	0.123	    0.396
ENSG00000204920	0.033	0.119	   -2.751
ENSG00000267322	0.039	0.119	   -4.184
ENSG00000110756	0.009	0.116	   -8.111
ENSG00000258365	0.116	0.116	    0.968
ENSG00000235241	0.003	0.115	    4.151
ENSG00000151006	0.087	0.113	    1.893
ENSG00000122483	0.052	0.112	    4.611
ENSG00000115524	0.051	0.112	   -3.900
ENSG00000130193	0.037	0.111	    2.755
ENSG00000213542	0.084	0.108	    1.304
ENSG00000183087	0.037	0.108	   -2.892
ENSG00000257718	0.004	0.108	   -2.320
ENSG00000270116	0.050	0.108	   -2.021
ENSG00000132313	0.042	0.107	    0.000
ENSG00000204650	0.010	0.106	    5.838
ENSG00000241170	0.054	0.106	   -3.954
ENSG00000100997	0.057	0.105	   -4.078
ENSG00000143851	0.075	0.105	   -0.377
ENSG00000273342	0.074	0.103	    0.945
ENSG00000101213	0.096	0.102	    1.270
ENSG00000204934	0.047	0.101	    3.346
ENSG00000131196	0.016	0.100	    3.471
ENSG00000257551	0.001	0.100	    5.134
ENSG00000008324	0.032	0.098	   -0.523
ENSG00000175749	0.032	0.098	    5.057
ENSG00000237641	0.043	0.097	   -0.498
ENSG00000204556	0.096	0.096	    3.160
ENSG00000156206	0.029	0.095	    0.902
ENSG00000272994	0.037	0.094	   -3.619
ENSG00000228446	0.029	0.092	    5.524
ENSG00000169519	0.065	0.091	   -3.963
ENSG00000268894	0.002	0.091	   -6.505
ENSG00000261783	0.023	0.091	   -2.209
ENSG00000145725	0.027	0.089	   -5.213
ENSG00000186704	0.037	0.089	    1.128
ENSG00000184897	0.038	0.089	   -5.336
ENSG00000072422	0.036	0.088	   -0.313
ENSG00000275807	0.020	0.088	    6.228
ENSG00000105146	0.051	0.088	    2.289
ENSG00000272787	0.085	0.087	   -7.214
ENSG00000172728	0.059	0.086	    0.000
ENSG00000261766	0.026	0.086	   -3.651
ENSG00000272360	0.085	0.085	   -0.149
ENSG00000276234	0.003	0.085	   -0.347
ENSG00000148734	0.053	0.084	   -0.207
ENSG00000151575	0.016	0.084	    2.866
ENSG00000249274	0.019	0.084	    5.537
ENSG00000273080	0.037	0.083	   -3.573
ENSG00000167711	0.039	0.082	    2.173
ENSG00000272391	0.041	0.081	    1.401
ENSG00000114439	0.056	0.081	    1.464
ENSG00000100412	0.006	0.081	  -10.199
ENSG00000104886	0.028	0.081	    3.683
ENSG00000276259	0.036	0.080	   -3.096
ENSG00000058453	0.046	0.080	    4.128
ENSG00000021488	0.048	0.079	   -3.281
ENSG00000236814	0.013	0.079	   -1.779
ENSG00000274654	0.016	0.078	    2.095
ENSG00000170275	0.045	0.076	    5.546
ENSG00000244151	0.022	0.076	   -6.357
ENSG00000170425	0.054	0.076	   -1.310
ENSG00000142330	0.041	0.075	    0.000
ENSG00000253741	0.044	0.073	   -0.781
ENSG00000272911	0.028	0.073	   -4.535
ENSG00000128274	0.041	0.073	    0.000
ENSG00000105677	0.067	0.072	   -4.966
ENSG00000164574	0.023	0.072	   -1.037
ENSG00000214367	0.032	0.071	   -1.233
ENSG00000170092	0.038	0.070	    0.000
ENSG00000274973	0.047	0.069	    0.000
ENSG00000113494	0.040	0.069	   -0.089
ENSG00000108342	0.026	0.069	   -9.144
ENSG00000109339	0.012	0.068	   -2.144
ENSG00000277806	0.020	0.067	   -3.143
ENSG00000214401	0.008	0.066	    5.764
ENSG00000275485	0.003	0.066	    5.226
ENSG00000231105	0.012	0.066	    5.407
ENSG00000168488	0.019	0.066	   -5.181
ENSG00000103037	0.033	0.066	   -2.980
ENSG00000240694	0.018	0.065	    4.732
ENSG00000273151	0.019	0.064	   -0.190
ENSG00000142233	0.002	0.064	   -1.489
ENSG00000225434	0.064	0.064	    3.254
ENSG00000196109	0.014	0.064	   -3.109
ENSG00000197226	0.054	0.063	   -0.191
ENSG00000052795	0.017	0.063	   -0.224
ENSG00000237310	0.033	0.062	   -3.479
ENSG00000114857	0.018	0.062	   -1.078
ENSG00000236031	0.033	0.061	    3.247
ENSG00000224597	0.056	0.061	   -2.258
ENSG00000267198	0.003	0.060	   -0.758
ENSG00000232712	0.010	0.060	  -12.637
ENSG00000196141	0.024	0.060	   -4.632
ENSG00000117122	0.018	0.060	   -3.432
ENSG00000235138	0.030	0.060	   -0.341
ENSG00000280022	0.051	0.059	    5.854
ENSG00000063046	0.039	0.059	    0.000
ENSG00000232229	0.040	0.059	    2.777
ENSG00000159128	0.042	0.058	   -3.345
ENSG00000164404	0.008	0.058	    6.649
ENSG00000134248	0.022	0.058	    3.373
ENSG00000264589	0.004	0.058	   -1.947
ENSG00000196793	0.021	0.058	   -2.847
ENSG00000175170	0.044	0.058	   -3.677
ENSG00000146477	0.021	0.057	   -5.190
ENSG00000232642	0.010	0.057	    2.843
ENSG00000179546	0.030	0.056	    5.674
ENSG00000117335	0.011	0.056	   -5.519
ENSG00000109944	0.029	0.056	   -3.728
ENSG00000126267	0.044	0.055	    0.113
ENSG00000241350	0.036	0.055	   -3.380
ENSG00000135870	0.009	0.054	   -3.385
ENSG00000273058	0.009	0.054	    1.506
ENSG00000214761	0.016	0.054	   -7.076
ENSG00000271654	0.001	0.053	   -5.991
ENSG00000271503	0.008	0.053	    1.162
ENSG00000263503	0.044	0.053	    5.824
ENSG00000256250	0.025	0.053	    2.448
ENSG00000256299	0.025	0.052	    0.658
ENSG00000128272	0.041	0.052	   -3.326
ENSG00000260796	0.027	0.052	    2.545
ENSG00000177469	0.004	0.051	   -4.690
ENSG00000100243	0.033	0.051	    2.591
ENSG00000242686	0.008	0.051	    2.724
ENSG00000142065	0.047	0.051	   -1.043
ENSG00000135390	0.033	0.050	   -3.368
ENSG00000238793	0.017	0.050	   -7.481
ENSG00000164161	0.004	0.050	   -4.336
ENSG00000244357	0.025	0.050	   -3.590
ENSG00000166133	0.017	0.050	   -5.038
ENSG00000173821	0.049	0.049	    3.370
ENSG00000122642	0.002	0.049	   -0.308
ENSG00000236810	0.012	0.049	    4.136
ENSG00000162032	0.001	0.049	   16.100
ENSG00000138640	0.026	0.049	    1.312
ENSG00000229676	0.007	0.048	   -1.230
ENSG00000111450	0.026	0.048	   -2.965
ENSG00000276952	0.004	0.047	    0.803
ENSG00000261575	0.006	0.047	    5.727
ENSG00000267249	0.009	0.047	    2.453
ENSG00000103496	0.014	0.047	  -11.484
ENSG00000242435	0.015	0.047	   -2.598
ENSG00000236114	0.020	0.046	   -2.899
ENSG00000271659	0.016	0.046	    1.420
ENSG00000117899	0.014	0.046	    1.089
ENSG00000103064	0.028	0.046	   -3.087
ENSG00000262372	0.004	0.046	   -2.197
ENSG00000230701	0.044	0.045	   -2.026
ENSG00000168291	0.013	0.045	   -2.896
ENSG00000264176	0.013	0.045	    2.582
ENSG00000272402	0.014	0.044	    2.627
ENSG00000163029	0.003	0.044	    0.403
ENSG00000120071	0.010	0.044	    2.707
ENSG00000111540	0.044	0.044	   -3.275
ENSG00000101624	0.009	0.044	    2.666
ENSG00000163879	0.011	0.044	    3.923
ENSG00000250790	0.044	0.044	   -4.366
ENSG00000264070	0.042	0.043	    5.798
ENSG00000241666	0.026	0.043	   -1.876
ENSG00000138653	0.018	0.043	    3.223
ENSG00000158865	0.026	0.043	    2.999
ENSG00000187867	0.027	0.043	   -1.634
ENSG00000095906	0.001	0.043	    7.557
ENSG00000113716	0.018	0.042	    3.037
ENSG00000198535	0.005	0.042	   -0.825
ENSG00000100316	0.022	0.042	   -2.952
ENSG00000100304	0.042	0.042	    1.217
ENSG00000079432	0.010	0.042	   -2.855
ENSG00000132394	0.012	0.041	   -4.027
ENSG00000128789	0.005	0.041	   -1.800
ENSG00000273373	0.012	0.041	   -2.120
ENSG00000140521	0.028	0.041	    5.126
ENSG00000177076	0.006	0.041	   -2.925
ENSG00000137161	0.008	0.041	   -4.873
ENSG00000142166	0.041	0.041	   -3.016
ENSG00000140090	0.019	0.041	    3.800
ENSG00000280798	0.023	0.040	    2.881
ENSG00000262539	0.010	0.040	    5.816
ENSG00000132475	0.010	0.040	   -4.322
ENSG00000176978	0.013	0.040	    2.063
ENSG00000064012	0.028	0.040	   -0.304
ENSG00000152763	0.015	0.039	    3.891
ENSG00000119403	0.013	0.039	   -3.613
ENSG00000117280	0.007	0.039	   -5.695
ENSG00000120265	0.011	0.039	   -2.368
ENSG00000205189	0.008	0.039	   -3.754
ENSG00000136868	0.035	0.039	   -1.983
ENSG00000100221	0.007	0.039	   -2.034
ENSG00000129968	0.021	0.039	    0.824
ENSG00000243629	0.038	0.038	   -0.011
ENSG00000087085	0.020	0.038	    3.035
ENSG00000255423	0.016	0.037	   -2.878
ENSG00000135913	0.015	0.037	    1.378
ENSG00000205763	0.022	0.037	    1.838
ENSG00000261476	0.009	0.037	   -2.538
ENSG00000182923	0.010	0.037	   -2.806
ENSG00000129187	0.025	0.037	    3.518
ENSG00000167910	0.001	0.037	   -7.197
ENSG00000144580	0.016	0.037	   -3.604
ENSG00000159228	0.007	0.036	   -1.913
ENSG00000139220	0.014	0.036	    2.792
ENSG00000280063	0.025	0.036	   -5.667
ENSG00000185917	0.001	0.036	    7.118
ENSG00000279633	0.010	0.036	   -3.557
ENSG00000261051	0.014	0.036	   -2.624
ENSG00000167397	0.018	0.036	    3.137
ENSG00000160199	0.007	0.036	   -1.975
ENSG00000166866	0.013	0.035	   -3.101
ENSG00000173207	0.013	0.035	   -4.931
ENSG00000075223	0.017	0.035	   -0.640
ENSG00000158604	0.017	0.035	   -0.088
ENSG00000020922	0.016	0.035	    4.668
ENSG00000132600	0.025	0.035	    2.435
ENSG00000261490	0.011	0.035	    3.153
ENSG00000279684	0.016	0.035	    0.610
ENSG00000121210	0.016	0.035	   -0.127
ENSG00000164402	0.001	0.034	   -0.896
ENSG00000141526	0.021	0.034	    1.751
ENSG00000245849	0.004	0.034	   -4.825
ENSG00000234215	0.017	0.034	   -4.804
ENSG00000148824	0.007	0.034	    2.085
ENSG00000176148	0.008	0.034	   -0.647
