Gene	GRCP	GLCP	TWAS_z
ENSG00000155530	0.997	0.997	    2.180
ENSG00000197774	0.023	0.988	   18.626
ENSG00000100221	0.001	0.988	   -1.111
ENSG00000178409	0.823	0.972	   -1.648
ENSG00000110768	0.874	0.970	   -8.391
ENSG00000133612	0.482	0.968	    1.085
ENSG00000106565	0.953	0.966	    0.000
ENSG00000002933	0.944	0.965	    4.144
ENSG00000078140	0.774	0.959	    0.000
ENSG00000105364	0.404	0.947	  -15.650
ENSG00000077238	0.901	0.939	   -5.840
ENSG00000245888	0.092	0.923	   -1.547
ENSG00000110713	0.634	0.917	   -6.999
ENSG00000197586	0.709	0.914	   -5.446
ENSG00000134824	0.705	0.913	   -4.424
ENSG00000076864	0.847	0.891	   -5.201
ENSG00000077585	0.832	0.879	   -1.994
ENSG00000245025	0.871	0.871	    0.000
ENSG00000214894	0.770	0.856	   -5.235
ENSG00000134851	0.178	0.850	   -4.649
ENSG00000280832	0.270	0.840	    2.725
ENSG00000149196	0.697	0.828	    5.599
ENSG00000133065	0.767	0.823	   -6.664
ENSG00000237669	0.275	0.814	    1.187
ENSG00000177311	0.577	0.790	  -13.109
ENSG00000214548	0.059	0.785	   -4.909
ENSG00000125510	0.357	0.782	    0.000
ENSG00000112343	0.306	0.781	    1.144
ENSG00000198890	0.698	0.781	   -5.244
ENSG00000162877	0.745	0.767	    0.000
ENSG00000178295	0.570	0.743	   -6.839
ENSG00000171695	0.015	0.712	   -3.483
ENSG00000070444	0.698	0.711	   -5.200
ENSG00000111850	0.081	0.699	  -11.303
ENSG00000112237	0.303	0.699	   -6.950
ENSG00000164506	0.433	0.692	    7.413
ENSG00000125618	0.463	0.686	   -2.854
ENSG00000008838	0.460	0.683	    3.829
ENSG00000197852	0.605	0.681	   -1.028
ENSG00000178188	0.266	0.667	    3.010
ENSG00000151006	0.509	0.652	    1.595
ENSG00000266126	0.470	0.647	   -2.161
ENSG00000176422	0.459	0.643	   -5.360
ENSG00000232748	0.057	0.637	    7.675
ENSG00000160691	0.437	0.636	   -6.241
ENSG00000196141	0.110	0.632	   -3.458
ENSG00000261218	0.349	0.631	    5.143
ENSG00000130511	0.345	0.630	    0.000
ENSG00000112977	0.609	0.626	    3.003
ENSG00000134852	0.225	0.626	   -4.687
ENSG00000183624	0.382	0.617	    0.027
ENSG00000167397	0.088	0.616	    6.311
ENSG00000149485	0.090	0.614	   -4.129
ENSG00000111077	0.609	0.609	    1.398
ENSG00000057019	0.196	0.605	    7.553
ENSG00000137575	0.017	0.603	   -8.129
ENSG00000160799	0.440	0.600	    0.000
ENSG00000106799	0.560	0.599	   -0.020
ENSG00000167711	0.553	0.593	    2.425
ENSG00000213799	0.014	0.587	   -4.475
ENSG00000137331	0.440	0.586	   -5.594
ENSG00000165633	0.204	0.583	    5.467
ENSG00000171206	0.402	0.577	   -6.003
ENSG00000196296	0.274	0.570	    7.049
ENSG00000169105	0.148	0.565	    6.214
ENSG00000126267	0.447	0.557	    2.752
ENSG00000104964	0.549	0.549	   -2.703
ENSG00000273096	0.006	0.547	    9.152
ENSG00000142765	0.542	0.542	    0.156
ENSG00000180758	0.311	0.537	   -5.458
ENSG00000136141	0.272	0.533	    0.000
ENSG00000179152	0.519	0.524	   -5.233
ENSG00000230084	0.306	0.522	    4.772
ENSG00000150867	0.095	0.519	    6.509
ENSG00000143178	0.349	0.518	    3.766
ENSG00000134825	0.069	0.514	   -4.826
ENSG00000134222	0.500	0.512	    5.657
ENSG00000182871	0.507	0.507	    4.406
ENSG00000249274	0.244	0.494	    7.435
ENSG00000196396	0.278	0.492	   -7.073
ENSG00000091592	0.041	0.491	   -4.686
ENSG00000231160	0.489	0.489	    3.356
ENSG00000276952	0.020	0.486	   -4.188
ENSG00000179588	0.244	0.484	   -4.597
ENSG00000008324	0.170	0.482	    0.000
ENSG00000239697	0.046	0.480	    4.221
ENSG00000064225	0.017	0.478	    5.485
ENSG00000160685	0.206	0.474	    0.535
