Gene	GRCP	GLCP	TWAS_z
ENSG00000141338	0.978	0.978	   -5.644
ENSG00000166275	0.777	0.966	    3.385
ENSG00000214435	0.061	0.932	   -4.139
ENSG00000187134	0.004	0.812	    5.067
ENSG00000116489	0.203	0.724	   -6.381
ENSG00000271265	0.425	0.630	    4.635
ENSG00000090054	0.257	0.629	   -5.197
ENSG00000272564	0.089	0.624	   -4.415
ENSG00000049245	0.118	0.596	   -5.545
ENSG00000198890	0.394	0.536	   -4.460
ENSG00000257086	0.266	0.372	   -5.132
ENSG00000260778	0.331	0.363	    4.181
ENSG00000183066	0.204	0.352	   -2.991
ENSG00000169220	0.164	0.349	    5.205
ENSG00000030110	0.348	0.348	    0.000
ENSG00000259584	0.014	0.346	   10.117
ENSG00000104812	0.029	0.335	    0.587
ENSG00000255568	0.091	0.328	   -1.199
ENSG00000140400	0.217	0.325	   -5.134
ENSG00000105650	0.021	0.311	    3.006
ENSG00000183527	0.119	0.273	    4.229
ENSG00000182450	0.019	0.256	   -3.901
ENSG00000243955	0.068	0.244	   -3.978
ENSG00000141519	0.112	0.236	    3.160
ENSG00000256925	0.146	0.197	   -0.685
ENSG00000173145	0.081	0.183	    4.027
ENSG00000148572	0.018	0.179	   -4.888
ENSG00000153933	0.075	0.176	   -3.606
ENSG00000183207	0.077	0.172	    0.000
ENSG00000232504	0.045	0.164	   -1.569
ENSG00000214842	0.031	0.157	   -1.572
ENSG00000141084	0.047	0.155	    0.000
ENSG00000130943	0.066	0.155	    0.000
ENSG00000214226	0.061	0.155	   -1.494
ENSG00000267769	0.101	0.154	    0.000
ENSG00000166347	0.043	0.152	  -11.509
ENSG00000196118	0.117	0.152	   -1.936
ENSG00000189077	0.084	0.148	   -3.863
ENSG00000167671	0.102	0.148	    2.163
ENSG00000267980	0.099	0.146	    2.173
ENSG00000167670	0.066	0.144	   -0.713
ENSG00000205937	0.107	0.143	    0.000
ENSG00000173930	0.071	0.143	    3.789
ENSG00000214113	0.094	0.142	   -3.580
ENSG00000179673	0.040	0.141	    1.896
ENSG00000109320	0.052	0.138	   -3.927
ENSG00000110768	0.065	0.137	   -3.970
ENSG00000106477	0.052	0.127	   -3.467
ENSG00000196502	0.026	0.125	   -1.533
ENSG00000148795	0.025	0.125	   -7.217
ENSG00000185658	0.027	0.123	    2.542
ENSG00000263272	0.060	0.120	    0.000
ENSG00000225693	0.017	0.119	    1.391
ENSG00000171700	0.113	0.114	    3.750
ENSG00000228330	0.100	0.113	   -2.964
ENSG00000162878	0.023	0.110	    4.287
ENSG00000197165	0.033	0.109	    3.229
ENSG00000234026	0.026	0.107	    4.070
ENSG00000242028	0.023	0.104	   -3.692
ENSG00000232987	0.104	0.104	   -3.861
ENSG00000166788	0.053	0.101	    3.847
ENSG00000237037	0.067	0.101	    4.172
