Gene	GRCP	GLCP	TWAS_z
ENSG00000141338	0.989	0.997	   -5.653
ENSG00000166275	0.971	0.983	    5.178
ENSG00000248508	0.145	0.980	    3.091
ENSG00000271265	0.758	0.874	    4.612
ENSG00000272564	0.392	0.761	   -4.659
ENSG00000198890	0.584	0.709	   -4.522
ENSG00000112584	0.688	0.688	   -4.211
ENSG00000213064	0.406	0.651	    4.849
ENSG00000183066	0.482	0.631	   -2.769
ENSG00000163032	0.547	0.617	    4.974
ENSG00000105650	0.084	0.572	    3.523
ENSG00000138092	0.049	0.566	   -4.781
ENSG00000116489	0.329	0.562	   -6.545
ENSG00000257086	0.473	0.522	   -5.182
ENSG00000171724	0.272	0.519	   -0.256
ENSG00000204536	0.006	0.505	   -0.184
ENSG00000100167	0.395	0.473	    0.000
ENSG00000226416	0.327	0.441	   -0.503
ENSG00000163479	0.399	0.399	    5.007
ENSG00000205643	0.337	0.394	   -6.914
ENSG00000205853	0.292	0.391	    0.000
ENSG00000115525	0.183	0.373	   -5.059
ENSG00000205544	0.228	0.368	   -2.360
ENSG00000215347	0.264	0.356	   -2.872
ENSG00000205937	0.223	0.354	    0.000
ENSG00000182450	0.078	0.350	   -4.008
ENSG00000183207	0.246	0.343	   -0.101
ENSG00000260778	0.255	0.342	    4.134
ENSG00000273674	0.292	0.325	    3.484
ENSG00000275645	0.192	0.320	   -5.358
ENSG00000167264	0.274	0.311	   -4.196
ENSG00000171695	0.149	0.310	   -1.361
ENSG00000267980	0.239	0.294	   -3.243
ENSG00000214226	0.164	0.284	   -3.646
ENSG00000103381	0.156	0.283	   -4.287
ENSG00000149782	0.052	0.283	   -4.433
ENSG00000183527	0.223	0.281	    4.346
ENSG00000214113	0.161	0.281	   -0.056
ENSG00000173145	0.177	0.269	    3.915
ENSG00000134265	0.228	0.269	    0.000
ENSG00000243955	0.124	0.268	    3.922
ENSG00000140400	0.189	0.264	   -4.891
ENSG00000267769	0.224	0.259	   -0.445
ENSG00000090686	0.221	0.248	   -4.632
ENSG00000160803	0.196	0.247	    4.822
ENSG00000103549	0.215	0.242	    4.768
ENSG00000141519	0.187	0.235	    3.341
ENSG00000090054	0.176	0.229	   -4.227
ENSG00000262879	0.198	0.225	    2.550
ENSG00000271755	0.117	0.223	   -2.780
ENSG00000110768	0.156	0.221	   -4.045
ENSG00000147669	0.121	0.215	    4.689
ENSG00000203999	0.161	0.214	   -7.274
ENSG00000242028	0.096	0.211	   -3.726
ENSG00000129255	0.114	0.211	   -4.713
ENSG00000225693	0.058	0.202	   -3.352
ENSG00000181396	0.200	0.200	   -0.669
ENSG00000272158	0.107	0.198	    2.253
ENSG00000160882	0.060	0.196	   -9.687
ENSG00000230960	0.102	0.188	   -3.913
ENSG00000196357	0.180	0.180	   -3.007
ENSG00000049245	0.013	0.175	   -5.040
ENSG00000102974	0.155	0.170	   -3.968
ENSG00000167670	0.104	0.170	   -0.656
ENSG00000131470	0.077	0.164	    3.137
ENSG00000185585	0.079	0.163	    3.580
ENSG00000166788	0.124	0.163	    3.847
ENSG00000078674	0.156	0.162	    2.014
ENSG00000227467	0.026	0.159	    1.897
ENSG00000226752	0.131	0.158	    0.000
ENSG00000104826	0.073	0.158	    5.529
ENSG00000115207	0.044	0.158	   -7.054
ENSG00000213347	0.096	0.157	   -0.465
ENSG00000104450	0.053	0.154	   -4.334
ENSG00000123080	0.066	0.153	    4.179
ENSG00000105976	0.150	0.150	    3.590
ENSG00000067208	0.103	0.150	    1.802
ENSG00000269925	0.046	0.148	    1.571
ENSG00000128928	0.124	0.145	    3.529
ENSG00000130943	0.035	0.143	    0.000
ENSG00000119820	0.138	0.142	    3.624
ENSG00000135502	0.082	0.138	    3.629
ENSG00000263272	0.094	0.136	   -0.251
ENSG00000136950	0.052	0.132	   -3.243
ENSG00000197165	0.121	0.131	    3.442
ENSG00000156171	0.130	0.130	    3.445
ENSG00000100220	0.129	0.129	    4.070
ENSG00000095261	0.110	0.128	    0.776
ENSG00000164610	0.094	0.126	   -3.601
ENSG00000241954	0.116	0.126	   -0.172
ENSG00000196118	0.102	0.125	   -4.767
ENSG00000138600	0.073	0.124	   -3.213
ENSG00000240771	0.124	0.124	    2.641
ENSG00000169599	0.061	0.121	    0.000
ENSG00000276744	0.077	0.121	   -4.983
ENSG00000125510	0.117	0.119	    2.825
