Gene	GRCP	GLCP	TWAS_z
ENSG00000166275	0.758	0.973	   -2.537
ENSG00000057252	0.594	0.820	    4.395
ENSG00000143178	0.366	0.642	   -1.437
ENSG00000169220	0.203	0.565	    5.375
ENSG00000166347	0.178	0.439	    8.526
ENSG00000211638	0.402	0.402	    1.363
ENSG00000179979	0.397	0.397	   -4.359
ENSG00000255568	0.246	0.376	   -1.172
ENSG00000256940	0.307	0.359	   -5.022
ENSG00000073417	0.115	0.347	    2.365
ENSG00000173486	0.280	0.309	   -5.066
ENSG00000280374	0.164	0.305	   -0.030
ENSG00000260274	0.127	0.297	   -5.066
ENSG00000150630	0.109	0.296	   -4.865
ENSG00000173457	0.294	0.295	   -5.097
ENSG00000187942	0.051	0.291	   -2.324
ENSG00000120215	0.154	0.278	   -4.419
ENSG00000115525	0.097	0.271	    1.799
ENSG00000214435	0.008	0.267	    0.000
ENSG00000185658	0.142	0.266	   -1.833
ENSG00000183066	0.168	0.250	   -2.897
ENSG00000275601	0.021	0.233	    2.606
ENSG00000205937	0.180	0.229	   -2.618
ENSG00000074696	0.225	0.226	    3.669
ENSG00000267769	0.143	0.226	   -3.371
ENSG00000116489	0.131	0.223	   -4.554
ENSG00000232504	0.063	0.222	    4.363
ENSG00000163945	0.122	0.219	   -3.334
ENSG00000275636	0.012	0.217	   11.221
ENSG00000153933	0.101	0.217	    2.203
ENSG00000138600	0.109	0.208	    0.337
ENSG00000140400	0.137	0.198	   -4.994
ENSG00000205643	0.107	0.190	   -7.303
ENSG00000241954	0.153	0.185	   -0.957
ENSG00000140575	0.177	0.177	    3.794
ENSG00000121060	0.101	0.170	    0.000
ENSG00000167671	0.105	0.156	   -2.128
ENSG00000137822	0.017	0.155	   -3.334
ENSG00000205740	0.069	0.152	   -2.113
ENSG00000183569	0.151	0.151	    0.985
ENSG00000236184	0.027	0.144	    3.349
ENSG00000134265	0.142	0.142	    0.000
ENSG00000235369	0.096	0.137	    0.995
ENSG00000148290	0.092	0.132	   -3.151
ENSG00000110768	0.094	0.130	   -3.953
ENSG00000129197	0.078	0.130	    3.598
ENSG00000181396	0.127	0.127	    0.000
ENSG00000273450	0.055	0.120	    3.800
ENSG00000198890	0.072	0.119	    4.323
ENSG00000183527	0.015	0.099	   -3.351
ENSG00000155561	0.058	0.099	    3.653
ENSG00000166323	0.072	0.092	   -3.497
ENSG00000166788	0.062	0.092	    3.816
ENSG00000226450	0.029	0.091	    3.581
ENSG00000226752	0.078	0.090	    0.000
ENSG00000138829	0.022	0.090	   -3.112
ENSG00000258534	0.060	0.089	   -3.475
ENSG00000167264	0.050	0.086	   -3.887
ENSG00000205581	0.027	0.086	    4.957
ENSG00000128886	0.040	0.085	   -3.513
ENSG00000163032	0.071	0.084	    5.045
ENSG00000189077	0.040	0.083	    4.008
ENSG00000134717	0.018	0.082	   -2.973
ENSG00000141570	0.081	0.081	   -1.841
ENSG00000080802	0.035	0.081	    3.621
ENSG00000108433	0.057	0.078	    3.465
ENSG00000280239	0.070	0.078	   -3.481
ENSG00000249664	0.053	0.078	   -3.365
ENSG00000201217	0.039	0.078	   -4.115
ENSG00000161956	0.013	0.075	    6.475
ENSG00000173511	0.063	0.074	   -4.791
ENSG00000109016	0.072	0.072	   -3.805
ENSG00000267030	0.058	0.071	   -3.282
ENSG00000136935	0.034	0.070	   -0.255
ENSG00000104812	0.009	0.070	   -2.770
ENSG00000235701	0.045	0.069	   -3.866
ENSG00000197165	0.035	0.068	    2.805
ENSG00000136950	0.042	0.065	   -3.331
ENSG00000236493	0.012	0.063	    2.265
ENSG00000144908	0.032	0.063	    3.429
ENSG00000143622	0.044	0.062	    4.645
ENSG00000090686	0.029	0.062	   -3.370
ENSG00000198380	0.023	0.061	    0.000
ENSG00000259520	0.020	0.061	   -2.932
ENSG00000244515	0.021	0.061	    0.656
ENSG00000129167	0.021	0.061	    3.949
ENSG00000104826	0.028	0.060	    4.566
ENSG00000169371	0.048	0.058	   -4.031
ENSG00000270761	0.030	0.057	    0.641
ENSG00000126215	0.035	0.055	    3.308
ENSG00000171159	0.053	0.055	    3.530
ENSG00000259584	0.007	0.054	   11.052
ENSG00000244459	0.016	0.054	    0.618
ENSG00000125703	0.039	0.054	    3.345
ENSG00000129925	0.025	0.052	    1.306
ENSG00000104756	0.030	0.052	    4.145
ENSG00000178401	0.051	0.051	    0.211
ENSG00000279114	0.041	0.049	    0.000
ENSG00000095380	0.024	0.049	   -3.454
ENSG00000149782	0.049	0.049	   -5.070
ENSG00000232218	0.035	0.048	   -0.134
ENSG00000242028	0.014	0.048	   -3.654
ENSG00000111328	0.011	0.047	   -3.054
ENSG00000152422	0.012	0.047	   -3.045
ENSG00000106635	0.010	0.046	    0.072
ENSG00000103381	0.015	0.046	   -1.846
ENSG00000282980	0.039	0.045	    0.897
ENSG00000254272	0.015	0.045	    1.091
ENSG00000007341	0.014	0.044	   -3.935
ENSG00000259982	0.010	0.044	    2.734
ENSG00000263142	0.032	0.044	    2.612
ENSG00000151116	0.011	0.044	   -2.877
ENSG00000136854	0.010	0.044	   -0.020
ENSG00000268364	0.044	0.044	   -1.684
ENSG00000174233	0.015	0.044	   -1.776
ENSG00000102977	0.028	0.044	    0.575
ENSG00000165410	0.039	0.043	   -3.678
ENSG00000151690	0.028	0.043	    3.061
ENSG00000106780	0.017	0.043	   -3.346
ENSG00000122642	0.027	0.042	    0.995
ENSG00000271755	0.019	0.041	   -2.067
ENSG00000258230	0.038	0.041	   -3.232
ENSG00000137269	0.041	0.041	   -1.733
ENSG00000136933	0.019	0.041	    1.877
ENSG00000166762	0.019	0.039	   -1.899
ENSG00000233903	0.020	0.039	    3.629
ENSG00000254485	0.039	0.039	    3.246
ENSG00000065000	0.013	0.039	    0.000
ENSG00000104450	0.020	0.037	    0.235
ENSG00000171222	0.037	0.037	    0.000
ENSG00000254094	0.009	0.037	    3.413
ENSG00000110756	0.027	0.036	   -3.783
ENSG00000108559	0.036	0.036	    0.262
ENSG00000075826	0.023	0.036	   -2.811
ENSG00000196357	0.022	0.036	   -2.972
ENSG00000100429	0.035	0.035	    0.000
ENSG00000100629	0.026	0.035	    3.393
ENSG00000198945	0.014	0.035	   -0.630
ENSG00000272398	0.001	0.035	    0.392
ENSG00000072736	0.016	0.035	   -0.560
ENSG00000111788	0.026	0.035	    1.387
ENSG00000279613	0.034	0.034	   -3.451
ENSG00000100154	0.033	0.034	   -0.181
ENSG00000159761	0.024	0.034	   -1.916
ENSG00000227765	0.029	0.033	   -2.708
ENSG00000189050	0.022	0.033	   -0.532
ENSG00000136830	0.009	0.033	   -1.769
ENSG00000160172	0.028	0.033	    3.150
ENSG00000153560	0.016	0.033	   -3.069
ENSG00000168405	0.031	0.032	    2.938
ENSG00000189362	0.023	0.032	    1.585
ENSG00000086061	0.006	0.032	    3.369
ENSG00000167232	0.011	0.032	    3.469
ENSG00000102901	0.015	0.031	   -3.898
ENSG00000115902	0.028	0.030	    0.000
ENSG00000077585	0.030	0.030	   -3.760
ENSG00000100219	0.016	0.030	   -3.080
ENSG00000174684	0.022	0.030	   -3.541
ENSG00000244026	0.011	0.030	    2.289
ENSG00000004897	0.011	0.030	    3.231
ENSG00000136051	0.028	0.030	    3.197
ENSG00000260000	0.027	0.029	    3.582
ENSG00000163576	0.029	0.029	    2.410
ENSG00000260404	0.017	0.029	    1.447
ENSG00000131183	0.008	0.029	    5.497
ENSG00000197563	0.011	0.029	    1.706
ENSG00000131634	0.021	0.029	   -2.119
ENSG00000186660	0.005	0.029	    3.064
ENSG00000167723	0.024	0.029	   -2.119
ENSG00000273619	0.018	0.029	   -1.402
ENSG00000153558	0.018	0.028	   -3.115
ENSG00000144381	0.007	0.028	    3.629
ENSG00000067369	0.009	0.028	    3.476
ENSG00000088808	0.014	0.028	   -0.136
ENSG00000174695	0.011	0.028	    2.092
ENSG00000184227	0.019	0.028	    0.216
ENSG00000136874	0.014	0.027	    1.086
ENSG00000279453	0.009	0.027	   -2.307
ENSG00000141298	0.010	0.027	    0.990
ENSG00000113946	0.017	0.027	    1.238
ENSG00000112941	0.012	0.026	    2.714
ENSG00000124613	0.005	0.026	   -1.533
ENSG00000129214	0.013	0.026	    5.784
ENSG00000144118	0.008	0.026	   -3.116
ENSG00000135318	0.011	0.026	    1.972
ENSG00000035141	0.006	0.025	   -2.603
ENSG00000213057	0.011	0.025	   -3.812
ENSG00000143554	0.022	0.024	   -2.996
ENSG00000276744	0.014	0.024	   -5.002
ENSG00000137710	0.018	0.024	    1.620
ENSG00000260778	0.015	0.024	    3.951
ENSG00000222112	0.024	0.024	   -3.307
ENSG00000101000	0.014	0.024	   -3.039
ENSG00000221983	0.005	0.024	   -0.531
ENSG00000171467	0.005	0.024	   -7.192
ENSG00000196498	0.015	0.024	    2.190
ENSG00000236914	0.018	0.024	   -1.941
ENSG00000254606	0.010	0.024	    1.520
ENSG00000258824	0.011	0.023	    3.722
ENSG00000243317	0.020	0.023	    2.894
ENSG00000140832	0.015	0.023	    2.830
ENSG00000163519	0.023	0.023	    1.611
ENSG00000240563	0.017	0.023	   -1.067
ENSG00000184661	0.007	0.023	    2.977
ENSG00000198160	0.009	0.023	   -2.032
ENSG00000152804	0.012	0.022	    2.776
ENSG00000019485	0.015	0.022	   -3.516
ENSG00000276517	0.022	0.022	   -2.427
ENSG00000178821	0.014	0.022	    0.366
ENSG00000030110	0.019	0.022	    0.000
ENSG00000238083	0.001	0.022	   -2.366
ENSG00000152219	0.016	0.022	    1.106
ENSG00000086504	0.019	0.022	   -1.063
ENSG00000155363	0.011	0.022	    0.257
ENSG00000178385	0.005	0.022	   -0.067
ENSG00000251022	0.020	0.022	   -2.438
ENSG00000250539	0.014	0.022	   -2.878
ENSG00000235475	0.007	0.021	    2.579
ENSG00000143321	0.007	0.021	   -2.972
ENSG00000225971	0.016	0.021	   -3.118
ENSG00000143452	0.005	0.021	    2.269
ENSG00000224397	0.003	0.021	   -0.282
ENSG00000136929	0.017	0.021	   -3.038
ENSG00000081014	0.013	0.021	    3.294
ENSG00000213453	0.009	0.021	   -1.435
ENSG00000260088	0.014	0.021	    1.287
ENSG00000159720	0.017	0.021	    0.000
ENSG00000156853	0.000	0.021	    3.147
ENSG00000187079	0.007	0.021	    3.780
ENSG00000160882	0.006	0.020	   -1.446
ENSG00000272369	0.008	0.020	   -4.006
ENSG00000091622	0.013	0.020	   -2.836
ENSG00000271843	0.019	0.019	   -2.917
ENSG00000156603	0.010	0.019	    0.866
ENSG00000130703	0.008	0.019	    2.711
ENSG00000095370	0.006	0.019	    2.838
ENSG00000096872	0.016	0.019	   -0.494
ENSG00000226416	0.019	0.019	   -3.183
ENSG00000184903	0.005	0.019	   -3.377
ENSG00000163755	0.014	0.019	    3.048
ENSG00000170089	0.008	0.019	    3.015
ENSG00000175611	0.012	0.019	    0.043
ENSG00000183530	0.018	0.019	    2.982
ENSG00000215009	0.019	0.019	    1.176
ENSG00000162676	0.005	0.019	   -0.207
ENSG00000214922	0.011	0.019	    1.918
ENSG00000067601	0.011	0.019	   -0.407
ENSG00000126005	0.018	0.019	    1.359
ENSG00000198087	0.011	0.019	   -2.975
ENSG00000049759	0.007	0.018	    2.682
ENSG00000107872	0.018	0.018	    1.959
ENSG00000214078	0.013	0.018	    0.000
ENSG00000224796	0.005	0.018	   -0.315
ENSG00000282936	0.010	0.018	    1.270
