Gene	GRCP	GLCP	TWAS_z
ENSG00000214435	0.839	0.983	   -4.796
ENSG00000166275	0.825	0.981	    3.692
ENSG00000141338	0.965	0.972	   -5.314
ENSG00000203999	0.725	0.902	   -7.226
ENSG00000009950	0.834	0.834	    8.157
ENSG00000234936	0.177	0.830	    4.512
ENSG00000152804	0.365	0.820	    4.896
ENSG00000169220	0.812	0.819	    5.324
ENSG00000090686	0.385	0.800	   -4.009
ENSG00000115525	0.475	0.785	   -5.034
ENSG00000116489	0.466	0.783	   -6.346
ENSG00000057252	0.343	0.719	  -11.306
ENSG00000183066	0.547	0.699	   -0.321
ENSG00000198890	0.562	0.690	   -4.544
ENSG00000198719	0.670	0.670	    4.202
ENSG00000007341	0.414	0.661	   -2.611
ENSG00000274080	0.283	0.563	    7.893
ENSG00000248508	0.123	0.558	    3.030
ENSG00000073417	0.414	0.537	    0.222
ENSG00000141519	0.521	0.522	    3.793
ENSG00000147454	0.216	0.498	   -0.538
ENSG00000156858	0.240	0.484	   -4.034
ENSG00000171700	0.478	0.478	    3.599
ENSG00000280374	0.146	0.470	    0.646
ENSG00000183207	0.283	0.456	    1.668
ENSG00000128928	0.270	0.453	    6.113
ENSG00000255568	0.353	0.442	   -1.029
ENSG00000260778	0.412	0.412	    4.107
ENSG00000067208	0.182	0.386	    2.502
ENSG00000110628	0.232	0.378	    3.737
ENSG00000196810	0.146	0.374	   -0.963
ENSG00000133116	0.316	0.373	   -3.548
ENSG00000213963	0.315	0.349	    0.000
ENSG00000183527	0.248	0.342	    4.434
ENSG00000156873	0.136	0.335	   -4.485
ENSG00000205937	0.257	0.307	   -2.434
ENSG00000143622	0.192	0.305	    4.645
ENSG00000140398	0.254	0.294	   -4.986
ENSG00000178821	0.213	0.289	   -3.790
ENSG00000067369	0.162	0.282	    3.449
ENSG00000205581	0.149	0.280	   -4.153
ENSG00000103549	0.214	0.271	    4.754
ENSG00000260274	0.190	0.264	   -5.281
ENSG00000223865	0.125	0.257	    1.986
ENSG00000267769	0.215	0.256	   -3.460
ENSG00000129167	0.255	0.255	    3.969
ENSG00000142949	0.205	0.253	    2.606
ENSG00000236493	0.029	0.249	    3.545
ENSG00000064886	0.248	0.248	    3.743
ENSG00000214226	0.146	0.247	   -2.886
ENSG00000204789	0.245	0.245	    3.546
ENSG00000215440	0.166	0.240	    0.157
ENSG00000134265	0.228	0.236	    0.127
ENSG00000138600	0.206	0.221	    0.000
ENSG00000105650	0.152	0.220	    3.274
ENSG00000140400	0.171	0.219	   -4.876
ENSG00000178222	0.163	0.219	   -0.690
ENSG00000271755	0.131	0.211	   -3.440
ENSG00000214113	0.190	0.203	   -0.944
ENSG00000148572	0.130	0.203	    6.990
ENSG00000075151	0.077	0.201	    3.022
ENSG00000267980	0.198	0.199	   -0.951
ENSG00000261888	0.171	0.199	   -3.880
ENSG00000005421	0.193	0.197	    3.987
ENSG00000143178	0.015	0.197	   -1.529
ENSG00000159761	0.171	0.196	    0.714
ENSG00000272564	0.072	0.191	   -4.963
ENSG00000132680	0.068	0.190	    4.611
ENSG00000213347	0.184	0.186	    4.974
ENSG00000181396	0.184	0.185	   -2.294
ENSG00000237037	0.086	0.183	    4.005
ENSG00000173145	0.169	0.179	    3.917
ENSG00000263272	0.111	0.174	    2.799
ENSG00000169223	0.083	0.165	    4.925
ENSG00000227508	0.113	0.164	    4.079
ENSG00000225192	0.143	0.164	   -3.299
ENSG00000125510	0.164	0.164	    3.621
ENSG00000279873	0.151	0.161	    4.133
ENSG00000198105	0.092	0.157	   -1.741
ENSG00000163945	0.155	0.155	   -3.840
ENSG00000130349	0.062	0.155	    0.000
ENSG00000090054	0.093	0.153	   -2.552
ENSG00000167671	0.130	0.147	    0.000
ENSG00000110768	0.112	0.144	   -3.917
ENSG00000196776	0.121	0.144	    0.000
ENSG00000169599	0.055	0.138	   -2.831
ENSG00000104756	0.093	0.137	   -3.320
ENSG00000082701	0.065	0.133	   -3.440
ENSG00000124067	0.074	0.133	   -4.073
ENSG00000132698	0.091	0.129	    4.529
ENSG00000136935	0.098	0.128	   -2.382
ENSG00000141570	0.124	0.124	    0.137
ENSG00000156171	0.120	0.121	    3.172
ENSG00000141084	0.104	0.120	    0.000
ENSG00000074603	0.085	0.117	    3.824
ENSG00000129473	0.115	0.117	   -3.712
ENSG00000109445	0.102	0.116	    0.000
ENSG00000226752	0.114	0.115	   -3.636
ENSG00000163032	0.102	0.114	   -1.399
ENSG00000205250	0.109	0.113	   -3.868
ENSG00000267030	0.076	0.112	   -1.161
ENSG00000111877	0.008	0.108	   10.123
ENSG00000249664	0.081	0.106	   -3.381
ENSG00000136950	0.080	0.106	   -3.470
ENSG00000119820	0.037	0.105	    3.040
ENSG00000165476	0.083	0.103	    5.321
ENSG00000229108	0.102	0.102	    2.790
ENSG00000246640	0.099	0.102	   -3.104
ENSG00000206869	0.028	0.102	    3.872
ENSG00000136918	0.077	0.101	    3.174
ENSG00000151963	0.075	0.101	   -0.201
ENSG00000271265	0.084	0.101	    4.606
ENSG00000205853	0.054	0.100	    0.000
ENSG00000182782	0.056	0.100	   -0.517
ENSG00000176927	0.047	0.100	   -3.563
ENSG00000116745	0.019	0.099	    1.136
ENSG00000164610	0.095	0.099	   -3.481
ENSG00000077782	0.067	0.098	   -3.609
ENSG00000241015	0.092	0.098	   -3.370
ENSG00000198089	0.039	0.097	   -3.109
ENSG00000167670	0.090	0.096	    2.136
ENSG00000160336	0.094	0.095	   -2.015
ENSG00000213398	0.089	0.095	   -3.822
ENSG00000205763	0.090	0.095	    0.000
ENSG00000269609	0.073	0.095	    3.457
ENSG00000138814	0.033	0.093	   -3.517
ENSG00000100330	0.051	0.092	    0.907
ENSG00000242068	0.033	0.092	   -0.339
ENSG00000155792	0.064	0.091	    3.280
ENSG00000211959	0.090	0.091	    3.485
ENSG00000166347	0.041	0.091	    6.994
ENSG00000166763	0.036	0.090	   -3.267
ENSG00000086504	0.047	0.090	   -3.203
ENSG00000106780	0.054	0.090	   -2.915
ENSG00000091136	0.089	0.089	   -3.037
ENSG00000138614	0.084	0.088	    2.213
ENSG00000182541	0.069	0.086	   -3.301
ENSG00000275601	0.019	0.086	    0.316
ENSG00000269925	0.022	0.086	   -0.433
ENSG00000185658	0.069	0.086	    4.734
ENSG00000180834	0.022	0.085	    3.181
ENSG00000104812	0.013	0.085	    1.474
ENSG00000254343	0.058	0.085	    1.137
ENSG00000171824	0.051	0.085	    0.039
ENSG00000166788	0.079	0.085	   -0.430
ENSG00000100197	0.069	0.084	    4.183
ENSG00000272807	0.061	0.082	   -3.324
ENSG00000108433	0.042	0.082	    3.226
ENSG00000256073	0.080	0.080	   -0.466
ENSG00000137710	0.059	0.080	    4.229
ENSG00000198791	0.079	0.079	    3.283
ENSG00000112249	0.078	0.079	   -0.226
ENSG00000225693	0.023	0.077	   -1.950
ENSG00000224557	0.028	0.077	    3.023
ENSG00000196476	0.052	0.077	   -2.632
ENSG00000244515	0.033	0.077	    0.656
ENSG00000112041	0.076	0.076	   -1.883
ENSG00000163602	0.065	0.076	    0.703
ENSG00000166170	0.065	0.076	    3.345
ENSG00000132199	0.053	0.075	    2.564
ENSG00000091622	0.047	0.075	    0.638
ENSG00000269958	0.057	0.074	    3.287
ENSG00000174744	0.073	0.074	   -3.840
ENSG00000259118	0.041	0.073	    1.715
ENSG00000176890	0.048	0.072	    3.152
ENSG00000108590	0.041	0.071	    3.327
ENSG00000141298	0.045	0.070	   -3.614
ENSG00000148795	0.002	0.068	   -6.246
ENSG00000265490	0.050	0.068	    2.452
ENSG00000129197	0.044	0.068	    0.000
ENSG00000176912	0.044	0.068	    2.918
ENSG00000130518	0.055	0.067	    0.000
ENSG00000134077	0.067	0.067	    0.000
ENSG00000176046	0.042	0.067	    2.004
ENSG00000251034	0.030	0.066	   -3.074
ENSG00000263220	0.021	0.066	   -1.572
ENSG00000247315	0.066	0.066	   -2.026
ENSG00000173611	0.020	0.065	    3.466
ENSG00000274737	0.050	0.065	   -1.135
ENSG00000116062	0.050	0.065	   -3.748
ENSG00000177990	0.061	0.064	   -3.267
ENSG00000013810	0.044	0.064	    0.526
ENSG00000132718	0.021	0.063	    1.466
ENSG00000271862	0.045	0.063	   -3.399
ENSG00000273055	0.060	0.063	   -3.125
ENSG00000169413	0.060	0.063	    0.554
ENSG00000123080	0.024	0.062	    3.662
ENSG00000077585	0.030	0.062	    0.435
ENSG00000238181	0.043	0.061	    2.808
ENSG00000137822	0.038	0.061	   -3.306
ENSG00000111788	0.061	0.061	    0.397
ENSG00000160882	0.014	0.060	  -10.361
ENSG00000061794	0.060	0.060	    1.950
ENSG00000226849	0.053	0.059	   -3.203
ENSG00000259520	0.023	0.058	   -0.917
ENSG00000100711	0.028	0.058	    3.235
ENSG00000149177	0.054	0.057	   -3.380
ENSG00000138593	0.055	0.057	    4.277
ENSG00000149679	0.055	0.056	    3.155
ENSG00000278107	0.028	0.056	    3.085
ENSG00000198920	0.053	0.056	    0.199
ENSG00000100429	0.055	0.055	    0.000
ENSG00000272106	0.055	0.055	    0.000
ENSG00000152766	0.050	0.055	   -4.014
ENSG00000214826	0.042	0.055	    0.623
ENSG00000224796	0.020	0.054	    0.678
ENSG00000223382	0.054	0.054	   -0.085
ENSG00000167910	0.027	0.054	    2.974
ENSG00000108821	0.047	0.054	   -3.338
ENSG00000125968	0.023	0.054	   -0.040
ENSG00000175164	0.049	0.053	   -2.213
ENSG00000260361	0.052	0.053	   -2.277
ENSG00000270761	0.040	0.052	    0.505
ENSG00000254485	0.052	0.052	    3.266
ENSG00000179163	0.036	0.052	    3.466
ENSG00000160191	0.052	0.052	    3.325
ENSG00000163959	0.002	0.052	   -3.710
ENSG00000180828	0.052	0.052	    3.484
ENSG00000250669	0.034	0.051	   -0.550
ENSG00000215347	0.031	0.050	   -3.423
ENSG00000240563	0.047	0.050	   -1.660
ENSG00000165804	0.046	0.050	    0.232
ENSG00000173726	0.019	0.050	   -3.462
ENSG00000214063	0.050	0.050	    1.419
ENSG00000197165	0.037	0.049	    3.032
ENSG00000232504	0.010	0.049	    1.684
ENSG00000027869	0.040	0.049	   -3.209
ENSG00000136048	0.032	0.048	   -2.165
ENSG00000260651	0.027	0.048	    2.757
ENSG00000182208	0.029	0.048	   -3.235
ENSG00000169313	0.033	0.047	   -1.987
ENSG00000223745	0.023	0.047	    1.821
ENSG00000173960	0.042	0.047	   -3.290
ENSG00000168405	0.011	0.047	    2.532
ENSG00000202058	0.038	0.047	   -3.749
ENSG00000130943	0.023	0.047	   -1.038
ENSG00000127952	0.028	0.047	    2.982
ENSG00000149657	0.046	0.046	   -3.332
