Gene	GRCP	GLCP	TWAS_z
ENSG00000166275	0.936	0.983	   -2.528
ENSG00000214435	0.849	0.978	   -2.860
ENSG00000116062	0.676	0.933	   -4.303
ENSG00000203999	0.700	0.924	   -7.290
ENSG00000249261	0.902	0.909	   -8.165
ENSG00000233223	0.499	0.870	   -5.640
ENSG00000151632	0.557	0.851	   -1.639
ENSG00000169220	0.809	0.809	   -0.981
ENSG00000275636	0.127	0.785	   11.329
ENSG00000137310	0.009	0.739	    3.537
ENSG00000115525	0.377	0.712	   -4.695
ENSG00000183066	0.557	0.711	   -0.321
ENSG00000274080	0.505	0.694	    7.945
ENSG00000133121	0.641	0.691	   -4.813
ENSG00000171700	0.690	0.691	    3.790
ENSG00000009950	0.479	0.683	    8.012
ENSG00000174233	0.457	0.681	   -0.761
ENSG00000198890	0.563	0.652	   -4.450
ENSG00000227370	0.254	0.602	    4.252
ENSG00000171793	0.569	0.569	    1.693
ENSG00000104826	0.379	0.564	    5.117
ENSG00000146215	0.017	0.557	   -1.885
ENSG00000125510	0.556	0.556	    3.649
ENSG00000106638	0.267	0.526	    0.000
ENSG00000141338	0.519	0.524	   -5.507
ENSG00000196139	0.297	0.489	    7.960
ENSG00000171724	0.210	0.487	   -0.232
ENSG00000061273	0.409	0.486	    4.295
ENSG00000090316	0.228	0.476	    1.735
ENSG00000213064	0.109	0.464	    4.461
ENSG00000260778	0.433	0.434	    4.028
ENSG00000103381	0.399	0.427	   -3.240
ENSG00000255568	0.388	0.423	    3.812
ENSG00000152804	0.218	0.408	    4.855
ENSG00000261888	0.392	0.405	    2.165
ENSG00000227471	0.156	0.401	   -3.888
ENSG00000132406	0.333	0.382	    1.442
ENSG00000205643	0.307	0.378	   -6.773
ENSG00000067369	0.220	0.378	    3.412
ENSG00000205937	0.283	0.371	    3.794
ENSG00000263142	0.341	0.361	   -3.900
ENSG00000214842	0.239	0.356	   -1.265
ENSG00000169504	0.256	0.336	   -3.772
ENSG00000260274	0.238	0.333	   -3.957
ENSG00000049245	0.312	0.312	   -6.193
ENSG00000129167	0.310	0.311	   -2.365
ENSG00000018510	0.101	0.311	    3.188
ENSG00000103549	0.202	0.287	    4.777
ENSG00000140398	0.259	0.281	   -4.970
ENSG00000214113	0.239	0.278	   -3.314
ENSG00000173486	0.041	0.276	   -4.243
ENSG00000229809	0.144	0.275	    5.126
ENSG00000213347	0.274	0.274	   -0.878
ENSG00000178821	0.230	0.269	   -3.788
ENSG00000163032	0.242	0.269	   -3.981
ENSG00000008382	0.225	0.268	   -3.650
ENSG00000267980	0.212	0.265	    0.864
ENSG00000150630	0.106	0.264	    0.754
ENSG00000267030	0.188	0.245	   -1.181
ENSG00000256940	0.215	0.245	   -4.037
ENSG00000236493	0.018	0.237	    2.993
ENSG00000183255	0.189	0.236	   -3.710
ENSG00000074266	0.236	0.236	    0.573
ENSG00000125952	0.107	0.224	   -3.846
ENSG00000215440	0.023	0.220	    1.740
ENSG00000141519	0.186	0.220	    3.232
ENSG00000090686	0.100	0.220	   -3.113
ENSG00000173611	0.082	0.218	    3.595
ENSG00000140400	0.177	0.212	   -4.812
ENSG00000138829	0.185	0.207	   -0.113
ENSG00000102974	0.187	0.205	   -3.531
ENSG00000197165	0.158	0.203	    3.356
ENSG00000267769	0.187	0.203	   -3.455
ENSG00000108433	0.053	0.196	    3.789
ENSG00000143622	0.186	0.187	    4.630
ENSG00000167671	0.187	0.187	    2.225
ENSG00000173145	0.186	0.187	    3.937
ENSG00000148290	0.172	0.185	   -2.881
ENSG00000159761	0.146	0.185	    0.000
ENSG00000205740	0.073	0.182	   -3.598
ENSG00000109320	0.172	0.178	    0.000
ENSG00000110768	0.109	0.178	   -4.002
ENSG00000276075	0.160	0.173	    0.169
ENSG00000140575	0.172	0.172	    0.561
ENSG00000271755	0.066	0.171	   -2.527
ENSG00000263272	0.082	0.168	    2.754
ENSG00000141084	0.086	0.166	    1.225
ENSG00000223865	0.030	0.161	   -1.367
ENSG00000262879	0.030	0.159	    2.489
ENSG00000183207	0.151	0.158	    0.000
ENSG00000136935	0.097	0.156	   -3.602
ENSG00000137074	0.046	0.156	    3.333
ENSG00000228035	0.139	0.154	    3.267
ENSG00000226752	0.117	0.147	    0.612
ENSG00000175395	0.102	0.142	   -0.615
ENSG00000128928	0.039	0.141	    3.694
ENSG00000152904	0.015	0.141	   -2.672
ENSG00000074603	0.083	0.141	    3.747
ENSG00000161955	0.008	0.140	   -4.126
ENSG00000095261	0.115	0.137	    2.669
ENSG00000198380	0.072	0.136	   -2.395
ENSG00000156858	0.016	0.134	    0.000
ENSG00000171695	0.133	0.133	    3.530
ENSG00000176845	0.004	0.132	   -3.786
ENSG00000140368	0.132	0.132	   -3.573
ENSG00000254343	0.070	0.129	    3.403
ENSG00000240771	0.128	0.128	    0.144
ENSG00000206573	0.080	0.127	   -3.441
ENSG00000156171	0.126	0.127	    3.253
ENSG00000167264	0.091	0.127	   -3.858
ENSG00000141570	0.124	0.124	    0.000
ENSG00000242068	0.041	0.122	   -0.169
ENSG00000113643	0.084	0.121	   -1.681
ENSG00000240021	0.095	0.116	    0.540
ENSG00000159692	0.094	0.114	    3.945
ENSG00000205544	0.074	0.113	   -0.066
ENSG00000143494	0.110	0.110	   -1.132
ENSG00000173726	0.040	0.110	   -3.376
ENSG00000109445	0.104	0.109	    0.000
ENSG00000232504	0.028	0.109	    3.675
ENSG00000187987	0.106	0.107	   -2.546
ENSG00000091136	0.103	0.107	   -1.923
ENSG00000243176	0.033	0.101	    3.237
ENSG00000205763	0.094	0.101	    0.000
ENSG00000264278	0.100	0.100	    3.426
ENSG00000241015	0.087	0.100	   -3.556
ENSG00000229108	0.097	0.100	    0.317
ENSG00000136918	0.073	0.100	    3.160
ENSG00000184661	0.037	0.098	   -3.175
ENSG00000227268	0.097	0.097	    4.137
ENSG00000155792	0.077	0.097	    3.391
ENSG00000136950	0.045	0.096	   -3.356
ENSG00000166262	0.085	0.096	   -0.617
ENSG00000166762	0.068	0.096	   -3.301
ENSG00000034677	0.042	0.095	   -4.560
ENSG00000125703	0.058	0.093	    3.390
ENSG00000100290	0.090	0.090	   -3.862
ENSG00000167291	0.074	0.089	   -0.895
ENSG00000129473	0.088	0.089	   -4.077
ENSG00000120833	0.031	0.088	    0.222
ENSG00000138795	0.012	0.088	   -3.260
ENSG00000027869	0.087	0.087	   -3.585
ENSG00000244005	0.040	0.087	    3.154
ENSG00000231160	0.064	0.087	   -0.508
ENSG00000243955	0.024	0.085	    3.766
ENSG00000092470	0.053	0.085	   -3.710
ENSG00000166788	0.080	0.083	   -3.627
ENSG00000179163	0.072	0.081	    3.089
ENSG00000162777	0.081	0.081	    3.508
ENSG00000240563	0.077	0.081	   -0.714
ENSG00000007933	0.081	0.081	   -0.515
ENSG00000256427	0.079	0.080	   -3.389
ENSG00000007341	0.055	0.080	   -4.018
ENSG00000177971	0.039	0.080	    0.519
ENSG00000129197	0.057	0.079	   -1.166
ENSG00000134265	0.059	0.078	   -2.962
ENSG00000172469	0.075	0.077	   -0.189
ENSG00000106635	0.059	0.076	    7.828
ENSG00000223382	0.050	0.076	    0.067
ENSG00000256053	0.064	0.075	    1.606
ENSG00000196220	0.072	0.075	    2.784
ENSG00000263220	0.025	0.074	   -1.456
ENSG00000160336	0.074	0.074	   -2.903
ENSG00000172340	0.067	0.074	    3.238
ENSG00000100197	0.073	0.073	    3.815
ENSG00000244515	0.033	0.069	    0.655
ENSG00000156603	0.057	0.069	   -1.302
ENSG00000137575	0.064	0.069	   -1.500
ENSG00000260032	0.069	0.069	    0.000
ENSG00000272564	0.025	0.068	    2.331
ENSG00000141580	0.068	0.068	   -3.343
ENSG00000270761	0.044	0.068	    0.510
ENSG00000169313	0.066	0.068	    0.000
ENSG00000104825	0.067	0.067	   -3.243
ENSG00000117305	0.051	0.067	   -2.959
ENSG00000107937	0.013	0.067	   -2.918
ENSG00000120324	0.066	0.066	   -0.397
ENSG00000168806	0.019	0.066	    1.558
ENSG00000280161	0.064	0.065	   -0.287
ENSG00000273619	0.039	0.064	   -2.586
ENSG00000178038	0.063	0.064	    1.422
ENSG00000153551	0.034	0.062	    3.175
ENSG00000166171	0.041	0.062	    0.747
ENSG00000198920	0.061	0.062	    3.314
ENSG00000120910	0.033	0.061	   -1.424
ENSG00000111670	0.046	0.061	    0.000
ENSG00000224397	0.001	0.060	   -1.768
ENSG00000267397	0.053	0.060	   -0.084
ENSG00000129235	0.043	0.059	   -3.246
ENSG00000183527	0.027	0.059	    3.756
ENSG00000198791	0.059	0.059	    3.198
ENSG00000103091	0.058	0.059	    3.234
ENSG00000038358	0.032	0.058	   -3.911
ENSG00000178385	0.038	0.057	    1.638
ENSG00000161999	0.046	0.056	    3.334
ENSG00000100429	0.055	0.055	   -2.622
ENSG00000136933	0.031	0.055	    1.645
ENSG00000016402	0.041	0.055	   -0.740
ENSG00000257365	0.017	0.055	    1.048
ENSG00000013810	0.040	0.054	    3.081
ENSG00000112357	0.043	0.053	    0.000
ENSG00000254485	0.053	0.053	    3.119
ENSG00000189362	0.034	0.053	   -1.548
ENSG00000164347	0.053	0.053	    1.989
ENSG00000241582	0.044	0.052	   -0.594
ENSG00000178222	0.026	0.052	    0.761
ENSG00000107651	0.031	0.052	    0.000
ENSG00000226849	0.031	0.052	   -3.198
ENSG00000134077	0.051	0.052	    0.000
ENSG00000102452	0.040	0.052	    1.634
ENSG00000086504	0.049	0.052	   -3.193
ENSG00000179097	0.032	0.052	   -3.392
ENSG00000233225	0.029	0.051	   -1.216
ENSG00000198945	0.037	0.051	    0.000
ENSG00000025039	0.050	0.050	    1.358
ENSG00000138081	0.025	0.050	   -4.884
ENSG00000158023	0.047	0.050	    0.000
ENSG00000261701	0.050	0.050	    2.826
ENSG00000168936	0.041	0.050	    3.081
ENSG00000149679	0.020	0.050	    2.554
ENSG00000177839	0.049	0.050	    0.000
ENSG00000140943	0.027	0.049	    1.742
ENSG00000137822	0.027	0.049	   -3.416
ENSG00000251022	0.038	0.049	   -3.091
ENSG00000181396	0.048	0.048	    2.088
ENSG00000198822	0.013	0.048	    3.117
ENSG00000149177	0.025	0.047	   -3.427
ENSG00000110244	0.046	0.047	    3.241
ENSG00000240395	0.037	0.047	   -3.469
ENSG00000121966	0.040	0.047	    3.117
ENSG00000225194	0.038	0.047	    0.323
ENSG00000242247	0.035	0.046	    3.100
ENSG00000196810	0.023	0.046	    0.260
ENSG00000229715	0.039	0.046	    2.712
ENSG00000259118	0.025	0.046	   -0.037
ENSG00000120215	0.034	0.046	   -3.254
ENSG00000102893	0.024	0.045	    0.000
ENSG00000100191	0.024	0.045	    2.768
ENSG00000226450	0.029	0.045	    3.631
ENSG00000175697	0.031	0.045	    2.048
ENSG00000058056	0.039	0.044	    2.511
ENSG00000163576	0.044	0.044	    3.094
ENSG00000051825	0.021	0.044	    0.846
ENSG00000130921	0.019	0.044	   -2.454
ENSG00000224660	0.037	0.044	    0.514
ENSG00000111788	0.039	0.044	    0.397
ENSG00000258890	0.026	0.044	   -3.522
ENSG00000187838	0.026	0.043	    3.412
ENSG00000105501	0.043	0.043	   -3.251
ENSG00000132554	0.035	0.043	    4.061
ENSG00000141086	0.017	0.043	   -3.945
ENSG00000132356	0.038	0.042	    3.118
ENSG00000171858	0.025	0.042	   -1.745
ENSG00000125968	0.022	0.042	   -3.280
ENSG00000129993	0.026	0.042	   -1.295
ENSG00000250708	0.041	0.041	    2.149
