Gene	GRCP	GLCP	TWAS_z
ENSG00000166275	0.901	0.984	    0.000
ENSG00000211638	0.973	0.973	    0.203
ENSG00000183207	0.236	0.791	   -2.461
ENSG00000169220	0.753	0.774	   -0.981
ENSG00000274080	0.695	0.764	    8.255
ENSG00000009950	0.622	0.742	    8.047
ENSG00000183066	0.571	0.726	    0.000
ENSG00000116489	0.521	0.715	   -6.530
ENSG00000198890	0.588	0.687	   -4.451
ENSG00000146215	0.084	0.667	    5.103
ENSG00000130518	0.278	0.633	   -0.296
ENSG00000141519	0.569	0.627	    4.133
ENSG00000049245	0.110	0.598	   -5.681
ENSG00000115216	0.005	0.571	   -4.987
ENSG00000173145	0.260	0.560	    4.144
ENSG00000141504	0.319	0.552	   -3.369
ENSG00000243955	0.454	0.525	    3.732
ENSG00000115525	0.436	0.511	   -4.809
ENSG00000255568	0.400	0.497	   -1.088
ENSG00000166262	0.109	0.429	   -1.532
ENSG00000171700	0.398	0.426	    3.796
ENSG00000272564	0.184	0.399	   -4.972
ENSG00000067369	0.145	0.387	    2.592
ENSG00000143622	0.250	0.366	    4.603
ENSG00000159692	0.082	0.355	    3.837
ENSG00000211649	0.271	0.343	    4.346
ENSG00000260274	0.235	0.323	   -4.974
ENSG00000236493	0.184	0.268	    4.875
ENSG00000267769	0.224	0.266	   -3.461
ENSG00000214842	0.098	0.262	   -3.475
ENSG00000140400	0.201	0.243	   -4.930
ENSG00000262879	0.147	0.238	    2.428
ENSG00000176927	0.092	0.225	   -3.646
ENSG00000173457	0.188	0.210	   -4.890
ENSG00000225693	0.067	0.204	    2.247
ENSG00000267980	0.178	0.202	    1.314
ENSG00000188549	0.112	0.199	    7.227
ENSG00000223382	0.199	0.199	   -1.907
ENSG00000215347	0.151	0.199	   -2.883
ENSG00000260778	0.165	0.194	    4.104
ENSG00000167671	0.174	0.191	    1.697
ENSG00000205937	0.135	0.185	   -1.835
ENSG00000162337	0.159	0.185	    4.015
ENSG00000115241	0.001	0.184	   -2.693
ENSG00000136830	0.037	0.180	   -2.248
ENSG00000125510	0.154	0.176	    3.516
ENSG00000110768	0.151	0.166	   -3.942
ENSG00000112249	0.165	0.165	   -0.141
ENSG00000183255	0.081	0.161	   -3.188
ENSG00000167670	0.017	0.158	    2.139
ENSG00000206573	0.114	0.154	   -3.482
ENSG00000137310	0.001	0.143	    1.698
ENSG00000161999	0.076	0.139	    3.332
ENSG00000156171	0.130	0.137	    3.235
ENSG00000204536	0.001	0.137	   -1.978
ENSG00000136950	0.077	0.136	   -3.504
ENSG00000256940	0.121	0.134	   -5.002
ENSG00000152219	0.118	0.131	    2.833
ENSG00000119471	0.110	0.130	   -2.687
ENSG00000189077	0.033	0.128	    3.179
ENSG00000197165	0.033	0.127	    2.951
ENSG00000220614	0.017	0.127	    0.864
ENSG00000226752	0.123	0.123	   -3.656
ENSG00000138600	0.052	0.116	    0.833
ENSG00000173486	0.108	0.116	   -5.059
ENSG00000196810	0.068	0.115	    0.065
ENSG00000179826	0.101	0.114	   -3.532
ENSG00000244067	0.016	0.112	   -4.447
ENSG00000249664	0.085	0.107	   -3.369
ENSG00000236184	0.030	0.106	    3.317
ENSG00000166347	0.037	0.105	   -6.241
ENSG00000232504	0.028	0.105	   -1.226
ENSG00000134265	0.103	0.103	    0.000
ENSG00000165185	0.050	0.102	   -3.261
ENSG00000104826	0.045	0.101	    5.099
ENSG00000173930	0.085	0.099	    3.634
ENSG00000074603	0.058	0.098	    3.704
ENSG00000173511	0.090	0.095	   -4.755
ENSG00000169599	0.056	0.092	    2.228
ENSG00000090686	0.055	0.092	   -3.826
ENSG00000095261	0.075	0.090	    3.018
ENSG00000104812	0.013	0.086	    4.666
ENSG00000271862	0.058	0.086	   -3.407
ENSG00000035687	0.073	0.085	    0.264
ENSG00000165804	0.073	0.084	   -1.167
ENSG00000134077	0.071	0.084	    0.596
ENSG00000259531	0.014	0.083	    2.972
ENSG00000109320	0.054	0.083	    4.204
ENSG00000166762	0.021	0.081	    0.229
ENSG00000263272	0.036	0.080	   -1.760
ENSG00000257488	0.061	0.077	    3.993
ENSG00000171467	0.039	0.076	   -0.452
ENSG00000138795	0.009	0.074	   -5.447
ENSG00000244515	0.037	0.074	    0.654
ENSG00000163251	0.050	0.074	   -1.132
ENSG00000166963	0.025	0.073	    3.572
ENSG00000240021	0.069	0.072	    2.927
ENSG00000235897	0.018	0.071	    1.348
ENSG00000150630	0.021	0.070	    5.368
ENSG00000140575	0.069	0.069	    0.511
ENSG00000108443	0.040	0.068	   -3.230
ENSG00000174695	0.019	0.068	   -3.056
ENSG00000198920	0.057	0.068	    3.258
ENSG00000166170	0.064	0.068	    3.366
ENSG00000270761	0.045	0.067	    0.500
ENSG00000172340	0.065	0.066	    3.226
ENSG00000238083	0.002	0.062	   -1.998
ENSG00000205643	0.033	0.062	   -4.545
ENSG00000205763	0.052	0.062	    2.001
ENSG00000242741	0.019	0.062	    2.669
ENSG00000198791	0.037	0.061	    3.132
ENSG00000224331	0.024	0.060	    2.937
ENSG00000226450	0.025	0.060	    3.441
ENSG00000211648	0.048	0.059	   -1.881
ENSG00000030110	0.040	0.059	    0.000
ENSG00000275601	0.030	0.059	   -0.908
ENSG00000111788	0.051	0.059	    0.000
ENSG00000257660	0.029	0.057	   -4.205
ENSG00000166788	0.044	0.057	    3.993
ENSG00000240563	0.051	0.056	   -1.823
ENSG00000107593	0.016	0.056	    2.257
ENSG00000127948	0.055	0.055	    2.786
ENSG00000100219	0.035	0.055	    0.000
ENSG00000229108	0.048	0.053	    0.536
ENSG00000254272	0.040	0.053	   -0.172
ENSG00000204525	0.052	0.052	    4.389
ENSG00000196584	0.021	0.052	   -2.756
ENSG00000258230	0.051	0.051	   -3.181
ENSG00000227370	0.028	0.050	    3.729
ENSG00000179163	0.036	0.050	    3.179
ENSG00000243176	0.016	0.050	    2.973
ENSG00000223572	0.031	0.050	    0.000
ENSG00000100429	0.049	0.050	   -2.930
ENSG00000273619	0.032	0.049	   -0.599
ENSG00000187024	0.048	0.048	    3.080
ENSG00000154479	0.033	0.048	   -0.164
ENSG00000163576	0.048	0.048	    3.099
ENSG00000141084	0.021	0.047	   -0.185
ENSG00000272674	0.047	0.047	    0.000
ENSG00000249839	0.023	0.047	    2.186
