Gene	GRCP	GLCP	TWAS_z
ENSG00000211638	0.975	0.975	    0.000
ENSG00000113231	0.943	0.968	   -7.008
ENSG00000169223	0.680	0.923	    5.748
ENSG00000090686	0.482	0.853	   -4.521
ENSG00000166275	0.785	0.804	    6.795
ENSG00000127948	0.008	0.802	    3.462
ENSG00000125510	0.791	0.794	    3.446
ENSG00000099219	0.645	0.792	    0.187
ENSG00000214842	0.313	0.781	   -4.233
ENSG00000153094	0.196	0.776	   -2.987
ENSG00000163032	0.442	0.773	   -3.757
ENSG00000183066	0.578	0.725	   -0.952
ENSG00000244067	0.386	0.706	   -4.376
ENSG00000198890	0.600	0.690	   -4.535
ENSG00000061273	0.473	0.671	    2.394
ENSG00000104827	0.275	0.668	    3.306
ENSG00000009950	0.301	0.661	    7.544
ENSG00000100290	0.595	0.655	    1.205
ENSG00000166347	0.381	0.655	  -12.116
ENSG00000108924	0.575	0.643	   -5.142
ENSG00000090316	0.381	0.637	    1.650
ENSG00000171467	0.437	0.614	    6.978
ENSG00000236493	0.547	0.612	    5.166
ENSG00000116062	0.471	0.593	   -5.239
ENSG00000034677	0.409	0.579	    2.872
ENSG00000259584	0.052	0.574	   11.495
ENSG00000141519	0.418	0.571	    3.680
ENSG00000171700	0.289	0.565	    3.690
ENSG00000116489	0.350	0.564	   -6.199
ENSG00000183207	0.504	0.534	    4.366
ENSG00000173145	0.343	0.508	    4.632
ENSG00000169220	0.391	0.500	   -0.981
ENSG00000115525	0.221	0.499	   -4.873
ENSG00000130270	0.174	0.480	   -0.228
ENSG00000260778	0.173	0.472	    3.765
ENSG00000143622	0.382	0.458	    4.635
ENSG00000256940	0.429	0.429	   -5.081
ENSG00000143178	0.151	0.422	   -0.515
ENSG00000173457	0.199	0.420	   -4.732
ENSG00000280374	0.262	0.404	    1.325
ENSG00000272168	0.397	0.402	    0.225
ENSG00000116584	0.265	0.397	   -5.042
ENSG00000205853	0.281	0.378	   -1.034
ENSG00000260274	0.258	0.371	   -5.020
ENSG00000267769	0.323	0.370	   -3.491
ENSG00000140575	0.365	0.366	    1.436
ENSG00000173486	0.236	0.346	   -4.799
ENSG00000171695	0.161	0.344	    3.779
ENSG00000129167	0.340	0.340	    0.737
ENSG00000140323	0.080	0.329	    4.678
ENSG00000169371	0.088	0.321	   -4.662
ENSG00000227508	0.317	0.317	   -4.026
ENSG00000174485	0.291	0.317	    4.148
ENSG00000090054	0.196	0.316	   -3.317
ENSG00000162777	0.276	0.300	   -1.419
ENSG00000205937	0.240	0.294	    3.794
ENSG00000204536	0.003	0.281	   -1.046
ENSG00000169504	0.232	0.274	   -0.107
ENSG00000125952	0.191	0.274	   -3.914
ENSG00000267980	0.227	0.253	   -0.946
ENSG00000196118	0.232	0.250	   -3.879
ENSG00000183255	0.159	0.247	   -3.565
ENSG00000140400	0.207	0.247	   -4.852
ENSG00000243955	0.153	0.245	    3.848
ENSG00000206573	0.238	0.244	   -3.415
ENSG00000108559	0.129	0.244	    3.474
ENSG00000205581	0.128	0.242	   -3.989
ENSG00000064886	0.237	0.237	    4.043
ENSG00000113739	0.236	0.236	    4.012
ENSG00000254419	0.230	0.231	    3.940
ENSG00000146039	0.061	0.222	    2.062
ENSG00000225693	0.070	0.220	    0.000
ENSG00000162512	0.210	0.220	   -0.576
ENSG00000257086	0.024	0.217	   -4.503
ENSG00000137074	0.069	0.214	    3.328
ENSG00000125089	0.191	0.210	    2.154
ENSG00000181396	0.208	0.208	   -2.362
ENSG00000263142	0.185	0.206	   -3.933
ENSG00000120215	0.155	0.204	   -0.574
ENSG00000159761	0.179	0.196	    2.665
ENSG00000128928	0.034	0.195	    5.881
ENSG00000272564	0.079	0.186	    3.381
ENSG00000173726	0.083	0.183	   -3.600
ENSG00000110768	0.150	0.179	   -4.035
ENSG00000232987	0.086	0.177	   -3.245
ENSG00000179979	0.173	0.173	   -3.502
ENSG00000185658	0.152	0.167	   -2.044
ENSG00000077782	0.126	0.166	   -3.701
ENSG00000122543	0.130	0.160	    3.704
ENSG00000104812	0.065	0.158	    0.000
ENSG00000242028	0.040	0.157	   -3.678
ENSG00000226450	0.054	0.153	    3.779
ENSG00000112249	0.127	0.153	   -0.272
ENSG00000169599	0.071	0.150	    0.000
ENSG00000226752	0.131	0.149	   -3.727
ENSG00000100330	0.110	0.149	    0.305
ENSG00000095261	0.126	0.142	    0.000
ENSG00000165476	0.120	0.141	    7.228
ENSG00000141084	0.121	0.137	    0.000
ENSG00000092470	0.071	0.136	   -3.605
ENSG00000156171	0.135	0.136	    3.451
ENSG00000160172	0.053	0.135	    3.129
ENSG00000108433	0.121	0.135	    3.562
ENSG00000198380	0.131	0.132	   -2.592
ENSG00000155792	0.081	0.132	    2.832
ENSG00000245017	0.128	0.128	   -0.130
ENSG00000223865	0.064	0.125	    1.165
ENSG00000075151	0.024	0.123	    3.250
ENSG00000138600	0.033	0.120	   -3.130
ENSG00000254343	0.070	0.118	    3.270
ENSG00000106780	0.070	0.118	   -3.458
ENSG00000249664	0.094	0.115	   -3.367
ENSG00000236184	0.036	0.114	    3.341
ENSG00000136950	0.095	0.113	   -3.424
ENSG00000149743	0.069	0.113	   -2.239
ENSG00000167670	0.069	0.111	    1.548
ENSG00000121440	0.094	0.110	    4.611
ENSG00000131196	0.108	0.110	    3.657
ENSG00000198791	0.109	0.110	   -0.650
ENSG00000197165	0.082	0.109	    3.193
ENSG00000167671	0.066	0.109	    0.632
ENSG00000205763	0.107	0.107	   -2.242
ENSG00000230490	0.085	0.107	   -3.323
ENSG00000129197	0.096	0.103	    3.609
ENSG00000120802	0.103	0.103	    1.169
ENSG00000149177	0.097	0.103	   -3.294
ENSG00000186660	0.033	0.101	    2.940
ENSG00000168405	0.070	0.099	    1.148
ENSG00000139372	0.097	0.098	   -0.210
ENSG00000177971	0.065	0.097	    0.000
ENSG00000196810	0.074	0.096	    0.045
ENSG00000160336	0.078	0.095	   -2.108
ENSG00000156603	0.066	0.095	   -1.156
ENSG00000166788	0.087	0.094	    3.838
ENSG00000100345	0.094	0.094	   -4.227
ENSG00000171824	0.061	0.094	    0.324
