Gene	GRCP	GLCP	TWAS_z
ENSG00000166275	0.869	0.980	    0.000
ENSG00000211638	0.966	0.966	    0.000
ENSG00000115884	0.610	0.942	    7.666
ENSG00000116062	0.729	0.932	   -5.330
ENSG00000153094	0.006	0.904	    4.551
ENSG00000169220	0.778	0.780	   -0.895
ENSG00000073417	0.429	0.741	    0.000
ENSG00000009950	0.690	0.723	    8.104
ENSG00000116489	0.241	0.691	   -6.320
ENSG00000198890	0.530	0.671	   -4.623
ENSG00000174233	0.537	0.607	   -2.569
ENSG00000090316	0.165	0.602	    1.715
ENSG00000183066	0.482	0.582	    1.553
ENSG00000141519	0.493	0.526	    3.872
ENSG00000183207	0.090	0.496	    0.000
ENSG00000240021	0.097	0.469	    0.000
ENSG00000255568	0.349	0.467	   -0.885
ENSG00000057252	0.182	0.454	   -7.071
ENSG00000171700	0.443	0.443	    3.436
ENSG00000137310	0.007	0.438	    4.484
ENSG00000163032	0.394	0.431	   -4.240
ENSG00000173486	0.344	0.402	   -5.114
ENSG00000211649	0.329	0.401	    4.419
ENSG00000260274	0.282	0.386	   -5.216
ENSG00000260778	0.354	0.377	    4.065
ENSG00000274080	0.108	0.376	    7.927
ENSG00000140320	0.019	0.335	    1.296
ENSG00000205853	0.215	0.334	    0.000
ENSG00000152804	0.255	0.333	    5.271
ENSG00000126432	0.016	0.320	    0.000
ENSG00000263142	0.293	0.313	   -3.806
ENSG00000166800	0.147	0.287	   -2.360
ENSG00000232075	0.077	0.287	   -3.568
ENSG00000228035	0.137	0.284	   -0.406
ENSG00000267769	0.221	0.272	   -3.460
ENSG00000173145	0.099	0.258	    3.311
ENSG00000130270	0.117	0.254	   -1.058
ENSG00000198719	0.115	0.251	    3.750
ENSG00000205937	0.235	0.250	    0.000
ENSG00000214226	0.119	0.240	   -3.624
ENSG00000213963	0.141	0.240	    1.089
ENSG00000178821	0.193	0.237	   -3.781
ENSG00000174156	0.083	0.233	   -3.978
ENSG00000268655	0.097	0.232	    0.000
ENSG00000206869	0.062	0.228	    1.089
ENSG00000127952	0.227	0.227	    2.220
ENSG00000103549	0.145	0.226	    4.786
ENSG00000156873	0.080	0.219	   -4.669
ENSG00000225693	0.051	0.214	   -3.352
ENSG00000067369	0.056	0.212	    2.625
ENSG00000256940	0.180	0.210	   -5.104
ENSG00000267980	0.169	0.207	   -0.951
ENSG00000183527	0.137	0.205	    4.211
ENSG00000140400	0.152	0.202	   -4.924
ENSG00000128928	0.099	0.197	    0.783
ENSG00000183255	0.103	0.194	    1.257
ENSG00000127948	0.110	0.194	    4.530
ENSG00000074603	0.119	0.191	    3.811
ENSG00000090686	0.072	0.185	   -2.443
ENSG00000197165	0.117	0.173	    2.585
ENSG00000214113	0.060	0.170	   -0.032
ENSG00000259359	0.145	0.170	   -0.354
ENSG00000262879	0.165	0.166	    2.418
ENSG00000181396	0.158	0.158	   -1.323
ENSG00000271755	0.040	0.157	   -2.353
ENSG00000243955	0.111	0.151	    3.874
ENSG00000167671	0.133	0.150	    1.303
ENSG00000110768	0.127	0.150	   -3.963
ENSG00000143622	0.127	0.149	    4.590
ENSG00000223382	0.138	0.138	   -1.162
ENSG00000176927	0.051	0.137	   -3.583
ENSG00000112249	0.125	0.126	   -0.079
ENSG00000141084	0.061	0.125	    0.000
ENSG00000213347	0.061	0.123	    0.000
ENSG00000206573	0.094	0.122	   -3.469
ENSG00000172250	0.082	0.121	    0.000
ENSG00000136935	0.096	0.116	    1.316
ENSG00000256053	0.105	0.116	    2.919
ENSG00000214842	0.078	0.115	   -3.950
ENSG00000226752	0.098	0.113	   -3.700
ENSG00000115525	0.048	0.110	   -4.693
ENSG00000134265	0.097	0.109	   -3.002
ENSG00000165804	0.096	0.107	   -0.967
ENSG00000108788	0.107	0.107	    3.563
ENSG00000125510	0.106	0.106	    3.429
ENSG00000108433	0.054	0.106	    3.422
ENSG00000156171	0.102	0.103	    3.809
ENSG00000227201	0.058	0.102	    1.315
ENSG00000155792	0.050	0.100	    3.292
ENSG00000254343	0.045	0.096	    3.326
ENSG00000086504	0.049	0.096	   -2.860
ENSG00000105976	0.052	0.095	   -3.101
ENSG00000185559	0.091	0.095	    2.127
ENSG00000107829	0.014	0.094	   -2.121
ENSG00000095261	0.092	0.092	    0.000
ENSG00000249664	0.066	0.091	   -3.358
ENSG00000167670	0.075	0.089	   -1.722
ENSG00000164610	0.072	0.088	   -3.548
ENSG00000166788	0.077	0.088	    3.941
ENSG00000271862	0.061	0.086	   -3.307
ENSG00000077782	0.060	0.085	   -3.674
ENSG00000164144	0.055	0.085	    3.014
ENSG00000129197	0.048	0.085	    0.000
ENSG00000156603	0.047	0.083	   -0.021
ENSG00000160336	0.079	0.083	   -1.894
ENSG00000243176	0.029	0.082	    3.190
ENSG00000274737	0.053	0.082	   -2.417
ENSG00000082701	0.040	0.082	   -3.313
ENSG00000203999	0.055	0.082	   -7.234
ENSG00000091136	0.075	0.080	   -1.837
ENSG00000224557	0.022	0.079	    2.666
ENSG00000075234	0.006	0.078	   -1.238
ENSG00000125703	0.047	0.076	    3.394
ENSG00000273055	0.075	0.075	   -3.122
ENSG00000205763	0.075	0.075	    0.746
ENSG00000149782	0.075	0.075	    1.821
ENSG00000129925	0.056	0.073	   -0.255
ENSG00000171824	0.045	0.072	    0.047
ENSG00000198791	0.072	0.072	    3.104
ENSG00000268364	0.070	0.071	    1.351
ENSG00000263220	0.016	0.070	   -1.676
ENSG00000162576	0.070	0.070	    3.376
ENSG00000198920	0.048	0.069	    3.263
ENSG00000066135	0.021	0.068	    3.056
ENSG00000138801	0.021	0.067	   -0.449
ENSG00000237356	0.066	0.067	   -3.276
ENSG00000259520	0.018	0.066	   -0.701
ENSG00000241954	0.065	0.065	   -0.228
ENSG00000244515	0.028	0.062	    0.000
ENSG00000232504	0.026	0.062	    0.271
ENSG00000245017	0.050	0.061	    0.000
ENSG00000140575	0.059	0.060	    1.213
ENSG00000167291	0.054	0.059	   -1.801
ENSG00000126215	0.042	0.059	    3.293
ENSG00000137710	0.039	0.059	    0.000
ENSG00000169071	0.038	0.059	    0.000
ENSG00000125968	0.021	0.058	    0.556
ENSG00000139714	0.027	0.058	    3.135
ENSG00000169371	0.056	0.057	   -4.526
ENSG00000182782	0.028	0.057	    0.000
ENSG00000270761	0.038	0.057	    0.517
ENSG00000092439	0.023	0.057	    0.000
ENSG00000196357	0.031	0.057	   -3.559
ENSG00000068078	0.031	0.056	    2.530
ENSG00000188603	0.014	0.055	    2.885
ENSG00000263272	0.021	0.055	    2.754
ENSG00000168936	0.029	0.055	    1.156
ENSG00000205544	0.041	0.055	   -0.056
ENSG00000175697	0.042	0.054	   -3.587
ENSG00000175193	0.005	0.054	    3.037
ENSG00000155366	0.013	0.054	   -4.773
ENSG00000279453	0.047	0.054	   -0.034
ENSG00000249839	0.024	0.053	    0.000
ENSG00000030110	0.048	0.052	    0.000
ENSG00000184227	0.040	0.052	    0.482
ENSG00000250708	0.023	0.052	   -0.248
ENSG00000254485	0.048	0.052	    3.059
ENSG00000120215	0.037	0.052	   -1.201
ENSG00000153551	0.039	0.051	    0.950
ENSG00000159692	0.022	0.051	    3.839
ENSG00000122484	0.032	0.051	    4.213
ENSG00000272564	0.019	0.050	   -4.720
ENSG00000140285	0.014	0.050	    3.532
ENSG00000051825	0.015	0.048	    3.108
ENSG00000169957	0.005	0.048	    4.117
ENSG00000166170	0.038	0.047	    2.898
ENSG00000096654	0.042	0.047	    3.838
ENSG00000100429	0.047	0.047	    0.000
ENSG00000140265	0.038	0.047	    0.000
ENSG00000247595	0.040	0.047	   -0.486
ENSG00000227321	0.034	0.046	    0.500
ENSG00000242485	0.040	0.046	   -3.000
ENSG00000108821	0.045	0.046	   -3.580
ENSG00000237289	0.039	0.046	   -3.264
ENSG00000154479	0.032	0.046	   -1.797
ENSG00000240509	0.045	0.045	    3.855
ENSG00000109047	0.010	0.045	    0.000
ENSG00000137860	0.018	0.044	    0.316
ENSG00000151611	0.043	0.044	   -0.675
ENSG00000111877	0.005	0.044	    7.620
ENSG00000152219	0.024	0.044	    2.221
ENSG00000275636	0.008	0.043	   11.127
ENSG00000236493	0.011	0.043	    3.894
ENSG00000103966	0.028	0.042	   -1.509
ENSG00000134077	0.042	0.042	    0.048
ENSG00000223572	0.027	0.042	    0.262
ENSG00000279145	0.039	0.042	    3.149
ENSG00000132356	0.042	0.042	    3.150
ENSG00000111788	0.036	0.041	    0.000
ENSG00000146535	0.040	0.041	    3.743
ENSG00000130396	0.011	0.041	    2.876
ENSG00000135299	0.041	0.041	   -0.304
ENSG00000108443	0.028	0.041	   -3.026
ENSG00000196810	0.009	0.041	    0.204
ENSG00000119414	0.031	0.041	    3.037
ENSG00000157617	0.034	0.040	    0.335
ENSG00000161999	0.033	0.040	    3.112
ENSG00000127483	0.008	0.040	   -4.066
ENSG00000225973	0.038	0.039	    2.054
ENSG00000136830	0.014	0.039	    2.684
ENSG00000130856	0.020	0.039	   -2.857
ENSG00000278058	0.037	0.039	   -1.491
ENSG00000232630	0.014	0.039	   -2.849
ENSG00000175105	0.011	0.039	    2.776
ENSG00000120802	0.032	0.039	   -0.535
ENSG00000266074	0.039	0.039	   -1.688
ENSG00000271265	0.030	0.039	    4.177
ENSG00000136521	0.026	0.039	   -0.838
ENSG00000025293	0.020	0.039	   -2.267
ENSG00000251022	0.031	0.038	   -3.070
ENSG00000257660	0.015	0.038	   -3.660
ENSG00000156858	0.008	0.037	   -0.146
ENSG00000254855	0.026	0.037	    1.350
ENSG00000111713	0.019	0.037	   -3.389
ENSG00000156853	0.002	0.037	    0.228
