Gene	GRCP	GLCP	TWAS_z
ENSG00000141338	0.977	0.977	   -5.600
ENSG00000166275	0.625	0.811	    5.178
ENSG00000151632	0.503	0.805	   -1.770
ENSG00000227038	0.065	0.694	    3.806
ENSG00000163032	0.600	0.688	    5.015
ENSG00000169220	0.650	0.651	   -0.981
ENSG00000116489	0.249	0.635	   -6.513
ENSG00000214435	0.613	0.629	    0.000
ENSG00000206043	0.115	0.622	    1.763
ENSG00000188585	0.577	0.620	    0.000
ENSG00000152804	0.495	0.583	    5.208
ENSG00000100167	0.346	0.575	    1.226
ENSG00000227802	0.068	0.561	   -3.420
ENSG00000049245	0.066	0.552	   -5.366
ENSG00000183066	0.346	0.501	    4.503
ENSG00000183207	0.188	0.474	    4.738
ENSG00000034677	0.207	0.473	    3.988
ENSG00000171700	0.473	0.473	    3.544
ENSG00000061273	0.264	0.471	    4.058
ENSG00000205581	0.179	0.439	    4.778
ENSG00000215347	0.265	0.429	   -0.534
ENSG00000254606	0.149	0.416	   -1.148
ENSG00000255568	0.286	0.402	    4.619
ENSG00000238141	0.292	0.392	   -0.627
ENSG00000103381	0.206	0.383	   -4.160
ENSG00000146039	0.128	0.383	   -4.896
ENSG00000253399	0.014	0.380	   -3.129
ENSG00000165804	0.311	0.378	    5.116
ENSG00000244067	0.247	0.365	   -2.048
ENSG00000242441	0.364	0.364	    4.628
ENSG00000090686	0.162	0.353	   -2.507
ENSG00000271265	0.222	0.348	    4.242
ENSG00000205643	0.304	0.332	   -7.448
ENSG00000268655	0.328	0.328	    0.772
ENSG00000143622	0.174	0.309	   -1.088
ENSG00000067369	0.072	0.309	   -3.347
ENSG00000090316	0.273	0.302	    1.675
ENSG00000049246	0.111	0.300	   -6.026
ENSG00000163959	0.130	0.288	   -1.833
ENSG00000138092	0.059	0.269	   -5.090
ENSG00000105650	0.076	0.266	    4.102
ENSG00000166171	0.047	0.250	   -0.248
ENSG00000128928	0.106	0.247	    1.570
ENSG00000237154	0.123	0.246	    3.582
ENSG00000171703	0.097	0.232	    0.127
ENSG00000149781	0.043	0.232	   -4.404
ENSG00000163982	0.158	0.230	    3.937
ENSG00000205937	0.107	0.224	   -2.662
ENSG00000235701	0.101	0.223	   -0.954
ENSG00000084093	0.063	0.222	   -4.632
ENSG00000205702	0.202	0.220	    4.280
ENSG00000271820	0.206	0.207	   -4.085
ENSG00000231829	0.123	0.206	   -5.952
ENSG00000185658	0.041	0.205	    3.102
ENSG00000225693	0.032	0.204	    2.253
ENSG00000137074	0.030	0.202	    3.330
ENSG00000260651	0.061	0.200	   -4.198
ENSG00000280374	0.079	0.198	    1.334
ENSG00000196118	0.108	0.198	   -4.697
ENSG00000250357	0.109	0.189	    4.450
ENSG00000271755	0.101	0.182	    0.000
ENSG00000132406	0.115	0.180	    1.448
ENSG00000233441	0.015	0.178	    3.036
ENSG00000259618	0.037	0.178	   -2.271
ENSG00000232021	0.029	0.173	   -2.579
ENSG00000267244	0.094	0.172	   -2.519
ENSG00000107937	0.092	0.172	   -4.985
ENSG00000254093	0.026	0.171	    4.345
ENSG00000259378	0.064	0.169	   -1.319
ENSG00000141985	0.104	0.167	    2.240
ENSG00000115520	0.122	0.166	    4.293
ENSG00000205549	0.163	0.163	   -2.756
ENSG00000249261	0.156	0.161	   -8.371
ENSG00000161960	0.058	0.160	   -3.163
ENSG00000224557	0.017	0.160	    3.278
ENSG00000129197	0.103	0.158	    0.000
ENSG00000103549	0.096	0.156	    4.785
ENSG00000229569	0.087	0.152	   -3.907
ENSG00000138115	0.059	0.150	   -5.175
ENSG00000105649	0.123	0.150	    1.022
ENSG00000273366	0.125	0.146	    4.279
ENSG00000178385	0.035	0.146	    4.758
ENSG00000070501	0.110	0.145	   -1.161
ENSG00000184999	0.079	0.144	   10.079
ENSG00000275756	0.048	0.142	    0.000
ENSG00000140365	0.049	0.136	   -4.929
ENSG00000234537	0.025	0.135	   -1.999
ENSG00000138600	0.082	0.135	    0.000
ENSG00000260778	0.097	0.134	    3.986
ENSG00000130943	0.009	0.134	   -6.505
ENSG00000227508	0.133	0.133	   -4.091
ENSG00000197165	0.080	0.133	    1.541
ENSG00000007341	0.048	0.133	   -4.075
ENSG00000140398	0.037	0.132	   -4.929
ENSG00000267980	0.101	0.131	   -3.344
ENSG00000242028	0.028	0.129	   -3.582
ENSG00000140575	0.127	0.127	    0.873
ENSG00000125089	0.102	0.124	    1.061
ENSG00000163945	0.041	0.121	   -3.334
ENSG00000166963	0.021	0.120	   -3.647
ENSG00000077782	0.067	0.120	   -3.567
ENSG00000120137	0.108	0.119	   -4.146
ENSG00000232656	0.007	0.117	    2.618
ENSG00000255524	0.008	0.116	   -0.573
ENSG00000214226	0.063	0.112	   -3.701
ENSG00000138593	0.084	0.111	   -0.277
ENSG00000167264	0.066	0.110	   -0.966
ENSG00000263272	0.061	0.109	    3.191
ENSG00000197272	0.020	0.108	    3.099
ENSG00000226320	0.090	0.107	    2.632
ENSG00000100197	0.106	0.107	    3.013
ENSG00000260378	0.043	0.106	    1.054
ENSG00000243955	0.050	0.105	    3.866
ENSG00000242068	0.021	0.105	   -0.328
ENSG00000141084	0.043	0.103	   -1.060
ENSG00000110768	0.060	0.102	   -3.931
ENSG00000228559	0.059	0.100	   -2.852
ENSG00000140259	0.034	0.099	   -3.832
ENSG00000104313	0.074	0.099	   -3.864
ENSG00000267769	0.094	0.098	    2.180
ENSG00000223614	0.012	0.097	    2.084
ENSG00000267011	0.072	0.096	    2.008
ENSG00000167671	0.093	0.096	   -3.734
ENSG00000162676	0.040	0.093	    2.176
ENSG00000088812	0.061	0.090	    3.806
ENSG00000140400	0.081	0.090	   -4.826
ENSG00000206573	0.052	0.089	   -3.373
ENSG00000272398	0.011	0.089	   -4.662
ENSG00000178919	0.048	0.088	   -3.411
ENSG00000142949	0.050	0.088	    3.672
ENSG00000160882	0.004	0.088	   -9.331
ENSG00000102901	0.038	0.086	   -3.774
ENSG00000280010	0.019	0.086	   -3.274
ENSG00000176046	0.023	0.085	    0.000
ENSG00000029725	0.021	0.081	   -0.228
ENSG00000261888	0.080	0.081	   -0.540
ENSG00000130518	0.062	0.081	    3.874
ENSG00000236778	0.030	0.080	   -3.276
ENSG00000109320	0.058	0.080	   -3.881
ENSG00000134259	0.048	0.079	    1.668
ENSG00000238181	0.023	0.078	    1.717
ENSG00000096654	0.036	0.077	   -2.844
ENSG00000243176	0.017	0.076	    2.816
ENSG00000233225	0.034	0.076	    3.510
ENSG00000112249	0.060	0.076	   -0.294
ENSG00000241954	0.070	0.075	    0.000
ENSG00000232504	0.015	0.074	    5.169
ENSG00000146047	0.028	0.074	    2.506
ENSG00000249105	0.023	0.072	    3.088
ENSG00000084676	0.044	0.072	   -4.988
ENSG00000156171	0.059	0.071	    2.805
ENSG00000249839	0.014	0.071	    2.171
ENSG00000253379	0.030	0.070	   -3.629
ENSG00000110756	0.028	0.067	    2.919
ENSG00000148842	0.005	0.067	   -6.419
ENSG00000213963	0.042	0.067	   -3.104
ENSG00000272564	0.018	0.067	   -0.376
ENSG00000176927	0.018	0.067	    2.580
ENSG00000273387	0.025	0.065	   -3.410
ENSG00000171695	0.064	0.064	    3.507
ENSG00000102870	0.027	0.063	   -4.538
ENSG00000108561	0.063	0.063	    3.667
ENSG00000171824	0.011	0.062	    0.093
ENSG00000119820	0.060	0.060	    1.711
ENSG00000167468	0.022	0.060	   -3.536
ENSG00000177096	0.059	0.059	   -2.032
ENSG00000182541	0.028	0.059	   -0.700
ENSG00000258747	0.014	0.056	    2.193
ENSG00000242689	0.024	0.056	   -1.384
ENSG00000168405	0.024	0.056	   -1.652
ENSG00000152219	0.048	0.056	    3.326
ENSG00000236896	0.043	0.055	   -3.502
ENSG00000267631	0.021	0.054	    0.369
ENSG00000259097	0.049	0.054	    5.482
ENSG00000215440	0.028	0.054	   -3.717
ENSG00000226235	0.033	0.053	   -3.475
ENSG00000182057	0.052	0.053	    2.680
ENSG00000259520	0.014	0.053	   -1.774
ENSG00000260000	0.039	0.053	   -0.415
ENSG00000145242	0.014	0.053	    2.944
ENSG00000176890	0.025	0.052	   -1.953
ENSG00000229715	0.041	0.052	    3.282
ENSG00000275431	0.003	0.052	    0.000
ENSG00000074696	0.051	0.051	    3.860
ENSG00000110031	0.007	0.051	   -3.216
ENSG00000108559	0.045	0.051	    0.000
ENSG00000108433	0.028	0.051	    3.557
ENSG00000148795	0.001	0.050	    1.381
ENSG00000211640	0.025	0.049	   -3.734
ENSG00000230585	0.012	0.049	   -2.933
ENSG00000139714	0.038	0.048	    3.055
ENSG00000236184	0.007	0.048	    3.327
ENSG00000137822	0.019	0.048	   -3.336
ENSG00000233903	0.023	0.048	    3.658
ENSG00000214842	0.018	0.048	   -2.563
ENSG00000108443	0.018	0.047	   -3.207
ENSG00000126215	0.026	0.047	    3.246
ENSG00000233978	0.011	0.047	    4.703
ENSG00000184661	0.018	0.047	    3.125
ENSG00000213064	0.013	0.046	    2.577
ENSG00000226676	0.016	0.046	    1.325
ENSG00000213707	0.043	0.046	    1.300
ENSG00000120215	0.023	0.046	   -3.914
ENSG00000185559	0.026	0.046	    3.679
ENSG00000163660	0.012	0.045	    3.134
ENSG00000272674	0.043	0.045	    2.809
ENSG00000132153	0.014	0.045	   -3.120
ENSG00000253695	0.005	0.045	   -2.736
ENSG00000248747	0.002	0.045	   -2.414
ENSG00000170236	0.037	0.044	    3.906
ENSG00000132256	0.015	0.044	   -0.932
ENSG00000196810	0.028	0.044	   -0.005
ENSG00000183255	0.025	0.044	    0.000
ENSG00000166135	0.008	0.043	   -0.058
ENSG00000072736	0.020	0.043	   -0.502
ENSG00000226849	0.030	0.043	   -3.226
ENSG00000111788	0.023	0.042	    1.421
ENSG00000226752	0.040	0.042	   -0.579
ENSG00000073417	0.032	0.042	   -0.335
ENSG00000255801	0.027	0.042	    1.959
ENSG00000279114	0.026	0.041	   -2.179
ENSG00000091704	0.022	0.041	   -3.008
ENSG00000091136	0.036	0.041	   -1.842
ENSG00000156509	0.006	0.041	    2.651
ENSG00000263142	0.019	0.041	    0.000
ENSG00000227370	0.016	0.041	    3.053
ENSG00000129167	0.028	0.041	    3.659
ENSG00000104812	0.024	0.041	    0.000
ENSG00000269958	0.023	0.041	    1.982
ENSG00000129221	0.009	0.040	   -2.720
ENSG00000125968	0.011	0.040	   -3.621
ENSG00000256249	0.014	0.040	    2.614
ENSG00000235705	0.021	0.040	   -1.452
ENSG00000065325	0.008	0.040	    0.458
ENSG00000234371	0.017	0.040	    3.296
ENSG00000166169	0.022	0.040	    0.000
ENSG00000280231	0.034	0.040	    0.000
ENSG00000160336	0.039	0.040	   -2.207
ENSG00000269949	0.006	0.040	    0.000
ENSG00000178078	0.009	0.039	   -3.386
ENSG00000224465	0.023	0.039	   -3.146
ENSG00000096717	0.011	0.039	    0.478
ENSG00000108578	0.011	0.039	   -0.168
ENSG00000144868	0.016	0.039	    3.048
ENSG00000086504	0.033	0.039	   -2.969
ENSG00000254094	0.015	0.039	    0.000
ENSG00000230613	0.008	0.039	   -3.310
ENSG00000214425	0.001	0.039	   -0.215
ENSG00000141096	0.020	0.038	   -0.937
ENSG00000155561	0.017	0.038	    2.645
ENSG00000174348	0.038	0.038	    3.770
ENSG00000198791	0.019	0.038	    3.167
ENSG00000233407	0.012	0.038	   -3.827
ENSG00000115841	0.038	0.038	   -0.793
ENSG00000278107	0.005	0.038	    2.669
ENSG00000224883	0.017	0.038	    1.348
ENSG00000236914	0.028	0.038	    3.824
ENSG00000102710	0.028	0.037	    0.031
ENSG00000054598	0.037	0.037	   -1.135
ENSG00000197530	0.031	0.037	   -2.191
ENSG00000188603	0.006	0.037	    2.540
ENSG00000164347	0.031	0.036	    0.999
ENSG00000142700	0.036	0.036	   -1.038
ENSG00000225626	0.023	0.036	   -2.878
ENSG00000122642	0.021	0.036	    1.481
ENSG00000090975	0.006	0.036	    2.957
ENSG00000182782	0.023	0.036	    0.000
ENSG00000120896	0.014	0.036	   -2.962
ENSG00000258977	0.029	0.036	   -1.497
ENSG00000173726	0.011	0.036	    2.705
ENSG00000180934	0.003	0.035	   -0.040
ENSG00000013810	0.015	0.035	   -3.061
ENSG00000147874	0.017	0.035	    3.304
ENSG00000162337	0.006	0.035	   -0.970
ENSG00000166763	0.014	0.034	   -3.545
ENSG00000160094	0.027	0.034	    3.185
ENSG00000236323	0.024	0.034	   -3.687
ENSG00000260404	0.018	0.034	    0.598
ENSG00000078674	0.013	0.034	   -2.829
ENSG00000167535	0.034	0.034	   -3.279
ENSG00000258487	0.015	0.034	    2.336
ENSG00000265394	0.010	0.034	   -0.658
ENSG00000254451	0.033	0.034	    3.244
ENSG00000164185	0.022	0.033	   -0.482
ENSG00000236976	0.003	0.033	    1.498
ENSG00000254762	0.033	0.033	   -3.137
ENSG00000254764	0.008	0.033	    2.790
ENSG00000009724	0.005	0.033	    0.307
ENSG00000125703	0.012	0.033	    2.962
ENSG00000161999	0.024	0.033	    3.166
ENSG00000137460	0.020	0.032	    3.151
ENSG00000184571	0.023	0.032	    3.147
ENSG00000198650	0.014	0.032	    3.016
ENSG00000259118	0.011	0.032	    0.410
ENSG00000255583	0.017	0.032	    0.000
ENSG00000170647	0.012	0.032	    0.401
ENSG00000125952	0.008	0.032	    2.094
ENSG00000196502	0.005	0.032	   -2.620
ENSG00000197563	0.011	0.032	    0.000
ENSG00000224273	0.008	0.032	    3.529
ENSG00000179826	0.019	0.031	   -3.152
ENSG00000235363	0.023	0.031	    3.322
ENSG00000215785	0.031	0.031	    1.707
ENSG00000273851	0.020	0.031	   -1.981
ENSG00000169660	0.031	0.031	    2.154
ENSG00000259539	0.004	0.031	   -3.064
ENSG00000173930	0.031	0.031	    3.649
ENSG00000177971	0.016	0.031	   -0.338
ENSG00000035681	0.009	0.031	   -1.750
ENSG00000174695	0.019	0.031	   -0.762
ENSG00000224626	0.015	0.031	   -2.616
ENSG00000149782	0.015	0.031	    0.369
ENSG00000154479	0.022	0.030	   -0.487
ENSG00000105254	0.007	0.030	   -1.994
ENSG00000211651	0.002	0.030	   -3.212
ENSG00000251187	0.028	0.030	    3.469
ENSG00000258230	0.021	0.030	   -3.238
ENSG00000178038	0.022	0.030	    2.865
ENSG00000243316	0.016	0.029	    2.680
ENSG00000279613	0.029	0.029	   -3.397
ENSG00000224397	0.004	0.029	   -1.356
ENSG00000167635	0.011	0.029	   -2.948
ENSG00000073150	0.027	0.029	   -0.480
ENSG00000253626	0.015	0.029	    0.876
ENSG00000240395	0.010	0.029	    3.037
ENSG00000092439	0.006	0.029	    0.045
ENSG00000223572	0.003	0.029	    2.188
ENSG00000272807	0.019	0.029	   -3.329
ENSG00000104635	0.010	0.028	   -2.823
ENSG00000130703	0.018	0.028	    3.002
ENSG00000100629	0.011	0.028	   -2.822
ENSG00000123240	0.015	0.028	   -0.316
ENSG00000106780	0.008	0.028	   -3.354
ENSG00000130702	0.020	0.028	   -3.191
ENSG00000175189	0.010	0.028	    2.726
ENSG00000228445	0.003	0.028	    0.125
ENSG00000212567	0.022	0.028	    2.993
ENSG00000075826	0.015	0.028	   -2.786
ENSG00000229671	0.028	0.028	    3.938
ENSG00000280120	0.006	0.027	    2.379
ENSG00000134255	0.027	0.027	   -1.660
ENSG00000229316	0.014	0.027	    3.708
ENSG00000175764	0.019	0.027	    0.283
ENSG00000100991	0.009	0.027	    0.356
ENSG00000145687	0.010	0.027	   -2.691
ENSG00000205359	0.021	0.027	    3.452
ENSG00000188573	0.014	0.026	   -3.522
ENSG00000249038	0.011	0.026	    3.082
ENSG00000113643	0.016	0.026	    0.503
ENSG00000279453	0.007	0.026	    0.000
ENSG00000187079	0.011	0.026	    1.210
ENSG00000135549	0.012	0.026	    2.981
ENSG00000108821	0.026	0.026	   -3.401
ENSG00000259982	0.010	0.026	    2.926
ENSG00000129158	0.004	0.026	   -2.560
ENSG00000233153	0.024	0.026	   -3.305
ENSG00000256282	0.015	0.026	   -3.470
ENSG00000100429	0.025	0.026	   -1.024
ENSG00000148572	0.008	0.025	    5.311
ENSG00000127054	0.010	0.025	   -1.894
ENSG00000231133	0.025	0.025	   -0.696
ENSG00000275636	0.005	0.025	   11.103
ENSG00000157617	0.023	0.025	   -2.167
ENSG00000119673	0.025	0.025	    0.223
ENSG00000120324	0.025	0.025	    0.011
ENSG00000260963	0.009	0.025	    2.823
ENSG00000259915	0.004	0.025	   -2.639
ENSG00000204954	0.014	0.025	    1.085
ENSG00000183354	0.008	0.025	    4.089
ENSG00000232909	0.017	0.025	    2.488
ENSG00000152422	0.022	0.024	   -3.043
ENSG00000003989	0.007	0.024	   -0.349
ENSG00000104499	0.001	0.024	   -8.252
ENSG00000267053	0.011	0.024	    1.230
ENSG00000253682	0.012	0.024	    2.517
ENSG00000140832	0.015	0.024	    2.960
ENSG00000250193	0.009	0.024	   -3.461
ENSG00000219891	0.017	0.024	   -2.142
ENSG00000182621	0.008	0.024	   -0.566
ENSG00000276334	0.016	0.024	    3.100
ENSG00000077585	0.018	0.024	    2.634
ENSG00000268069	0.019	0.024	    3.179
ENSG00000196466	0.014	0.024	   -0.027
ENSG00000273450	0.005	0.024	    3.132
ENSG00000249231	0.009	0.024	   -2.790
ENSG00000040199	0.014	0.024	   -1.570
ENSG00000198561	0.009	0.024	    2.997
ENSG00000226086	0.013	0.023	    3.374
ENSG00000236559	0.002	0.023	    0.968
ENSG00000171819	0.007	0.023	   -2.617
ENSG00000258955	0.018	0.023	    0.855
ENSG00000168806	0.006	0.023	    0.000
ENSG00000092470	0.008	0.023	   -3.381
ENSG00000144118	0.011	0.023	    1.118
ENSG00000172340	0.003	0.023	   -0.339
ENSG00000132356	0.020	0.023	    2.934
ENSG00000179021	0.003	0.023	   -2.797
ENSG00000230358	0.005	0.023	    2.696
ENSG00000251022	0.017	0.023	    1.552
ENSG00000260032	0.021	0.022	    0.000
ENSG00000136854	0.005	0.022	    0.423
ENSG00000250215	0.010	0.022	    0.445
ENSG00000244512	0.014	0.022	    3.220
ENSG00000096872	0.016	0.022	    0.847
