Gene	GRCP	GLCP	TWAS_z
ENSG00000214435	0.819	0.974	   -3.355
ENSG00000166275	0.610	0.926	    3.492
ENSG00000169220	0.265	0.724	   -1.054
ENSG00000224814	0.380	0.716	   -4.770
ENSG00000183066	0.490	0.684	    0.000
ENSG00000198890	0.512	0.667	   -4.500
ENSG00000214842	0.265	0.581	   -4.253
ENSG00000141519	0.503	0.522	    4.096
ENSG00000255568	0.345	0.506	    0.000
ENSG00000227802	0.071	0.389	   -4.393
ENSG00000188573	0.126	0.380	   -3.676
ENSG00000130943	0.040	0.339	   -1.032
ENSG00000171700	0.195	0.298	    3.657
ENSG00000131183	0.059	0.296	    5.061
ENSG00000125510	0.171	0.293	    3.552
ENSG00000260274	0.113	0.270	   -4.779
ENSG00000260778	0.162	0.267	    3.812
ENSG00000237371	0.115	0.257	    3.537
ENSG00000167670	0.152	0.252	    2.188
ENSG00000267769	0.175	0.247	    0.000
ENSG00000116489	0.077	0.244	   -6.265
ENSG00000104826	0.096	0.227	    5.194
ENSG00000211638	0.209	0.209	    2.603
ENSG00000049245	0.121	0.209	   -6.116
ENSG00000271755	0.084	0.208	   -3.612
ENSG00000267980	0.158	0.203	    0.903
ENSG00000225693	0.054	0.194	    1.249
ENSG00000140400	0.176	0.194	   -4.616
ENSG00000227508	0.029	0.189	   -2.175
ENSG00000224397	0.008	0.183	    2.879
ENSG00000133561	0.031	0.177	   -3.539
ENSG00000141985	0.125	0.173	    2.967
ENSG00000075234	0.008	0.158	   -6.131
ENSG00000236493	0.139	0.157	    5.315
ENSG00000214226	0.072	0.155	   -3.726
ENSG00000181396	0.151	0.151	    0.074
ENSG00000262879	0.102	0.148	    2.432
ENSG00000197165	0.079	0.143	    3.330
ENSG00000272564	0.048	0.140	    3.282
ENSG00000168405	0.067	0.139	   -0.003
ENSG00000183207	0.020	0.136	   -1.714
ENSG00000110768	0.101	0.134	   -3.976
ENSG00000138600	0.134	0.134	    0.194
ENSG00000226752	0.116	0.131	    0.000
ENSG00000173486	0.093	0.130	   -4.585
ENSG00000226450	0.033	0.128	    3.719
ENSG00000106477	0.048	0.128	   -3.383
ENSG00000253379	0.061	0.127	   -3.543
ENSG00000215440	0.098	0.121	   -0.241
ENSG00000226416	0.012	0.120	   -2.676
ENSG00000263220	0.026	0.118	   -2.114
ENSG00000232504	0.009	0.117	    2.808
ENSG00000243955	0.029	0.116	    3.914
ENSG00000148290	0.116	0.116	   -3.587
ENSG00000009950	0.068	0.115	    8.423
ENSG00000149782	0.112	0.112	   -2.651
ENSG00000134265	0.083	0.106	    0.000
ENSG00000143622	0.062	0.105	    4.717
ENSG00000156171	0.102	0.102	    3.461
ENSG00000166347	0.036	0.098	    3.791
ENSG00000249664	0.070	0.098	   -3.370
ENSG00000182782	0.038	0.096	   -3.290
ENSG00000205937	0.074	0.095	   -2.645
ENSG00000106635	0.066	0.095	    7.863
ENSG00000196502	0.020	0.092	   -2.676
ENSG00000269949	0.018	0.091	    3.450
ENSG00000224557	0.022	0.090	    3.124
ENSG00000164610	0.079	0.090	   -3.468
ENSG00000242068	0.029	0.087	   -0.408
ENSG00000156603	0.048	0.084	    3.030
ENSG00000270424	0.013	0.083	    2.716
ENSG00000237037	0.077	0.080	    3.853
ENSG00000244515	0.029	0.077	    0.655
ENSG00000166788	0.063	0.074	   -3.678
ENSG00000224796	0.015	0.073	    2.947
ENSG00000198920	0.045	0.072	    3.249
ENSG00000228035	0.060	0.072	    0.465
ENSG00000136854	0.019	0.070	    3.470
ENSG00000240563	0.060	0.067	   -1.809
ENSG00000269958	0.048	0.067	    3.274
ENSG00000183255	0.063	0.066	   -3.309
ENSG00000175697	0.049	0.065	   -2.819
ENSG00000196810	0.053	0.064	    0.164
ENSG00000271862	0.044	0.063	   -3.285
ENSG00000169071	0.023	0.062	    0.770
ENSG00000259520	0.011	0.062	   -0.838
ENSG00000228559	0.027	0.061	   -1.799
ENSG00000179826	0.060	0.060	   -3.683
ENSG00000139714	0.039	0.059	    3.089
ENSG00000116062	0.020	0.058	   -3.584
ENSG00000141570	0.058	0.058	   -1.175
ENSG00000126215	0.047	0.058	    3.335
