Gene	GRCP	GLCP	TWAS_z
ENSG00000166275	0.805	0.974	    0.000
ENSG00000211638	0.957	0.957	    2.860
ENSG00000166347	0.357	0.911	    2.109
ENSG00000189077	0.130	0.734	   -4.196
ENSG00000049245	0.477	0.638	   -5.020
ENSG00000170340	0.620	0.634	   -4.540
ENSG00000018510	0.572	0.608	    0.217
ENSG00000143178	0.130	0.584	    4.258
ENSG00000198890	0.451	0.543	   -4.466
ENSG00000179979	0.424	0.525	   -4.017
ENSG00000090316	0.449	0.518	    2.124
ENSG00000157617	0.193	0.514	    3.323
ENSG00000084092	0.048	0.504	   -4.328
ENSG00000166272	0.024	0.504	   -7.433
ENSG00000141519	0.421	0.497	    4.136
ENSG00000183066	0.338	0.494	    0.751
ENSG00000213064	0.229	0.489	    5.126
ENSG00000127483	0.418	0.471	    4.487
ENSG00000161955	0.191	0.460	    6.280
ENSG00000205937	0.458	0.459	    0.000
ENSG00000143622	0.234	0.446	    4.650
ENSG00000213963	0.080	0.439	   -3.498
ENSG00000177051	0.228	0.407	   -5.187
ENSG00000149782	0.386	0.386	    0.864
ENSG00000167291	0.348	0.385	    1.390
ENSG00000125510	0.241	0.373	    0.000
ENSG00000172216	0.215	0.365	    1.439
ENSG00000090686	0.161	0.365	   -1.503
ENSG00000232656	0.034	0.356	    4.182
ENSG00000156171	0.333	0.338	    3.631
ENSG00000134255	0.297	0.331	    3.964
ENSG00000214548	0.055	0.327	    3.818
ENSG00000205643	0.270	0.314	   -6.870
ENSG00000067064	0.012	0.313	    2.906
ENSG00000103381	0.308	0.308	   -4.180
ENSG00000169220	0.090	0.304	    5.726
ENSG00000174292	0.059	0.298	   -1.600
ENSG00000211649	0.241	0.287	    4.338
ENSG00000075151	0.210	0.287	    4.001
ENSG00000255568	0.261	0.283	   -2.426
ENSG00000152804	0.166	0.280	    3.709
ENSG00000213178	0.099	0.280	   -4.861
ENSG00000254419	0.270	0.271	    3.972
ENSG00000183207	0.181	0.259	    0.000
ENSG00000108433	0.049	0.254	    3.588
ENSG00000104450	0.227	0.253	   -0.986
ENSG00000106638	0.050	0.248	   -1.758
ENSG00000140575	0.242	0.243	    2.187
ENSG00000081014	0.201	0.240	    2.798
ENSG00000105669	0.236	0.236	   -3.305
ENSG00000167261	0.196	0.219	   -3.795
ENSG00000263142	0.196	0.217	   -3.819
ENSG00000063169	0.215	0.216	   -1.008
ENSG00000007866	0.175	0.211	    0.000
ENSG00000267980	0.159	0.210	   -0.099
ENSG00000122971	0.036	0.208	   -0.035
ENSG00000128342	0.132	0.203	   -0.791
ENSG00000148296	0.198	0.198	   -0.485
ENSG00000260274	0.134	0.192	   -5.026
ENSG00000133105	0.050	0.190	    4.002
ENSG00000274737	0.074	0.185	   -0.591
ENSG00000198380	0.131	0.184	    3.331
ENSG00000255201	0.101	0.184	   -3.607
ENSG00000103549	0.161	0.178	    3.643
ENSG00000155366	0.032	0.176	    3.316
ENSG00000064886	0.176	0.176	    2.590
ENSG00000171695	0.065	0.168	   -0.948
ENSG00000163959	0.027	0.167	   -2.918
ENSG00000214435	0.103	0.165	    6.253
ENSG00000267769	0.154	0.162	   -3.558
ENSG00000030110	0.032	0.153	    3.232
ENSG00000076662	0.001	0.149	   -4.649
ENSG00000159761	0.119	0.148	    0.000
ENSG00000137074	0.030	0.148	   -0.658
ENSG00000107537	0.069	0.147	    0.850
ENSG00000109320	0.116	0.146	    3.987
ENSG00000173153	0.029	0.145	   -4.206
ENSG00000115875	0.062	0.143	    1.451
ENSG00000134265	0.140	0.141	   -1.297
ENSG00000144381	0.076	0.138	   -1.496
ENSG00000104756	0.054	0.137	    3.523
ENSG00000141298	0.063	0.134	   -3.737
ENSG00000234936	0.025	0.132	    4.447
ENSG00000130270	0.065	0.132	    0.171
ENSG00000038358	0.061	0.130	   -3.788
ENSG00000140368	0.126	0.127	   -3.474
ENSG00000128928	0.026	0.127	    4.932
ENSG00000206573	0.124	0.127	   -2.980
ENSG00000278058	0.044	0.119	   -3.690
ENSG00000173145	0.068	0.118	    3.814
ENSG00000140400	0.116	0.117	   -4.899
ENSG00000162676	0.059	0.116	    0.818
ENSG00000226752	0.115	0.116	    0.000
ENSG00000169371	0.114	0.116	   -5.077
ENSG00000100243	0.085	0.116	   -2.932
ENSG00000136932	0.005	0.116	   -2.070
ENSG00000196810	0.040	0.113	    0.052
ENSG00000108559	0.040	0.109	    3.453
ENSG00000167264	0.052	0.108	   -3.910
ENSG00000056558	0.099	0.106	   -3.961
ENSG00000159714	0.065	0.106	   -3.905
ENSG00000112249	0.103	0.104	    0.060
ENSG00000064932	0.063	0.102	    0.000
ENSG00000184661	0.015	0.100	    3.393
ENSG00000136521	0.055	0.100	    0.000
ENSG00000072736	0.040	0.099	   -0.496
ENSG00000140398	0.027	0.099	   -4.806
ENSG00000134077	0.082	0.097	    1.531
ENSG00000077782	0.089	0.096	   -2.375
ENSG00000095261	0.070	0.096	    2.645
ENSG00000141985	0.038	0.095	    1.520
ENSG00000120137	0.010	0.095	   -1.982
ENSG00000091127	0.093	0.093	    2.891
ENSG00000110011	0.006	0.093	    1.843
ENSG00000116062	0.066	0.092	   -5.172
ENSG00000035687	0.070	0.090	    0.283
ENSG00000138600	0.022	0.088	    2.533
ENSG00000184983	0.040	0.088	   -1.882
ENSG00000232504	0.011	0.088	    3.338
ENSG00000251259	0.004	0.088	    2.665
ENSG00000108561	0.065	0.087	    3.538
ENSG00000281538	0.006	0.086	   -1.598
ENSG00000189306	0.065	0.085	    0.026
ENSG00000104826	0.031	0.083	    1.127
ENSG00000274370	0.013	0.082	   -0.348
ENSG00000138814	0.017	0.082	   -1.535
ENSG00000129245	0.031	0.081	   -5.094
ENSG00000139714	0.060	0.080	    3.534
ENSG00000124574	0.032	0.079	   -0.885
ENSG00000224557	0.026	0.077	    3.228
ENSG00000260891	0.041	0.075	    0.000
ENSG00000086504	0.063	0.075	   -3.276
ENSG00000203999	0.011	0.074	   -0.006
ENSG00000147872	0.062	0.074	   -0.956
ENSG00000166323	0.046	0.074	   -3.535
ENSG00000275441	0.020	0.074	    3.218
ENSG00000265992	0.073	0.073	    1.147
ENSG00000129925	0.017	0.071	   -2.621
ENSG00000137575	0.029	0.071	   -3.444
ENSG00000166788	0.056	0.071	   -0.771
ENSG00000247315	0.070	0.070	    3.491
ENSG00000159713	0.035	0.070	   -3.546
ENSG00000169223	0.069	0.069	    4.926
ENSG00000205763	0.064	0.069	    0.603
ENSG00000137040	0.040	0.069	   -4.025
ENSG00000134245	0.004	0.068	    4.053
ENSG00000197043	0.067	0.067	    0.370
ENSG00000279873	0.017	0.066	    1.079
ENSG00000111275	0.061	0.066	    3.457
ENSG00000170852	0.033	0.066	    0.318
ENSG00000179144	0.016	0.066	    1.701
ENSG00000103066	0.044	0.066	   -3.693
ENSG00000187838	0.066	0.066	    3.512
ENSG00000100167	0.005	0.065	   -2.236
ENSG00000238917	0.008	0.065	   -3.888
ENSG00000167468	0.060	0.065	   -3.341
ENSG00000243176	0.063	0.065	    3.512
ENSG00000237037	0.043	0.064	    3.812
ENSG00000213593	0.037	0.062	   -3.451
ENSG00000070501	0.021	0.062	   -3.088
ENSG00000114315	0.017	0.062	    1.550
ENSG00000197165	0.036	0.060	    1.935
ENSG00000183255	0.058	0.060	   -3.269
ENSG00000256826	0.029	0.060	   -3.154
ENSG00000156853	0.005	0.060	    3.259
ENSG00000198791	0.059	0.059	    3.142
ENSG00000243955	0.011	0.059	   -3.538
ENSG00000263366	0.059	0.059	    1.673
ENSG00000155561	0.033	0.059	    2.213
ENSG00000130522	0.007	0.058	    2.999
ENSG00000258623	0.047	0.058	    0.256
ENSG00000272158	0.010	0.058	    1.339
ENSG00000074603	0.010	0.057	    3.815
ENSG00000173264	0.004	0.057	   -2.456
ENSG00000244515	0.025	0.057	    3.019
ENSG00000114125	0.055	0.056	    3.300
ENSG00000176845	0.036	0.056	    3.774
ENSG00000164347	0.056	0.056	    0.000
ENSG00000100100	0.043	0.056	   -3.284
ENSG00000202058	0.036	0.056	   -3.655
ENSG00000155363	0.024	0.056	    5.997
ENSG00000256525	0.032	0.056	   -0.198
ENSG00000129235	0.035	0.056	    3.264
ENSG00000126215	0.035	0.055	    3.249
ENSG00000166170	0.039	0.054	    3.299
ENSG00000136938	0.012	0.054	    0.000
ENSG00000173457	0.054	0.054	   -4.742
ENSG00000221962	0.001	0.054	    2.189
ENSG00000142733	0.053	0.053	    0.647
ENSG00000140694	0.010	0.053	   -2.492
ENSG00000110768	0.051	0.053	   -3.768
ENSG00000136830	0.049	0.052	   -1.920
ENSG00000211959	0.034	0.052	    4.041
ENSG00000101898	0.015	0.052	   -3.240
ENSG00000102870	0.023	0.052	   -3.833
ENSG00000151116	0.016	0.051	   -2.547
ENSG00000156603	0.040	0.050	    3.002
ENSG00000085760	0.040	0.050	    3.268
ENSG00000105248	0.041	0.049	   -3.177
ENSG00000138801	0.018	0.049	   -0.264
ENSG00000122642	0.041	0.049	   -1.631
ENSG00000268655	0.019	0.049	   -0.782
ENSG00000214226	0.006	0.049	   -0.502
ENSG00000198920	0.034	0.048	    3.116
ENSG00000180138	0.004	0.048	   -4.005
ENSG00000146701	0.010	0.048	   -3.846
ENSG00000141580	0.048	0.048	   -3.336
ENSG00000171222	0.047	0.048	    0.310
ENSG00000247595	0.016	0.048	   -2.006
ENSG00000178385	0.009	0.048	   -2.439
ENSG00000182782	0.021	0.048	    0.000
ENSG00000119403	0.009	0.048	   -2.233
ENSG00000280239	0.047	0.047	   -3.271
ENSG00000238181	0.022	0.047	    2.779
ENSG00000198105	0.023	0.047	   -1.126
ENSG00000173726	0.021	0.046	    2.892
ENSG00000163660	0.022	0.046	    2.902
ENSG00000165804	0.036	0.046	    5.327
ENSG00000175395	0.019	0.045	   -0.953
ENSG00000144908	0.009	0.045	    3.486
ENSG00000211955	0.044	0.045	    0.511
ENSG00000227986	0.014	0.045	    1.477
ENSG00000119673	0.038	0.045	   -2.839
ENSG00000142765	0.020	0.045	    0.117
ENSG00000111788	0.033	0.045	   -0.236
ENSG00000160336	0.040	0.045	   -2.013
ENSG00000279159	0.024	0.044	   -0.033
ENSG00000184389	0.043	0.044	    0.476
ENSG00000149657	0.028	0.044	    3.115
ENSG00000173728	0.027	0.044	   -0.311
ENSG00000141504	0.033	0.043	   -3.254
ENSG00000172409	0.035	0.043	   -3.498
ENSG00000179163	0.029	0.043	   -0.424
ENSG00000205544	0.040	0.043	   -1.879
ENSG00000104812	0.035	0.043	    4.503
ENSG00000269940	0.028	0.043	    2.394
ENSG00000156140	0.027	0.043	    0.155
ENSG00000269958	0.023	0.043	    0.989
ENSG00000130518	0.033	0.043	    0.724
ENSG00000267030	0.023	0.043	   -3.722
ENSG00000276744	0.011	0.043	   -5.293
ENSG00000075826	0.030	0.042	   -2.759
