Gene	GRCP	GLCP	TWAS_z
ENSG00000108785	0.953	0.964	   -5.610
ENSG00000108786	0.952	0.964	   -5.891
ENSG00000167716	0.754	0.963	    0.000
ENSG00000169683	0.906	0.962	    5.022
ENSG00000272950	0.749	0.956	   11.579
ENSG00000187867	0.730	0.941	    0.000
ENSG00000172927	0.603	0.941	   -5.183
ENSG00000188002	0.930	0.938	    1.064
ENSG00000232995	0.658	0.933	    0.000
ENSG00000182109	0.342	0.921	   -6.234
ENSG00000169062	0.872	0.890	   -4.053
ENSG00000178966	0.761	0.868	   -7.727
ENSG00000166938	0.383	0.852	   -1.560
ENSG00000228060	0.520	0.838	    5.334
ENSG00000125447	0.645	0.806	    2.526
ENSG00000198740	0.007	0.804	   12.945
ENSG00000197894	0.800	0.801	   -2.496
ENSG00000087085	0.746	0.800	    4.339
ENSG00000087087	0.616	0.798	    4.219
ENSG00000104870	0.305	0.794	   -2.942
ENSG00000237975	0.714	0.792	    4.681
ENSG00000167702	0.404	0.767	    0.000
ENSG00000198890	0.713	0.759	   -7.032
ENSG00000144401	0.458	0.757	   -4.535
ENSG00000100154	0.416	0.746	   -4.069
ENSG00000258521	0.417	0.735	   -5.838
ENSG00000228022	0.580	0.729	    0.000
ENSG00000197915	0.721	0.721	   -1.550
ENSG00000260877	0.198	0.715	   -2.130
ENSG00000143631	0.705	0.705	   -0.385
ENSG00000204308	0.533	0.690	   -2.839
ENSG00000037042	0.199	0.682	    3.664
ENSG00000100376	0.642	0.680	    2.060
ENSG00000176473	0.463	0.663	   -5.190
ENSG00000115998	0.368	0.659	    0.000
ENSG00000204305	0.641	0.641	   -1.718
ENSG00000232934	0.564	0.622	    0.515
ENSG00000233232	0.409	0.612	    7.273
ENSG00000197165	0.283	0.606	   -8.266
ENSG00000125445	0.587	0.588	   -4.836
ENSG00000023041	0.564	0.579	   -3.080
ENSG00000204314	0.454	0.566	   -3.402
ENSG00000266962	0.390	0.548	    2.308
ENSG00000101639	0.538	0.544	   -2.022
ENSG00000196260	0.102	0.528	    5.679
ENSG00000241350	0.476	0.507	   -3.890
ENSG00000126860	0.295	0.507	    6.698
ENSG00000250535	0.217	0.482	   -1.177
ENSG00000186704	0.284	0.471	   -0.928
ENSG00000229043	0.276	0.470	   -3.583
ENSG00000095397	0.403	0.468	    2.622
ENSG00000242435	0.420	0.466	   -3.917
ENSG00000091542	0.282	0.465	    4.048
ENSG00000213780	0.105	0.464	   -2.216
ENSG00000187860	0.266	0.463	   -0.529
ENSG00000116473	0.317	0.462	   -0.059
ENSG00000254470	0.445	0.460	   -4.783
ENSG00000110851	0.339	0.454	   -4.049
ENSG00000178188	0.296	0.452	    1.327
ENSG00000106638	0.019	0.449	   -4.127
ENSG00000120008	0.318	0.446	    2.259
ENSG00000158234	0.149	0.446	    5.875
ENSG00000035141	0.308	0.443	   -5.423
ENSG00000260615	0.163	0.443	    0.000
ENSG00000090621	0.368	0.437	    2.438
ENSG00000163364	0.307	0.424	   -1.825
ENSG00000243970	0.192	0.422	   -6.442
ENSG00000067208	0.209	0.419	    4.382
ENSG00000198945	0.414	0.414	   -2.049
ENSG00000261766	0.260	0.414	    2.456
ENSG00000205352	0.341	0.413	    0.000
ENSG00000179008	0.227	0.410	   -4.528
ENSG00000179021	0.205	0.410	   -4.492
ENSG00000224165	0.380	0.400	    4.182
ENSG00000125450	0.286	0.398	    0.000
ENSG00000156795	0.148	0.397	    0.777
ENSG00000110092	0.231	0.393	   -5.111
ENSG00000270175	0.178	0.393	    1.985
ENSG00000130749	0.241	0.383	    4.143
ENSG00000233448	0.252	0.379	    1.900
ENSG00000103855	0.355	0.371	    4.250
ENSG00000107036	0.237	0.366	    4.769
ENSG00000203896	0.089	0.358	    3.969
ENSG00000203761	0.349	0.350	    0.949
ENSG00000260796	0.142	0.347	    8.044
ENSG00000153814	0.064	0.342	    4.363
ENSG00000117118	0.048	0.340	    3.769
ENSG00000137312	0.033	0.334	   -2.677
ENSG00000167658	0.050	0.326	   -2.942
ENSG00000106305	0.186	0.325	    0.323
ENSG00000273295	0.310	0.319	   -4.030
ENSG00000122512	0.316	0.319	    0.083
ENSG00000124198	0.182	0.316	    0.000
ENSG00000198160	0.191	0.313	   -4.033
ENSG00000105556	0.202	0.312	    0.000
ENSG00000112282	0.262	0.311	    0.315
ENSG00000171681	0.196	0.308	   -3.797
ENSG00000173531	0.144	0.308	   -3.786
ENSG00000189306	0.127	0.302	    0.984
ENSG00000230074	0.159	0.299	   -2.626
ENSG00000240972	0.285	0.290	   -4.033
ENSG00000225282	0.285	0.287	   -4.066
ENSG00000218537	0.282	0.285	   -4.026
ENSG00000272787	0.008	0.284	    0.000
ENSG00000168488	0.111	0.284	    1.798
ENSG00000196296	0.175	0.279	   -8.070
ENSG00000226752	0.229	0.272	   -3.558
ENSG00000142552	0.128	0.272	    6.424
ENSG00000099974	0.267	0.267	    0.000
ENSG00000177200	0.106	0.260	   -3.692
ENSG00000140105	0.105	0.259	   -5.823
ENSG00000258666	0.092	0.256	    4.686
ENSG00000266918	0.034	0.256	    1.535
ENSG00000124587	0.233	0.249	    3.816
ENSG00000107672	0.246	0.246	    3.718
ENSG00000251417	0.186	0.239	    0.000
ENSG00000099992	0.109	0.238	   -4.251
ENSG00000099995	0.118	0.237	   -0.109
ENSG00000213949	0.235	0.237	   -3.698
ENSG00000196712	0.038	0.236	   -4.407
ENSG00000173726	0.138	0.233	    4.569
ENSG00000171634	0.154	0.225	   -3.866
ENSG00000137218	0.214	0.225	   -4.707
ENSG00000166359	0.165	0.224	    3.467
ENSG00000020922	0.004	0.222	    4.091
ENSG00000237361	0.116	0.221	   -2.843
ENSG00000152763	0.152	0.216	    3.774
ENSG00000177628	0.193	0.215	    1.241
ENSG00000172250	0.083	0.214	    0.225
ENSG00000235119	0.125	0.213	   -5.207
ENSG00000164967	0.211	0.212	    3.768
ENSG00000187954	0.120	0.211	    1.878
ENSG00000142627	0.206	0.208	    4.538
ENSG00000160075	0.173	0.208	    3.542
ENSG00000140323	0.205	0.205	   -2.917
ENSG00000124713	0.112	0.204	    0.000
ENSG00000198646	0.160	0.204	   -3.520
ENSG00000259982	0.061	0.201	   -8.030
ENSG00000122484	0.124	0.200	   -4.825
ENSG00000109667	0.048	0.199	    2.627
ENSG00000169689	0.193	0.199	    4.138
ENSG00000146215	0.195	0.198	    3.437
ENSG00000172232	0.198	0.198	   -4.586
ENSG00000107554	0.153	0.197	   -3.508
ENSG00000184110	0.157	0.195	   -5.926
ENSG00000205808	0.191	0.191	   -2.318
ENSG00000235106	0.117	0.191	   -3.416
ENSG00000224609	0.188	0.191	    3.467
ENSG00000251580	0.190	0.190	   -1.051
ENSG00000129214	0.004	0.187	   43.939
ENSG00000255182	0.094	0.185	    4.572
ENSG00000152749	0.172	0.185	    0.987
ENSG00000214425	0.030	0.184	    6.213
ENSG00000108591	0.121	0.183	    2.317
ENSG00000269892	0.182	0.182	    3.231
ENSG00000102967	0.180	0.181	    0.215
ENSG00000224205	0.180	0.180	   -3.440
ENSG00000162888	0.148	0.179	    3.557
ENSG00000103253	0.177	0.177	   -3.399
ENSG00000273080	0.112	0.177	    3.335
ENSG00000270210	0.093	0.175	   -2.881
ENSG00000157999	0.137	0.174	   -3.845
ENSG00000245025	0.173	0.173	    0.000
ENSG00000131470	0.156	0.173	   -5.529
ENSG00000075975	0.105	0.173	    3.822
ENSG00000185591	0.160	0.172	   -4.013
ENSG00000177410	0.145	0.171	    3.817
ENSG00000189157	0.142	0.169	    3.874
ENSG00000160447	0.165	0.169	   -3.443
ENSG00000165113	0.021	0.166	   -5.731
ENSG00000137411	0.031	0.164	    3.115
ENSG00000238083	0.022	0.164	    5.983
ENSG00000116678	0.163	0.163	   -0.129
ENSG00000078804	0.114	0.163	    3.361
ENSG00000269486	0.133	0.163	   -1.195
ENSG00000273891	0.063	0.163	    2.888
ENSG00000107651	0.130	0.162	    2.776
ENSG00000140107	0.025	0.162	    5.684
ENSG00000130177	0.134	0.162	   -3.700
ENSG00000231050	0.135	0.162	    0.555
ENSG00000178381	0.098	0.161	   -3.510
ENSG00000104835	0.145	0.154	    0.000
ENSG00000149922	0.153	0.153	    1.772
ENSG00000272604	0.147	0.151	   -2.204
ENSG00000255042	0.123	0.150	   -4.231
ENSG00000142686	0.143	0.149	   -2.556
ENSG00000002933	0.050	0.147	    1.544
ENSG00000180776	0.118	0.146	   -3.382
ENSG00000232093	0.144	0.144	    0.000
ENSG00000178952	0.143	0.143	   -7.812
ENSG00000264635	0.142	0.142	    3.615
ENSG00000186130	0.093	0.141	    3.078
ENSG00000273038	0.136	0.140	    3.418
ENSG00000279168	0.122	0.139	    3.446
ENSG00000196096	0.138	0.138	   -2.009
ENSG00000225855	0.102	0.136	   -3.562
ENSG00000270164	0.129	0.135	    0.123
ENSG00000268355	0.127	0.135	    0.691
ENSG00000236675	0.135	0.135	    1.817
ENSG00000125520	0.094	0.134	   -4.143
