Gene	GRCP	GLCP	TWAS_z
ENSG00000188002	0.940	0.948	    2.594
ENSG00000232995	0.685	0.933	   -0.458
ENSG00000143248	0.553	0.908	    1.096
ENSG00000157693	0.099	0.894	   -0.908
ENSG00000228060	0.453	0.862	    4.791
ENSG00000178966	0.795	0.830	   -6.826
ENSG00000172009	0.633	0.814	    7.555
ENSG00000112343	0.463	0.777	   -2.785
ENSG00000204305	0.737	0.759	   -5.990
ENSG00000176890	0.751	0.751	    0.000
ENSG00000140105	0.236	0.743	    5.750
ENSG00000272810	0.379	0.735	    0.891
ENSG00000204308	0.651	0.732	   -2.839
ENSG00000100003	0.705	0.718	   -0.056
ENSG00000101639	0.692	0.692	    3.040
ENSG00000125445	0.628	0.684	   -5.344
ENSG00000284052	0.596	0.657	    2.560
ENSG00000232934	0.560	0.600	   -1.451
ENSG00000229043	0.342	0.599	    0.000
ENSG00000144401	0.333	0.593	   -4.350
ENSG00000099219	0.416	0.567	    4.806
ENSG00000141380	0.551	0.552	    0.948
ENSG00000102858	0.106	0.552	    2.220
ENSG00000169683	0.498	0.540	    2.704
ENSG00000241350	0.486	0.532	   -3.945
ENSG00000106305	0.347	0.492	    0.235
ENSG00000259982	0.098	0.460	   -8.090
ENSG00000152601	0.260	0.456	    4.794
ENSG00000185591	0.329	0.451	   -4.292
ENSG00000116005	0.274	0.433	   -5.250
ENSG00000075131	0.070	0.430	    3.966
ENSG00000156795	0.197	0.428	   -2.708
ENSG00000124587	0.334	0.422	    3.904
ENSG00000178425	0.088	0.413	    3.069
ENSG00000166938	0.330	0.400	   -1.308
ENSG00000111816	0.393	0.393	    4.111
ENSG00000163993	0.387	0.387	    1.110
ENSG00000261766	0.231	0.371	    7.968
ENSG00000186704	0.292	0.369	   -0.348
ENSG00000226752	0.247	0.362	    0.000
ENSG00000122299	0.181	0.361	    4.292
ENSG00000271554	0.309	0.353	    4.381
ENSG00000133433	0.348	0.348	    0.803
ENSG00000198160	0.196	0.348	   -3.192
ENSG00000160972	0.316	0.345	   -2.927
ENSG00000277369	0.214	0.343	    4.530
ENSG00000186300	0.143	0.339	    0.554
ENSG00000100344	0.011	0.331	    3.255
ENSG00000225282	0.320	0.323	   -4.026
ENSG00000273295	0.319	0.322	   -4.025
ENSG00000218537	0.318	0.321	   -4.025
ENSG00000197165	0.029	0.321	   -8.106
ENSG00000099999	0.289	0.313	    0.718
ENSG00000240972	0.308	0.308	   -4.033
ENSG00000270424	0.137	0.294	   -7.989
ENSG00000064989	0.189	0.292	   -0.423
ENSG00000126860	0.162	0.292	    6.704
ENSG00000120008	0.271	0.273	    4.218
ENSG00000258534	0.134	0.273	   -3.547
ENSG00000242435	0.232	0.270	   -3.846
ENSG00000269892	0.167	0.266	    3.759
ENSG00000176473	0.019	0.266	   -4.304
ENSG00000168631	0.085	0.260	    5.336
ENSG00000178381	0.135	0.259	    0.908
ENSG00000177628	0.232	0.250	    2.394
ENSG00000137204	0.219	0.248	    4.081
ENSG00000090621	0.132	0.247	    4.279
ENSG00000142230	0.120	0.239	    0.755
ENSG00000148090	0.229	0.239	    3.029
ENSG00000137411	0.134	0.223	    4.167
ENSG00000213918	0.198	0.219	    1.008
ENSG00000251580	0.217	0.217	   -0.777
ENSG00000178952	0.189	0.214	   -7.926
ENSG00000150054	0.195	0.214	    1.156
ENSG00000160959	0.175	0.210	   -4.471
ENSG00000130177	0.167	0.210	   -3.784
ENSG00000238083	0.027	0.205	    5.294
ENSG00000078804	0.145	0.203	    3.549
ENSG00000197119	0.132	0.202	    1.176
ENSG00000168488	0.088	0.201	   -8.063
ENSG00000114455	0.177	0.190	    2.535
ENSG00000243970	0.066	0.189	   -6.147
ENSG00000201217	0.124	0.188	    4.604
ENSG00000184110	0.168	0.187	   -8.094
ENSG00000099974	0.186	0.186	    0.521
ENSG00000241404	0.124	0.186	   -5.899
ENSG00000133460	0.010	0.182	   -0.152
ENSG00000180776	0.138	0.181	   -3.365
ENSG00000257303	0.118	0.179	   -3.449
ENSG00000142686	0.165	0.179	   -2.853
ENSG00000110851	0.118	0.179	    2.090
ENSG00000246090	0.043	0.177	   -1.074
ENSG00000273080	0.108	0.176	    3.327
ENSG00000104835	0.173	0.176	    0.000
ENSG00000172006	0.022	0.175	    7.212
ENSG00000116521	0.076	0.174	   -3.530
ENSG00000170846	0.161	0.174	   -1.342
ENSG00000149922	0.174	0.174	    1.779
