Gene	GRCP	GLCP	TWAS_z
ENSG00000169683	0.892	0.947	    5.014
ENSG00000167716	0.686	0.945	    0.265
ENSG00000228060	0.649	0.925	    0.000
ENSG00000090621	0.306	0.924	    4.822
ENSG00000205352	0.901	0.901	   -4.320
ENSG00000232995	0.637	0.901	   -2.683
ENSG00000233223	0.280	0.889	  -43.125
ENSG00000186642	0.195	0.870	    5.723
ENSG00000272950	0.790	0.794	   11.314
ENSG00000169062	0.241	0.791	   -4.476
ENSG00000102858	0.707	0.788	    2.118
ENSG00000197915	0.706	0.781	   -0.995
ENSG00000143631	0.771	0.781	    4.313
ENSG00000087085	0.724	0.766	    4.136
ENSG00000237975	0.672	0.763	    1.513
ENSG00000176473	0.142	0.741	   -5.236
ENSG00000125447	0.611	0.735	    5.427
ENSG00000198890	0.668	0.727	   -7.218
ENSG00000101639	0.700	0.719	    3.020
ENSG00000087087	0.359	0.708	    3.962
ENSG00000228022	0.568	0.698	    0.000
ENSG00000100376	0.523	0.697	   -2.015
ENSG00000204308	0.499	0.691	    0.000
ENSG00000103855	0.359	0.684	    4.052
ENSG00000088726	0.565	0.674	    4.569
ENSG00000140105	0.189	0.671	   -5.629
ENSG00000161896	0.518	0.659	   -1.751
ENSG00000172006	0.139	0.651	    7.257
ENSG00000187535	0.647	0.647	   -1.872
ENSG00000167702	0.465	0.646	    5.079
ENSG00000144401	0.352	0.646	   -4.402
ENSG00000254470	0.569	0.642	   -4.200
ENSG00000205808	0.632	0.633	   -2.324
ENSG00000258521	0.481	0.633	   -6.013
ENSG00000259982	0.475	0.631	   -8.101
ENSG00000204305	0.620	0.625	   -3.828
ENSG00000023041	0.566	0.617	   -3.060
ENSG00000232934	0.596	0.596	    0.202
ENSG00000106948	0.589	0.589	    4.732
ENSG00000198740	0.059	0.581	   15.130
ENSG00000125445	0.564	0.564	   -5.369
ENSG00000138760	0.459	0.551	   -4.228
ENSG00000100209	0.372	0.547	    4.305
ENSG00000110851	0.332	0.538	   -4.038
ENSG00000250535	0.529	0.531	   -4.049
ENSG00000112977	0.206	0.516	   -2.083
ENSG00000172009	0.161	0.512	    6.244
ENSG00000185591	0.322	0.497	   -4.335
ENSG00000173531	0.244	0.497	   -0.850
ENSG00000101493	0.091	0.492	    2.560
ENSG00000107651	0.484	0.484	    0.000
ENSG00000104870	0.391	0.477	    0.000
ENSG00000263257	0.392	0.476	   -2.114
ENSG00000106305	0.298	0.471	   -0.424
ENSG00000187860	0.261	0.462	   -4.255
ENSG00000186704	0.349	0.460	   -2.196
ENSG00000153443	0.273	0.459	    5.409
ENSG00000133433	0.430	0.448	   -1.559
ENSG00000099999	0.323	0.443	   -4.271
ENSG00000142552	0.292	0.438	    5.728
ENSG00000272462	0.121	0.428	   -2.524
ENSG00000126860	0.251	0.427	    6.703
ENSG00000171016	0.423	0.423	    3.550
ENSG00000106638	0.014	0.423	   -4.086
ENSG00000182109	0.373	0.422	   -6.083
ENSG00000261766	0.255	0.420	    6.973
ENSG00000178188	0.272	0.419	    1.311
ENSG00000122299	0.299	0.414	    5.209
ENSG00000169750	0.184	0.403	    4.287
ENSG00000091542	0.170	0.403	    3.916
ENSG00000115998	0.388	0.395	    0.000
ENSG00000197894	0.392	0.392	    2.482
ENSG00000241350	0.277	0.389	    4.042
ENSG00000229043	0.263	0.374	    1.373
ENSG00000166938	0.345	0.365	   -0.789
ENSG00000055147	0.231	0.358	   -4.103
ENSG00000251417	0.107	0.354	    2.571
ENSG00000099995	0.230	0.352	   -4.247
ENSG00000147872	0.049	0.343	   -3.269
ENSG00000102554	0.207	0.340	   -0.291
ENSG00000120008	0.281	0.332	    3.853
ENSG00000178381	0.161	0.332	    1.364
ENSG00000197457	0.072	0.327	    3.777
ENSG00000203761	0.325	0.325	   -3.066
ENSG00000114107	0.136	0.323	   -5.629
ENSG00000242540	0.247	0.323	   -3.749
ENSG00000170915	0.271	0.314	    1.023
ENSG00000164077	0.216	0.313	    0.177
ENSG00000184730	0.101	0.311	    6.083
ENSG00000174442	0.207	0.299	   -2.858
ENSG00000277459	0.045	0.298	    3.970
ENSG00000272823	0.041	0.285	    3.398
ENSG00000225282	0.269	0.282	   -4.287
ENSG00000242435	0.239	0.280	   -0.944
ENSG00000273295	0.276	0.279	   -4.282
ENSG00000146215	0.058	0.276	   -0.602
ENSG00000260442	0.153	0.272	   -8.068
ENSG00000218537	0.265	0.271	   -4.326
ENSG00000150054	0.243	0.268	    0.000
ENSG00000152763	0.170	0.265	    3.998
ENSG00000226752	0.193	0.263	   -1.566
ENSG00000122512	0.219	0.263	   -2.789
ENSG00000240972	0.259	0.262	   -4.026
ENSG00000110195	0.256	0.259	    3.680
ENSG00000230074	0.128	0.258	   -3.432
ENSG00000198160	0.165	0.257	   -4.009
ENSG00000124198	0.143	0.250	    0.000
ENSG00000196296	0.122	0.248	   -8.057
ENSG00000176887	0.234	0.247	   -3.782
ENSG00000269892	0.247	0.247	    3.762
ENSG00000099974	0.246	0.246	    0.431
ENSG00000118520	0.192	0.240	    2.497
ENSG00000141380	0.223	0.238	    1.130
ENSG00000035141	0.186	0.232	    4.691
ENSG00000099977	0.204	0.229	   -3.980
ENSG00000238083	0.023	0.228	    6.676
ENSG00000158552	0.192	0.228	   -3.739
ENSG00000270210	0.225	0.225	   -2.822
ENSG00000184110	0.110	0.223	   -8.019
ENSG00000137411	0.138	0.222	    4.659
ENSG00000124587	0.197	0.212	    3.764
ENSG00000061794	0.110	0.208	   -0.254
ENSG00000251580	0.192	0.192	    1.285
ENSG00000106993	0.191	0.192	   -0.320
ENSG00000107554	0.121	0.191	   -3.455
ENSG00000117118	0.048	0.190	    3.692
ENSG00000162888	0.185	0.185	    3.761
ENSG00000158186	0.135	0.184	   -5.068
ENSG00000160767	0.083	0.183	   -3.636
ENSG00000270903	0.183	0.183	    3.869
ENSG00000167711	0.141	0.182	   -3.719
ENSG00000224205	0.180	0.180	   -3.347
ENSG00000179021	0.080	0.180	   -4.576
ENSG00000246090	0.179	0.179	    1.060
ENSG00000133460	0.082	0.178	   -3.824
ENSG00000172250	0.092	0.175	    1.625
ENSG00000160075	0.124	0.174	    3.440
ENSG00000266094	0.118	0.173	    3.477
ENSG00000244134	0.030	0.172	    5.652
ENSG00000108591	0.172	0.172	    4.344
ENSG00000124783	0.147	0.171	   -3.507
ENSG00000137331	0.022	0.170	    0.726
ENSG00000142765	0.168	0.170	    0.083
ENSG00000233016	0.056	0.169	   -1.180
ENSG00000112282	0.117	0.169	    0.747
ENSG00000169689	0.168	0.168	    4.174
ENSG00000112343	0.017	0.167	    0.000
ENSG00000224063	0.063	0.166	   -2.893
ENSG00000140995	0.051	0.165	   -0.171
ENSG00000116001	0.094	0.162	    0.710
