Gene	GRCP	GLCP	TWAS_z
ENSG00000188002	0.918	0.918	    0.585
ENSG00000272950	0.639	0.868	   11.135
ENSG00000197915	0.715	0.777	   -1.034
ENSG00000237975	0.618	0.773	    4.689
ENSG00000114455	0.531	0.767	    2.648
ENSG00000164512	0.287	0.757	   -4.130
ENSG00000214425	0.031	0.727	   -6.602
ENSG00000122512	0.559	0.676	   -3.622
ENSG00000232995	0.658	0.658	   -0.889
ENSG00000125445	0.498	0.614	   -5.348
ENSG00000102858	0.200	0.596	    0.515
ENSG00000084734	0.129	0.569	   13.472
ENSG00000104870	0.509	0.509	   -2.868
ENSG00000229043	0.260	0.507	    0.000
ENSG00000240350	0.288	0.503	   -2.583
ENSG00000169689	0.273	0.484	    4.331
ENSG00000255120	0.477	0.477	   -1.977
ENSG00000258521	0.301	0.475	   -5.961
ENSG00000130177	0.291	0.469	   -4.379
ENSG00000178381	0.142	0.468	    1.570
ENSG00000167711	0.329	0.424	   -1.961
ENSG00000156795	0.173	0.419	   -2.808
ENSG00000170846	0.410	0.410	   -0.001
ENSG00000198945	0.399	0.399	   -0.323
ENSG00000178966	0.370	0.391	   -5.484
ENSG00000095397	0.266	0.383	    4.367
ENSG00000276651	0.309	0.383	   -7.126
ENSG00000215114	0.328	0.364	    3.943
ENSG00000149948	0.328	0.350	   -4.696
ENSG00000251417	0.102	0.340	    7.466
ENSG00000230074	0.229	0.339	   -3.722
ENSG00000204308	0.086	0.335	   -0.403
ENSG00000099974	0.153	0.327	    0.000
ENSG00000241350	0.153	0.316	   -0.964
ENSG00000273295	0.295	0.312	   -4.026
ENSG00000167702	0.152	0.293	    5.202
ENSG00000187860	0.146	0.291	   -0.473
ENSG00000218537	0.284	0.289	   -4.027
ENSG00000198324	0.288	0.288	   -5.624
ENSG00000272462	0.042	0.286	   -2.434
ENSG00000167701	0.094	0.278	    4.601
ENSG00000090612	0.138	0.266	   -4.618
ENSG00000205352	0.105	0.265	   -0.420
ENSG00000085276	0.131	0.258	    0.531
ENSG00000125743	0.086	0.256	   -0.434
ENSG00000169062	0.133	0.253	   -5.062
ENSG00000120088	0.029	0.252	    6.589
ENSG00000240972	0.249	0.249	   -4.034
ENSG00000077782	0.226	0.247	   -4.170
ENSG00000124587	0.230	0.230	    3.833
ENSG00000249231	0.050	0.225	   -3.469
ENSG00000112977	0.078	0.223	   -3.159
ENSG00000198890	0.182	0.221	   -7.359
ENSG00000137411	0.041	0.220	    3.028
ENSG00000133433	0.194	0.210	    0.439
ENSG00000258666	0.041	0.210	    3.982
ENSG00000154914	0.044	0.207	   -1.569
ENSG00000272787	0.125	0.206	    0.408
ENSG00000178188	0.111	0.204	    7.092
ENSG00000225522	0.141	0.202	   -2.009
ENSG00000225282	0.201	0.201	   -3.861
ENSG00000146477	0.143	0.200	   -4.383
ENSG00000129933	0.007	0.199	   -0.746
ENSG00000170500	0.120	0.196	    3.641
ENSG00000099984	0.194	0.194	    0.000
ENSG00000272854	0.111	0.193	    3.685
ENSG00000255182	0.022	0.167	    4.690
ENSG00000266962	0.125	0.166	    1.378
ENSG00000273080	0.102	0.162	    3.309
ENSG00000227392	0.117	0.160	    1.753
ENSG00000270210	0.044	0.157	   -2.750
ENSG00000228509	0.003	0.154	    4.124
ENSG00000160075	0.154	0.154	    3.659
ENSG00000251580	0.103	0.154	    1.312
ENSG00000149922	0.148	0.148	   -2.509
ENSG00000178623	0.148	0.148	   -3.553
ENSG00000168807	0.102	0.146	   -2.430
ENSG00000226752	0.129	0.146	   -1.306
ENSG00000238083	0.011	0.141	    6.543
ENSG00000167984	0.139	0.140	    1.861
ENSG00000061794	0.027	0.139	   -1.461
ENSG00000179021	0.059	0.134	   -4.561
ENSG00000154269	0.094	0.131	   -5.416
ENSG00000115998	0.101	0.127	   -0.409
ENSG00000176998	0.029	0.124	    1.653
ENSG00000261000	0.097	0.121	    3.453
ENSG00000206053	0.043	0.121	   -0.891
ENSG00000166938	0.023	0.121	    1.215
ENSG00000169592	0.082	0.121	   -1.322
ENSG00000103351	0.092	0.119	   -3.468
ENSG00000132305	0.070	0.114	   -0.874
ENSG00000109576	0.072	0.110	    0.000
ENSG00000144852	0.089	0.109	   -3.532
ENSG00000214401	0.016	0.109	    6.427
ENSG00000186642	0.004	0.109	    5.040
ENSG00000106305	0.051	0.108	   -1.226
ENSG00000100003	0.103	0.106	    4.128
ENSG00000129559	0.081	0.105	    0.370
ENSG00000245937	0.105	0.105	   -3.762
ENSG00000105707	0.080	0.104	    4.152
ENSG00000198646	0.076	0.104	   -3.580
ENSG00000103111	0.022	0.103	    0.829
ENSG00000143228	0.015	0.101	   -1.725
ENSG00000087085	0.092	0.100	    4.150
ENSG00000263503	0.022	0.098	    6.526
ENSG00000140323	0.096	0.096	   -3.004
ENSG00000139547	0.072	0.095	    2.109
ENSG00000095261	0.072	0.094	    0.000
ENSG00000198160	0.051	0.092	   -3.728
ENSG00000153443	0.033	0.092	    3.307
ENSG00000110944	0.073	0.090	    3.677
ENSG00000205693	0.038	0.090	   -0.889
ENSG00000099977	0.090	0.090	    2.653
ENSG00000087448	0.065	0.088	   -0.519
ENSG00000243970	0.024	0.088	   -5.393
